# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:00 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6701 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 236697'          /                                                
# SPTYPE  = 'M0.5 Ib '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2001 Oct 11'        / UT date of SXD observations                    
# LXDUT   = '2001 Oct 19'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806857 / Minimum wavelength (um)                        
# MAXWAVE =              4.10362 / Maximum wavelength (um)                        
# V       =        8.63000000000 / V magnitude                                    
# VERR    =      0.0280000000000 / V magnitude error                              
# (B-V)   =        2.15700000000 / B-V color                                      
# (B-V)ERR=     0.00500000000000 / B-V color error                                
# J       =        4.86000000000 / 2MASS J magnitude                              
# JERR    =       0.316000000000 / 2MASS J magnitude error                        
# H       =        3.87800000000 / 2MASS H magnitude                              
# HERR    =       0.176000000000 / 2MASS H magnitude error                        
# KS      =        3.43400000000 / 2MASS Ks magnitude                             
# KSERR   =       0.358000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.141280000000 / Relative error in the absolute flux calibration
# RV      =       -14.9013410000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.65000000000 / Intrinsic Color                                
# E(B-V)  =       0.507000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806857                3.31018e-11         9.33957e-14
             0.807059                3.09455e-11         9.01447e-14
             0.807262                3.02876e-11         8.90938e-14
             0.807464                3.12881e-11         9.19560e-14
             0.807666                3.12876e-11         9.10396e-14
             0.807869                3.24864e-11         9.29361e-14
             0.808071                3.38840e-11         9.54422e-14
             0.808273                3.31380e-11         9.39727e-14
             0.808476                3.27902e-11         9.37806e-14
             0.808678                3.33491e-11         9.50121e-14
             0.808881                3.40779e-11         9.62901e-14
             0.809083                3.37203e-11         9.55875e-14
             0.809285                3.14788e-11         9.17320e-14
             0.809488                3.00545e-11         8.98744e-14
             0.809690                3.09225e-11         9.14758e-14
             0.809892                3.22201e-11         9.36326e-14
             0.810074                3.22311e-11         8.18825e-14
             0.810307                3.30122e-11         8.03034e-14
             0.810541                3.29004e-11         8.19741e-14
             0.810774                3.25722e-11         8.54200e-14
             0.811008                3.24951e-11         8.95244e-14
             0.811241                3.28148e-11         8.51938e-14
             0.811474                3.27697e-11         8.13688e-14
             0.811708                3.07798e-11         7.69803e-14
             0.811941                3.03807e-11         7.73057e-14
             0.812174                3.22284e-11         8.24788e-14
             0.812408                3.33469e-11         8.83296e-14
             0.812641                3.35087e-11         8.82738e-14
             0.812874                3.32737e-11         8.34626e-14
             0.813108                3.34680e-11         8.04663e-14
             0.813341                3.22137e-11         8.07749e-14
             0.813574                3.26571e-11         8.09659e-14
             0.813808                3.38124e-11         8.60656e-14
             0.814041                3.41738e-11         9.09693e-14
             0.814274                3.35692e-11         8.50437e-14
             0.814508                3.26062e-11         8.03337e-14
             0.814741                3.29066e-11         7.90087e-14
             0.814974                3.35070e-11         8.05021e-14
             0.815207                3.35216e-11         8.40282e-14
             0.815441                3.37349e-11         9.22306e-14
             0.815674                3.41624e-11         8.81809e-14
             0.815907                3.51569e-11         8.54006e-14
             0.816140                3.35442e-11         8.00089e-14
             0.816374                3.11566e-11         7.67221e-14
             0.816607                3.27774e-11         8.13552e-14
             0.816840                3.42870e-11         8.67579e-14
             0.817073                3.44683e-11         9.05867e-14
             0.817307                3.42785e-11         8.63945e-14
             0.817540                3.42008e-11         8.20821e-14
             0.817773                3.44080e-11         7.99148e-14
             0.818006                3.46475e-11         8.13365e-14
             0.818239                3.36376e-11         8.39856e-14
             0.818472                3.23396e-11         8.50385e-14
             0.818706                3.19341e-11         8.42438e-14
             0.818939                3.25113e-11         8.13913e-14
             0.819172                3.49746e-11         8.17574e-14
             0.819405                3.52972e-11         8.13665e-14
             0.819638                3.18284e-11         7.75759e-14
             0.819871                3.22482e-11         8.04433e-14
             0.820104                3.31861e-11         8.60617e-14
             0.820337                3.21558e-11         8.07935e-14
             0.820571                3.05048e-11         7.51441e-14
             0.820804                3.07225e-11         7.37315e-14
             0.821037                3.30278e-11         7.73377e-14
             0.821270                3.38215e-11         8.04038e-14
             0.821503                3.29351e-11         8.17429e-14
             0.821736                3.40742e-11         8.52646e-14
             0.821969                3.50881e-11         8.28570e-14
             0.822202                3.34647e-11         7.93355e-14
             0.822435                3.37502e-11         7.78701e-14
             0.822668                3.56800e-11         8.13375e-14
             0.822901                3.60564e-11         8.50204e-14
             0.823134                3.53352e-11         8.90360e-14
             0.823367                3.45497e-11         8.55374e-14
             0.823600                3.48612e-11         8.28738e-14
             0.823833                3.52431e-11         8.20159e-14
             0.824066                3.45210e-11         7.88540e-14
             0.824299                3.39862e-11         7.91633e-14
             0.824532                3.47199e-11         8.27807e-14
             0.824765                3.56688e-11         8.74742e-14
             0.824998                3.52941e-11         8.28880e-14
             0.825231                3.46402e-11         7.89883e-14
             0.825464                3.31374e-11         7.55563e-14
             0.825697                3.22653e-11         7.51558e-14
             0.825930                3.34538e-11         8.28084e-14
             0.826163                3.60476e-11         8.51392e-14
             0.826396                3.66176e-11         8.61557e-14
             0.826628                3.56878e-11         8.09338e-14
             0.826861                3.52232e-11         7.83986e-14
             0.827094                3.57560e-11         7.85691e-14
             0.827327                3.57856e-11         8.03510e-14
             0.827560                3.44593e-11         8.10697e-14
             0.827793                3.42671e-11         8.46409e-14
             0.828026                3.53650e-11         8.19955e-14
             0.828259                3.59594e-11         8.01991e-14
             0.828491                3.47573e-11         7.76089e-14
             0.828724                3.48214e-11         7.78247e-14
             0.828957                3.48115e-11         7.93678e-14
             0.829190                3.45476e-11         8.11441e-14
             0.829423                3.49554e-11         8.14737e-14
             0.829656                3.42122e-11         7.78901e-14
             0.829888                3.37303e-11         7.57341e-14
             0.830121                3.41067e-11         7.57680e-14
             0.830354                3.47706e-11         7.69695e-14
             0.830587                3.36206e-11         7.80469e-14
             0.830820                3.11333e-11         7.68889e-14
             0.831052                3.09018e-11         7.39425e-14
             0.831285                3.20146e-11         7.34315e-14
             0.831518                3.34227e-11         7.40919e-14
             0.831751                3.49250e-11         7.58003e-14
             0.831983                3.54426e-11         7.85173e-14
             0.832216                3.42517e-11         7.86662e-14
             0.832449                3.37666e-11         7.92994e-14
             0.832682                3.29647e-11         7.60262e-14
             0.832914                3.10628e-11         7.11591e-14
             0.833147                3.26107e-11         7.28298e-14
             0.833380                3.26243e-11         7.31632e-14
             0.833612                3.20807e-11         7.36858e-14
             0.833845                3.32050e-11         7.69794e-14
             0.834078                3.36782e-11         7.68918e-14
             0.834311                3.42428e-11         7.56961e-14
             0.834543                3.40887e-11         7.40615e-14
             0.834776                3.26205e-11         7.17614e-14
             0.835009                3.13137e-11         7.11301e-14
             0.835241                3.25934e-11         7.36776e-14
             0.835474                3.34728e-11         7.68005e-14
             0.835706                3.35219e-11         7.48402e-14
             0.835939                3.43370e-11         7.47540e-14
             0.836172                3.45465e-11         7.40153e-14
             0.836404                3.32005e-11         7.27356e-14
             0.836637                3.06926e-11         6.96415e-14
             0.836870                3.29371e-11         7.38548e-14
             0.837102                3.51531e-11         7.79355e-14
             0.837335                3.46320e-11         7.50156e-14
             0.837567                3.51440e-11         7.46113e-14
             0.837800                3.40876e-11         7.29022e-14
             0.838033                3.28409e-11         7.15370e-14
             0.838265                3.31515e-11         7.33510e-14
             0.838498                3.06961e-11         7.11073e-14
             0.838730                3.08912e-11         7.03167e-14
             0.838963                2.97489e-11         6.74258e-14
             0.839195                3.10386e-11         6.90383e-14
             0.839428                3.53460e-11         7.50289e-14
             0.839660                3.57582e-11         7.60337e-14
             0.839893                3.34395e-11         7.41764e-14
             0.840125                3.41227e-11         7.55615e-14
             0.840358                3.45096e-11         7.41680e-14
             0.840590                3.49323e-11         7.32842e-14
             0.840823                3.57277e-11         7.38424e-14
             0.841055                3.63009e-11         7.50406e-14
             0.841288                3.42337e-11         7.35509e-14
             0.841520                3.27008e-11         7.33315e-14
             0.841753                3.44250e-11         7.55335e-14
             0.841985                3.46931e-11         7.38579e-14
             0.842218                3.45253e-11         7.22135e-14
             0.842450                3.41670e-11         7.13198e-14
             0.842683                3.13041e-11         6.79549e-14
             0.842915                3.09442e-11         6.78454e-14
             0.843148                3.52373e-11         7.49145e-14
             0.843380                3.61151e-11         7.54003e-14
