# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:02 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6701 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 236697'          /                                                
# SPTYPE  = 'M0.5 Ib '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2001 Oct 11'        / UT date of SXD observations                    
# LXDUT   = '2001 Oct 19'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806857 / Minimum wavelength (um)                        
# MAXWAVE =              4.10362 / Maximum wavelength (um)                        
# V       =        8.63000000000 / V magnitude                                    
# VERR    =      0.0280000000000 / V magnitude error                              
# (B-V)   =        2.15700000000 / B-V color                                      
# (B-V)ERR=     0.00500000000000 / B-V color error                                
# J       =        4.86000000000 / 2MASS J magnitude                              
# JERR    =       0.316000000000 / 2MASS J magnitude error                        
# H       =        3.87800000000 / 2MASS H magnitude                              
# HERR    =       0.176000000000 / 2MASS H magnitude error                        
# KS      =        3.43400000000 / 2MASS Ks magnitude                             
# KSERR   =       0.358000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.141280000000 / Relative error in the absolute flux calibration
# RV      =       -14.9013410000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.65000000000 / Intrinsic Color                                
# E(B-V)  =       0.507000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806857                6.88662e-11         1.94304e-13
             0.807059                6.43584e-11         1.87477e-13
             0.807262                6.29687e-11         1.85229e-13
             0.807464                6.50270e-11         1.91115e-13
             0.807666                6.50041e-11         1.89146e-13
             0.807869                6.74719e-11         1.93022e-13
             0.808071                7.03508e-11         1.98160e-13
             0.808273                6.87788e-11         1.95043e-13
             0.808476                6.80341e-11         1.94579e-13
             0.808678                6.91705e-11         1.97068e-13
             0.808881                7.06584e-11         1.99652e-13
             0.809083                6.98935e-11         1.98128e-13
             0.809285                6.52255e-11         1.90073e-13
             0.809488                6.22534e-11         1.86162e-13
             0.809690                6.40301e-11         1.89415e-13
             0.809892                6.66946e-11         1.93816e-13
             0.810074                6.66974e-11         1.69443e-13
             0.810307                6.82874e-11         1.66112e-13
             0.810541                6.80299e-11         1.69502e-13
             0.810774                6.73253e-11         1.76559e-13
             0.811008                6.71401e-11         1.84972e-13
             0.811241                6.77747e-11         1.75957e-13
             0.811474                6.76555e-11         1.67992e-13
             0.811708                6.35228e-11         1.58871e-13
             0.811941                6.26753e-11         1.59481e-13
             0.812174                6.64616e-11         1.70088e-13
             0.812408                6.87419e-11         1.82084e-13
             0.812641                6.90489e-11         1.81899e-13
             0.812874                6.85386e-11         1.71920e-13
             0.813108                6.89126e-11         1.65685e-13
             0.813341                6.63046e-11         1.66257e-13
             0.813574                6.71916e-11         1.66586e-13
             0.813808                6.95420e-11         1.77011e-13
             0.814041                7.02588e-11         1.87026e-13
             0.814274                6.89896e-11         1.74777e-13
             0.814508                6.69849e-11         1.65035e-13
             0.814741                6.75764e-11         1.62251e-13
             0.814974                6.87834e-11         1.65255e-13
             0.815207                6.87873e-11         1.72428e-13
             0.815441                6.91987e-11         1.89188e-13
             0.815674                7.00493e-11         1.80813e-13
             0.815907                7.20612e-11         1.75046e-13
             0.816140                6.87297e-11         1.63933e-13
             0.816374                6.38137e-11         1.57139e-13
             0.816607                6.71080e-11         1.66565e-13
             0.816840                7.01722e-11         1.77560e-13
             0.817073                7.05169e-11         1.85326e-13
             0.817307                7.01021e-11         1.76683e-13
             0.817540                6.99170e-11         1.67801e-13
             0.817773                7.03141e-11         1.63309e-13
             0.818006                7.07771e-11         1.66152e-13
             0.818239                6.86883e-11         1.71500e-13
             0.818472                6.60132e-11         1.73585e-13
             0.818706                6.51610e-11         1.71898e-13
             0.818939                6.63139e-11         1.66016e-13
             0.819172                7.13118e-11         1.66700e-13
             0.819405                7.19428e-11         1.65841e-13
             0.819638                6.48486e-11         1.58056e-13
             0.819871                6.56793e-11         1.63837e-13
