# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:04 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 8000 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 209290'          /                                                
# SPTYPE  = 'M0.5 V  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.3'     / Spectroscopy Mode                              
# SXDUT   = '2003 Jul 06'        / UT date of SXD observations                    
# LXDUT   = '2003 Jul 06'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.807453 / Minimum wavelength (um)                        
# MAXWAVE =              5.42490 / Maximum wavelength (um)                        
# V       =        9.16700000000 / V magnitude                                    
# VERR    =      0.0120000000000 / V magnitude error                              
# (B-V)   =        1.45700000000 / B-V color                                      
# (B-V)ERR=      0.0150000000000 / B-V color error                                
# J       =        6.19600000000 / 2MASS J magnitude                              
# JERR    =      0.0230000000000 / 2MASS J magnitude error                        
# H       =        5.56200000000 / 2MASS H magnitude                              
# HERR    =      0.0510000000000 / 2MASS H magnitude error                        
# KS      =        5.32200000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0230000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0154947000000 / Relative error in the absolute flux calibration
# RV      =        37.8146270000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.42000000000 / Intrinsic Color                                
# E(B-V)  =      0.0370001000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.807453                1.48435e-11         3.48790e-14
             0.807655                1.49206e-11         3.50939e-14
             0.807858                1.49463e-11         3.50331e-14
             0.808060                1.50231e-11         3.51886e-14
             0.808263                1.50661e-11         3.52712e-14
             0.808465                1.49927e-11         3.51862e-14
             0.808668                1.48115e-11         3.52787e-14
             0.808870                1.48492e-11         3.55430e-14
             0.809073                1.50347e-11         3.54648e-14
             0.809275                1.50878e-11         3.55576e-14
             0.809478                1.49185e-11         3.54712e-14
             0.809680                1.48841e-11         3.55567e-14
             0.809883                1.49044e-11         3.56701e-14
             0.810085                1.49591e-11         3.57247e-14
             0.810288                1.49421e-11         3.58997e-14
             0.810372                1.49708e-11         3.22661e-14
             0.810606                1.50707e-11         3.24288e-14
             0.810839                1.50629e-11         3.07846e-14
             0.811072                1.50571e-11         2.96807e-14
             0.811305                1.50495e-11         2.94407e-14
             0.811538                1.50000e-11         2.99453e-14
             0.811771                1.46758e-11         3.08183e-14
             0.812004                1.46058e-11         3.23606e-14
             0.812237                1.49628e-11         3.15850e-14
             0.812470                1.51722e-11         3.04180e-14
             0.812704                1.52089e-11         2.93368e-14
             0.812937                1.51304e-11         2.94026e-14
             0.813170                1.51405e-11         3.03656e-14
             0.813403                1.50580e-11         3.19067e-14
             0.813636                1.50443e-11         3.26731e-14
             0.813869                1.51837e-11         3.11408e-14
             0.814102                1.51907e-11         2.99369e-14
             0.814335                1.51849e-11         2.95115e-14
             0.814568                1.50347e-11         2.96252e-14
             0.814801                1.49999e-11         3.07293e-14
             0.815034                1.50858e-11         3.23640e-14
             0.815267                1.51237e-11         3.20308e-14
             0.815500                1.50950e-11         3.06621e-14
             0.815733                1.50882e-11         2.96892e-14
             0.815966                1.50434e-11         2.98957e-14
             0.816199                1.48278e-11         3.03484e-14
             0.816432                1.48090e-11         3.17453e-14
             0.816665                1.50180e-11         3.28837e-14
             0.816898                1.50764e-11         3.21114e-14
             0.817131                1.51049e-11         3.04474e-14
             0.817364                1.51033e-11         2.90718e-14
             0.817597                1.51054e-11         2.90979e-14
             0.817830                1.50143e-11         3.06178e-14
             0.818063                1.48531e-11         3.18566e-14
             0.818296                1.38111e-11         3.01298e-14
             0.818529                1.25104e-11         2.77612e-14
             0.818762                1.29966e-11         2.73457e-14
             0.818995                1.42961e-11         2.84969e-14
             0.819228                1.45026e-11         2.88835e-14
             0.819461                1.32767e-11         2.88367e-14
             0.819694                1.17941e-11         2.86266e-14
             0.819927                1.24836e-11         2.87266e-14
             0.820159                1.40486e-11         2.94178e-14
             0.820392                1.46630e-11         2.81061e-14
             0.820625                1.47711e-11         2.81093e-14
