# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:50:56 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7673 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 213893'          /                                                
# SPTYPE  = 'M0 IIIb '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2001 Oct 11'        / UT date of SXD observations                    
# LXDUT   = '2001 Oct 19'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806549 / Minimum wavelength (um)                        
# MAXWAVE =              5.07091 / Maximum wavelength (um)                        
# V       =        6.69100000000 / V magnitude                                    
# VERR    =      0.0150000000000 / V magnitude error                              
# (B-V)   =        1.53400000000 / B-V color                                      
# (B-V)ERR=     0.00800000000000 / B-V color error                                
# J       =        4.00900000000 / 2MASS J magnitude                              
# JERR    =       0.330000000000 / 2MASS J magnitude error                        
# H       =        3.09200000000 / 2MASS H magnitude                              
# HERR    =       0.248000000000 / 2MASS H magnitude error                        
# KS      =        2.86900000000 / 2MASS Ks magnitude                             
# KSERR   =       0.274000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.160620000000 / Relative error in the absolute flux calibration
# RV      =       -55.8896590000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.57000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0360000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806549                1.08947e-10         1.54406e-13
             0.806751                1.07595e-10         1.53737e-13
             0.806954                1.04812e-10         1.52383e-13
             0.807156                1.02940e-10         1.52331e-13
             0.807359                1.04461e-10         1.53514e-13
             0.807561                1.04739e-10         1.52302e-13
             0.807763                1.06433e-10         1.54856e-13
             0.807966                1.08566e-10         1.56189e-13
             0.808168                1.07992e-10         1.54669e-13
             0.808371                1.06988e-10         1.55945e-13
             0.808573                1.07163e-10         1.55499e-13
             0.808775                1.08066e-10         1.54053e-13
             0.808978                1.09015e-10         1.57346e-13
             0.809180                1.06725e-10         1.55055e-13
             0.809383                1.01956e-10         1.54636e-13
             0.809585                1.01822e-10         1.55191e-13
             0.809787                1.04490e-10         1.55818e-13
             0.809929                1.05401e-10         1.45684e-13
             0.810162                1.06742e-10         1.40650e-13
             0.810395                1.08300e-10         1.37194e-13
             0.810629                1.07913e-10         1.40438e-13
             0.810862                1.07140e-10         1.45231e-13
             0.811095                1.07249e-10         1.56167e-13
             0.811329                1.07251e-10         1.50600e-13
             0.811562                1.04990e-10         1.41164e-13
             0.811795                1.00607e-10         1.35201e-13
             0.812029                1.02777e-10         1.35589e-13
             0.812262                1.08255e-10         1.41856e-13
             0.812495                1.09439e-10         1.49964e-13
             0.812729                1.08754e-10         1.58423e-13
             0.812962                1.08401e-10         1.45887e-13
             0.813195                1.07429e-10         1.38906e-13
             0.813428                1.06723e-10         1.36437e-13
             0.813662                1.08864e-10         1.40534e-13
             0.813895                1.09768e-10         1.46397e-13
             0.814128                1.09316e-10         1.52882e-13
             0.814362                1.07803e-10         1.50034e-13
             0.814595                1.06592e-10         1.41972e-13
             0.814828                1.07565e-10         1.37816e-13
             0.815061                1.08452e-10         1.37624e-13
             0.815294                1.08544e-10         1.41502e-13
             0.815528                1.09278e-10         1.48612e-13
             0.815761                1.10052e-10         1.57174e-13
             0.815994                1.09232e-10         1.47268e-13
             0.816227                1.03826e-10         1.39264e-13
             0.816460                1.04168e-10         1.38348e-13
             0.816694                1.08967e-10         1.42620e-13
             0.816927                1.09793e-10         1.46263e-13
             0.817160                1.09535e-10         1.53457e-13
             0.817393                1.09498e-10         1.56600e-13
             0.817626                1.09627e-10         1.43093e-13
             0.817859                1.10014e-10         1.39212e-13
             0.818092                1.09566e-10         1.40661e-13
             0.818326                1.06051e-10         1.41506e-13
             0.818559                1.03628e-10         1.45221e-13
             0.818792                1.04027e-10         1.50894e-13
             0.819025                1.07578e-10         1.45495e-13
             0.819258                1.10271e-10         1.41469e-13
             0.819491                1.05700e-10         1.35967e-13
             0.819724                1.03399e-10         1.35850e-13
             0.819957                1.05295e-10         1.40173e-13
