# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:19 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7647 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 204724'          /                                                
# SPTYPE  = 'M1+ III '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2005 Oct 06'        / UT date of SXD observations                    
# LXDUT   = '2005 Oct 06'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.804816 / Minimum wavelength (um)                        
# MAXWAVE =              5.04567 / Maximum wavelength (um)                        
# V       =        4.55400000000 / V magnitude                                    
# VERR    =      0.0210000000000 / V magnitude error                              
# (B-V)   =        1.61800000000 / B-V color                                      
# (B-V)ERR=     0.00800000000000 / B-V color error                                
# J       =        1.70100000000 / 2MASS J magnitude                              
# JERR    =       0.292000000000 / 2MASS J magnitude error                        
# H       =       0.784000000000 / 2MASS H magnitude                              
# HERR    =       0.166000000000 / 2MASS H magnitude error                        
# KS      =       0.666000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.182000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.113077000000 / Relative error in the absolute flux calibration
# RV      =        6.23812770000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.60000000000 / Intrinsic Color                                
# E(B-V)  =      0.0180000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.804816                8.60481e-10         1.28209e-12
             0.805019                8.58614e-10         1.28482e-12
             0.805221                8.85877e-10         1.31372e-12
             0.805423                9.03430e-10         1.33584e-12
             0.805626                9.04686e-10         1.33916e-12
             0.805828                9.15568e-10         1.36040e-12
             0.806030                9.23978e-10         1.35976e-12
             0.806233                9.19527e-10         1.36866e-12
             0.806435                9.06442e-10         1.35114e-12
             0.806637                9.06513e-10         1.35190e-12
             0.806840                8.93528e-10         1.33680e-12
             0.807042                8.48424e-10         1.28213e-12
             0.807244                8.35618e-10         1.27043e-12
             0.807447                8.62094e-10         1.30862e-12
             0.807649                8.66213e-10         1.30189e-12
             0.807851                8.82867e-10         1.33768e-12
             0.808054                9.11079e-10         1.37416e-12
             0.808256                8.83486e-10         1.33344e-12
             0.808388                8.75094e-10         1.22060e-12
             0.808621                8.87437e-10         1.18296e-12
             0.808855                9.03132e-10         1.15918e-12
             0.809088                8.96286e-10         1.18783e-12
             0.809322                8.38476e-10         1.15958e-12
             0.809555                8.11590e-10         1.18134e-12
             0.809789                8.49928e-10         1.23342e-12
             0.810022                8.62970e-10         1.17161e-12
             0.810256                8.78415e-10         1.13845e-12
             0.810489                8.89607e-10         1.14154e-12
             0.810723                8.75874e-10         1.16481e-12
             0.810956                8.70851e-10         1.20119e-12
             0.811189                8.71157e-10         1.28289e-12
             0.811423                8.78462e-10         1.21528e-12
             0.811656                8.42447e-10         1.11219e-12
             0.811890                8.01828e-10         1.04793e-12
             0.812123                8.55388e-10         1.10665e-12
             0.812356                8.92303e-10         1.18619e-12
             0.812590                9.06119e-10         1.27431e-12
             0.812823                8.88073e-10         1.24783e-12
             0.813057                8.89421e-10         1.18743e-12
             0.813290                8.74036e-10         1.12620e-12
             0.813523                8.73460e-10         1.14285e-12
             0.813757                8.98192e-10         1.17191e-12
             0.813990                9.04939e-10         1.22971e-12
             0.814223                8.94790e-10         1.27779e-12
             0.814457                8.74100e-10         1.19546e-12
             0.814690                8.72640e-10         1.15689e-12
             0.814923                8.87862e-10         1.13402e-12
             0.815157                8.88321e-10         1.14101e-12
             0.815390                8.92903e-10         1.18155e-12
             0.815623                8.98707e-10         1.25425e-12
             0.815856                9.18365e-10         1.29924e-12
             0.816090                8.97530e-10         1.18638e-12
             0.816323                8.26675e-10         1.09503e-12
             0.816556                8.66150e-10         1.12480e-12
             0.816789                9.07066e-10         1.18668e-12
             0.817023                9.01531e-10         1.21965e-12
             0.817256                9.04027e-10         1.28961e-12
             0.817489                9.02162e-10         1.21514e-12
             0.817722                9.04550e-10         1.17499e-12
