# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:11 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6834 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 14404'           /                                                
# SPTYPE  = 'M1- Iab-Ib'         / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2003 Jan 16'        / UT date of SXD observations                    
# LXDUT   = '2003 Nov 20'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.809415 / Minimum wavelength (um)                        
# MAXWAVE =              4.16651 / Maximum wavelength (um)                        
# V       =        7.90400000000 / V magnitude                                    
# VERR    =      0.0480000000000 / V magnitude error                              
# (B-V)   =        2.30300000000 / B-V color                                      
# (B-V)ERR=      0.0110000000000 / B-V color error                                
# J       =        3.55600000000 / 2MASS J magnitude                              
# JERR    =       0.312000000000 / 2MASS J magnitude error                        
# H       =        2.68200000000 / 2MASS H magnitude                              
# HERR    =       0.192000000000 / 2MASS H magnitude error                        
# KS      =        2.24700000000 / 2MASS Ks magnitude                             
# KSERR   =       0.298000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.143355000000 / Relative error in the absolute flux calibration
# RV      =       -13.6420690000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.65000000000 / Intrinsic Color                                
# E(B-V)  =       0.653000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.809415                8.52739e-11         2.98546e-13
             0.809617                8.72724e-11         3.01643e-13
             0.809820                9.14372e-11         3.13735e-13
             0.810022                9.14485e-11         3.09527e-13
             0.810224                9.36024e-11         3.14836e-13
             0.810427                9.34518e-11         3.16741e-13
             0.810629                9.19288e-11         3.12020e-13
             0.810832                9.14768e-11         3.14385e-13
             0.811034                9.25878e-11         3.17094e-13
             0.811236                9.28827e-11         3.17539e-13
             0.811439                9.33812e-11         3.17558e-13
             0.811641                8.91627e-11         3.10812e-13
             0.811843                8.59533e-11         3.03357e-13
             0.812046                8.92490e-11         3.13546e-13
             0.812248                9.27083e-11         3.19157e-13
             0.812451                9.59748e-11         3.32098e-13
             0.812564                9.56514e-11         3.03188e-13
             0.812797                9.45116e-11         2.83932e-13
             0.813030                9.52448e-11         2.73765e-13
             0.813263                9.29636e-11         2.67741e-13
             0.813496                9.10919e-11         2.69951e-13
             0.813729                9.44187e-11         2.90391e-13
             0.813962                9.64807e-11         3.07111e-13
             0.814195                9.55205e-11         2.95832e-13
             0.814428                9.31588e-11         2.79803e-13
             0.814661                9.29570e-11         2.70018e-13
             0.814894                9.50378e-11         2.74940e-13
             0.815127                9.44824e-11         2.85731e-13
             0.815361                9.58793e-11         2.98301e-13
             0.815594                9.72568e-11         3.12821e-13
             0.815827                9.99342e-11         2.99904e-13
             0.816060                9.86544e-11         2.86175e-13
             0.816293                8.96521e-11         2.68055e-13
             0.816526                9.13605e-11         2.79124e-13
             0.816759                9.65556e-11         2.96236e-13
             0.816992                9.71498e-11         3.07049e-13
             0.817225                9.76916e-11         3.05198e-13
             0.817457                9.65544e-11         2.92252e-13
             0.817690                9.64473e-11         2.74039e-13
             0.817923                9.87096e-11         2.83313e-13
             0.818156                9.77211e-11         2.92142e-13
             0.818389                9.15095e-11         2.85480e-13
             0.818622                8.97363e-11         2.92342e-13
             0.818855                9.14315e-11         2.83311e-13
             0.819088                9.79118e-11         2.85904e-13
             0.819321                1.03372e-10         2.88440e-13
             0.819554                9.29090e-11         2.70929e-13
             0.819787                9.08541e-11         2.75807e-13
             0.820020                9.44084e-11         2.92375e-13
             0.820253                9.25639e-11         2.90437e-13
             0.820485                8.76672e-11         2.70008e-13
             0.820718                8.59080e-11         2.55519e-13
             0.820951                9.13142e-11         2.60594e-13
             0.821184                9.69540e-11         2.69544e-13
             0.821417                9.61911e-11         2.78500e-13
             0.821650                9.64993e-11         2.91211e-13
             0.821883                1.01154e-10         2.91230e-13
             0.822116                9.78948e-11         2.75690e-13
             0.822348                9.50091e-11         2.66181e-13
             0.822581                1.00662e-10         2.76176e-13
