# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:13 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6834 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 14404'           /                                                
# SPTYPE  = 'M1- Iab-Ib'         / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2003 Jan 16'        / UT date of SXD observations                    
# LXDUT   = '2003 Nov 20'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.809415 / Minimum wavelength (um)                        
# MAXWAVE =              4.16651 / Maximum wavelength (um)                        
# V       =        7.90400000000 / V magnitude                                    
# VERR    =      0.0480000000000 / V magnitude error                              
# (B-V)   =        2.30300000000 / B-V color                                      
# (B-V)ERR=      0.0110000000000 / B-V color error                                
# J       =        3.55600000000 / 2MASS J magnitude                              
# JERR    =       0.312000000000 / 2MASS J magnitude error                        
# H       =        2.68200000000 / 2MASS H magnitude                              
# HERR    =       0.192000000000 / 2MASS H magnitude error                        
# KS      =        2.24700000000 / 2MASS Ks magnitude                             
# KSERR   =       0.298000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.143355000000 / Relative error in the absolute flux calibration
# RV      =       -13.6420690000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.65000000000 / Intrinsic Color                                
# E(B-V)  =       0.653000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.809415                2.17876e-10         7.62788e-13
             0.809617                2.22886e-10         7.70369e-13
             0.809820                2.33422e-10         8.00905e-13
             0.810022                2.33350e-10         7.89823e-13
             0.810224                2.38743e-10         8.03023e-13
             0.810427                2.38257e-10         8.07535e-13
             0.810629                2.34273e-10         7.95158e-13
             0.810832                2.33021e-10         8.00840e-13
             0.811034                2.35750e-10         8.07393e-13
             0.811236                2.36399e-10         8.08181e-13
             0.811439                2.37566e-10         8.07882e-13
             0.811641                2.26737e-10         7.90380e-13
             0.811843                2.18482e-10         7.71095e-13
             0.812046                2.26762e-10         7.96653e-13
             0.812248                2.35451e-10         8.10563e-13
             0.812451                2.43643e-10         8.43069e-13
             0.812564                2.42764e-10         7.69493e-13
             0.812797                2.39753e-10         7.20268e-13
             0.813030                2.41494e-10         6.94134e-13
             0.813263                2.35595e-10         6.78527e-13
             0.813496                2.30738e-10         6.83793e-13
             0.813729                2.39048e-10         7.35208e-13
             0.813962                2.44149e-10         7.77160e-13
             0.814195                2.41601e-10         7.48252e-13
             0.814428                2.35513e-10         7.07364e-13
             0.814661                2.34888e-10         6.82294e-13
             0.814894                2.40028e-10         6.94392e-13
             0.815127                2.38510e-10         7.21292e-13
             0.815361                2.41918e-10         7.52659e-13
             0.815594                2.45274e-10         7.88910e-13
             0.815827                2.51904e-10         7.55968e-13
             0.816060                2.48557e-10         7.21011e-13
             0.816293                2.25767e-10         6.75031e-13
             0.816526                2.29957e-10         7.02563e-13
             0.816759                2.42916e-10         7.45273e-13
             0.816992                2.44293e-10         7.72103e-13
             0.817225                2.45536e-10         7.67079e-13
             0.817457                2.42561e-10         7.34184e-13
             0.817690                2.42175e-10         6.88099e-13
             0.817923                2.47736e-10         7.11044e-13
             0.818156                2.45137e-10         7.32846e-13
             0.818389                2.29444e-10         7.15791e-13
             0.818622                2.24890e-10         7.32645e-13
             0.818855                2.29028e-10         7.09669e-13
             0.819088                2.45143e-10         7.15822e-13
             0.819321                2.58689e-10         7.21823e-13
             0.819554                2.32394e-10         6.77678e-13
             0.819787                2.27145e-10         6.89548e-13
             0.820020                2.35918e-10         7.30620e-13
             0.820253                2.31199e-10         7.25430e-13
             0.820485                2.18863e-10         6.74082e-13
             0.820718                2.14369e-10         6.37606e-13
             0.820951                2.27750e-10         6.49959e-13
             0.821184                2.41702e-10         6.71960e-13
             0.821417                2.39686e-10         6.93956e-13
             0.821650                2.40339e-10         7.25285e-13
             0.821883                2.51812e-10         7.24987e-13
             0.822116                2.43583e-10         6.85974e-13
             0.822348                2.36291e-10         6.61999e-13
             0.822581                2.50230e-10         6.86534e-13
