# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:15 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7606 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 39801'           /                                                
# SPTYPE  = 'M1-M2 Ia-Iab'       / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Nov 06'        / UT date of SXD observations                    
# LXDUT   = '2003 Nov 06'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.810740 / Minimum wavelength (um)                        
# MAXWAVE =              5.02343 / Maximum wavelength (um)                        
# V       =       0.481000000000 / V magnitude                                    
# VERR    =      0.0990000000000 / V magnitude error                              
# (B-V)   =        1.86100000000 / B-V color                                      
# (B-V)ERR=      0.0170000000000 / B-V color error                                
# J       =       -2.98900000000 / 2MASS J magnitude                              
# JERR    =       0.103000000000 / 2MASS J magnitude error                        
# H       =       -4.00700000000 / 2MASS H magnitude                              
# HERR    =       0.162000000000 / 2MASS H magnitude error                        
# KS      =       -4.37800000000 / 2MASS Ks magnitude                             
# KSERR   =       0.186000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'ACC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0787454000000 / Relative error in the absolute flux calibration
# RV      =        19.5250060000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.65000000000 / Intrinsic Color                                
# E(B-V)  =       0.211000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810740                6.53957e-08         9.03444e-11
             0.810942                6.43025e-08         8.84984e-11
             0.811143                6.48167e-08         8.91370e-11
             0.811345                6.55395e-08         8.98343e-11
             0.811547                6.39466e-08         8.83821e-11
             0.811749                6.05519e-08         8.45670e-11
             0.811951                6.26520e-08         8.74793e-11
             0.812153                6.37064e-08         8.80729e-11
             0.812355                6.62587e-08         9.23784e-11
             0.812557                6.73987e-08         9.44600e-11
             0.812759                6.61959e-08         9.22981e-11
             0.812960                6.73304e-08         9.31816e-11
             0.813162                6.51445e-08         9.14297e-11
             0.813364                6.23256e-08         8.78473e-11
             0.813566                6.49997e-08         9.18600e-11
             0.813768                6.71139e-08         9.40803e-11
             0.813778                6.71968e-08         7.55669e-11
             0.814012                6.76868e-08         7.92965e-11
             0.814246                6.59959e-08         8.05762e-11
             0.814480                6.40730e-08         8.06598e-11
             0.814713                6.53552e-08         7.81184e-11
             0.814947                6.57284e-08         7.54402e-11
             0.815181                6.61422e-08         7.46991e-11
             0.815415                6.62648e-08         7.56085e-11
             0.815649                6.89671e-08         8.15213e-11
             0.815883                7.06288e-08         8.80548e-11
             0.816117                6.40281e-08         7.64672e-11
             0.816351                6.25074e-08         7.42109e-11
             0.816584                6.67008e-08         7.58325e-11
             0.816818                6.78688e-08         7.68799e-11
             0.817052                6.72023e-08         7.84336e-11
             0.817286                6.77635e-08         8.30184e-11
             0.817520                6.73983e-08         8.13909e-11
             0.817753                6.83023e-08         7.98098e-11
             0.817987                6.84554e-08         7.75757e-11
             0.818221                6.39595e-08         7.24528e-11
             0.818455                6.12197e-08         7.18953e-11
             0.818688                6.12709e-08         7.37460e-11
             0.818922                6.48111e-08         8.08872e-11
             0.819156                7.15480e-08         8.38386e-11
             0.819390                6.68849e-08         7.51723e-11
             0.819623                5.95058e-08         6.87830e-11
             0.819857                6.42065e-08         7.31430e-11
             0.820091                6.29549e-08         7.48140e-11
             0.820324                6.07248e-08         7.58352e-11
             0.820558                5.76396e-08         6.92789e-11
             0.820791                6.08595e-08         7.01136e-11
             0.821025                6.63703e-08         7.33412e-11
             0.821259                6.54610e-08         7.27792e-11
             0.821492                6.41833e-08         7.35239e-11
             0.821726                6.79770e-08         8.00496e-11
             0.821959                6.74444e-08         7.97891e-11
             0.822193                6.49132e-08         7.40145e-11
             0.822427                6.77738e-08         7.52426e-11
             0.822660                7.04289e-08         7.70306e-11
             0.822894                6.98477e-08         7.90606e-11
             0.823127                6.93893e-08         8.27707e-11
             0.823361                6.77296e-08         8.22567e-11
             0.823594                6.93382e-08         8.02287e-11
             0.823828                6.79632e-08         7.52645e-11
             0.824061                6.65990e-08         7.26371e-11
             0.824295                6.61140e-08         7.26816e-11
             0.824528                7.01020e-08         7.88245e-11
             0.824761                7.03337e-08         8.30197e-11
             0.824995                6.85600e-08         7.85583e-11
             0.825228                6.73460e-08         7.51527e-11
             0.825462                6.42089e-08         7.04920e-11
             0.825695                6.34199e-08         7.02336e-11
             0.825928                6.85881e-08         7.64833e-11
             0.826162                7.30006e-08         8.57582e-11
             0.826395                7.18531e-08         8.31106e-11
             0.826629                7.03742e-08         7.87514e-11
             0.826862                7.03294e-08         7.65233e-11
             0.827095                7.16532e-08         7.72528e-11
             0.827329                6.90845e-08         7.71829e-11
             0.827562                6.67624e-08         7.58097e-11
             0.827795                6.85790e-08         8.05703e-11
             0.828029                7.11502e-08         8.05243e-11
             0.828262                6.89144e-08         7.56397e-11
             0.828495                6.83705e-08         7.45380e-11
             0.828728                6.94096e-08         7.70517e-11
             0.828962                6.85015e-08         7.65034e-11
             0.829195                6.87407e-08         7.86147e-11
             0.829428                6.74879e-08         7.73756e-11
             0.829661                6.67240e-08         7.46325e-11
             0.829894                6.59056e-08         7.15693e-11
             0.830128                6.81068e-08         7.34778e-11
             0.830361                6.75010e-08         7.44987e-11
             0.830594                6.34819e-08         7.27386e-11
             0.830827                5.99425e-08         7.07160e-11
             0.831060                6.16906e-08         6.97665e-11
             0.831294                6.36678e-08         6.98431e-11
             0.831527                6.67350e-08         7.15269e-11
             0.831760                7.02803e-08         7.53684e-11
             0.831993                6.96348e-08         7.64175e-11
             0.832226                6.69557e-08         7.61023e-11
             0.832459                6.76359e-08         7.65475e-11
             0.832692                6.15300e-08         6.83244e-11
             0.832925                6.20675e-08         6.70543e-11
             0.833158                6.49477e-08         6.98053e-11
             0.833391                6.21586e-08         6.78417e-11
             0.833624                6.31061e-08         7.00242e-11
             0.833858                6.57696e-08         7.48527e-11
             0.834091                6.76845e-08         7.58172e-11
             0.834324                6.88484e-08         7.37427e-11
             0.834557                6.56472e-08         6.99379e-11
             0.834790                6.31175e-08         6.78201e-11
             0.835023                6.08455e-08         6.72782e-11
             0.835256                6.49856e-08         7.28629e-11
             0.835488                6.42768e-08         7.19216e-11
             0.835721                6.58505e-08         7.17608e-11
             0.835954                6.77272e-08         7.23192e-11
             0.836187                6.74727e-08         7.15414e-11
             0.836420                6.05400e-08         6.60969e-11
             0.836653                6.03152e-08         6.61539e-11
             0.836886                6.74624e-08         7.49225e-11
             0.837119                6.79257e-08         7.41419e-11
             0.837352                6.79230e-08         7.19286e-11
             0.837585                6.87748e-08         7.37493e-11
             0.837818                6.27233e-08         7.02498e-11
             0.838051                6.49800e-08         7.07932e-11
             0.838283                6.08423e-08         6.83590e-11
             0.838516                5.97747e-08         6.64676e-11
             0.838749                5.94456e-08         6.48964e-11
             0.838982                5.67402e-08         6.10372e-11
             0.839215                6.53461e-08         6.86832e-11
             0.839447                7.04669e-08         7.46432e-11
             0.839680                6.63507e-08         7.24087e-11
             0.839913                6.47533e-08         7.09717e-11
             0.840146                6.70136e-08         7.28681e-11
             0.840379                6.83660e-08         7.18419e-11
             0.840611                6.92180e-08         7.17801e-11
             0.840844                7.08461e-08         7.35038e-11
             0.841077                7.03040e-08         7.42791e-11
             0.841310                6.26812e-08         6.85127e-11
             0.841542                6.44467e-08         7.21342e-11
             0.841775                6.75622e-08         7.20840e-11
             0.842008                6.75750e-08         7.13065e-11
             0.842240                6.80679e-08         7.02880e-11
             0.842473                6.52287e-08         6.85989e-11
             0.842706                5.81999e-08         6.29976e-11
             0.842938                6.44659e-08         6.93370e-11
             0.843171                7.10928e-08         7.59091e-11
             0.843404                6.50199e-08         6.87788e-11
             0.843636                5.16243e-08         5.72947e-11
             0.843869                5.87104e-08         6.27924e-11
             0.844102                6.32205e-08         6.68307e-11
             0.844334                6.44497e-08         6.91350e-11
             0.844567                6.50836e-08         7.16011e-11
             0.844799                6.48897e-08         7.19015e-11
             0.845032                6.30101e-08         6.71377e-11
             0.845265                6.29085e-08         6.55494e-11
             0.845497                6.26508e-08         6.49208e-11
             0.845730                6.12421e-08         6.43918e-11
             0.845962                6.22693e-08         6.63044e-11
             0.846195                6.56769e-08         7.13226e-11
             0.846427                6.44658e-08         6.84746e-11
             0.846660                5.92868e-08         6.26230e-11
             0.846892                5.43659e-08         5.80694e-11
             0.847125                5.79136e-08         6.13215e-11
             0.847357                6.30060e-08         6.65103e-11
             0.847590                6.64858e-08         7.05770e-11
             0.847822                6.58397e-08         6.90892e-11
             0.848055                6.47639e-08         6.69657e-11
             0.848287                6.29584e-08         6.45350e-11
             0.848520                6.40540e-08         6.49550e-11
             0.848752                6.53259e-08         6.66784e-11
             0.848985                6.60738e-08         6.92103e-11
             0.849217                6.67763e-08         7.05166e-11
             0.849450                6.30503e-08         6.61198e-11
             0.849682                5.36988e-08         5.72510e-11
             0.849914                3.93051e-08         4.48649e-11
             0.850147                4.81610e-08         5.25789e-11
             0.850379                5.86619e-08         6.24289e-11
             0.850611                6.13456e-08         6.54331e-11
             0.850844                6.42096e-08         6.85941e-11
             0.851076                6.54110e-08         6.80500e-11
             0.851309                6.26037e-08         6.40546e-11
             0.851541                5.56024e-08         5.77983e-11
             0.851773                5.52888e-08         5.69106e-11
             0.852006                5.90525e-08         6.04241e-11
             0.852238                6.23670e-08         6.39480e-11
             0.852470                6.29649e-08         6.47022e-11
             0.852702                6.20155e-08         6.32502e-11
             0.852935                6.21664e-08         6.29180e-11
             0.853167                6.15442e-08         6.19045e-11
             0.853399                6.09481e-08         6.14707e-11
             0.853632                5.92762e-08         6.06305e-11
             0.853864                5.36842e-08         5.64462e-11
             0.854096                4.27960e-08         4.63573e-11
             0.854328                3.09170e-08         3.62951e-11
             0.854561                3.76660e-08         4.16747e-11
             0.854793                4.89542e-08         5.10620e-11
             0.855025                5.40242e-08         5.52889e-11
             0.855257                6.04819e-08         6.13018e-11
             0.855489                6.40630e-08         6.52930e-11
             0.855722                6.33781e-08         6.41272e-11
             0.855954                6.50929e-08         6.49661e-11
             0.856186                6.47494e-08         6.40131e-11
             0.856418                6.51703e-08         6.42412e-11
             0.856650                6.53616e-08         6.47237e-11
             0.856882                6.53779e-08         6.52471e-11
             0.857115                6.51725e-08         6.54709e-11
             0.857347                6.62916e-08         6.65023e-11
             0.857579                6.53952e-08         6.44828e-11
             0.857811                6.61124e-08         6.47329e-11
             0.858043                6.73592e-08         6.58695e-11
             0.858275                6.53046e-08         6.44647e-11
             0.858507                6.47548e-08         6.44710e-11
             0.858739                6.74623e-08         6.74494e-11
             0.858971                6.78589e-08         6.69528e-11
             0.859204                6.67811e-08         6.53060e-11
             0.859436                6.71914e-08         6.53490e-11
             0.859668                6.76853e-08         6.57379e-11
             0.859900                6.63825e-08         6.48551e-11
             0.860132                6.76197e-08         6.66051e-11
             0.860364                6.80982e-08         6.75650e-11
             0.860596                6.76141e-08         6.61702e-11
             0.860828                6.83703e-08         6.62404e-11
             0.861060                6.72946e-08         6.49472e-11
             0.861292                6.32329e-08         6.14193e-11
             0.861524                6.52465e-08         6.33464e-11
             0.861756                6.82753e-08         6.65369e-11
             0.861988                6.92471e-08         6.78255e-11
             0.862220                6.69643e-08         6.52037e-11
             0.862452                6.68078e-08         6.49135e-11
             0.862684                7.00350e-08         6.70702e-11
             0.862916                7.05885e-08         6.76141e-11
             0.863148                6.98585e-08         6.74511e-11
             0.863380                6.96201e-08         6.76516e-11
             0.863612                6.97537e-08         6.81804e-11
             0.863844                7.05741e-08         6.83954e-11
             0.864075                7.12547e-08         6.85500e-11
             0.864307                6.99817e-08         6.71753e-11
             0.864539                6.87781e-08         6.61727e-11
             0.864771                6.97429e-08         6.74151e-11
             0.865003                6.75074e-08         6.59879e-11
             0.865235                6.68329e-08         6.56314e-11
             0.865467                6.63511e-08         6.46995e-11
             0.865699                6.48867e-08         6.30810e-11
             0.865931                5.93216e-08         5.80501e-11
             0.866162                4.55754e-08         4.63176e-11
             0.866394                3.40983e-08         3.66862e-11
             0.866626                4.52934e-08         4.62153e-11
             0.866858                5.77484e-08         5.73305e-11
             0.867090                6.40733e-08         6.26267e-11
             0.867322                6.58942e-08         6.35952e-11
             0.867553                6.05892e-08         5.87185e-11
             0.867785                6.21132e-08         6.00806e-11
             0.868017                6.61646e-08         6.37776e-11
             0.868249                6.46838e-08         6.27044e-11
             0.868481                6.37000e-08         6.19975e-11
             0.868712                6.65898e-08         6.40379e-11
             0.868944                5.91529e-08         5.70770e-11
             0.869176                5.91776e-08         5.70760e-11
             0.869408                6.49681e-08         6.20280e-11
             0.869639                6.96236e-08         6.62045e-11
             0.869871                7.03459e-08         6.72684e-11
             0.870103                6.78791e-08         6.53321e-11
             0.870335                6.75198e-08         6.46333e-11
             0.870566                6.97613e-08         6.62430e-11
             0.870798                7.12063e-08         6.71088e-11
             0.871030                7.02562e-08         6.62650e-11
             0.871261                6.87262e-08         6.51944e-11
             0.871493                6.85067e-08         6.53176e-11
             0.871725                7.05641e-08         6.75449e-11
             0.871956                7.05664e-08         6.71062e-11
             0.872188                7.19963e-08         6.82083e-11
             0.872420                7.28388e-08         6.85657e-11
             0.872651                7.26829e-08         6.84714e-11
             0.872883                7.20290e-08         6.79513e-11
             0.873115                7.05211e-08         6.70750e-11
