# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:17 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7606 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 39801'           /                                                
# SPTYPE  = 'M1-M2 Ia-Iab'       / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Nov 06'        / UT date of SXD observations                    
# LXDUT   = '2003 Nov 06'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.810740 / Minimum wavelength (um)                        
# MAXWAVE =              5.02343 / Maximum wavelength (um)                        
# V       =       0.481000000000 / V magnitude                                    
# VERR    =      0.0990000000000 / V magnitude error                              
# (B-V)   =        1.86100000000 / B-V color                                      
# (B-V)ERR=      0.0170000000000 / B-V color error                                
# J       =       -2.98900000000 / 2MASS J magnitude                              
# JERR    =       0.103000000000 / 2MASS J magnitude error                        
# H       =       -4.00700000000 / 2MASS H magnitude                              
# HERR    =       0.162000000000 / 2MASS H magnitude error                        
# KS      =       -4.37800000000 / 2MASS Ks magnitude                             
# KSERR   =       0.186000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'ACC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0787454000000 / Relative error in the absolute flux calibration
# RV      =        19.5250060000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.65000000000 / Intrinsic Color                                
# E(B-V)  =       0.211000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810740                8.84691e-08         1.22221e-10
             0.810942                8.69783e-08         1.19707e-10
             0.811143                8.76617e-08         1.20554e-10
             0.811345                8.86269e-08         1.21480e-10
             0.811547                8.64610e-08         1.19500e-10
             0.811749                8.18597e-08         1.14326e-10
             0.811951                8.46872e-08         1.18246e-10
             0.812153                8.61005e-08         1.19032e-10
             0.812355                8.95377e-08         1.24834e-10
             0.812557                9.10657e-08         1.27630e-10
             0.812759                8.94283e-08         1.24691e-10
             0.812960                9.09485e-08         1.25868e-10
             0.813162                8.79837e-08         1.23484e-10
             0.813364                8.41649e-08         1.18630e-10
             0.813566                8.77640e-08         1.24031e-10
             0.813768                9.06063e-08         1.27012e-10
             0.813778                9.07175e-08         1.02017e-10
             0.814012                9.13646e-08         1.07035e-10
             0.814246                8.90681e-08         1.08746e-10
             0.814480                8.64592e-08         1.08841e-10
             0.814713                8.81754e-08         1.05395e-10
             0.814947                8.86649e-08         1.01766e-10
             0.815181                8.92090e-08         1.00750e-10
             0.815415                8.93603e-08         1.01961e-10
             0.815649                9.29897e-08         1.09917e-10
             0.815883                9.52152e-08         1.18707e-10
             0.816117                8.63032e-08         1.03070e-10
             0.816351                8.42401e-08         1.00013e-10
             0.816584                8.98774e-08         1.02182e-10
             0.816818                9.14369e-08         1.03577e-10
             0.817052                9.05248e-08         1.05654e-10
             0.817286                9.12664e-08         1.11812e-10
             0.817520                9.07603e-08         1.09603e-10
             0.817753                9.19632e-08         1.07457e-10
             0.817987                9.21550e-08         1.04433e-10
             0.818221                8.60892e-08         9.75211e-11
             0.818455                8.23885e-08         9.67556e-11
             0.818688                8.24446e-08         9.92308e-11
             0.818922                8.71946e-08         1.08823e-10
             0.819156                9.62432e-08         1.12776e-10
             0.819390                8.99566e-08         1.01103e-10
             0.819623                8.00196e-08         9.24950e-11
             0.819857                8.63274e-08         9.83429e-11
             0.820091                8.46315e-08         1.00574e-10
             0.820324                8.16209e-08         1.01931e-10
             0.820558                7.74621e-08         9.31041e-11
             0.820791                8.17766e-08         9.42113e-11
             0.821025                8.91677e-08         9.85330e-11
             0.821259                8.79324e-08         9.77629e-11
             0.821492                8.62028e-08         9.87479e-11
             0.821726                9.12840e-08         1.07496e-10
             0.821959                9.05548e-08         1.07130e-10
             0.822193                8.71428e-08         9.93609e-11
             0.822427                9.09690e-08         1.00994e-10
             0.822660                9.45183e-08         1.03378e-10
             0.822894                9.37239e-08         1.06086e-10
             0.823127                9.30945e-08         1.11047e-10
             0.823361                9.08540e-08         1.10341e-10
             0.823594                9.29975e-08         1.07604e-10
             0.823828                9.11394e-08         1.00930e-10
