# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:23 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6938 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 35601'           /                                                
# SPTYPE  = 'M1.5 Iab-Ib'        / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2005 Aug 26'        / UT date of SXD observations                    
# LXDUT   = '2005 Aug 26'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806393 / Minimum wavelength (um)                        
# MAXWAVE =              4.18145 / Maximum wavelength (um)                        
# V       =        7.35000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        2.20000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        2.93000000000 / 2MASS J magnitude                              
# JERR    =       0.248000000000 / 2MASS J magnitude error                        
# H       =        1.94200000000 / 2MASS H magnitude                              
# HERR    =       0.222000000000 / 2MASS H magnitude error                        
# KS      =        1.66200000000 / 2MASS Ks magnitude                             
# KSERR   =       0.234000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.135070000000 / Relative error in the absolute flux calibration
# RV      =        10.4312920000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.65000000000 / Intrinsic Color                                
# E(B-V)  =       0.550000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806393                1.55645e-10         4.14928e-13
             0.806596                1.58950e-10         4.16641e-13
             0.806798                1.56281e-10         4.15197e-13
             0.807001                1.46161e-10         4.03454e-13
             0.807203                1.40421e-10         3.95090e-13
             0.807405                1.43276e-10         4.01419e-13
             0.807608                1.43484e-10         4.00339e-13
             0.807810                1.48880e-10         4.07090e-13
             0.808013                1.57505e-10         4.20346e-13
             0.808215                1.53253e-10         4.13127e-13
             0.808417                1.51013e-10         4.12502e-13
             0.808620                1.54183e-10         4.19073e-13
             0.808822                1.58207e-10         4.24830e-13
             0.809025                1.56346e-10         4.21656e-13
             0.809227                1.44739e-10         4.05258e-13
             0.809314                1.40402e-10         3.88089e-13
             0.809548                1.39214e-10         3.85403e-13
             0.809781                1.46917e-10         3.71629e-13
             0.810014                1.48941e-10         3.63263e-13
             0.810248                1.50595e-10         3.60335e-13
             0.810481                1.49616e-10         3.65979e-13
             0.810715                1.46809e-10         3.80045e-13
             0.810948                1.48286e-10         4.06093e-13
             0.811181                1.50223e-10         3.85557e-13
             0.811415                1.50966e-10         3.68524e-13
             0.811648                1.41678e-10         3.65201e-13
             0.811881                1.40230e-10         3.52483e-13
             0.812115                1.46932e-10         3.70619e-13
             0.812348                1.52539e-10         3.97015e-13
             0.812581                1.54207e-10         4.02837e-13
             0.812815                1.52346e-10         3.78789e-13
             0.813048                1.53673e-10         3.64932e-13
             0.813281                1.49178e-10         3.60853e-13
             0.813515                1.48838e-10         3.73200e-13
             0.813748                1.53682e-10         3.93275e-13
             0.813981                1.56519e-10         4.19242e-13
             0.814214                1.54373e-10         3.96847e-13
             0.814448                1.49930e-10         3.72748e-13
             0.814681                1.52375e-10         3.64862e-13
             0.814914                1.53878e-10         3.70614e-13
             0.815147                1.53933e-10         3.86206e-13
             0.815381                1.56245e-10         4.06705e-13
             0.815614                1.58523e-10         4.14095e-13
             0.815847                1.63869e-10         3.96910e-13
             0.816080                1.59055e-10         3.75575e-13
             0.816314                1.43921e-10         3.62976e-13
             0.816547                1.48609e-10         3.84033e-13
             0.816780                1.58466e-10         4.06420e-13
             0.817013                1.58943e-10         4.21799e-13
             0.817246                1.58656e-10         4.00482e-13
             0.817479                1.58201e-10         3.75389e-13
             0.817713                1.59114e-10         3.67313e-13
             0.817946                1.60605e-10         3.81044e-13
             0.818179                1.55403e-10         4.00409e-13
             0.818412                1.47558e-10         3.91878e-13
             0.818645                1.44917e-10         3.85974e-13
             0.818878                1.48623e-10         3.75261e-13
             0.819111                1.60582e-10         3.76250e-13
             0.819345                1.66287e-10         3.77420e-13
             0.819578                1.47305e-10         3.59182e-13
             0.819811                1.47871e-10         3.70618e-13
             0.820044                1.54274e-10         3.99637e-13
             0.820277                1.49296e-10         3.78535e-13
             0.820510                1.41830e-10         3.48238e-13
             0.820743                1.40895e-10         3.36047e-13
             0.820976                1.52967e-10         3.45892e-13
             0.821209                1.58912e-10         3.62393e-13
             0.821442                1.55779e-10         3.75894e-13
             0.821675                1.58916e-10         3.89548e-13
             0.821908                1.64616e-10         3.77852e-13
             0.822141                1.57171e-10         3.72689e-13
             0.822374                1.55724e-10         3.55010e-13
             0.822607                1.66360e-10         3.73285e-13
             0.822840                1.70213e-10         4.04556e-13
             0.823073                1.66253e-10         4.36144e-13
             0.823306                1.64847e-10         4.21506e-13
             0.823539                1.65781e-10         3.96501e-13
             0.823772                1.65511e-10         3.72049e-13
             0.824005                1.62199e-10         3.58249e-13
             0.824238                1.58580e-10         3.68539e-13
             0.824471                1.61614e-10         3.75937e-13
             0.824704                1.67415e-10         3.94191e-13
             0.824937                1.65579e-10         3.70065e-13
             0.825170                1.61032e-10         3.53974e-13
             0.825403                1.55408e-10         3.42653e-13
             0.825636                1.51436e-10         3.43374e-13
             0.825869                1.55839e-10         3.59804e-13
             0.826102                1.68424e-10         3.84812e-13
             0.826334                1.73662e-10         3.88888e-13
             0.826567                1.68209e-10         3.66647e-13
             0.826800                1.64764e-10         3.52245e-13
             0.827033                1.67985e-10         3.51246e-13
             0.827266                1.68675e-10         3.65743e-13
             0.827499                1.60445e-10         3.68167e-13
             0.827732                1.58658e-10         3.90355e-13
             0.827965                1.65938e-10         3.77062e-13
             0.828197                1.70308e-10         3.69953e-13
             0.828430                1.64857e-10         3.58003e-13
