# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:25 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6938 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 35601'           /                                                
# SPTYPE  = 'M1.5 Iab-Ib'        / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2005 Aug 26'        / UT date of SXD observations                    
# LXDUT   = '2005 Aug 26'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806393 / Minimum wavelength (um)                        
# MAXWAVE =              4.18145 / Maximum wavelength (um)                        
# V       =        7.35000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        2.20000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        2.93000000000 / 2MASS J magnitude                              
# JERR    =       0.248000000000 / 2MASS J magnitude error                        
# H       =        1.94200000000 / 2MASS H magnitude                              
# HERR    =       0.222000000000 / 2MASS H magnitude error                        
# KS      =        1.66200000000 / 2MASS Ks magnitude                             
# KSERR   =       0.234000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.135070000000 / Relative error in the absolute flux calibration
# RV      =        10.4312920000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.65000000000 / Intrinsic Color                                
# E(B-V)  =       0.550000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806393                3.44857e-10         9.19338e-13
             0.806596                3.52050e-10         9.22795e-13
             0.806798                3.46011e-10         9.19260e-13
             0.807001                3.23485e-10         8.92933e-13
             0.807203                3.10667e-10         8.74101e-13
             0.807405                3.16868e-10         8.87778e-13
             0.807608                3.17212e-10         8.85064e-13
             0.807810                3.29023e-10         8.99661e-13
             0.808013                3.47955e-10         9.28616e-13
             0.808215                3.38439e-10         9.12336e-13
             0.808417                3.33370e-10         9.10624e-13
             0.808620                3.40243e-10         9.24792e-13
             0.808822                3.48998e-10         9.37155e-13
             0.809025                3.44767e-10         9.29815e-13
             0.809227                3.19055e-10         8.93328e-13
             0.809314                3.09446e-10         8.55349e-13
             0.809548                3.06700e-10         8.49072e-13
             0.809781                3.23534e-10         8.18385e-13
             0.810014                3.27854e-10         7.99625e-13
             0.810248                3.31355e-10         7.92849e-13
             0.810481                3.29065e-10         8.04933e-13
             0.810715                3.22756e-10         8.35520e-13
             0.810948                3.25866e-10         8.92412e-13
             0.811181                3.29986e-10         8.46931e-13
             0.811415                3.31480e-10         8.09180e-13
             0.811648                3.10957e-10         8.01548e-13
             0.811881                3.07651e-10         7.73313e-13
             0.812115                3.22221e-10         8.12764e-13
             0.812348                3.34378e-10         8.70289e-13
             0.812581                3.37894e-10         8.82686e-13
             0.812815                3.33679e-10         8.29649e-13
             0.813048                3.36446e-10         7.98969e-13
             0.813281                3.26469e-10         7.89711e-13
             0.813515                3.25591e-10         8.16394e-13
             0.813748                3.36049e-10         8.59953e-13
             0.813981                3.42111e-10         9.16356e-13
             0.814214                3.37282e-10         8.67049e-13
             0.814448                3.27438e-10         8.14061e-13
             0.814681                3.32641e-10         7.96511e-13
             0.814914                3.35784e-10         8.08736e-13
             0.815147                3.35766e-10         8.42414e-13
             0.815381                3.40671e-10         8.86762e-13
             0.815614                3.45494e-10         9.02505e-13
             0.815847                3.57000e-10         8.64696e-13
             0.816080                3.46372e-10         8.17883e-13
             0.816314                3.13286e-10         7.90121e-13
             0.816547                3.23359e-10         8.35618e-13
             0.816780                3.44665e-10         8.83968e-13
             0.817013                3.45561e-10         9.17043e-13
             0.817246                3.44797e-10         8.70342e-13
             0.817479                3.43669e-10         8.15478e-13
             0.817713                3.45512e-10         7.97609e-13
             0.817946                3.48606e-10         8.27089e-13
             0.818179                3.37179e-10         8.68770e-13
             0.818412                3.20027e-10         8.49915e-13
             0.818645                3.14171e-10         8.36770e-13
             0.818878                3.22077e-10         8.13215e-13
             0.819111                3.47851e-10         8.15029e-13
             0.819345                3.60063e-10         8.17231e-13
             0.819578                3.18832e-10         7.77427e-13
