# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:27 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7663 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'BD +60 265'         /                                                
# SPTYPE  = 'M1.5 Ib '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2005 Aug 26'        / UT date of SXD observations                    
# LXDUT   = '2005 Aug 26'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.803732 / Minimum wavelength (um)                        
# MAXWAVE =              5.04549 / Maximum wavelength (um)                        
# V       =        8.49300000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        2.34500000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        4.00200000000 / 2MASS J magnitude                              
# JERR    =       0.208000000000 / 2MASS J magnitude error                        
# H       =        3.14700000000 / 2MASS H magnitude                              
# HERR    =       0.162000000000 / 2MASS H magnitude error                        
# KS      =        2.62500000000 / 2MASS Ks magnitude                             
# KSERR   =       0.242000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.113015000000 / Relative error in the absolute flux calibration
# RV      =       -47.4968030000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.65000000000 / Intrinsic Color                                
# E(B-V)  =       0.695000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803732                5.82966e-11         1.71044e-13
             0.803934                5.90696e-11         1.70557e-13
             0.804136                5.71558e-11         1.70620e-13
             0.804338                5.53760e-11         1.70904e-13
             0.804540                5.21836e-11         1.67770e-13
             0.804742                4.96360e-11         1.69802e-13
             0.804945                4.92393e-11         1.68668e-13
             0.805147                5.13103e-11         1.70293e-13
             0.805349                5.34207e-11         1.70930e-13
             0.805551                5.46313e-11         1.71269e-13
             0.805753                5.58304e-11         1.71349e-13
             0.805955                5.65067e-11         1.73117e-13
             0.806157                5.49073e-11         1.71694e-13
             0.806360                5.38256e-11         1.72494e-13
             0.806562                5.47983e-11         1.73151e-13
             0.806764                5.46113e-11         1.72999e-13
             0.806966                5.09138e-11         1.72141e-13
             0.807168                4.87714e-11         1.70872e-13
             0.807331                4.92093e-11         1.61287e-13
             0.807565                4.89034e-11         1.56949e-13
             0.807799                5.13377e-11         1.57871e-13
             0.808033                5.39372e-11         1.67625e-13
             0.808266                5.22666e-11         1.78911e-13
             0.808500                5.21800e-11         1.76216e-13
             0.808734                5.40946e-11         1.66519e-13
             0.808968                5.40621e-11         1.58578e-13
             0.809201                4.95902e-11         1.57200e-13
             0.809435                4.67405e-11         1.60486e-13
             0.809669                4.95703e-11         1.72607e-13
             0.809902                5.07397e-11         1.80879e-13
             0.810136                5.13584e-11         1.69619e-13
             0.810370                5.12848e-11         1.59542e-13
             0.810603                4.97298e-11         1.55902e-13
             0.810837                5.02643e-11         1.60297e-13
             0.811071                5.10277e-11         1.68139e-13
             0.811304                5.19704e-11         1.80693e-13
             0.811538                5.02546e-11         1.73379e-13
             0.811772                4.77912e-11         1.62767e-13
             0.812005                4.99216e-11         1.57340e-13
             0.812239                5.14160e-11         1.57835e-13
             0.812473                5.32874e-11         1.65411e-13
             0.812706                5.20585e-11         1.74773e-13
             0.812940                5.22724e-11         1.77207e-13
             0.813173                5.16128e-11         1.66397e-13
             0.813407                5.09796e-11         1.60586e-13
             0.813640                5.27500e-11         1.59515e-13
             0.813874                5.31628e-11         1.64159e-13
             0.814108                5.32586e-11         1.71833e-13
             0.814341                5.14256e-11         1.80964e-13
             0.814575                5.16164e-11         1.73188e-13
             0.814808                5.24907e-11         1.64018e-13
             0.815042                5.18879e-11         1.60690e-13
             0.815275                5.28996e-11         1.62905e-13
             0.815509                5.33884e-11         1.68745e-13
             0.815742                5.50149e-11         1.80101e-13
             0.815975                5.55008e-11         1.79474e-13
             0.816209                5.01966e-11         1.67607e-13
             0.816442                5.01765e-11         1.66821e-13
             0.816676                5.33552e-11         1.69127e-13
