# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:29 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7663 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'BD +60 265'         /                                                
# SPTYPE  = 'M1.5 Ib '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2005 Aug 26'        / UT date of SXD observations                    
# LXDUT   = '2005 Aug 26'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.803732 / Minimum wavelength (um)                        
# MAXWAVE =              5.04549 / Maximum wavelength (um)                        
# V       =        8.49300000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        2.34500000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        4.00200000000 / 2MASS J magnitude                              
# JERR    =       0.208000000000 / 2MASS J magnitude error                        
# H       =        3.14700000000 / 2MASS H magnitude                              
# HERR    =       0.162000000000 / 2MASS H magnitude error                        
# KS      =        2.62500000000 / 2MASS Ks magnitude                             
# KSERR   =       0.242000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.113015000000 / Relative error in the absolute flux calibration
# RV      =       -47.4968030000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.65000000000 / Intrinsic Color                                
# E(B-V)  =       0.695000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803732                1.60287e-10         4.70287e-13
             0.803934                1.62336e-10         4.68727e-13
             0.804136                1.57003e-10         4.68681e-13
             0.804338                1.52043e-10         4.69241e-13
             0.804540                1.43211e-10         4.60422e-13
             0.804742                1.36156e-10         4.65782e-13
             0.804945                1.35005e-10         4.62454e-13
             0.805147                1.40617e-10         4.66693e-13
             0.805349                1.46333e-10         4.68219e-13
             0.805551                1.49579e-10         4.68932e-13
             0.805753                1.52791e-10         4.68932e-13
             0.805955                1.54570e-10         4.73551e-13
             0.806157                1.50126e-10         4.69440e-13
             0.806360                1.47100e-10         4.71408e-13
             0.806562                1.49689e-10         4.72985e-13
             0.806764                1.49109e-10         4.72349e-13
             0.806966                1.38949e-10         4.69791e-13
             0.807168                1.33041e-10         4.66112e-13
             0.807331                1.34185e-10         4.39801e-13
             0.807565                1.33280e-10         4.27743e-13
             0.807799                1.39839e-10         4.30026e-13
             0.808033                1.46842e-10         4.56353e-13
             0.808266                1.42218e-10         4.86818e-13
             0.808500                1.41907e-10         4.79229e-13
             0.808734                1.47035e-10         4.52617e-13
             0.808968                1.46869e-10         4.30803e-13
             0.809201                1.34649e-10         4.26835e-13
             0.809435                1.26844e-10         4.35524e-13
             0.809669                1.34452e-10         4.68170e-13
             0.809902                1.37551e-10         4.90348e-13
             0.810136                1.39154e-10         4.59579e-13
             0.810370                1.38882e-10         4.32048e-13
             0.810603                1.34599e-10         4.21968e-13
             0.810837                1.35974e-10         4.33632e-13
             0.811071                1.37967e-10         4.54606e-13
             0.811304                1.40441e-10         4.88294e-13
             0.811538                1.35733e-10         4.68281e-13
             0.811772                1.29012e-10         4.39389e-13
             0.812005                1.34692e-10         4.24516e-13
             0.812239                1.38651e-10         4.25627e-13
             0.812473                1.43622e-10         4.45823e-13
             0.812706                1.40237e-10         4.70809e-13
             0.812940                1.40739e-10         4.77114e-13
             0.813173                1.38891e-10         4.47776e-13
             0.813407                1.37115e-10         4.31912e-13
             0.813640                1.41802e-10         4.28807e-13
             0.813874                1.42838e-10         4.41060e-13
             0.814108                1.43020e-10         4.61440e-13
             0.814341                1.38026e-10         4.85706e-13
             0.814575                1.38466e-10         4.64593e-13
             0.814808                1.40738e-10         4.39765e-13
             0.815042                1.39050e-10         4.30619e-13
             0.815275                1.41687e-10         4.36326e-13
             0.815509                1.42922e-10         4.51734e-13
             0.815742                1.47200e-10         4.81886e-13
             0.815975                1.48423e-10         4.79959e-13
             0.816209                1.34169e-10         4.47992e-13
             0.816442                1.34046e-10         4.45660e-13
             0.816676                1.42464e-10         4.51588e-13
             0.816909                1.43882e-10         4.51497e-13
             0.817143                1.45128e-10         4.70265e-13
             0.817376                1.43594e-10         4.90835e-13
             0.817609                1.43077e-10         4.52899e-13
             0.817843                1.46161e-10         4.43934e-13
             0.818076                1.43255e-10         4.47692e-13
             0.818310                1.38400e-10         4.46780e-13
             0.818543                1.34774e-10         4.49110e-13
             0.818776                1.35336e-10         4.68856e-13
             0.819010                1.43888e-10         4.67053e-13
             0.819243                1.53172e-10         4.50882e-13
             0.819476                1.40832e-10         4.32277e-13
             0.819710                1.35989e-10         4.22374e-13
             0.819943                1.42986e-10         4.37309e-13
             0.820176                1.38805e-10         4.61240e-13
             0.820410                1.31632e-10         4.65503e-13
             0.820643                1.29286e-10         4.32456e-13
             0.820876                1.36359e-10         4.16336e-13
             0.821109                1.46638e-10         4.13544e-13
             0.821343                1.44150e-10         4.14927e-13
             0.821576                1.41650e-10         4.30248e-13
             0.821809                1.51148e-10         4.48271e-13
             0.822042                1.47526e-10         4.40077e-13
             0.822276                1.40931e-10         4.18731e-13
             0.822509                1.49362e-10         4.14334e-13
             0.822742                1.54966e-10         4.23263e-13
             0.822975                1.51521e-10         4.49757e-13
             0.823208                1.47878e-10         4.81952e-13
             0.823442                1.48124e-10         4.72099e-13
             0.823675                1.50307e-10         4.37153e-13
             0.823908                1.48495e-10         4.10886e-13
             0.824141                1.48175e-10         4.03182e-13
             0.824374                1.46905e-10         4.06869e-13
             0.824607                1.52665e-10         4.25924e-13
             0.824841                1.51036e-10         4.39062e-13
             0.825074                1.48476e-10         4.18192e-13
             0.825307                1.44521e-10         4.01284e-13
             0.825540                1.39096e-10         3.91460e-13
             0.825773                1.40169e-10         3.96858e-13
             0.826006                1.50173e-10         4.11271e-13
             0.826239                1.59645e-10         4.26518e-13
             0.826472                1.54769e-10         4.24437e-13
             0.826705                1.49502e-10         4.03640e-13
             0.826938                1.50869e-10         3.89793e-13
             0.827171                1.54369e-10         3.84566e-13
             0.827404                1.47602e-10         3.92359e-13
             0.827637                1.43945e-10         4.10271e-13
             0.827870                1.49024e-10         4.24102e-13
             0.828104                1.54793e-10         4.15052e-13
             0.828336                1.49980e-10         4.00333e-13
             0.828570                1.47573e-10         3.93766e-13
             0.828803                1.48960e-10         3.86336e-13
             0.829035                1.46910e-10         3.98148e-13
             0.829268                1.50374e-10         4.12869e-13
             0.829501                1.47905e-10         4.11627e-13
             0.829734                1.41432e-10         3.97864e-13
             0.829967                1.39761e-10         3.85024e-13
             0.830200                1.47551e-10         3.82322e-13
             0.830433                1.46584e-10         3.83659e-13
             0.830666                1.35457e-10         3.91687e-13
             0.830899                1.31430e-10         4.01594e-13
             0.831132                1.33517e-10         3.88076e-13
             0.831365                1.37779e-10         3.78301e-13
             0.831598                1.44609e-10         3.73133e-13
             0.831831                1.51228e-10         3.77292e-13
             0.832063                1.47298e-10         3.82278e-13
             0.832296                1.41160e-10         3.91022e-13
             0.832529                1.42622e-10         3.96204e-13
             0.832762                1.30632e-10         3.73942e-13
             0.832995                1.34861e-10         3.64390e-13
             0.833228                1.37540e-10         3.64039e-13
             0.833461                1.32702e-10         3.65043e-13
             0.833693                1.39981e-10         3.72406e-13
