# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:31 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 8002 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 36395'           /                                                
# SPTYPE  = 'M1.5 V  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.3'     / Spectroscopy Mode                              
# SXDUT   = '2005 Aug 26'        / UT date of SXD observations                    
# LXDUT   = '2005 Aug 26'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.807616 / Minimum wavelength (um)                        
# MAXWAVE =              5.42905 / Maximum wavelength (um)                        
# V       =        7.96600000000 / V magnitude                                    
# VERR    =      0.0110000000000 / V magnitude error                              
# (B-V)   =        1.47400000000 / B-V color                                      
# (B-V)ERR=     0.00900000000000 / B-V color error                                
# J       =        4.99900000000 / 2MASS J magnitude                              
# JERR    =       0.300000000000 / 2MASS J magnitude error                        
# H       =        4.14900000000 / 2MASS H magnitude                              
# HERR    =       0.212000000000 / 2MASS H magnitude error                        
# KS      =        4.03900000000 / 2MASS Ks magnitude                             
# KSERR   =       0.260000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.144107000000 / Relative error in the absolute flux calibration
# RV      =       -4.16214250000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.50000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0260000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.807616                4.59691e-11         1.00083e-13
             0.807819                4.61798e-11         1.00814e-13
             0.808021                4.65879e-11         1.00935e-13
             0.808224                4.66401e-11         1.01276e-13
             0.808426                4.62554e-11         1.00889e-13
             0.808628                4.60729e-11         1.00945e-13
             0.808831                4.57451e-11         1.00830e-13
             0.809033                4.64981e-11         1.02538e-13
             0.809236                4.67159e-11         1.02034e-13
             0.809438                4.59026e-11         1.01373e-13
             0.809641                4.57782e-11         1.01128e-13
             0.809843                4.59324e-11         1.01723e-13
             0.810045                4.61719e-11         1.02381e-13
             0.810248                4.62790e-11         1.02567e-13
             0.810450                4.66264e-11         1.03402e-13
             0.810653                4.67189e-11         1.04231e-13
             0.810757                4.67518e-11         9.53138e-14
             0.810990                4.66890e-11         8.98403e-14
             0.811223                4.66506e-11         8.60096e-14
             0.811457                4.66307e-11         8.44735e-14
             0.811690                4.52822e-11         8.36279e-14
             0.811923                4.47239e-11         8.57985e-14
             0.812157                4.62038e-11         9.17082e-14
             0.812390                4.69578e-11         9.20650e-14
             0.812623                4.70895e-11         8.81261e-14
             0.812856                4.69231e-11         8.43047e-14
             0.813090                4.68426e-11         8.39962e-14
             0.813323                4.65357e-11         8.55468e-14
             0.813556                4.65527e-11         8.94531e-14
             0.813790                4.68434e-11         9.40947e-14
             0.814023                4.71477e-11         8.95581e-14
             0.814256                4.69851e-11         8.59635e-14
             0.814489                4.66012e-11         8.37919e-14
             0.814723                4.63205e-11         8.36990e-14
             0.814956                4.67422e-11         8.68937e-14
             0.815189                4.67838e-11         9.06819e-14
             0.815422                4.68666e-11         9.17465e-14
             0.815656                4.69691e-11         8.77583e-14
             0.815889                4.68056e-11         8.45002e-14
             0.816122                4.57976e-11         8.38927e-14
             0.816355                4.50802e-11         8.44650e-14
             0.816588                4.60946e-11         8.84215e-14
             0.816821                4.67764e-11         9.26441e-14
             0.817055                4.67777e-11         8.98065e-14
             0.817288                4.66181e-11         8.63458e-14
             0.817521                4.65718e-11         8.26833e-14
             0.817754                4.62917e-11         8.25280e-14
             0.817987                4.54929e-11         8.53355e-14
             0.818220                4.16243e-11         8.53419e-14
             0.818454                3.64633e-11         7.92860e-14
             0.818687                3.72766e-11         7.75398e-14
             0.818920                4.22281e-11         7.93276e-14
             0.819153                4.38779e-11         8.03232e-14
             0.819386                3.97161e-11         7.73199e-14
             0.819619                3.38296e-11         7.38698e-14
             0.819852                3.50862e-11         7.74637e-14
             0.820085                4.08458e-11         8.27982e-14
             0.820318                4.43024e-11         8.35385e-14
             0.820551                4.52621e-11         8.02184e-14
             0.820784                4.52218e-11         8.02350e-14
             0.821017                4.56985e-11         8.18923e-14
             0.821250                4.57495e-11         8.47915e-14
             0.821483                4.55427e-11         8.69630e-14
             0.821717                4.59329e-11         8.39579e-14
             0.821950                4.57716e-11         8.19656e-14
             0.822183                4.47561e-11         7.95231e-14
             0.822416                4.54675e-11         8.11167e-14
             0.822649                4.66276e-11         8.71812e-14
             0.822882                4.69267e-11         8.99307e-14
             0.823115                4.67776e-11         9.02183e-14
             0.823348                4.68268e-11         8.57000e-14
             0.823581                4.63240e-11         8.23639e-14
             0.823813                4.66068e-11         8.24762e-14
             0.824046                4.63608e-11         8.15362e-14
             0.824279                4.63503e-11         8.38301e-14
             0.824512                4.68280e-11         8.74108e-14
             0.824745                4.68282e-11         8.40996e-14
             0.824978                4.65992e-11         8.07370e-14
             0.825211                4.66017e-11         8.10279e-14
             0.825444                4.60577e-11         7.93992e-14
             0.825677                4.54460e-11         8.12114e-14
             0.825910                4.58299e-11         8.42931e-14
             0.826143                4.68239e-11         8.55066e-14
             0.826376                4.73206e-11         8.33226e-14
             0.826609                4.71836e-11         8.05972e-14
             0.826841                4.71083e-11         7.97257e-14
             0.827074                4.70657e-11         8.02308e-14
             0.827307                4.69975e-11         8.25113e-14
             0.827540                4.67784e-11         8.55123e-14
             0.827773                4.69178e-11         8.37809e-14
             0.828006                4.69399e-11         8.11659e-14
             0.828239                4.69697e-11         8.00478e-14
             0.828471                4.68590e-11         7.99688e-14
             0.828704                4.67218e-11         8.08366e-14
             0.828937                4.64675e-11         8.28905e-14
             0.829170                4.62176e-11         8.46503e-14
             0.829403                4.57830e-11         8.07072e-14
             0.829635                4.59406e-11         7.85742e-14
             0.829868                4.63749e-11         7.80796e-14
             0.830101                4.63883e-11         7.83743e-14
             0.830334                4.62979e-11         7.99351e-14
             0.830566                4.57012e-11         8.22008e-14
             0.830799                4.49838e-11         8.06645e-14
             0.831032                4.49359e-11         7.79344e-14
             0.831265                4.54370e-11         7.70870e-14
             0.831498                4.58106e-11         7.77810e-14
             0.831730                4.63053e-11         7.87671e-14
             0.831963                4.65602e-11         8.07205e-14
             0.832196                4.65290e-11         8.31394e-14
             0.832428                4.62095e-11         8.01778e-14
             0.832661                4.44508e-11         7.60874e-14
             0.832894                4.27694e-11         7.35226e-14
             0.833127                4.35873e-11         7.45479e-14
             0.833359                4.44367e-11         7.62052e-14
             0.833592                4.44379e-11         7.80077e-14
             0.833825                4.48771e-11         7.84658e-14
             0.834057                4.51266e-11         7.77365e-14
             0.834290                4.54747e-11         7.60187e-14
             0.834523                4.58938e-11         7.57818e-14
             0.834755                4.53780e-11         7.63332e-14
             0.834988                4.49360e-11         7.68874e-14
             0.835221                4.53499e-11         7.87447e-14
             0.835453                4.54590e-11         7.76179e-14
             0.835686                4.58190e-11         7.64508e-14
             0.835918                4.60081e-11         7.64301e-14
             0.836151                4.58895e-11         7.53339e-14
             0.836384                4.48750e-11         7.53326e-14
             0.836616                4.38417e-11         7.54748e-14
             0.836849                4.48231e-11         7.79186e-14
             0.837081                4.62382e-11         7.68154e-14
             0.837314                4.61693e-11         7.56120e-14
             0.837547                4.56934e-11         7.44509e-14
             0.837779                4.45167e-11         7.39193e-14
             0.838012                4.40487e-11         7.53073e-14
             0.838244                4.34184e-11         7.57444e-14
             0.838477                4.26373e-11         7.46821e-14
             0.838709                4.20679e-11         7.25878e-14
             0.838942                4.11917e-11         7.05465e-14
             0.839174                4.24273e-11         7.13816e-14
             0.839407                4.49738e-11         7.38703e-14
             0.839639                4.49911e-11         7.52209e-14
             0.839872                4.45078e-11         7.58622e-14
             0.840104                4.50183e-11         7.58712e-14
             0.840337                4.58056e-11         7.45513e-14
             0.840569                4.59921e-11         7.43782e-14
             0.840802                4.63930e-11         7.41095e-14
             0.841034                4.62220e-11         7.51756e-14
             0.841267                4.46899e-11         7.47409e-14
             0.841499                4.40920e-11         7.47408e-14
             0.841732                4.47073e-11         7.37991e-14
             0.841964                4.52831e-11         7.32326e-14
             0.842197                4.52202e-11         7.24840e-14
             0.842429                4.46605e-11         7.26185e-14
             0.842662                4.29090e-11         7.14958e-14
             0.842894                4.28388e-11         7.25530e-14
             0.843126                4.46299e-11         7.38505e-14
             0.843359                4.43973e-11         7.26320e-14
             0.843591                4.04096e-11         6.79743e-14
             0.843824                3.93499e-11         6.71343e-14
             0.844056                4.19250e-11         6.92774e-14
             0.844289                4.38117e-11         7.21558e-14
             0.844521                4.47510e-11         7.38973e-14
             0.844753                4.53465e-11         7.47241e-14
             0.844986                4.53370e-11         7.34281e-14
             0.845218                4.44405e-11         7.14819e-14
             0.845450                4.38329e-11         7.02841e-14
             0.845683                4.38993e-11         7.09998e-14
             0.845915                4.37589e-11         7.15892e-14
             0.846147                4.41718e-11         7.28229e-14
             0.846380                4.42208e-11         7.11285e-14
             0.846612                4.36426e-11         7.02403e-14
             0.846844                4.16793e-11         6.75886e-14
             0.847077                4.10763e-11         6.74552e-14
             0.847309                4.24203e-11         6.87758e-14
             0.847541                4.36934e-11         7.14803e-14
             0.847774                4.41220e-11         7.13251e-14
             0.848006                4.41800e-11         7.08879e-14
             0.848238                4.38558e-11         6.92228e-14
             0.848471                4.40082e-11         6.93924e-14
             0.848703                4.42497e-11         6.96345e-14
             0.848935                4.44194e-11         7.07170e-14
             0.849167                4.45138e-11         7.16476e-14
             0.849400                4.42569e-11         7.10990e-14
             0.849632                4.20932e-11         6.82086e-14
             0.849864                3.86720e-11         6.49623e-14
             0.850096                3.84098e-11         6.41097e-14
             0.850329                4.14960e-11         6.78218e-14
             0.850561                4.32061e-11         6.94005e-14
             0.850793                4.35471e-11         7.03031e-14
             0.851025                4.37766e-11         6.96132e-14
             0.851258                4.34661e-11         6.88136e-14
             0.851490                4.18867e-11         6.70466e-14
             0.851722                4.08477e-11         6.61981e-14
             0.851954                4.12633e-11         6.64800e-14
             0.852186                4.23741e-11         6.80904e-14
             0.852419                4.33763e-11         6.86853e-14
             0.852651                4.34268e-11         6.85380e-14
             0.852883                4.32807e-11         6.76231e-14
             0.853115                4.33961e-11         6.77269e-14
             0.853347                4.35238e-11         6.78655e-14
             0.853579                4.28434e-11         6.81494e-14
             0.853812                4.15354e-11         6.71655e-14
             0.854044                3.81172e-11         6.38161e-14
             0.854276                3.30066e-11         5.85489e-14
             0.854508                3.23830e-11         5.79938e-14
             0.854740                3.65039e-11         6.11124e-14
             0.854972                4.03366e-11         6.49651e-14
             0.855204                4.19803e-11         6.66448e-14
             0.855437                4.33692e-11         6.86520e-14
             0.855669                4.35437e-11         6.75941e-14
             0.855901                4.36397e-11         6.73719e-14
             0.856133                4.37598e-11         6.65106e-14
             0.856365                4.38358e-11         6.71100e-14
             0.856597                4.40468e-11         6.72024e-14
             0.856829                4.42777e-11         6.82498e-14
             0.857061                4.41462e-11         6.79640e-14
             0.857293                4.41470e-11         6.76582e-14
             0.857525                4.42087e-11         6.68420e-14
             0.857757                4.43727e-11         6.69491e-14
             0.857989                4.43920e-11         6.66429e-14
             0.858222                4.40891e-11         6.74330e-14
             0.858454                4.36671e-11         6.73752e-14
             0.858686                4.40754e-11         6.80720e-14
             0.858918                4.45436e-11         6.75391e-14
             0.859150                4.46517e-11         6.76423e-14
             0.859382                4.42887e-11         6.65596e-14
             0.859614                4.42590e-11         6.71006e-14
             0.859846                4.40268e-11         6.70288e-14
             0.860078                4.39390e-11         6.73930e-14
             0.860310                4.40626e-11         6.68932e-14
             0.860542                4.45103e-11         6.67262e-14
             0.860774                4.46323e-11         6.63985e-14
             0.861006                4.43689e-11         6.63024e-14
             0.861238                4.34320e-11         6.51278e-14
             0.861470                4.32516e-11         6.55156e-14
             0.861702                4.40485e-11         6.62232e-14
             0.861934                4.43681e-11         6.63418e-14
             0.862166                4.40446e-11         6.53978e-14
             0.862397                4.40145e-11         6.53317e-14
             0.862629                4.43108e-11         6.51504e-14
             0.862861                4.47668e-11         6.62428e-14
             0.863093                4.50277e-11         6.65460e-14
             0.863325                4.46067e-11         6.64804e-14
             0.863557                4.44472e-11         6.55529e-14
             0.863789                4.46189e-11         6.60112e-14
             0.864021                4.49364e-11         6.56939e-14
             0.864253                4.50722e-11         6.60022e-14
             0.864485                4.49739e-11         6.63095e-14
             0.864717                4.48353e-11         6.68741e-14
             0.864949                4.45750e-11         6.59458e-14
             0.865181                4.43672e-11         6.65059e-14
             0.865412                4.42073e-11         6.60421e-14
             0.865644                4.41068e-11         6.60282e-14
             0.865876                4.29355e-11         6.48097e-14
             0.866108                3.92524e-11         6.20266e-14
             0.866340                3.45198e-11         5.77300e-14
             0.866572                3.53714e-11         5.85437e-14
             0.866804                4.02434e-11         6.21557e-14
             0.867035                4.32245e-11         6.47987e-14
             0.867267                4.41339e-11         6.53758e-14
             0.867499                4.31112e-11         6.51027e-14
             0.867731                4.26253e-11         6.45044e-14
             0.867963                4.37188e-11         6.59166e-14
             0.868195                4.43644e-11         6.60225e-14
             0.868426                4.38272e-11         6.53921e-14
             0.868658                4.34972e-11         6.46277e-14
             0.868890                4.11350e-11         6.25347e-14
             0.869122                3.95186e-11         6.09729e-14
             0.869354                4.09821e-11         6.25720e-14
             0.869586                4.26971e-11         6.37501e-14
             0.869817                4.34740e-11         6.39520e-14
             0.870049                4.35131e-11         6.36991e-14
             0.870281                4.38045e-11         6.42078e-14
             0.870513                4.43985e-11         6.43136e-14
             0.870744                4.46032e-11         6.50598e-14
             0.870976                4.41876e-11         6.48457e-14
             0.871208                4.37299e-11         6.47413e-14
             0.871440                4.33154e-11         6.41099e-14
             0.871671                4.34977e-11         6.36907e-14
             0.871903                4.39240e-11         6.40073e-14
             0.872135                4.41303e-11         6.48245e-14
             0.872367                4.46361e-11         6.51676e-14
             0.872598                4.47942e-11         6.57143e-14
             0.872830                4.50362e-11         6.55503e-14
             0.873062                4.50321e-11         6.56439e-14
             0.873293                4.45781e-11         6.47222e-14
             0.873525                4.38572e-11         6.43446e-14
             0.873757                4.34628e-11         6.38161e-14
             0.873989                4.37588e-11         6.45836e-14
             0.874220                4.45471e-11         6.51478e-14
             0.874452                4.51356e-11         6.67497e-14
             0.874684                4.51016e-11         6.51351e-14
             0.874915                4.48425e-11         6.50917e-14
             0.875147                4.46746e-11         6.46578e-14
             0.875379                4.50985e-11         6.53943e-14
             0.875610                4.48521e-11         6.51458e-14
             0.875842                4.43079e-11         6.52156e-14
             0.876074                4.45412e-11         6.46686e-14
             0.876305                4.49827e-11         6.52595e-14
             0.876537                4.42943e-11         6.43718e-14
             0.876769                4.38900e-11         6.41339e-14
             0.877000                4.42925e-11         6.44354e-14
             0.877232                4.43893e-11         6.46508e-14
             0.877464                4.33660e-11         6.37324e-14
             0.877695                4.38504e-11         6.42633e-14
             0.877927                4.48616e-11         6.41886e-14
