# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:04 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4135 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'IRAS 14086-0703'    /                                                
# SPTYPE  = 'M10+ III'           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2006 Jun 24'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.814380 / Minimum wavelength (um)                        
# MAXWAVE =              2.42348 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        6.64500000000 / 2MASS J magnitude                              
# JERR    =      0.0190000000000 / 2MASS J magnitude error                        
# H       =        4.86100000000 / 2MASS H magnitude                              
# HERR    =       0.286000000000 / 2MASS H magnitude error                        
# KS      =        3.58700000000 / 2MASS Ks magnitude                             
# KSERR   =       0.356000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'ADD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0189314000000 / Relative error in the absolute flux calibration
# RV      =        56.1177630000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.50000000000 / Intrinsic Color                                
# E(B-V)  = 'NAN     '           / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.814380               -2.63589e-13         4.24020e-13
             0.814614                2.38536e-13         4.11171e-13
             0.814847                2.21458e-13         4.06469e-13
             0.815080                1.88669e-13         4.02870e-13
             0.815313                1.85255e-13         4.27193e-13
             0.815546               -5.67231e-14         3.84835e-13
             0.815780               -1.94658e-13         4.24741e-13
             0.816013               -2.72072e-13         3.73776e-13
             0.816246               -2.37872e-13         4.28257e-13
             0.816479                3.33697e-13         3.72402e-13
             0.816712                5.68557e-13         4.48693e-13
             0.816946                2.46033e-13         3.60202e-13
             0.817179               -1.36769e-13         4.30259e-13
             0.817412                1.55534e-13         3.47670e-13
             0.817645                4.08984e-13         3.94166e-13
             0.817878                8.40869e-14         3.31727e-13
             0.818111                4.83342e-13         4.30696e-13
             0.818345                1.91812e-13         3.35218e-13
             0.818578                2.02549e-13         3.94698e-13
             0.818811               -1.93485e-13         3.12654e-13
             0.819044                2.85675e-13         3.90498e-13
             0.819277                2.45282e-13         3.14085e-13
             0.819510                1.09501e-13         3.85568e-13
             0.819743                3.00564e-13         3.01272e-13
             0.819976               -6.13289e-14         3.67228e-13
             0.820209               -1.56033e-13         3.02549e-13
             0.820442                2.98267e-13         3.54015e-13
             0.820675                1.42902e-13         2.81767e-13
             0.820909                9.03905e-14         3.29691e-13
             0.821142                2.38077e-13         2.66331e-13
             0.821375                3.87424e-13         3.24169e-13
             0.821608                2.09077e-13         2.67913e-13
             0.821841                5.08286e-13         3.14120e-13
             0.822074                3.94650e-15         2.61071e-13
             0.822307                2.75744e-13         3.10430e-13
             0.822540                1.88150e-13         2.58535e-13
             0.822773                2.38969e-13         3.14511e-13
             0.823006                3.04415e-13         2.90310e-13
             0.823239                1.88300e-13         3.51361e-13
             0.823472                2.12407e-13         2.85144e-13
             0.823705                2.55117e-13         2.97686e-13
             0.823938                5.54301e-14         2.42580e-13
             0.824170                2.60506e-13         2.54742e-13
             0.824403                1.55660e-13         2.41674e-13
             0.824636               -9.04930e-14         2.51606e-13
             0.824869               -2.71670e-13         2.42492e-13
             0.825102                1.69813e-13         2.30691e-13
             0.825335               -2.60213e-13         2.33636e-13
             0.825568               -5.45503e-14         2.25179e-13
             0.825801               -2.43673e-13         2.36549e-13
             0.826034                4.13465e-14         2.17442e-13
             0.826267                3.91404e-13         2.54198e-13
             0.826500                2.36537e-14         2.10857e-13
             0.826732               -9.96143e-15         2.48572e-13
             0.826965               -3.72109e-14         1.98749e-13
             0.827198                2.38879e-13         2.38442e-13
