# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:07 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7623 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 339034'          /                                                
# SPTYPE  = 'M1 Ia   '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Jul 06'        / UT date of SXD observations                    
# LXDUT   = '2003 Jul 06'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.808177 / Minimum wavelength (um)                        
# MAXWAVE =              5.01996 / Maximum wavelength (um)                        
# V       =        9.30200000000 / V magnitude                                    
# VERR    =      0.0710000000000 / V magnitude error                              
# (B-V)   =        3.03600000000 / B-V color                                      
# (B-V)ERR=      0.0250000000000 / B-V color error                                
# J       =        3.25300000000 / 2MASS J magnitude                              
# JERR    =       0.266000000000 / 2MASS J magnitude error                        
# H       =        2.14100000000 / 2MASS H magnitude                              
# HERR    =       0.222000000000 / 2MASS H magnitude error                        
# KS      =        1.69100000000 / 2MASS Ks magnitude                             
# KSERR   =       0.224000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.135640000000 / Relative error in the absolute flux calibration
# RV      =        10.9618580000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.65000000000 / Intrinsic Color                                
# E(B-V)  =        1.38600000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.808177                5.73196e-11         2.41348e-13
             0.808379                5.44648e-11         2.40482e-13
             0.808582                5.57032e-11         2.41107e-13
             0.808784                5.91725e-11         2.47223e-13
             0.808987                5.88768e-11         2.44003e-13
             0.809189                5.30374e-11         2.44525e-13
             0.809392                4.75992e-11         2.41309e-13
             0.809594                5.13422e-11         2.42530e-13
             0.809797                5.37690e-11         2.44364e-13
             0.809999                5.31960e-11         2.43764e-13
             0.810202                5.35990e-11         2.44453e-13
             0.810404                5.31839e-11         2.46236e-13
             0.810607                5.11540e-11         2.44026e-13
             0.810809                5.16726e-11         2.45852e-13
             0.811012                5.29306e-11         2.47631e-13
             0.811214                5.53425e-11         2.49528e-13
             0.811397                5.63160e-11         2.17204e-13
             0.811630                5.26426e-11         2.14627e-13
             0.811863                5.12094e-11         2.19215e-13
             0.812096                5.32520e-11         2.32684e-13
             0.812328                5.53052e-11         2.48246e-13
             0.812561                5.70314e-11         2.34515e-13
             0.812794                5.47158e-11         2.20584e-13
             0.813027                5.60611e-11         2.16103e-13
             0.813260                5.45373e-11         2.17541e-13
             0.813493                5.41723e-11         2.25493e-13
             0.813726                5.60914e-11         2.39577e-13
             0.813959                5.72187e-11         2.42477e-13
             0.814192                5.67996e-11         2.30192e-13
             0.814425                5.40582e-11         2.19307e-13
             0.814657                5.54255e-11         2.16134e-13
             0.814890                5.61299e-11         2.21133e-13
             0.815123                5.49909e-11         2.34074e-13
             0.815356                5.61503e-11         2.43183e-13
             0.815589                5.74004e-11         2.38758e-13
             0.815822                6.13411e-11         2.26607e-13
             0.816055                6.25293e-11         2.20211e-13
             0.816287                5.50197e-11         2.18629e-13
             0.816520                5.55276e-11         2.26405e-13
             0.816753                5.73190e-11         2.35299e-13
             0.816986                5.76544e-11         2.45029e-13
             0.817219                5.93570e-11         2.33712e-13
             0.817451                5.82032e-11         2.20126e-13
             0.817684                5.70588e-11         2.16137e-13
             0.817917                5.98052e-11         2.21081e-13
             0.818150                5.85769e-11         2.26180e-13
             0.818383                5.46736e-11         2.34125e-13
             0.818615                5.30214e-11         2.33098e-13
             0.818848                5.36268e-11         2.23760e-13
             0.819081                6.05895e-11         2.19379e-13
             0.819314                6.73250e-11         2.18510e-13
             0.819547                5.75646e-11         2.17481e-13
             0.819779                5.46704e-11         2.24150e-13
             0.820012                5.86808e-11         2.34839e-13
             0.820245                5.67167e-11         2.28613e-13
             0.820478                5.23046e-11         2.21263e-13
             0.820710                5.12739e-11         2.10168e-13
             0.820943                5.51587e-11         2.11401e-13
             0.821176                6.09697e-11         2.15475e-13
             0.821408                6.15692e-11         2.23416e-13
             0.821641                6.03309e-11         2.31468e-13
             0.821874                6.48267e-11         2.21502e-13
             0.822107                6.15217e-11         2.14526e-13
             0.822339                5.74333e-11         2.09214e-13
             0.822572                6.36867e-11         2.12474e-13
             0.822805                6.71270e-11         2.23021e-13
             0.823037                6.44681e-11         2.33412e-13
             0.823270                6.37813e-11         2.30793e-13
             0.823503                6.39796e-11         2.18516e-13
             0.823735                6.42655e-11         2.09708e-13
             0.823968                6.32100e-11         2.08405e-13
             0.824201                6.26907e-11         2.10133e-13
             0.824433                6.41560e-11         2.17119e-13
             0.824666                6.82144e-11         2.27981e-13
             0.824899                6.59430e-11         2.21188e-13
             0.825131                6.34810e-11         2.08211e-13
             0.825364                6.20899e-11         2.05981e-13
             0.825597                5.99650e-11         2.04048e-13
             0.825829                6.08546e-11         2.09782e-13
             0.826062                6.60149e-11         2.17135e-13
             0.826294                7.17721e-11         2.30399e-13
             0.826527                6.91047e-11         2.13774e-13
             0.826760                6.58403e-11         2.06129e-13
             0.826992                6.64206e-11         2.04114e-13
             0.827225                6.86666e-11         2.10040e-13
             0.827457                6.38217e-11         2.10627e-13
             0.827690                6.14007e-11         2.16714e-13
             0.827923                6.50687e-11         2.16402e-13
             0.828155                6.92008e-11         2.10846e-13
             0.828388                6.63462e-11         2.04755e-13
             0.828620                6.54478e-11         2.08895e-13
             0.828853                6.55946e-11         2.05445e-13
             0.829085                6.44756e-11         2.10574e-13
