# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:09 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7623 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 339034'          /                                                
# SPTYPE  = 'M1 Ia   '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Jul 06'        / UT date of SXD observations                    
# LXDUT   = '2003 Jul 06'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.808177 / Minimum wavelength (um)                        
# MAXWAVE =              5.01996 / Maximum wavelength (um)                        
# V       =        9.30200000000 / V magnitude                                    
# VERR    =      0.0710000000000 / V magnitude error                              
# (B-V)   =        3.03600000000 / B-V color                                      
# (B-V)ERR=      0.0250000000000 / B-V color error                                
# J       =        3.25300000000 / 2MASS J magnitude                              
# JERR    =       0.266000000000 / 2MASS J magnitude error                        
# H       =        2.14100000000 / 2MASS H magnitude                              
# HERR    =       0.222000000000 / 2MASS H magnitude error                        
# KS      =        1.69100000000 / 2MASS Ks magnitude                             
# KSERR   =       0.224000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.135640000000 / Relative error in the absolute flux calibration
# RV      =        10.9618580000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.65000000000 / Intrinsic Color                                
# E(B-V)  =        1.38600000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.808177                4.22121e-10         1.77737e-12
             0.808379                4.00729e-10         1.76937e-12
             0.808582                4.09464e-10         1.77233e-12
             0.808784                4.34566e-10         1.81562e-12
             0.808987                4.31998e-10         1.79033e-12
             0.809189                3.88795e-10         1.79251e-12
             0.809392                3.48610e-10         1.76732e-12
             0.809594                3.75680e-10         1.77463e-12
             0.809797                3.93077e-10         1.78641e-12
             0.809999                3.88532e-10         1.78040e-12
             0.810202                3.91118e-10         1.78380e-12
             0.810404                3.87734e-10         1.79517e-12
             0.810607                3.72595e-10         1.77743e-12
             0.810809                3.76030e-10         1.78910e-12
             0.811012                3.84833e-10         1.80041e-12
             0.811214                4.02002e-10         1.81255e-12
             0.811397                4.08738e-10         1.57646e-12
             0.811630                3.81678e-10         1.55612e-12
             0.811863                3.70898e-10         1.58773e-12
             0.812096                3.85289e-10         1.68352e-12
             0.812328                3.99727e-10         1.79424e-12
             0.812561                4.11774e-10         1.69323e-12
             0.812794                3.94644e-10         1.59098e-12
             0.813027                4.03926e-10         1.55704e-12
             0.813260                3.92538e-10         1.56578e-12
             0.813493                3.89506e-10         1.62132e-12
             0.813726                4.02885e-10         1.72080e-12
             0.813959                4.10556e-10         1.73982e-12
             0.814192                4.07127e-10         1.64997e-12
             0.814425                3.87076e-10         1.57031e-12
             0.814657                3.96455e-10         1.54599e-12
             0.814890                4.01079e-10         1.58012e-12
             0.815123                3.92534e-10         1.67086e-12
             0.815356                4.00396e-10         1.73409e-12
             0.815589                4.08888e-10         1.70078e-12
             0.815822                4.36510e-10         1.61256e-12
             0.816055                4.44507e-10         1.56543e-12
             0.816287                3.90720e-10         1.55259e-12
             0.816520                3.93922e-10         1.60616e-12
             0.816753                4.06213e-10         1.66753e-12
             0.816986                4.08170e-10         1.73471e-12
             0.817219                4.19793e-10         1.65289e-12
             0.817451                4.11212e-10         1.55521e-12
             0.817684                4.02713e-10         1.52547e-12
             0.817917                4.21666e-10         1.55876e-12
             0.818150                4.12583e-10         1.59309e-12
             0.818383                3.84697e-10         1.64736e-12
             0.818615                3.72691e-10         1.63847e-12
             0.818848                3.76562e-10         1.57122e-12
             0.819081                4.25021e-10         1.53889e-12
             0.819314                4.71788e-10         1.53123e-12
             0.819547                4.02980e-10         1.52247e-12
             0.819779                3.82331e-10         1.56757e-12
             0.820012                4.09960e-10         1.64065e-12
             0.820245                3.95837e-10         1.59554e-12
             0.820478                3.64674e-10         1.54267e-12
             0.820710                3.57126e-10         1.46383e-12
             0.820943                3.83795e-10         1.47093e-12
             0.821176                4.23799e-10         1.49776e-12
