# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:21 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7514 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 42581'           /                                                
# SPTYPE  = 'M1 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2002 Jan 10'        / UT date of SXD observations                    
# LXDUT   = '2002 Jan 11'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.810104 / Minimum wavelength (um)                        
# MAXWAVE =              4.91262 / Maximum wavelength (um)                        
# V       =        8.15200000000 / V magnitude                                    
# VERR    =      0.0110000000000 / V magnitude error                              
# (B-V)   =        1.49100000000 / B-V color                                      
# (B-V)ERR=      0.0180000000000 / B-V color error                                
# J       =        5.10400000000 / 2MASS J magnitude                              
# JERR    =      0.0370000000000 / 2MASS J magnitude error                        
# H       =        4.39300000000 / 2MASS H magnitude                              
# HERR    =       0.254000000000 / 2MASS H magnitude error                        
# KS      =        4.16600000000 / 2MASS Ks magnitude                             
# KSERR   =       0.232000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'EDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0361660000000 / Relative error in the absolute flux calibration
# RV      =        7.99991530000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.50000000000 / Intrinsic Color                                
# E(B-V)  =    -0.00899994000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810104                4.18401e-11         8.02411e-14
             0.810307                4.18768e-11         8.02375e-14
             0.810509                4.19648e-11         8.06314e-14
             0.810712                4.19976e-11         8.03046e-14
             0.810914                4.20597e-11         8.13944e-14
             0.811116                4.21695e-11         8.16208e-14
             0.811319                4.21273e-11         8.13928e-14
             0.811521                4.21156e-11         8.13154e-14
             0.811723                4.09951e-11         7.99295e-14
             0.811926                4.04618e-11         7.94150e-14
             0.812128                4.14255e-11         8.12048e-14
             0.812330                4.24087e-11         8.25003e-14
             0.812533                4.24439e-11         8.36844e-14
             0.812735                4.22747e-11         8.27998e-14
             0.812900                4.22609e-11         6.67580e-14
             0.813133                4.23630e-11         6.56700e-14
             0.813366                4.20978e-11         6.63065e-14
             0.813599                4.19653e-11         6.88579e-14
             0.813832                4.22561e-11         7.20145e-14
             0.814066                4.24613e-11         7.20328e-14
             0.814299                4.24654e-11         6.89938e-14
             0.814532                4.20315e-11         6.60568e-14
             0.814765                4.19328e-11         6.56966e-14
             0.814998                4.22144e-11         6.75572e-14
             0.815231                4.22908e-11         7.00168e-14
             0.815464                4.23080e-11         7.34762e-14
             0.815698                4.23411e-11         7.06192e-14
             0.815931                4.23153e-11         6.74010e-14
             0.816164                4.15976e-11         6.57324e-14
             0.816397                4.14385e-11         6.67799e-14
             0.816630                4.20217e-11         6.95261e-14
             0.816863                4.23583e-11         7.13977e-14
             0.817096                4.22989e-11         7.21377e-14
             0.817329                4.22694e-11         6.85246e-14
             0.817562                4.22987e-11         6.56421e-14
             0.817795                4.22406e-11         6.62199e-14
             0.818029                4.16716e-11         6.77392e-14
             0.818262                3.90747e-11         6.72317e-14
             0.818495                3.44209e-11         6.29976e-14
             0.818728                3.55518e-11         6.23352e-14
             0.818961                3.96344e-11         6.55544e-14
             0.819194                4.08925e-11         6.44895e-14
             0.819427                3.76655e-11         6.17452e-14
             0.819660                3.21995e-11         5.59104e-14
             0.819893                3.37349e-11         5.95369e-14
             0.820126                3.89120e-11         6.80329e-14
             0.820359                4.11831e-11         6.64635e-14
             0.820592                4.15159e-11         6.37719e-14
             0.820825                4.14397e-11         6.27503e-14
             0.821058                4.17747e-11         6.37368e-14
             0.821291                4.18171e-11         6.59431e-14
             0.821524                4.15219e-11         6.81220e-14
             0.821757                4.17371e-11         6.75606e-14
             0.821989                4.15447e-11         6.48251e-14
             0.822222                4.05725e-11         6.26479e-14
             0.822455                4.12136e-11         6.40622e-14
             0.822688                4.22015e-11         6.62518e-14
             0.822921                4.25767e-11         7.15005e-14
             0.823154                4.25877e-11         7.50890e-14
