# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:34 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7646 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 206936'          /                                                
# SPTYPE  = 'M2- Ia  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2005 Aug 26'        / UT date of SXD observations                    
# LXDUT   = '2005 Aug 26'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.803770 / Minimum wavelength (um)                        
# MAXWAVE =              5.02682 / Maximum wavelength (um)                        
# V       =        4.10400000000 / V magnitude                                    
# VERR    =       0.110000000000 / V magnitude error                              
# (B-V)   =        2.32700000000 / B-V color                                      
# (B-V)ERR=      0.0680000000000 / B-V color error                                
# J       =      -0.326000000000 / 2MASS J magnitude                              
# JERR    =       0.204000000000 / 2MASS J magnitude error                        
# H       =       -1.26400000000 / 2MASS H magnitude                              
# HERR    =       0.180000000000 / 2MASS H magnitude error                        
# KS      =       -1.62000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.160000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.103166000000 / Relative error in the absolute flux calibration
# RV      =        13.7514810000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.65000000000 / Intrinsic Color                                
# E(B-V)  =       0.677000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803770                3.96534e-09         6.85785e-12
             0.803972                4.00011e-09         6.91640e-12
             0.804175                4.10115e-09         7.11431e-12
             0.804377                3.88369e-09         6.71931e-12
             0.804579                3.69697e-09         6.52140e-12
             0.804782                3.48125e-09         6.08156e-12
             0.804984                3.23776e-09         5.76425e-12
             0.805187                3.20744e-09         5.65872e-12
             0.805389                3.47170e-09         6.10205e-12
             0.805591                3.59985e-09         6.28962e-12
             0.805794                3.72001e-09         6.53053e-12
             0.805996                3.89491e-09         6.82338e-12
             0.806199                3.83481e-09         6.75552e-12
             0.806401                3.68164e-09         6.49630e-12
             0.806603                3.67538e-09         6.50486e-12
             0.806806                3.72965e-09         6.57912e-12
             0.807008                3.71823e-09         6.58809e-12
             0.807211                3.35024e-09         5.98107e-12
             0.807413                3.22281e-09         5.76350e-12
             0.807443                3.23148e-09         5.01852e-12
             0.807676                3.28695e-09         5.35525e-12
             0.807910                3.25571e-09         5.55184e-12
             0.808143                3.59355e-09         6.07352e-12
             0.808377                3.57362e-09         5.59113e-12
             0.808610                3.41879e-09         5.21135e-12
             0.808843                3.56942e-09         5.40497e-12
             0.809077                3.69253e-09         5.81028e-12
             0.809310                3.47392e-09         5.81430e-12
             0.809543                3.13165e-09         5.35399e-12
             0.809776                3.21866e-09         5.33244e-12
             0.810010                3.38261e-09         5.24148e-12
             0.810243                3.37658e-09         5.13673e-12
             0.810476                3.40223e-09         5.22449e-12
             0.810710                3.28216e-09         5.28244e-12
             0.810943                3.21154e-09         5.39773e-12
             0.811176                3.35608e-09         5.59790e-12
             0.811409                3.46307e-09         5.47762e-12
             0.811643                3.46936e-09         5.29713e-12
             0.811876                3.18818e-09         4.89890e-12
             0.812109                3.23336e-09         5.13408e-12
             0.812342                3.38532e-09         5.51259e-12
             0.812576                3.46178e-09         5.91383e-12
             0.812809                3.49578e-09         5.60426e-12
             0.813042                3.40788e-09         5.27622e-12
             0.813275                3.55821e-09         5.34920e-12
             0.813508                3.37935e-09         5.17561e-12
             0.813742                3.42000e-09         5.41063e-12
             0.813975                3.51663e-09         5.91445e-12
             0.814208                3.56153e-09         5.89749e-12
             0.814441                3.51190e-09         5.52991e-12
             0.814674                3.37536e-09         5.19260e-12
             0.814907                3.48551e-09         5.28193e-12
             0.815141                3.47718e-09         5.44378e-12
             0.815374                3.47456e-09         5.62731e-12
             0.815607                3.57344e-09         6.07676e-12
             0.815840                3.60707e-09         5.92979e-12
             0.816073                3.86157e-09         5.98925e-12
             0.816306                3.70544e-09         5.61098e-12
             0.816539                3.37071e-09         5.24191e-12
             0.816772                3.53203e-09         5.79057e-12
             0.817005                3.57071e-09         6.01103e-12
             0.817239                3.57824e-09         6.02021e-12
             0.817472                3.68869e-09         5.96225e-12
             0.817705                3.59214e-09         5.45779e-12
             0.817938                3.56285e-09         5.39238e-12
             0.818171                3.68005e-09         5.89165e-12
             0.818404                3.53043e-09         5.86481e-12
             0.818637                3.29900e-09         5.66037e-12
             0.818870                3.28893e-09         5.38704e-12
             0.819103                3.37666e-09         5.32726e-12
             0.819336                3.90028e-09         5.98742e-12
             0.819569                4.03573e-09         6.20363e-12
             0.819802                3.37813e-09         5.37591e-12
             0.820035                3.44320e-09         5.56309e-12
             0.820268                3.56914e-09         5.92852e-12
             0.820501                3.37436e-09         5.35296e-12
             0.820734                3.12508e-09         4.75740e-12
             0.820967                3.12797e-09         4.70124e-12
             0.821200                3.48545e-09         5.22482e-12
             0.821433                3.72227e-09         5.91946e-12
             0.821666                3.59116e-09         5.87091e-12
             0.821899                3.74825e-09         6.02865e-12
             0.822132                3.87547e-09         5.91680e-12
             0.822365                3.52588e-09         5.28068e-12
             0.822597                3.51102e-09         5.27485e-12
             0.822830                3.91806e-09         5.96485e-12
             0.823063                3.90396e-09         6.32399e-12
             0.823296                3.81383e-09         6.61304e-12
             0.823529                3.79969e-09         6.14787e-12
             0.823762                3.83330e-09         5.90715e-12
             0.823995                3.82173e-09         5.71324e-12
             0.824228                3.73517e-09         5.54193e-12
             0.824461                3.67726e-09         5.64284e-12
             0.824693                3.86198e-09         6.11968e-12
             0.824926                4.00998e-09         6.29132e-12
             0.825159                3.79749e-09         5.70914e-12
             0.825392                3.76038e-09         5.49996e-12
             0.825625                3.61236e-09         5.29832e-12
             0.825858                3.63908e-09         5.42892e-12
             0.826090                3.67174e-09         5.68205e-12
             0.826323                4.05089e-09         6.40672e-12
             0.826556                4.20683e-09         6.39408e-12
             0.826789                3.94564e-09         5.80833e-12
             0.827022                3.85325e-09         5.57718e-12
             0.827254                3.95337e-09         5.70723e-12
             0.827487                3.96910e-09         5.93514e-12
             0.827720                3.69861e-09         5.78433e-12
             0.827953                3.73610e-09         5.95452e-12
             0.828186                3.97170e-09         5.99520e-12
             0.828418                4.01039e-09         5.92236e-12
             0.828651                3.81370e-09         5.61247e-12
             0.828884                3.88489e-09         5.74390e-12
             0.829117                3.79565e-09         5.78766e-12
             0.829349                3.83314e-09         6.10844e-12
             0.829582                3.87721e-09         5.90213e-12
             0.829815                3.68150e-09         5.49786e-12
             0.830047                3.58028e-09         5.25944e-12
             0.830280                3.63739e-09         5.29577e-12
             0.830513                3.86825e-09         5.76768e-12
             0.830746                3.65238e-09         5.66314e-12
             0.830978                3.38549e-09         5.33283e-12
             0.831211                3.37847e-09         5.10469e-12
             0.831444                3.38746e-09         4.96460e-12
             0.831676                3.62356e-09         5.25185e-12
             0.831909                3.82254e-09         5.52968e-12
             0.832142                4.00424e-09         6.00480e-12
             0.832374                3.76085e-09         5.86597e-12
             0.832607                3.69636e-09         5.71912e-12
             0.832840                3.64790e-09         5.37147e-12
             0.833072                3.17313e-09         4.59744e-12
             0.833305                3.52702e-09         5.09717e-12
             0.833537                3.48097e-09         5.13813e-12
             0.833770                3.43439e-09         5.19652e-12
             0.834003                3.69657e-09         5.76945e-12
             0.834235                3.66087e-09         5.48814e-12
             0.834468                3.90686e-09         5.73310e-12
             0.834700                3.75072e-09         5.36013e-12
             0.834933                3.53979e-09         5.08901e-12
             0.835166                3.37374e-09         4.94732e-12
             0.835398                3.49284e-09         5.20552e-12
             0.835631                3.62217e-09         5.42009e-12
             0.835863                3.61940e-09         5.29421e-12
             0.836096                3.70886e-09         5.33043e-12
             0.836328                3.79697e-09         5.38613e-12
             0.836561                3.70723e-09         5.35195e-12
             0.836793                3.33761e-09         4.92337e-12
             0.837026                3.61982e-09         5.34193e-12
             0.837259                3.96905e-09         5.83022e-12
             0.837491                3.74151e-09         5.33697e-12
             0.837723                3.97306e-09         5.68089e-12
             0.837956                3.80249e-09         5.43151e-12
             0.838188                3.59527e-09         5.15428e-12
             0.838421                3.82167e-09         5.64461e-12
             0.838654                3.36137e-09         4.98612e-12
             0.838886                3.43460e-09         5.02122e-12
             0.839118                3.21127e-09         4.60228e-12
             0.839351                3.24914e-09         4.63151e-12
             0.839583                3.99047e-09         5.65790e-12
             0.839816                4.05114e-09         5.84448e-12
             0.840048                3.67189e-09         5.41414e-12
             0.840281                3.75710e-09         5.48664e-12
             0.840513                3.86446e-09         5.48625e-12
             0.840746                3.88271e-09         5.42595e-12
             0.840978                3.99617e-09         5.57501e-12
             0.841210                4.03365e-09         5.69870e-12
             0.841443                3.85473e-09         5.61916e-12
             0.841675                3.55574e-09         5.27486e-12
             0.841908                3.98241e-09         5.77392e-12
             0.842140                3.94673e-09         5.55278e-12
             0.842372                3.86731e-09         5.38176e-12
             0.842605                3.90212e-09         5.43727e-12
             0.842837                3.60104e-09         5.12249e-12
             0.843069                3.42265e-09         4.90435e-12
             0.843302                4.08718e-09         5.94689e-12
             0.843534                4.15298e-09         5.86769e-12
             0.843767                3.47923e-09         4.87607e-12
             0.843999                3.13585e-09         4.44590e-12
             0.844231                3.64713e-09         5.16102e-12
             0.844464                3.71477e-09         5.27742e-12
             0.844696                3.97259e-09         5.73839e-12
             0.844928                3.89352e-09         5.79950e-12
             0.845160                3.87103e-09         5.70976e-12
             0.845393                3.87009e-09         5.38304e-12
             0.845625                4.05671e-09         5.59664e-12
             0.845857                3.89999e-09         5.45868e-12
             0.846090                3.72646e-09         5.27947e-12
             0.846322                3.90721e-09         5.63840e-12
             0.846554                4.11943e-09         5.89180e-12
             0.846786                3.81370e-09         5.36582e-12
             0.847019                3.39792e-09         4.85373e-12
             0.847251                3.23507e-09         4.59364e-12
             0.847483                3.66225e-09         5.19833e-12
             0.847716                4.07610e-09         5.76323e-12
             0.847948                4.17945e-09         5.90371e-12
             0.848180                3.98548e-09         5.52388e-12
             0.848412                3.82563e-09         5.24434e-12
             0.848644                3.77284e-09         5.12931e-12
             0.848877                3.93964e-09         5.39759e-12
             0.849109                3.92606e-09         5.45181e-12
             0.849341                4.00115e-09         5.64463e-12
             0.849573                3.95389e-09         5.53674e-12
             0.849806                3.60488e-09         5.05393e-12
             0.850038                2.79296e-09         4.00208e-12
             0.850270                2.42455e-09         3.58057e-12
             0.850502                3.13609e-09         4.50247e-12
             0.850734                3.56267e-09         5.18130e-12
             0.850966                3.82946e-09         5.56537e-12
             0.851199                4.10309e-09         5.77259e-12
             0.851431                3.93598e-09         5.39283e-12
             0.851663                3.43405e-09         4.71244e-12
             0.851895                3.10752e-09         4.25026e-12
             0.852127                3.44254e-09         4.70137e-12
             0.852359                3.61482e-09         4.99091e-12
             0.852591                3.79124e-09         5.24216e-12
             0.852824                3.69739e-09         5.02022e-12
             0.853056                3.64208e-09         4.91630e-12
             0.853288                3.67099e-09         4.93264e-12
             0.853520                3.64651e-09         4.95791e-12
             0.853752                3.57485e-09         4.94480e-12
             0.853984                3.30599e-09         4.70369e-12
             0.854216                2.74910e-09         3.92336e-12
             0.854448                2.16279e-09         3.22225e-12
             0.854680                1.88419e-09         2.83279e-12
             0.854912                2.55040e-09         3.67486e-12
             0.855145                2.98600e-09         4.25472e-12
             0.855377                3.33126e-09         4.71104e-12
             0.855609                3.73490e-09         5.27455e-12
             0.855841                3.76258e-09         5.17728e-12
             0.856073                3.74951e-09         5.07378e-12
             0.856305                3.89928e-09         5.24380e-12
             0.856537                3.84121e-09         5.12014e-12
             0.856769                3.85229e-09         5.17700e-12
             0.857001                3.82157e-09         5.17324e-12
             0.857233                3.88513e-09         5.26231e-12
             0.857465                3.93605e-09         5.22378e-12
             0.857697                3.96844e-09         5.22978e-12
             0.857929                3.93560e-09         5.17493e-12
             0.858161                4.10750e-09         5.44160e-12
             0.858393                4.08541e-09         5.49250e-12
             0.858625                3.82537e-09         5.22138e-12
             0.858857                3.96810e-09         5.43882e-12
             0.859089                4.09360e-09         5.57135e-12
             0.859321                3.98875e-09         5.42405e-12
             0.859553                3.99452e-09         5.43111e-12
             0.859785                4.03913e-09         5.52149e-12
             0.860017                4.09287e-09         5.64990e-12
             0.860249                4.06997e-09         5.66429e-12
             0.860481                4.22893e-09         5.81696e-12
             0.860713                4.04638e-09         5.51489e-12
             0.860944                4.00374e-09         5.43425e-12
             0.861176                4.06564e-09         5.51935e-12
             0.861408                3.79858e-09         5.15178e-12
             0.861640                3.60491e-09         4.87559e-12
             0.861872                4.03270e-09         5.42978e-12
             0.862104                4.13479e-09         5.44656e-12
             0.862336                4.08000e-09         5.31329e-12
             0.862568                3.85938e-09         4.99586e-12
             0.862800                4.08940e-09         5.25946e-12
             0.863032                4.24990e-09         5.50194e-12
             0.863264                4.20927e-09         5.53525e-12
             0.863495                4.14400e-09         5.38840e-12
             0.863727                4.16436e-09         5.39750e-12
             0.863959                4.27925e-09         5.48619e-12
             0.864191                4.36426e-09         5.56491e-12
             0.864423                4.30248e-09         5.54995e-12
             0.864655                4.12090e-09         5.41674e-12
