# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:36 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7646 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 206936'          /                                                
# SPTYPE  = 'M2- Ia  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2005 Aug 26'        / UT date of SXD observations                    
# LXDUT   = '2005 Aug 26'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.803770 / Minimum wavelength (um)                        
# MAXWAVE =              5.02682 / Maximum wavelength (um)                        
# V       =        4.10400000000 / V magnitude                                    
# VERR    =       0.110000000000 / V magnitude error                              
# (B-V)   =        2.32700000000 / B-V color                                      
# (B-V)ERR=      0.0680000000000 / B-V color error                                
# J       =      -0.326000000000 / 2MASS J magnitude                              
# JERR    =       0.204000000000 / 2MASS J magnitude error                        
# H       =       -1.26400000000 / 2MASS H magnitude                              
# HERR    =       0.180000000000 / 2MASS H magnitude error                        
# KS      =       -1.62000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.160000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.103166000000 / Relative error in the absolute flux calibration
# RV      =        13.7514810000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.65000000000 / Intrinsic Color                                
# E(B-V)  =       0.677000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803770                1.06199e-08         1.83666e-11
             0.803972                1.07081e-08         1.85149e-11
             0.804175                1.09736e-08         1.90360e-11
             0.804377                1.03870e-08         1.79709e-11
             0.804579                9.88312e-09         1.74337e-11
             0.804782                9.30221e-09         1.62504e-11
             0.804984                8.64763e-09         1.53956e-11
             0.805187                8.56278e-09         1.51069e-11
             0.805389                9.26406e-09         1.62830e-11
             0.805591                9.60165e-09         1.67759e-11
             0.805794                9.91766e-09         1.74106e-11
             0.805996                1.03792e-08         1.81831e-11
             0.806199                1.02145e-08         1.79941e-11
             0.806401                9.80203e-09         1.72958e-11
             0.806603                9.78095e-09         1.73108e-11
             0.806806                9.92088e-09         1.75005e-11
             0.807008                9.88604e-09         1.75164e-11
             0.807211                8.90363e-09         1.58953e-11
             0.807413                8.56109e-09         1.53102e-11
             0.807443                8.58354e-09         1.33303e-11
             0.807676                8.72636e-09         1.42174e-11
             0.807910                8.63893e-09         1.47317e-11
             0.808143                9.53043e-09         1.61076e-11
             0.808377                9.47267e-09         1.48205e-11
             0.808610                9.05758e-09         1.38067e-11
             0.808843                9.45177e-09         1.43123e-11
             0.809077                9.77272e-09         1.53776e-11
             0.809310                9.18939e-09         1.53803e-11
             0.809543                8.27972e-09         1.41553e-11
             0.809776                8.50537e-09         1.40911e-11
             0.810010                8.93402e-09         1.38436e-11
             0.810243                8.91351e-09         1.35600e-11
             0.810476                8.97661e-09         1.37845e-11
             0.810710                8.65535e-09         1.39303e-11
             0.810943                8.46477e-09         1.42270e-11
             0.811176                8.84123e-09         1.47471e-11
             0.811409                9.11840e-09         1.44228e-11
             0.811643                9.13028e-09         1.39404e-11
             0.811876                8.38603e-09         1.28858e-11
             0.812109                8.50050e-09         1.34975e-11
             0.812342                8.89548e-09         1.44852e-11
             0.812576                9.09175e-09         1.55316e-11
             0.812809                9.17637e-09         1.47111e-11
             0.813042                8.94107e-09         1.38429e-11
             0.813275                9.33073e-09         1.40273e-11
             0.813508                8.85719e-09         1.35652e-11
             0.813742                8.95920e-09         1.41739e-11
             0.813975                9.20766e-09         1.54859e-11
             0.814208                9.32048e-09         1.54337e-11
             0.814441                9.18595e-09         1.44644e-11
             0.814674                8.82434e-09         1.35752e-11
             0.814907                9.10769e-09         1.38018e-11
             0.815141                9.08135e-09         1.42175e-11
             0.815374                9.06991e-09         1.46894e-11
             0.815607                9.32334e-09         1.58546e-11
             0.815840                9.40632e-09         1.54634e-11
             0.816073                1.00649e-08         1.56106e-11
             0.816306                9.65312e-09         1.46173e-11
             0.816539                8.77671e-09         1.36490e-11
