# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:53 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7587 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 219734'          /                                                
# SPTYPE  = 'M2.5 III Ba0.5'     / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2002 Nov 11'        / UT date of SXD observations                    
# LXDUT   = '2003 Oct 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.809746 / Minimum wavelength (um)                        
# MAXWAVE =              4.99963 / Maximum wavelength (um)                        
# V       =        4.83000000000 / V magnitude                                    
# VERR    =      0.0230000000000 / V magnitude error                              
# (B-V)   =        1.65500000000 / B-V color                                      
# (B-V)ERR=      0.0120000000000 / B-V color error                                
# J       =        1.61500000000 / 2MASS J magnitude                              
# JERR    =       0.198000000000 / 2MASS J magnitude error                        
# H       =       0.539000000000 / 2MASS H magnitude                              
# HERR    =       0.168000000000 / 2MASS H magnitude error                        
# KS      =       0.506000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.182000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.104755000000 / Relative error in the absolute flux calibration
# RV      =       -3.45120500000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.60000000000 / Intrinsic Color                                
# E(B-V)  =      0.0549999000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.809746                8.17273e-10         1.29701e-12
             0.809949                8.49708e-10         1.31663e-12
             0.810151                8.52194e-10         1.31598e-12
             0.810354                8.68629e-10         1.34414e-12
             0.810556                8.77489e-10         1.34323e-12
             0.810759                8.72641e-10         1.34631e-12
             0.810961                8.64290e-10         1.34574e-12
             0.811163                8.60964e-10         1.34419e-12
             0.811366                8.62950e-10         1.34624e-12
             0.811568                8.64720e-10         1.35666e-12
             0.811771                8.18138e-10         1.30476e-12
             0.811973                7.98549e-10         1.29814e-12
             0.812176                8.37239e-10         1.33123e-12
             0.812378                8.73933e-10         1.39007e-12
             0.812580                8.85112e-10         1.39734e-12
             0.812711                8.80428e-10         1.22759e-12
             0.812945                8.78005e-10         1.16973e-12
             0.813178                8.75203e-10         1.14593e-12
             0.813411                8.56177e-10         1.14926e-12
             0.813645                8.57955e-10         1.19910e-12
             0.813878                8.79836e-10         1.26833e-12
             0.814111                8.89567e-10         1.29332e-12
             0.814344                8.75031e-10         1.21520e-12
             0.814578                8.52707e-10         1.15004e-12
             0.814811                8.56582e-10         1.14326e-12
             0.815044                8.69774e-10         1.20435e-12
             0.815277                8.73777e-10         1.23966e-12
             0.815511                8.78082e-10         1.30953e-12
             0.815744                8.84079e-10         1.26912e-12
             0.815977                8.98972e-10         1.21336e-12
             0.816210                8.63983e-10         1.16783e-12
             0.816443                8.23600e-10         1.17270e-12
             0.816676                8.53877e-10         1.22729e-12
             0.816910                8.89023e-10         1.27668e-12
             0.817143                8.87589e-10         1.31665e-12
             0.817376                8.81364e-10         1.22489e-12
             0.817609                8.86619e-10         1.16036e-12
             0.817842                8.90857e-10         1.18461e-12
             0.818075                8.86638e-10         1.22387e-12
             0.818308                8.69017e-10         1.22634e-12
             0.818542                8.38118e-10         1.23550e-12
             0.818775                8.27348e-10         1.19495e-12
             0.819008                8.42284e-10         1.17860e-12
             0.819241                8.89609e-10         1.17632e-12
             0.819474                8.93703e-10         1.17226e-12
             0.819707                8.29231e-10         1.14903e-12
             0.819940                8.24192e-10         1.18031e-12
             0.820173                8.40407e-10         1.24954e-12
             0.820406                8.40517e-10         1.18607e-12
             0.820639                8.24605e-10         1.09989e-12
             0.820872                8.23551e-10         1.07831e-12
             0.821105                8.57699e-10         1.10365e-12
             0.821338                8.61644e-10         1.16382e-12
             0.821571                8.49626e-10         1.18786e-12
             0.821804                8.68189e-10         1.19563e-12
             0.822037                8.81508e-10         1.16493e-12
             0.822270                8.60739e-10         1.11831e-12
             0.822503                8.69830e-10         1.12163e-12
             0.822736                9.00582e-10         1.19038e-12
             0.822969                9.00048e-10         1.29916e-12
             0.823202                8.86595e-10         1.35812e-12
             0.823435                8.78609e-10         1.24415e-12
             0.823668                8.84926e-10         1.16464e-12
             0.823901                8.89176e-10         1.12717e-12
             0.824134                8.76035e-10         1.11073e-12
             0.824367                8.67897e-10         1.13515e-12
             0.824600                8.77550e-10         1.19970e-12
             0.824833                8.96861e-10         1.21675e-12
             0.825066                8.91600e-10         1.14067e-12
             0.825299                8.83969e-10         1.10865e-12
             0.825531                8.44684e-10         1.07489e-12
             0.825764                8.21309e-10         1.10584e-12
             0.825997                8.52220e-10         1.14409e-12
             0.826230                8.97948e-10         1.23911e-12
             0.826463                9.11860e-10         1.19422e-12
             0.826696                9.03209e-10         1.13731e-12
             0.826929                8.93293e-10         1.10247e-12
             0.827162                8.95881e-10         1.11671e-12
             0.827394                8.94507e-10         1.14277e-12
             0.827627                8.81736e-10         1.18679e-12
             0.827860                8.75968e-10         1.20284e-12
             0.828093                8.93617e-10         1.17031e-12
             0.828326                8.94586e-10         1.14018e-12
             0.828559                8.81787e-10         1.10817e-12
             0.828791                8.81379e-10         1.11145e-12
             0.829024                8.77083e-10         1.15004e-12
             0.829257                8.72488e-10         1.16680e-12
             0.829490                8.77314e-10         1.16346e-12
             0.829722                8.68258e-10         1.12456e-12
             0.829955                8.65469e-10         1.09700e-12
             0.830188                8.70867e-10         1.08079e-12
             0.830421                8.71495e-10         1.11031e-12
             0.830653                8.48445e-10         1.11936e-12
             0.830886                8.02076e-10         1.10931e-12
             0.831119                8.04733e-10         1.06133e-12
             0.831352                8.25157e-10         1.05817e-12
             0.831584                8.51532e-10         1.09504e-12
             0.831817                8.85482e-10         1.08931e-12
             0.832050                8.90180e-10         1.11773e-12
             0.832282                8.70704e-10         1.14124e-12
             0.832515                8.61602e-10         1.13117e-12
             0.832748                8.45085e-10         1.07818e-12
             0.832980                8.16853e-10         1.02578e-12
             0.833213                8.37401e-10         1.03462e-12
             0.833446                8.41491e-10         1.05009e-12
             0.833678                8.26450e-10         1.05317e-12
             0.833911                8.44767e-10         1.09373e-12
             0.834144                8.54764e-10         1.14746e-12
             0.834376                8.63585e-10         1.07221e-12
             0.834609                8.60191e-10         1.05876e-12
             0.834842                8.34776e-10         1.02253e-12
             0.835074                8.14497e-10         1.03113e-12
             0.835307                8.37700e-10         1.05898e-12
             0.835539                8.50166e-10         1.09297e-12
             0.835772                8.54659e-10         1.06624e-12
             0.836005                8.68038e-10         1.05374e-12
             0.836237                8.66490e-10         1.03836e-12
             0.836470                8.37610e-10         1.02213e-12
             0.836702                7.99434e-10         1.00081e-12
             0.836935                8.38532e-10         1.05033e-12
             0.837167                8.77590e-10         1.09068e-12
             0.837400                8.72046e-10         1.05665e-12
             0.837633                8.74736e-10         1.04833e-12
             0.837865                8.51990e-10         1.04201e-12
             0.838098                8.36510e-10         1.02076e-12
             0.838330                8.25173e-10         1.01862e-12
             0.838563                7.89315e-10         1.00901e-12
             0.838795                7.89921e-10         1.00480e-12
             0.839028                7.75658e-10         9.66759e-13
             0.839260                8.00957e-10         9.70269e-13
             0.839493                8.74539e-10         1.03717e-12
             0.839725                8.79068e-10         1.07200e-12
             0.839958                8.44916e-10         1.03162e-12
             0.840190                8.56465e-10         1.05741e-12
             0.840422                8.65275e-10         1.03352e-12
             0.840655                8.72957e-10         1.03156e-12
             0.840887                8.95144e-10         1.03971e-12
             0.841120                9.04121e-10         1.05027e-12
             0.841352                8.60744e-10         1.02520e-12
             0.841585                8.30805e-10         1.02030e-12
             0.841817                8.48083e-10         1.03661e-12
             0.842050                8.52998e-10         1.05269e-12
             0.842282                8.59948e-10         1.00614e-12
             0.842514                8.50276e-10         9.96165e-13
             0.842747                7.99682e-10         9.64481e-13
             0.842979                8.03818e-10         9.77375e-13
             0.843212                8.67719e-10         1.03990e-12
             0.843444                8.80749e-10         1.04382e-12
             0.843676                7.73917e-10         9.47901e-13
             0.843909                7.41443e-10         9.17838e-13
             0.844141                8.01159e-10         9.73906e-13
             0.844373                8.28867e-10         9.86004e-13
             0.844606                8.47121e-10         1.01893e-12
             0.844838                8.60043e-10         1.06756e-12
             0.845070                8.46202e-10         1.01770e-12
             0.845303                8.23282e-10         9.71602e-13
             0.845535                8.20658e-10         9.55877e-13
             0.845767                8.15903e-10         9.55482e-13
             0.846000                8.10630e-10         9.57544e-13
             0.846232                8.33739e-10         9.98736e-13
             0.846464                8.51298e-10         1.01126e-12
             0.846697                8.19066e-10         9.66371e-13
             0.846929                7.66111e-10         9.19712e-13
             0.847161                7.61849e-10         9.12142e-13
             0.847393                8.01613e-10         9.45160e-13
             0.847626                8.36984e-10         9.80496e-13
             0.847858                8.50187e-10         1.12211e-12
             0.848090                8.50258e-10         1.00229e-12
             0.848322                8.36761e-10         9.69164e-13
             0.848555                8.28743e-10         9.48185e-13
             0.848787                8.42426e-10         1.00635e-12
             0.849019                8.52532e-10         9.79261e-13
             0.849251                8.57613e-10         9.89459e-13
             0.849484                8.45648e-10         9.95410e-13
             0.849716                7.76353e-10         9.25548e-13
             0.849948                6.27007e-10         8.05932e-13
             0.850180                6.02248e-10         7.86885e-13
             0.850412                7.32748e-10         8.75978e-13
             0.850645                8.07749e-10         9.39758e-13
