# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:55 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7525 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'Gl 381  '           /                                                
# SPTYPE  = 'M2.5 V  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2002 Jan 10'        / UT date of SXD observations                    
# LXDUT   = '2002 Jan 11'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '1500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.809466 / Minimum wavelength (um)                        
# MAXWAVE =              4.95553 / Maximum wavelength (um)                        
# V       =        10.6400000000 / V magnitude                                    
# VERR    =      0.0100000000000 / V magnitude error                              
# (B-V)   =        1.57300000000 / B-V color                                      
# (B-V)ERR=     0.00700000000000 / B-V color error                                
# J       =        7.02100000000 / 2MASS J magnitude                              
# JERR    =      0.0230000000000 / 2MASS J magnitude error                        
# H       =        6.47100000000 / 2MASS H magnitude                              
# HERR    =      0.0490000000000 / 2MASS H magnitude error                        
# KS      =        6.19300000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0260000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0162518000000 / Relative error in the absolute flux calibration
# RV      =        3.32739750000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.52000000000 / Intrinsic Color                                
# E(B-V)  =      0.0530000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.809466                6.36723e-12         1.89852e-14
             0.809668                6.36058e-12         1.88266e-14
             0.809870                6.33062e-12         1.88992e-14
             0.810072                6.36013e-12         1.88481e-14
             0.810275                6.36400e-12         1.89160e-14
             0.810477                6.38524e-12         1.89867e-14
             0.810679                6.43881e-12         1.93322e-14
             0.810882                6.43707e-12         1.90607e-14
             0.811084                6.44678e-12         1.93852e-14
             0.811286                6.41748e-12         1.92352e-14
             0.811489                6.44398e-12         1.92742e-14
             0.811691                6.35389e-12         1.91057e-14
             0.811893                6.25818e-12         1.90201e-14
             0.812095                6.33865e-12         1.91149e-14
             0.812298                6.48349e-12         1.95446e-14
             0.812330                6.45964e-12         1.59614e-14
             0.812563                6.49001e-12         1.66056e-14
             0.812797                6.47797e-12         1.76213e-14
             0.813031                6.49144e-12         1.69916e-14
             0.813265                6.47456e-12         1.61449e-14
             0.813499                6.44955e-12         1.58565e-14
             0.813733                6.48443e-12         1.59836e-14
             0.813967                6.51768e-12         1.63788e-14
             0.814201                6.52914e-12         1.71258e-14
             0.814435                6.49083e-12         1.72728e-14
             0.814669                6.44879e-12         1.63217e-14
             0.814902                6.45089e-12         1.58966e-14
             0.815136                6.46057e-12         1.57659e-14
             0.815370                6.49897e-12         1.60649e-14
             0.815604                6.47835e-12         1.68021e-14
             0.815838                6.52215e-12         1.77989e-14
             0.816072                6.45304e-12         1.67226e-14
             0.816305                6.35064e-12         1.62224e-14
             0.816539                6.38325e-12         1.59336e-14
             0.816773                6.50088e-12         1.59613e-14
             0.817007                6.48612e-12         1.64235e-14
             0.817240                6.50010e-12         1.72256e-14
             0.817474                6.49668e-12         1.66891e-14
             0.817708                6.49725e-12         1.62140e-14
             0.817942                6.34820e-12         1.58811e-14
             0.818175                6.08144e-12         1.53860e-14
             0.818409                5.28051e-12         1.48637e-14
             0.818643                5.16617e-12         1.48745e-14
             0.818876                5.92551e-12         1.66218e-14
             0.819110                6.22495e-12         1.64478e-14
             0.819344                5.87562e-12         1.50692e-14
             0.819577                4.85351e-12         1.38167e-14
             0.819811                4.81063e-12         1.39075e-14
             0.820044                5.65792e-12         1.52616e-14
             0.820278                6.12448e-12         1.61918e-14
             0.820512                6.38127e-12         1.60942e-14
             0.820745                6.35508e-12         1.53819e-14
             0.820979                6.33381e-12         1.49470e-14
             0.821212                6.35049e-12         1.49793e-14
             0.821446                6.38799e-12         1.53653e-14
             0.821679                6.43610e-12         1.60772e-14
             0.821913                6.49100e-12         1.65861e-14
             0.822146                6.35827e-12         1.55689e-14
             0.822380                6.34335e-12         1.52169e-14
             0.822613                6.54134e-12         1.57442e-14
