# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:57 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7683 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'Gl 581  '           /                                                
# SPTYPE  = 'M2.5 V  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Jul 07'        / UT date of SXD observations                    
# LXDUT   = '2003 Jul 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.805440 / Minimum wavelength (um)                        
# MAXWAVE =              5.07176 / Maximum wavelength (um)                        
# V       =        10.5720000000 / V magnitude                                    
# VERR    =     0.00900000000000 / V magnitude error                              
# (B-V)   =        1.60100000000 / B-V color                                      
# (B-V)ERR=     0.00900000000000 / B-V color error                                
# J       =        6.70600000000 / 2MASS J magnitude                              
# JERR    =      0.0260000000000 / 2MASS J magnitude error                        
# H       =        6.09500000000 / 2MASS H magnitude                              
# HERR    =      0.0330000000000 / 2MASS H magnitude error                        
# KS      =        5.83700000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0230000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0152713000000 / Relative error in the absolute flux calibration
# RV      =        1.99183540000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.52000000000 / Intrinsic Color                                
# E(B-V)  =      0.0810000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.805440                8.65078e-12         2.52552e-14
             0.805642                8.65417e-12         2.52888e-14
             0.805845                8.67641e-12         2.53450e-14
             0.806047                8.67342e-12         2.54316e-14
             0.806249                8.72046e-12         2.54662e-14
             0.806451                8.67333e-12         2.56232e-14
             0.806654                8.67246e-12         2.55904e-14
             0.806856                8.60810e-12         2.54162e-14
             0.807058                8.50124e-12         2.54288e-14
             0.807260                8.55915e-12         2.55474e-14
             0.807462                8.66798e-12         2.56043e-14
             0.807665                8.66206e-12         2.57451e-14
             0.807867                8.67339e-12         2.56400e-14
             0.808069                8.76360e-12         2.59636e-14
             0.808271                8.70151e-12         2.58769e-14
             0.808473                8.75156e-12         2.58460e-14
             0.808676                8.71667e-12         2.60365e-14
             0.808878                8.74632e-12         2.61660e-14
             0.809080                8.77748e-12         2.59371e-14
             0.809107                8.77399e-12         2.20442e-14
             0.809340                8.77834e-12         2.30999e-14
             0.809574                8.77670e-12         2.44290e-14
             0.809807                8.76514e-12         2.42256e-14
             0.810041                8.76605e-12         2.27150e-14
             0.810275                8.76701e-12         2.19362e-14
             0.810508                8.76353e-12         2.19174e-14
             0.810742                8.80180e-12         2.24288e-14
             0.810975                8.88540e-12         2.36979e-14
             0.811209                8.87406e-12         2.45419e-14
             0.811442                8.88370e-12         2.32642e-14
             0.811676                8.78431e-12         2.21303e-14
             0.811909                8.54786e-12         2.14439e-14
             0.812143                8.80066e-12         2.20722e-14
             0.812376                8.92749e-12         2.31097e-14
             0.812610                8.98222e-12         2.43804e-14
             0.812843                8.97721e-12         2.36822e-14
             0.813077                9.00003e-12         2.25840e-14
             0.813310                8.95833e-12         2.20314e-14
             0.813544                8.91780e-12         2.21325e-14
             0.813777                8.99449e-12         2.28084e-14
             0.814011                9.03160e-12         2.37664e-14
             0.814244                8.97302e-12         2.42812e-14
             0.814478                8.92144e-12         2.31993e-14
             0.814711                8.82815e-12         2.20791e-14
             0.814944                8.89987e-12         2.18456e-14
             0.815178                8.92979e-12         2.23681e-14
             0.815411                8.94496e-12         2.32770e-14
             0.815645                8.94636e-12         2.48741e-14
             0.815878                8.93600e-12         2.34592e-14
             0.816111                8.85650e-12         2.24348e-14
             0.816345                8.74160e-12         2.21361e-14
             0.816578                8.96044e-12         2.27101e-14
             0.816811                8.97319e-12         2.32488e-14
             0.817045                8.99891e-12         2.39579e-14
             0.817278                8.99108e-12         2.41705e-14
             0.817511                8.97855e-12         2.26916e-14
             0.817745                8.92404e-12         2.21754e-14
             0.817978                8.76385e-12         2.22436e-14
             0.818211                8.22727e-12         2.17866e-14
             0.818445                6.97060e-12         2.08185e-14
             0.818678                6.93170e-12         2.13736e-14
             0.818911                8.03714e-12         2.23821e-14
             0.819144                8.41376e-12         2.18750e-14
             0.819378                7.84951e-12         2.05949e-14
             0.819611                6.37963e-12         1.89599e-14
             0.819844                6.41196e-12         1.92896e-14
             0.820077                7.71161e-12         2.18530e-14
             0.820311                8.45864e-12         2.28923e-14
             0.820544                8.68428e-12         2.19136e-14
             0.820777                8.66239e-12         2.11215e-14
             0.821010                8.65827e-12         2.09419e-14
             0.821243                8.76879e-12         2.14306e-14
             0.821477                8.77657e-12         2.21552e-14
             0.821710                8.81064e-12         2.31658e-14
             0.821943                8.75848e-12         2.29201e-14
             0.822176                8.64230e-12         2.14684e-14
             0.822409                8.74283e-12         2.11218e-14
             0.822642                8.90901e-12         2.16221e-14
             0.822875                8.90777e-12         2.27359e-14
             0.823109                8.93469e-12         2.44149e-14
             0.823342                8.98330e-12         2.39942e-14
             0.823575                8.94941e-12         2.25795e-14
             0.823808                8.94736e-12         2.13515e-14
             0.824041                8.93552e-12         2.09081e-14
             0.824274                8.94155e-12         2.12667e-14
             0.824507                8.95735e-12         2.22207e-14
             0.824740                8.98976e-12         2.28706e-14
             0.824973                8.95027e-12         2.18437e-14
             0.825206                8.92490e-12         2.10932e-14
             0.825439                8.80545e-12         2.07276e-14
             0.825672                8.70755e-12         2.07207e-14
             0.825905                8.76165e-12         2.13646e-14
             0.826138                8.91381e-12         2.21777e-14
             0.826371                9.02798e-12         2.24084e-14
             0.826604                8.99439e-12         2.19560e-14
             0.826837                9.00305e-12         2.08232e-14
             0.827070                8.94776e-12         2.09002e-14
             0.827303                8.88722e-12         2.15423e-14
             0.827536                8.89375e-12         2.17114e-14
             0.827769                8.91076e-12         2.25971e-14
             0.828002                8.91662e-12         2.18477e-14
             0.828235                8.86180e-12         2.30058e-14
             0.828468                8.87087e-12         2.08033e-14
             0.828701                8.84119e-12         2.06062e-14
             0.828934                8.79994e-12         2.11410e-14
             0.829167                8.72837e-12         2.17911e-14
             0.829400                8.72178e-12         2.17523e-14
             0.829633                8.73700e-12         2.11928e-14
             0.829866                8.77748e-12         2.06349e-14
             0.830099                8.73286e-12         2.02927e-14
             0.830331                8.69103e-12         2.06958e-14
             0.830564                8.64362e-12         2.12101e-14
             0.830797                8.61725e-12         2.17672e-14
             0.831030                8.63705e-12         2.11756e-14
             0.831263                8.69334e-12         2.05567e-14
             0.831496                8.73480e-12         2.03294e-14
             0.831729                8.74427e-12         2.02589e-14
             0.831961                8.79000e-12         2.07889e-14
             0.832194                8.80714e-12         2.13888e-14
             0.832427                8.82369e-12         2.17124e-14
             0.832660                8.67128e-12         2.07280e-14
             0.832893                8.20639e-12         1.96765e-14
             0.833125                8.42012e-12         1.97364e-14
