# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:46 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7522 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 120052'          /                                                
# SPTYPE  = 'M2 III  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2002 May 28'        / UT date of SXD observations                    
# LXDUT   = '2002 May 28'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.812658 / Minimum wavelength (um)                        
# MAXWAVE =              4.95055 / Maximum wavelength (um)                        
# V       =        5.43600000000 / V magnitude                                    
# VERR    =      0.0150000000000 / V magnitude error                              
# (B-V)   =        1.61900000000 / B-V color                                      
# (B-V)ERR=     0.00900000000000 / B-V color error                                
# J       =        1.88400000000 / 2MASS J magnitude                              
# JERR    =       0.252000000000 / 2MASS J magnitude error                        
# H       =        1.01800000000 / 2MASS H magnitude                              
# HERR    =       0.216000000000 / 2MASS H magnitude error                        
# KS      =       0.730000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.256000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.138093000000 / Relative error in the absolute flux calibration
# RV      =        71.3413640000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.60000000000 / Intrinsic Color                                
# E(B-V)  =      0.0189999000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.812658                6.31915e-10         1.13693e-12
             0.812860                6.30955e-10         1.14060e-12
             0.813062                6.30403e-10         1.16000e-12
             0.813265                6.17485e-10         1.16234e-12
             0.813467                6.14995e-10         1.17978e-12
             0.813669                6.28838e-10         1.17841e-12
             0.813872                6.39925e-10         1.18143e-12
             0.814074                6.31674e-10         1.18672e-12
             0.814276                6.32691e-10         1.19185e-12
             0.814478                6.20025e-10         1.17840e-12
             0.814681                6.09206e-10         1.18865e-12
             0.814883                6.22008e-10         1.20556e-12
             0.815085                6.29794e-10         1.21972e-12
             0.815288                6.28552e-10         1.23598e-12
             0.815390                6.29952e-10         1.12633e-12
             0.815623                6.33857e-10         1.05591e-12
             0.815856                6.36294e-10         1.00672e-12
             0.816089                6.09350e-10         1.00225e-12
             0.816323                5.85935e-10         1.02342e-12
             0.816556                6.18529e-10         1.03731e-12
             0.816789                6.33749e-10         1.08446e-12
             0.817022                6.31589e-10         1.08524e-12
             0.817255                6.36295e-10         1.00369e-12
             0.817489                6.31608e-10         9.74838e-13
             0.817722                6.27806e-10         1.01049e-12
             0.817955                6.35916e-10         1.03410e-12
             0.818188                6.28514e-10         1.02940e-12
             0.818421                6.05398e-10         1.05690e-12
             0.818654                5.95256e-10         1.01681e-12
             0.818887                6.07334e-10         9.87695e-13
             0.819121                6.29097e-10         9.80876e-13
             0.819354                6.31830e-10         9.61138e-13
             0.819587                5.95494e-10         9.73487e-13
             0.819820                5.89467e-10         1.01845e-12
             0.820053                6.06741e-10         1.03426e-12
             0.820286                6.08812e-10         9.59234e-13
             0.820519                5.95284e-10         9.10267e-13
             0.820752                5.91657e-10         8.94258e-13
             0.820985                6.09197e-10         9.26474e-13
             0.821218                6.14291e-10         9.65407e-13
             0.821451                6.05017e-10         9.99218e-13
             0.821684                6.13694e-10         9.84389e-13
             0.821917                6.25002e-10         9.61726e-13
             0.822150                6.15506e-10         9.27988e-13
             0.822383                6.20542e-10         9.43884e-13
             0.822617                6.31589e-10         1.02852e-12
             0.822850                6.33422e-10         1.13195e-12
             0.823083                6.39762e-10         1.11475e-12
             0.823316                6.28248e-10         1.01772e-12
             0.823548                6.28587e-10         9.49217e-13
             0.823781                6.31296e-10         9.20537e-13
             0.824014                6.22645e-10         9.20692e-13
             0.824247                6.14752e-10         9.55726e-13
             0.824480                6.23865e-10         9.92377e-13
             0.824713                6.34258e-10         9.62000e-13
             0.824946                6.28245e-10         9.19916e-13
             0.825179                6.26038e-10         9.11070e-13
             0.825412                6.04501e-10         9.00742e-13
             0.825645                5.86252e-10         9.34687e-13
