# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:43 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4139 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 23475'           /                                                
# SPTYPE  = 'M2 II   '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2003 Jan 16'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.810111 / Minimum wavelength (um)                        
# MAXWAVE =              2.41824 / Maximum wavelength (um)                        
# V       =        4.46200000000 / V magnitude                                    
# VERR    =      0.0330000000000 / V magnitude error                              
# (B-V)   =        1.87700000000 / B-V color                                      
# (B-V)ERR=      0.0160000000000 / B-V color error                                
# J       =       0.567000000000 / 2MASS J magnitude                              
# JERR    =       0.194000000000 / 2MASS J magnitude error                        
# H       =      -0.422000000000 / 2MASS H magnitude                              
# HERR    =       0.158000000000 / 2MASS H magnitude error                        
# KS      =      -0.650000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.166000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0985723000000 / Relative error in the absolute flux calibration
# RV      =        43.2352940000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.59000000000 / Intrinsic Color                                
# E(B-V)  =       0.287000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810111                2.06426e-09         6.69908e-12
             0.810313                2.10189e-09         6.82306e-12
             0.810516                2.11672e-09         6.91363e-12
             0.810718                2.09552e-09         6.78888e-12
             0.810920                2.10255e-09         6.90413e-12
             0.811122                2.08759e-09         6.84014e-12
             0.811325                2.10020e-09         6.90503e-12
             0.811527                2.08588e-09         6.83817e-12
             0.811729                1.96951e-09         6.48917e-12
             0.811932                1.95193e-09         6.47591e-12
             0.812134                2.02780e-09         6.80545e-12
             0.812336                2.11335e-09         6.98164e-12
             0.812538                2.16654e-09         7.24750e-12
             0.812741                2.14521e-09         7.15586e-12
             0.812943                2.15404e-09         7.18815e-12
             0.813145                2.15339e-09         7.20480e-12
             0.813347                2.11494e-09         7.19140e-12
             0.813371                2.10687e-09         6.10480e-12
             0.813604                2.09884e-09         6.32054e-12
             0.813838                2.15884e-09         6.88016e-12
             0.814071                2.18765e-09         6.98133e-12
             0.814304                2.16052e-09         6.51653e-12
             0.814537                2.09937e-09         6.11886e-12
             0.814770                2.09896e-09         6.02279e-12
             0.815003                2.13862e-09         6.34575e-12
             0.815236                2.14861e-09         6.70114e-12
             0.815469                2.16361e-09         7.12954e-12
             0.815702                2.18076e-09         6.85381e-12
             0.815935                2.21790e-09         6.59930e-12
             0.816168                2.16573e-09         6.32164e-12
             0.816401                2.05962e-09         6.20272e-12
             0.816635                2.09404e-09         6.48586e-12
             0.816868                2.19546e-09         7.03542e-12
             0.817101                2.19159e-09         7.10958e-12
             0.817334                2.16055e-09         6.66730e-12
             0.817567                2.17517e-09         6.32206e-12
             0.817800                2.23728e-09         6.53511e-12
             0.818033                2.21474e-09         7.06767e-12
             0.818266                2.13683e-09         6.75876e-12
             0.818499                2.03339e-09         6.62551e-12
             0.818732                2.02413e-09         6.36188e-12
             0.818965                2.07678e-09         6.28558e-12
             0.819198                2.21478e-09         6.49262e-12
             0.819431                2.23811e-09         6.59021e-12
             0.819663                2.02481e-09         6.10550e-12
             0.819896                2.02400e-09         6.39610e-12
             0.820129                2.06632e-09         6.64746e-12
             0.820362                2.03370e-09         6.15334e-12
             0.820595                1.97509e-09         6.56909e-12
             0.820828                1.97845e-09         5.61830e-12
             0.821061                2.09243e-09         6.06331e-12
             0.821294                2.13236e-09         6.35823e-12
             0.821527                2.08569e-09         6.53866e-12
             0.821760                2.12521e-09         6.56825e-12
             0.821993                2.17491e-09         6.73483e-12
             0.822225                2.14167e-09         6.34673e-12
