# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:44 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4139 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 23475'           /                                                
# SPTYPE  = 'M2 II   '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2003 Jan 16'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.810111 / Minimum wavelength (um)                        
# MAXWAVE =              2.41824 / Maximum wavelength (um)                        
# V       =        4.46200000000 / V magnitude                                    
# VERR    =      0.0330000000000 / V magnitude error                              
# (B-V)   =        1.87700000000 / B-V color                                      
# (B-V)ERR=      0.0160000000000 / B-V color error                                
# J       =       0.567000000000 / 2MASS J magnitude                              
# JERR    =       0.194000000000 / 2MASS J magnitude error                        
# H       =      -0.422000000000 / 2MASS H magnitude                              
# HERR    =       0.158000000000 / 2MASS H magnitude error                        
# KS      =      -0.650000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.166000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0985723000000 / Relative error in the absolute flux calibration
# RV      =        43.2352940000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.59000000000 / Intrinsic Color                                
# E(B-V)  =       0.287000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810111                3.11554e-09         1.01108e-11
             0.810313                3.17174e-09         1.02960e-11
             0.810516                3.19351e-09         1.04307e-11
             0.810718                3.16094e-09         1.02405e-11
             0.810920                3.17095e-09         1.04124e-11
             0.811122                3.14779e-09         1.03140e-11
             0.811325                3.16620e-09         1.04098e-11
             0.811527                3.14402e-09         1.03071e-11
             0.811729                2.96807e-09         9.77922e-12
             0.811932                2.94102e-09         9.75739e-12
             0.812134                3.05476e-09         1.02520e-11
             0.812336                3.18303e-09         1.05154e-11
             0.812538                3.26254e-09         1.09138e-11
             0.812741                3.22981e-09         1.07738e-11
             0.812943                3.24250e-09         1.08204e-11
             0.813145                3.24091e-09         1.08434e-11
             0.813347                3.18244e-09         1.08212e-11
             0.813371                3.17024e-09         9.18598e-12
             0.813604                3.15747e-09         9.50856e-12
             0.813838                3.24704e-09         1.03482e-11
             0.814071                3.28966e-09         1.04981e-11
             0.814304                3.24817e-09         9.79707e-12
             0.814537                3.15555e-09         9.19724e-12
             0.814770                3.15427e-09         9.05090e-12
             0.815003                3.21317e-09         9.53419e-12
             0.815236                3.22749e-09         1.00660e-11
             0.815469                3.24933e-09         1.07072e-11
             0.815702                3.27439e-09         1.02909e-11
             0.815935                3.32944e-09         9.90666e-12
             0.816168                3.25043e-09         9.48782e-12
             0.816401                3.09051e-09         9.30735e-12
             0.816635                3.14149e-09         9.73013e-12
             0.816868                3.29295e-09         1.05523e-11
             0.817101                3.28643e-09         1.06613e-11
             0.817334                3.23921e-09         9.99595e-12
             0.817567                3.26043e-09         9.47633e-12
             0.817800                3.35282e-09         9.79361e-12
             0.818033                3.31833e-09         1.05895e-11
             0.818266                3.20092e-09         1.01245e-11
             0.818499                3.04534e-09         9.92277e-12
             0.818732                3.03082e-09         9.52594e-12
             0.818965                3.10900e-09         9.40970e-12
             0.819198                3.31489e-09         9.71758e-12
             0.819431                3.34910e-09         9.86158e-12
             0.819663                3.02928e-09         9.13433e-12
             0.819896                3.02744e-09         9.56708e-12
             0.820129                3.09008e-09         9.94096e-12
             0.820362                3.04067e-09         9.20009e-12
             0.820595                2.95242e-09         9.81963e-12
             0.820828                2.95682e-09         8.39661e-12
             0.821061                3.12651e-09         9.05978e-12
             0.821294                3.18549e-09         9.49846e-12
             0.821527                3.11512e-09         9.76596e-12
             0.821760                3.17349e-09         9.80810e-12
             0.821993                3.24702e-09         1.00547e-11
             0.822225                3.19673e-09         9.47336e-12
