# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:38 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7600 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 10465'           /                                                
# SPTYPE  = 'M2 Ib   '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Jan 16'        / UT date of SXD observations                    
# LXDUT   = '2003 Oct 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.809990 / Minimum wavelength (um)                        
# MAXWAVE =              5.00424 / Maximum wavelength (um)                        
# V       =        6.81600000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.86000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        2.65800000000 / 2MASS J magnitude                              
# JERR    =       0.218000000000 / 2MASS J magnitude error                        
# H       =        1.86200000000 / 2MASS H magnitude                              
# HERR    =       0.168000000000 / 2MASS H magnitude error                        
# KS      =        1.50700000000 / 2MASS Ks magnitude                             
# KSERR   =       0.194000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.109736000000 / Relative error in the absolute flux calibration
# RV      =       -66.4368240000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.65000000000 / Intrinsic Color                                
# E(B-V)  =       0.210000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.809990                2.64985e-10         5.36291e-13
             0.810192                2.66819e-10         5.39305e-13
             0.810395                2.72838e-10         5.43888e-13
             0.810597                2.70435e-10         5.42189e-13
             0.810799                2.68271e-10         5.40890e-13
             0.811001                2.69758e-10         5.43498e-13
             0.811203                2.69684e-10         5.47017e-13
             0.811406                2.72138e-10         5.49691e-13
             0.811608                2.67826e-10         5.44605e-13
             0.811810                2.51392e-10         5.25012e-13
             0.812012                2.52783e-10         5.26307e-13
             0.812214                2.66948e-10         5.44101e-13
             0.812416                2.74423e-10         5.56869e-13
             0.812619                2.80350e-10         5.68732e-13
             0.812821                2.77262e-10         5.69882e-13
             0.812922                2.76067e-10         5.24428e-13
             0.813156                2.76425e-10         4.94072e-13
             0.813389                2.67794e-10         4.63123e-13
             0.813623                2.69734e-10         4.57759e-13
             0.813856                2.80226e-10         4.74853e-13
             0.814090                2.83648e-10         4.96716e-13
             0.814323                2.79451e-10         5.17219e-13
             0.814557                2.69565e-10         5.01664e-13
             0.814790                2.72697e-10         4.81259e-13
             0.815024                2.77395e-10         4.68442e-13
             0.815257                2.78810e-10         4.73651e-13
             0.815491                2.80481e-10         4.87419e-13
             0.815724                2.82482e-10         5.06065e-13
             0.815958                2.89987e-10         5.40159e-13
             0.816191                2.76644e-10         4.90083e-13
             0.816425                2.59268e-10         4.58151e-13
             0.816658                2.73474e-10         4.72554e-13
             0.816892                2.85634e-10         4.93773e-13
             0.817125                2.86027e-10         5.02342e-13
             0.817358                2.82741e-10         5.21921e-13
             0.817592                2.82859e-10         5.13109e-13
             0.817825                2.86569e-10         4.84339e-13
             0.818058                2.86118e-10         4.77993e-13
             0.818292                2.78712e-10         4.77849e-13
             0.818525                2.66233e-10         4.70295e-13
             0.818759                2.63369e-10         4.81295e-13
             0.818992                2.70920e-10         5.02281e-13
             0.819225                2.92041e-10         5.08275e-13
             0.819459                2.91917e-10         4.86551e-13
             0.819692                2.62229e-10         4.48585e-13
             0.819925                2.68090e-10         4.58665e-13
             0.820158                2.70507e-10         4.77306e-13
             0.820392                2.58885e-10         4.86500e-13
             0.820625                2.46722e-10         4.61507e-13
             0.820858                2.49773e-10         4.42501e-13
             0.821092                2.68640e-10         4.45834e-13
             0.821325                2.73954e-10         4.48339e-13
             0.821558                2.66805e-10         4.50543e-13
             0.821791                2.76618e-10         4.77668e-13
             0.822025                2.84189e-10         4.97653e-13
             0.822258                2.74026e-10         4.68229e-13
             0.822491                2.76950e-10         4.58130e-13
             0.822724                2.93726e-10         4.69596e-13
             0.822957                2.95774e-10         4.82744e-13
