# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:41 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7600 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 10465'           /                                                
# SPTYPE  = 'M2 Ib   '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Jan 16'        / UT date of SXD observations                    
# LXDUT   = '2003 Oct 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.809990 / Minimum wavelength (um)                        
# MAXWAVE =              5.00424 / Maximum wavelength (um)                        
# V       =        6.81600000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.86000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        2.65800000000 / 2MASS J magnitude                              
# JERR    =       0.218000000000 / 2MASS J magnitude error                        
# H       =        1.86200000000 / 2MASS H magnitude                              
# HERR    =       0.168000000000 / 2MASS H magnitude error                        
# KS      =        1.50700000000 / 2MASS Ks magnitude                             
# KSERR   =       0.194000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.109736000000 / Relative error in the absolute flux calibration
# RV      =       -66.4368240000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.65000000000 / Intrinsic Color                                
# E(B-V)  =       0.210000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.809990                3.58149e-10         7.24843e-13
             0.810192                3.60579e-10         7.28816e-13
             0.810395                3.68662e-10         7.34908e-13
             0.810597                3.65365e-10         7.32511e-13
             0.810799                3.62390e-10         7.30655e-13
             0.811001                3.64349e-10         7.34077e-13
             0.811203                3.64199e-10         7.38728e-13
             0.811406                3.67462e-10         7.42236e-13
             0.811608                3.61590e-10         7.35268e-13
             0.811810                3.39357e-10         7.08718e-13
             0.812012                3.41187e-10         7.10368e-13
             0.812214                3.60256e-10         7.34284e-13
             0.812416                3.70293e-10         7.51412e-13
             0.812619                3.78239e-10         7.67314e-13
             0.812821                3.74021e-10         7.68761e-13
             0.812922                3.72384e-10         7.07396e-13
             0.813156                3.72808e-10         6.66344e-13
             0.813389                3.61110e-10         6.24504e-13
             0.813623                3.63668e-10         6.17173e-13
             0.813856                3.77754e-10         6.40119e-13
             0.814090                3.82308e-10         6.69486e-13
             0.814323                3.76592e-10         6.97011e-13
             0.814557                3.63212e-10         6.75943e-13
             0.814790                3.67374e-10         6.48346e-13
             0.815024                3.73644e-10         6.30981e-13
             0.815257                3.75492e-10         6.37897e-13
             0.815491                3.77683e-10         6.56337e-13
             0.815724                3.80317e-10         6.81338e-13
             0.815958                3.90361e-10         7.27126e-13
             0.816191                3.72341e-10         6.59613e-13
             0.816425                3.48900e-10         6.16539e-13
             0.816658                3.67959e-10         6.35823e-13
             0.816892                3.84262e-10         6.64269e-13
             0.817125                3.84730e-10         6.75691e-13
             0.817358                3.80250e-10         7.01917e-13
             0.817592                3.80350e-10         6.89959e-13
             0.817825                3.85278e-10         6.51172e-13
             0.818058                3.84614e-10         6.42540e-13
             0.818292                3.74600e-10         6.42246e-13
             0.818525                3.57772e-10         6.31997e-13
             0.818759                3.53868e-10         6.46677e-13
             0.818992                3.63958e-10         6.74770e-13
             0.819225                3.92271e-10         6.82717e-13
             0.819459                3.92044e-10         6.53436e-13
             0.819692                3.52118e-10         6.02355e-13
             0.819925                3.59933e-10         6.15795e-13
             0.820158                3.63121e-10         6.40725e-13
             0.820392                3.47468e-10         6.52965e-13
             0.820625                3.31091e-10         6.19325e-13
             0.820858                3.35134e-10         5.93729e-13
             0.821092                3.60394e-10         5.98108e-13
             0.821325                3.67466e-10         6.01376e-13
             0.821558                3.57822e-10         6.04240e-13
             0.821791                3.70927e-10         6.40520e-13
             0.822025                3.81020e-10         6.67217e-13
             0.822258                3.67338e-10         6.27672e-13
             0.822491                3.71202e-10         6.14039e-13
             0.822724                3.93626e-10         6.29311e-13
             0.822957                3.96309e-10         6.46832e-13
