# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:50 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4146 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'Gl 806  '           /                                                
# SPTYPE  = 'M2 V    '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2003 Jul 07'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.808465 / Minimum wavelength (um)                        
# MAXWAVE =              2.41878 / Maximum wavelength (um)                        
# V       =        10.7300000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.57000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        7.32900000000 / 2MASS J magnitude                              
# JERR    =      0.0180000000000 / 2MASS J magnitude error                        
# H       =        6.76900000000 / 2MASS H magnitude                              
# HERR    =      0.0230000000000 / 2MASS H magnitude error                        
# KS      =        6.53300000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0160000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0106101000000 / Relative error in the absolute flux calibration
# RV      =       -24.8857660000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.55000000000 / Intrinsic Color                                
# E(B-V)  =      0.0200001000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.808465                5.30554e-12         1.98696e-14
             0.808668                5.27336e-12         1.98004e-14
             0.808870                5.22799e-12         1.96394e-14
             0.809072                5.27319e-12         1.99977e-14
             0.809274                5.31871e-12         1.99797e-14
             0.809477                5.28940e-12         2.01479e-14
             0.809679                5.29684e-12         2.00685e-14
             0.809881                5.30600e-12         2.00346e-14
             0.810083                5.28856e-12         2.00046e-14
             0.810286                5.27443e-12         2.00495e-14
             0.810488                5.34206e-12         2.02866e-14
             0.810690                5.33454e-12         2.03249e-14
             0.810892                5.30615e-12         2.00713e-14
             0.811094                5.30879e-12         2.02003e-14
             0.811297                5.31988e-12         2.02951e-14
             0.811499                5.33431e-12         2.04521e-14
             0.811656                5.28515e-12         1.71506e-14
             0.811890                5.13329e-12         1.62734e-14
             0.812123                5.26067e-12         1.65506e-14
             0.812357                5.32952e-12         1.72233e-14
             0.812590                5.33960e-12         1.80530e-14
             0.812824                5.36522e-12         1.85474e-14
             0.813057                5.37223e-12         1.75199e-14
             0.813290                5.35323e-12         1.69405e-14
             0.813524                5.31554e-12         1.66466e-14
             0.813757                5.34417e-12         1.69856e-14
             0.813991                5.38645e-12         1.78336e-14
             0.814224                5.38116e-12         1.86794e-14
             0.814458                5.31209e-12         1.78509e-14
             0.814691                5.26716e-12         1.69207e-14
             0.814924                5.34106e-12         1.66767e-14
             0.815158                5.30436e-12         1.66830e-14
             0.815391                5.35438e-12         1.76370e-14
             0.815625                5.35632e-12         1.81942e-14
             0.815858                5.34247e-12         1.83561e-14
             0.816091                5.31706e-12         1.73443e-14
             0.816325                5.20633e-12         1.66756e-14
             0.816558                5.28518e-12         1.66739e-14
             0.816791                5.34440e-12         1.70598e-14
             0.817025                5.38426e-12         1.76097e-14
             0.817258                5.34690e-12         1.85693e-14
             0.817491                5.34907e-12         1.77173e-14
             0.817725                5.36223e-12         1.70032e-14
             0.817958                5.32707e-12         1.66847e-14
             0.818191                5.09536e-12         1.63011e-14
             0.818424                4.47608e-12         1.54465e-14
             0.818658                4.33813e-12         1.55416e-14
             0.818891                4.88506e-12         1.70520e-14
             0.819124                5.15066e-12         1.71196e-14
             0.819357                4.99004e-12         1.59507e-14
             0.819591                4.18477e-12         1.42587e-14
             0.819824                4.03326e-12         1.39857e-14
             0.820057                4.75267e-12         1.60224e-14
             0.820290                5.08736e-12         1.73085e-14
             0.820523                5.19085e-12         1.69249e-14
             0.820757                5.19388e-12         1.70692e-14
             0.820990                5.21677e-12         1.60698e-14
             0.821223                5.25141e-12         1.60823e-14
             0.821456                5.23642e-12         1.64704e-14
             0.821689                5.25374e-12         1.71142e-14
             0.821922                5.29201e-12         1.73989e-14
             0.822156                5.18075e-12         1.64367e-14
             0.822389                5.19515e-12         1.60426e-14
             0.822622                5.31327e-12         1.61687e-14
             0.822855                5.38272e-12         1.67048e-14
             0.823088                5.38519e-12         1.76054e-14
             0.823321                5.35455e-12         1.83933e-14
             0.823554                5.32680e-12         1.72667e-14
             0.823787                5.35771e-12         1.65004e-14
             0.824020                5.30240e-12         1.60127e-14
             0.824254                5.32565e-12         1.60789e-14
             0.824487                5.30220e-12         1.64208e-14
             0.824720                5.32194e-12         1.71064e-14
             0.824953                5.29499e-12         1.70456e-14
             0.825186                5.26059e-12         1.63824e-14
             0.825419                5.24652e-12         1.58183e-14
             0.825652                5.18649e-12         1.56561e-14
             0.825885                5.21413e-12         1.59009e-14
             0.826118                5.34165e-12         1.66669e-14
             0.826351                5.38283e-12         1.73688e-14
             0.826584                5.36935e-12         1.73261e-14
             0.826817                5.37840e-12         1.63217e-14
             0.827050                5.33848e-12         1.58377e-14
             0.827283                5.27375e-12         1.57579e-14
             0.827516                5.32387e-12         1.66063e-14
             0.827749                5.32103e-12         1.69175e-14
             0.827982                5.31920e-12         1.71514e-14
             0.828214                5.33279e-12         1.65162e-14
             0.828447                5.33266e-12         1.61901e-14
             0.828680                5.31513e-12         1.57856e-14
             0.828913                5.34349e-12         1.62270e-14
             0.829146                5.29439e-12         1.65166e-14
             0.829379                5.23040e-12         1.67642e-14
             0.829612                5.24192e-12         1.64704e-14
             0.829845                5.26549e-12         1.60524e-14
             0.830078                5.29999e-12         1.57649e-14
             0.830311                5.25757e-12         1.58982e-14
             0.830543                5.24166e-12         1.58151e-14
             0.830776                5.16847e-12         1.62938e-14
             0.831009                5.16287e-12         1.65006e-14
             0.831242                5.20538e-12         1.59750e-14
             0.831475                5.22171e-12         1.55313e-14
             0.831708                5.27146e-12         1.57797e-14
             0.831940                5.33070e-12         1.57493e-14
             0.832173                5.30174e-12         1.60414e-14
             0.832406                5.26416e-12         1.63947e-14
             0.832639                5.17240e-12         1.60816e-14
             0.832872                4.90885e-12         1.50678e-14
             0.833104                4.96346e-12         1.50176e-14
             0.833337                5.15140e-12         1.51657e-14
             0.833570                5.08275e-12         1.52412e-14
             0.833803                5.09242e-12         1.55740e-14
             0.834035                5.15967e-12         1.61533e-14
             0.834268                5.27485e-12         1.59949e-14
             0.834501                5.25693e-12         1.55174e-14
             0.834734                5.21235e-12         1.51132e-14
             0.834966                5.18644e-12         1.51507e-14
             0.835199                5.20326e-12         1.54500e-14
             0.835432                5.19328e-12         1.59740e-14
             0.835665                5.21856e-12         1.62219e-14
             0.835897                5.26820e-12         1.57137e-14
             0.836130                5.26453e-12         1.56595e-14
             0.836363                5.17484e-12         1.50533e-14
             0.836595                4.98501e-12         1.47735e-14
             0.836828                5.04140e-12         1.51152e-14
             0.837061                5.24509e-12         1.59100e-14
             0.837293                5.27496e-12         1.58125e-14
             0.837526                5.18056e-12         1.54827e-14
             0.837758                5.08602e-12         1.48092e-14
             0.837991                4.99626e-12         1.46385e-14
             0.838224                4.99374e-12         1.48518e-14
             0.838456                4.83291e-12         1.48155e-14
             0.838689                4.85513e-12         1.50703e-14
             0.838921                4.75165e-12         1.45905e-14
             0.839154                4.79365e-12         1.43734e-14
             0.839387                5.14453e-12         1.48324e-14
             0.839619                5.15845e-12         1.48555e-14
             0.839852                5.04151e-12         1.50455e-14
             0.840084                5.08466e-12         1.53235e-14
             0.840317                5.18875e-12         1.54004e-14
             0.840549                5.20459e-12         1.51167e-14
             0.840782                5.24460e-12         1.49367e-14
             0.841015                5.23938e-12         1.50311e-14
             0.841247                5.10093e-12         1.47590e-14
             0.841480                4.92905e-12         1.46493e-14
             0.841712                5.06071e-12         1.51518e-14
             0.841945                5.14125e-12         1.51452e-14
             0.842177                5.14766e-12         1.48276e-14
             0.842410                5.11216e-12         1.52754e-14
             0.842642                5.02779e-12         1.44961e-14
             0.842875                4.86167e-12         1.43184e-14
             0.843107                5.00714e-12         1.48126e-14
             0.843339                5.10627e-12         1.51505e-14
             0.843572                4.64739e-12         1.38799e-14
             0.843804                4.32472e-12         1.31177e-14
             0.844037                4.75343e-12         1.38635e-14
             0.844269                4.99263e-12         1.43605e-14
             0.844502                5.01182e-12         1.50541e-14
             0.844734                4.96511e-12         1.47780e-14
             0.844966                4.94698e-12         1.46096e-14
             0.845199                4.96673e-12         1.44295e-14
             0.845431                5.00566e-12         1.43836e-14
             0.845664                5.01551e-12         1.43447e-14
             0.845896                5.01046e-12         1.43782e-14
             0.846128                4.97080e-12         1.44861e-14
             0.846361                4.96833e-12         1.46284e-14
             0.846593                4.91868e-12         1.43725e-14
             0.846825                4.78124e-12         1.38559e-14
             0.847058                4.62149e-12         1.35016e-14
             0.847290                4.77979e-12         1.37403e-14
             0.847523                4.88814e-12         1.40152e-14
             0.847755                4.91841e-12         1.42874e-14
             0.847987                4.95014e-12         1.44892e-14
             0.848220                4.94869e-12         1.41755e-14
             0.848452                4.93592e-12         1.40288e-14
             0.848684                4.99852e-12         1.40630e-14
             0.848916                5.01246e-12         1.41014e-14
             0.849149                5.06777e-12         1.43925e-14
             0.849381                5.03845e-12         1.45571e-14
             0.849613                4.93466e-12         1.42785e-14
             0.849846                4.51435e-12         1.32917e-14
             0.850078                4.28006e-12         1.27361e-14
             0.850310                4.69736e-12         1.34681e-14
             0.850542                4.95941e-12         1.40423e-14
             0.850775                4.93590e-12         1.41903e-14
             0.851007                4.95400e-12         1.43719e-14
             0.851239                4.99436e-12         1.42879e-14
             0.851471                4.83847e-12         1.37694e-14
             0.851704                4.67143e-12         1.33481e-14
             0.851936                4.70364e-12         1.37055e-14
             0.852168                4.79217e-12         1.35866e-14
             0.852400                4.92256e-12         1.40156e-14
             0.852632                4.96863e-12         1.42073e-14
             0.852865                4.94605e-12         1.39743e-14
             0.853097                4.97013e-12         1.38990e-14
             0.853329                4.92181e-12         1.37107e-14
             0.853561                4.93857e-12         1.39200e-14
             0.853793                4.89258e-12         1.39539e-14
             0.854025                4.62656e-12         1.36362e-14
             0.854258                4.01366e-12         1.24702e-14
             0.854490                3.60446e-12         1.15950e-14
             0.854722                4.16219e-12         1.26491e-14
             0.854954                4.61303e-12         1.34572e-14
             0.855186                4.83097e-12         1.39886e-14
             0.855418                4.94509e-12         1.44332e-14
             0.855650                4.97577e-12         1.47757e-14
