# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:48 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7981 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 95735'           /                                                
# SPTYPE  = 'M2 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.3'     / Spectroscopy Mode                              
# SXDUT   = '2002 Nov 11'        / UT date of SXD observations                    
# LXDUT   = '2003 Oct 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806972 / Minimum wavelength (um)                        
# MAXWAVE =              5.40119 / Maximum wavelength (um)                        
# V       =        7.49800000000 / V magnitude                                    
# VERR    =      0.0130000000000 / V magnitude error                              
# (B-V)   =        1.50800000000 / B-V color                                      
# (B-V)ERR=      0.0140000000000 / B-V color error                                
# J       =        4.20300000000 / 2MASS J magnitude                              
# JERR    =       0.242000000000 / 2MASS J magnitude error                        
# H       =        3.64000000000 / 2MASS H magnitude                              
# HERR    =       0.202000000000 / 2MASS H magnitude error                        
# KS      =        3.25400000000 / 2MASS Ks magnitude                             
# KSERR   =       0.306000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.138326000000 / Relative error in the absolute flux calibration
# RV      =       -97.9194900000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.50000000000 / Intrinsic Color                                
# E(B-V)  =     0.00800002000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) *AND* Cushing et al.    
# COMMENT (2005, ApJ, 648, 1115) if you use this spectrum.  The spectrum has      
# COMMENT been absolutely flux calibrated using 2MASS photometry and has been     
# COMMENT shifted to zero radial velocity.  For other pertinent information,      
# COMMENT please see Cushing et al. (2005, ApJ, 648, 1115) and/or Rayner et       
# COMMENT al. (ApJS, 185, 289).                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806972                9.74024e-11         2.41216e-13
             0.807175                9.75846e-11         2.41754e-13
             0.807378                9.83361e-11         2.42584e-13
             0.807580                9.86831e-11         2.43445e-13
             0.807783                9.87512e-11         2.44652e-13
             0.807985                9.94250e-11         2.45525e-13
             0.808188                9.95360e-11         2.46978e-13
             0.808390                9.94197e-11         2.45332e-13
             0.808593                9.92165e-11         2.46261e-13
             0.808796                9.93763e-11         2.46857e-13
             0.808998                9.99223e-11         2.47705e-13
             0.809201                9.99990e-11         2.49522e-13
             0.809403                9.91451e-11         2.49628e-13
             0.809606                9.94276e-11         2.48090e-13
             0.809808                9.98139e-11         2.49143e-13
             0.810011                9.98001e-11         2.48934e-13
             0.810213                9.97353e-11         2.49920e-13
             0.810234                9.95061e-11         2.04671e-13
             0.810467                9.95542e-11         2.10777e-13
             0.810700                1.00093e-10         2.22294e-13
             0.810934                9.99009e-11         2.25475e-13
             0.811167                1.00073e-10         2.13412e-13
             0.811400                9.98889e-11         2.04919e-13
             0.811634                9.85334e-11         2.01354e-13
             0.811867                9.80069e-11         2.04576e-13
             0.812100                9.92298e-11         2.13063e-13
             0.812333                1.00187e-10         2.25061e-13
             0.812567                1.00499e-10         2.19143e-13
             0.812800                1.00730e-10         2.09289e-13
             0.813033                1.00530e-10         2.04390e-13
             0.813266                1.00339e-10         2.02829e-13
             0.813499                1.00500e-10         2.08801e-13
             0.813733                1.00582e-10         2.17568e-13
             0.813966                1.00754e-10         2.25905e-13
             0.814199                1.00852e-10         2.13898e-13
             0.814432                9.99519e-11         2.04709e-13
             0.814665                9.97302e-11         2.01418e-13
             0.814899                1.00464e-10         2.03711e-13
             0.815132                1.00362e-10         2.10459e-13
             0.815365                1.00577e-10         2.20472e-13
             0.815598                1.00326e-10         2.17915e-13
             0.815831                1.00119e-10         2.09992e-13
             0.816064                9.93390e-11         2.01904e-13
             0.816297                9.87366e-11         1.99825e-13
             0.816531                9.96560e-11         2.07882e-13
             0.816764                1.00486e-10         2.17391e-13
             0.816997                1.00591e-10         2.28088e-13
             0.817230                1.00657e-10         2.17121e-13
             0.817463                1.00172e-10         2.06236e-13
             0.817696                1.00715e-10         2.04203e-13
             0.817929                9.99985e-11         2.01783e-13
             0.818162                9.51453e-11         2.02948e-13
             0.818395                8.53404e-11         1.97160e-13
             0.818628                8.65271e-11         1.99588e-13
             0.818861                9.53096e-11         2.01019e-13
             0.819094                9.83298e-11         2.03293e-13
             0.819327                9.28798e-11         1.90471e-13
             0.819561                8.04520e-11         1.76973e-13
             0.819794                8.23468e-11         1.81957e-13
             0.820027                9.30680e-11         2.04707e-13
             0.820260                9.79292e-11         2.09610e-13
             0.820493                9.94282e-11         2.02793e-13
             0.820726                9.93374e-11         2.00976e-13
             0.820959                9.96022e-11         2.00588e-13
             0.821192                9.96986e-11         2.03839e-13
             0.821425                9.91790e-11         2.08279e-13
             0.821658                9.95790e-11         2.13281e-13
             0.821891                9.92187e-11         2.04202e-13
             0.822124                9.81190e-11         1.97315e-13
             0.822357                9.84744e-11         1.95931e-13
             0.822589                1.00565e-10         1.99575e-13
             0.822822                1.00899e-10         2.09518e-13
             0.823055                1.01009e-10         2.22676e-13
             0.823288                1.00323e-10         2.18152e-13
             0.823521                9.99884e-11         2.06772e-13
             0.823754                1.00445e-10         1.99422e-13
             0.823987                1.00208e-10         1.97309e-13
             0.824220                1.00254e-10         2.01012e-13
             0.824453                1.00329e-10         2.04120e-13
             0.824686                1.00784e-10         2.13085e-13
             0.824919                1.00341e-10         2.11560e-13
             0.825152                1.00425e-10         1.98707e-13
             0.825384                9.96066e-11         1.93970e-13
             0.825617                9.89811e-11         2.02413e-13
             0.825850                9.93263e-11         1.98273e-13
             0.826083                1.00348e-10         2.07256e-13
             0.826316                1.00681e-10         2.11447e-13
             0.826549                1.00828e-10         2.08584e-13
             0.826782                1.00626e-10         1.99492e-13
             0.827014                1.00309e-10         1.93683e-13
             0.827247                9.99802e-11         1.94698e-13
             0.827480                1.00014e-10         1.99281e-13
             0.827713                1.00142e-10         2.06661e-13
             0.827946                1.00315e-10         2.05592e-13
             0.828178                9.98501e-11         1.97237e-13
             0.828411                9.97969e-11         2.01711e-13
             0.828644                9.97448e-11         1.93184e-13
             0.828877                9.93403e-11         1.94477e-13
             0.829110                9.88875e-11         2.00026e-13
             0.829342                9.84288e-11         2.04471e-13
             0.829575                9.90993e-11         2.00448e-13
             0.829808                9.91849e-11         1.94046e-13
             0.830041                9.89396e-11         1.94553e-13
             0.830273                9.91009e-11         1.90472e-13
             0.830506                9.86074e-11         1.93674e-13
             0.830739                9.75234e-11         1.97417e-13
