# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:52:07 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7604 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 14469'           /                                                
# SPTYPE  = 'M3-M4 Iab'          / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Jan 16'        / UT date of SXD observations                    
# LXDUT   = '2003 Oct 06'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.809398 / Minimum wavelength (um)                        
# MAXWAVE =              5.00440 / Maximum wavelength (um)                        
# V       =        7.69700000000 / V magnitude                                    
# VERR    =       0.115000000000 / V magnitude error                              
# (B-V)   =        2.17500000000 / B-V color                                      
# (B-V)ERR=      0.0130000000000 / B-V color error                                
# J       =        2.82400000000 / 2MASS J magnitude                              
# JERR    =       0.254000000000 / 2MASS J magnitude error                        
# H       =        1.92800000000 / 2MASS H magnitude                              
# HERR    =       0.184000000000 / 2MASS H magnitude error                        
# KS      =        1.45500000000 / 2MASS Ks magnitude                             
# KSERR   =       0.222000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.123723000000 / Relative error in the absolute flux calibration
# RV      =       -7.54690870000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.67000000000 / Intrinsic Color                                
# E(B-V)  =       0.505000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.809398                1.61273e-10         5.14625e-13
             0.809601                1.64019e-10         5.11785e-13
             0.809803                1.71413e-10         5.19831e-13
             0.810005                1.72206e-10         5.11012e-13
             0.810208                1.74716e-10         5.15214e-13
             0.810410                1.75409e-10         5.77956e-13
             0.810613                1.73091e-10         5.15611e-13
             0.810815                1.74762e-10         5.21978e-13
             0.811017                1.75484e-10         5.25404e-13
             0.811220                1.76703e-10         5.23295e-13
             0.811422                1.76820e-10         5.23360e-13
             0.811625                1.69136e-10         5.20823e-13
             0.811827                1.63306e-10         5.19168e-13
             0.812029                1.69827e-10         5.27381e-13
             0.812232                1.76910e-10         5.27643e-13
             0.812314                1.78371e-10         5.00985e-13
             0.812547                1.81911e-10         5.12178e-13
             0.812780                1.82670e-10         4.79811e-13
             0.813013                1.84539e-10         4.59881e-13
             0.813246                1.79739e-10         4.54688e-13
             0.813480                1.75070e-10         4.65905e-13
             0.813713                1.83079e-10         4.93997e-13
             0.813946                1.87290e-10         5.18055e-13
             0.814179                1.86576e-10         5.02805e-13
             0.814412                1.81585e-10         4.78443e-13
             0.814645                1.80732e-10         4.60730e-13
             0.814878                1.85452e-10         4.64328e-13
             0.815111                1.85875e-10         4.85695e-13
             0.815344                1.86851e-10         5.04988e-13
             0.815577                1.90043e-10         5.25931e-13
             0.815810                1.94398e-10         4.95151e-13
             0.816043                1.90368e-10         4.68954e-13
             0.816276                1.73245e-10         4.68602e-13
             0.816509                1.79029e-10         4.85736e-13
             0.816742                1.89585e-10         5.01769e-13
             0.816975                1.90583e-10         5.15702e-13
             0.817208                1.90751e-10         5.11167e-13
             0.817441                1.88767e-10         4.76224e-13
             0.817674                1.90220e-10         4.57267e-13
             0.817907                1.93435e-10         4.70697e-13
             0.818140                1.91442e-10         4.88748e-13
             0.818373                1.76807e-10         4.90608e-13
             0.818606                1.73401e-10         5.08290e-13
             0.818839                1.79103e-10         4.86437e-13
             0.819071                1.93269e-10         4.75100e-13
             0.819304                2.03214e-10         4.64625e-13
             0.819537                1.79644e-10         4.61919e-13
             0.819770                1.73659e-10         4.75570e-13
             0.820003                1.76810e-10         4.93496e-13
             0.820236                1.70660e-10         4.95326e-13
             0.820469                1.62600e-10         4.71471e-13
             0.820702                1.56759e-10         4.43181e-13
             0.820935                1.63364e-10         4.42240e-13
             0.821167                1.73573e-10         4.41471e-13
             0.821400                1.72538e-10         4.75149e-13
             0.821633                1.74704e-10         4.80822e-13
             0.821866                1.81159e-10         4.85717e-13
             0.822099                1.77738e-10         4.50629e-13
             0.822332                1.75532e-10         4.41602e-13
