# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:52:09 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7604 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 14469'           /                                                
# SPTYPE  = 'M3-M4 Iab'          / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Jan 16'        / UT date of SXD observations                    
# LXDUT   = '2003 Oct 06'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.809398 / Minimum wavelength (um)                        
# MAXWAVE =              5.00440 / Maximum wavelength (um)                        
# V       =        7.69700000000 / V magnitude                                    
# VERR    =       0.115000000000 / V magnitude error                              
# (B-V)   =        2.17500000000 / B-V color                                      
# (B-V)ERR=      0.0130000000000 / B-V color error                                
# J       =        2.82400000000 / 2MASS J magnitude                              
# JERR    =       0.254000000000 / 2MASS J magnitude error                        
# H       =        1.92800000000 / 2MASS H magnitude                              
# HERR    =       0.184000000000 / 2MASS H magnitude error                        
# KS      =        1.45500000000 / 2MASS Ks magnitude                             
# KSERR   =       0.222000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.123723000000 / Relative error in the absolute flux calibration
# RV      =       -7.54690870000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.67000000000 / Intrinsic Color                                
# E(B-V)  =       0.505000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.809398                3.33144e-10         1.06307e-12
             0.809601                3.38703e-10         1.05685e-12
             0.809803                3.53853e-10         1.07311e-12
             0.810005                3.55373e-10         1.05455e-12
             0.810208                3.60432e-10         1.06287e-12
             0.810410                3.61741e-10         1.19191e-12
             0.810613                3.56843e-10         1.06298e-12
             0.810815                3.60168e-10         1.07575e-12
             0.811017                3.61537e-10         1.08245e-12
             0.811220                3.63926e-10         1.07775e-12
             0.811422                3.64047e-10         1.07752e-12
             0.811625                3.48111e-10         1.07194e-12
             0.811827                3.36002e-10         1.06819e-12
             0.812029                3.49302e-10         1.08472e-12
             0.812232                3.63750e-10         1.08490e-12
             0.812314                3.66704e-10         1.02995e-12
             0.812547                3.73841e-10         1.05256e-12
             0.812780                3.75258e-10         9.85673e-13
             0.813013                3.78953e-10         9.44371e-13
             0.813246                3.68957e-10         9.33353e-13
             0.813480                3.59236e-10         9.56017e-13
             0.813713                3.75528e-10         1.01328e-12
             0.813946                3.84020e-10         1.06222e-12
             0.814179                3.82412e-10         1.03056e-12
             0.814412                3.72040e-10         9.80260e-13
             0.814645                3.70154e-10         9.43612e-13
             0.814878                3.79677e-10         9.50623e-13
             0.815111                3.80400e-10         9.93993e-13
             0.815344                3.82253e-10         1.03309e-12
             0.815577                3.88637e-10         1.07553e-12
             0.815810                3.97394e-10         1.01220e-12
             0.816043                3.89010e-10         9.58288e-13
             0.816276                3.53887e-10         9.57209e-13
             0.816509                3.65564e-10         9.91837e-13
             0.816742                3.86973e-10         1.02419e-12
             0.816975                3.88865e-10         1.05224e-12
             0.817208                3.89062e-10         1.04260e-12
             0.817441                3.84871e-10         9.70961e-13
             0.817674                3.87689e-10         9.31962e-13
             0.817907                3.94095e-10         9.58976e-13
             0.818140                3.89890e-10         9.95380e-13
             0.818373                3.59949e-10         9.98796e-13
             0.818606                3.52884e-10         1.03441e-12
             0.818839                3.64352e-10         9.89569e-13
             0.819071                3.93025e-10         9.66146e-13
             0.819304                4.13096e-10         9.44495e-13
             0.819537                3.65047e-10         9.38646e-13
             0.819770                3.52754e-10         9.66026e-13
             0.820003                3.59021e-10         1.00207e-12
             0.820236                3.46405e-10         1.00541e-12
             0.820469                3.29923e-10         9.56638e-13
             0.820702                3.17954e-10         8.98904e-13
             0.820935                3.31229e-10         8.96665e-13
             0.821167                3.51798e-10         8.94776e-13
             0.821400                3.49572e-10         9.62679e-13
             0.821633                3.53831e-10         9.73814e-13
             0.821866                3.66768e-10         9.83366e-13
             0.822099                3.59710e-10         9.11994e-13
             0.822332                3.55115e-10         8.93396e-13
