# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:52:25 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7597 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 28487'           /                                                
# SPTYPE  = 'M3.5 III Ca-0.5'    / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Jan 16'        / UT date of SXD observations                    
# LXDUT   = '2003 Oct 08'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.811425 / Minimum wavelength (um)                        
# MAXWAVE =              5.01626 / Maximum wavelength (um)                        
# V       =        6.80000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.74000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        2.68400000000 / 2MASS J magnitude                              
# JERR    =       0.304000000000 / 2MASS J magnitude error                        
# H       =        1.78400000000 / 2MASS H magnitude                              
# HERR    =       0.268000000000 / 2MASS H magnitude error                        
# KS      =        1.45700000000 / 2MASS Ks magnitude                             
# KSERR   =       0.302000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.167347000000 / Relative error in the absolute flux calibration
# RV      =       -7.50695840000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.62000000000 / Intrinsic Color                                
# E(B-V)  =       0.120000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.811425                2.44449e-10         6.22254e-13
             0.811627                2.43382e-10         6.21006e-13
             0.811829                2.29133e-10         6.05446e-13
             0.812032                2.29107e-10         6.09727e-13
             0.812234                2.44136e-10         6.21190e-13
             0.812436                2.49454e-10         6.58020e-13
             0.812638                2.51507e-10         6.40883e-13
             0.812840                2.51739e-10         6.40122e-13
             0.813042                2.51871e-10         6.39931e-13
             0.813245                2.50785e-10         6.44505e-13
             0.813447                2.43590e-10         6.39132e-13
             0.813649                2.47296e-10         6.54101e-13
             0.813851                2.54174e-10         6.54227e-13
             0.814053                2.56415e-10         6.60266e-13
             0.814124                2.54686e-10         5.85174e-13
             0.814357                2.52423e-10         6.16493e-13
             0.814591                2.45569e-10         5.69707e-13
             0.814825                2.45564e-10         5.46754e-13
             0.815058                2.51726e-10         5.47241e-13
             0.815292                2.51364e-10         5.48835e-13
             0.815525                2.51815e-10         5.69120e-13
             0.815759                2.54611e-10         6.06404e-13
             0.815992                2.57458e-10         5.98930e-13
             0.816226                2.43609e-10         5.60685e-13
             0.816459                2.38408e-10         5.53476e-13
             0.816693                2.53261e-10         5.59389e-13
             0.816926                2.57079e-10         5.64432e-13
             0.817160                2.55765e-10         5.89329e-13
             0.817393                2.56109e-10         6.04412e-13
             0.817626                2.54813e-10         5.65710e-13
             0.817860                2.55597e-10         5.60646e-13
             0.818093                2.59219e-10         5.61690e-13
             0.818327                2.52345e-10         5.48674e-13
             0.818560                2.43308e-10         5.58272e-13
             0.818793                2.40473e-10         5.73340e-13
             0.819027                2.45942e-10         5.80624e-13
             0.819260                2.61299e-10         5.68690e-13
             0.819494                2.56319e-10         5.42608e-13
             0.819727                2.39290e-10         5.37893e-13
             0.819960                2.40041e-10         5.41406e-13
             0.820194                2.41105e-10         5.69116e-13
             0.820427                2.38387e-10         5.66765e-13
             0.820660                2.32345e-10         5.31174e-13
             0.820894                2.32198e-10         5.09723e-13
             0.821127                2.39615e-10         5.06545e-13
             0.821360                2.40652e-10         5.15665e-13
             0.821593                2.37912e-10         5.33088e-13
             0.821827                2.43517e-10         5.69332e-13
             0.822060                2.45292e-10         5.51335e-13
             0.822293                2.42822e-10         5.27791e-13
             0.822527                2.47393e-10         5.22321e-13
             0.822760                2.50798e-10         5.34545e-13
             0.822993                2.53543e-10         5.72225e-13
             0.823226                2.51609e-10         5.94239e-13
             0.823459                2.47146e-10         5.82335e-13
             0.823693                2.50147e-10         5.41685e-13
             0.823926                2.49826e-10         5.19587e-13
             0.824159                2.46571e-10         5.07249e-13
             0.824392                2.45165e-10         5.16438e-13
             0.824625                2.50776e-10         5.36810e-13
