# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:52:27 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7597 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 28487'           /                                                
# SPTYPE  = 'M3.5 III Ca-0.5'    / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Jan 16'        / UT date of SXD observations                    
# LXDUT   = '2003 Oct 08'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.811425 / Minimum wavelength (um)                        
# MAXWAVE =              5.01626 / Maximum wavelength (um)                        
# V       =        6.80000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.74000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        2.68400000000 / 2MASS J magnitude                              
# JERR    =       0.304000000000 / 2MASS J magnitude error                        
# H       =        1.78400000000 / 2MASS H magnitude                              
# HERR    =       0.268000000000 / 2MASS H magnitude error                        
# KS      =        1.45700000000 / 2MASS Ks magnitude                             
# KSERR   =       0.302000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.167347000000 / Relative error in the absolute flux calibration
# RV      =       -7.50695840000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.62000000000 / Intrinsic Color                                
# E(B-V)  =       0.120000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.811425                2.90210e-10         7.38741e-13
             0.811627                2.88920e-10         7.37202e-13
             0.811829                2.71985e-10         7.18673e-13
             0.812032                2.71932e-10         7.23698e-13
             0.812234                2.89748e-10         7.37246e-13
             0.812436                2.96036e-10         7.80896e-13
             0.812638                2.98449e-10         7.60500e-13
             0.812840                2.98701e-10         7.59536e-13
             0.813042                2.98834e-10         7.59250e-13
             0.813245                2.97522e-10         7.64618e-13
             0.813447                2.88964e-10         7.58185e-13
             0.813649                2.93337e-10         7.75881e-13
             0.813851                3.01473e-10         7.75970e-13
             0.814053                3.04107e-10         7.83072e-13
             0.814124                3.02048e-10         6.93994e-13
             0.814357                2.99337e-10         7.31071e-13
             0.814591                2.91183e-10         6.75529e-13
             0.814825                2.91151e-10         6.48254e-13
             0.815058                2.98430e-10         6.48773e-13
             0.815292                2.97974e-10         6.50605e-13
             0.815525                2.98482e-10         6.74591e-13
             0.815759                3.01769e-10         7.18720e-13
             0.815992                3.05116e-10         7.09798e-13
             0.816226                2.88678e-10         6.64414e-13
             0.816459                2.82490e-10         6.55812e-13
             0.816693                3.00062e-10         6.62760e-13
             0.816926                3.04558e-10         6.68675e-13
             0.817160                3.02974e-10         6.98109e-13
             0.817393                3.03355e-10         7.15912e-13
             0.817626                3.01794e-10         6.70010e-13
             0.817860                3.02694e-10         6.63954e-13
             0.818093                3.06958e-10         6.65131e-13
             0.818327                2.98791e-10         6.49661e-13
             0.818560                2.88065e-10         6.60966e-13
             0.818793                2.84683e-10         6.78746e-13
             0.819027                2.91132e-10         6.87309e-13
             0.819260                3.09284e-10         6.73122e-13
             0.819494                3.03361e-10         6.42194e-13
             0.819727                2.83183e-10         6.36558e-13
             0.819960                2.84046e-10         6.40658e-13
             0.820194                2.85280e-10         6.73388e-13
             0.820427                2.82039e-10         6.70548e-13
             0.820660                2.74867e-10         6.28385e-13
             0.820894                2.74668e-10         6.02955e-13
             0.821127                2.83418e-10         5.99142e-13
             0.821360                2.84619e-10         6.09877e-13
             0.821593                2.81353e-10         6.30427e-13
             0.821827                2.87957e-10         6.73231e-13
             0.822060                2.90030e-10         6.51892e-13
             0.822293                2.87085e-10         6.23999e-13
             0.822527                2.92464e-10         6.17478e-13
             0.822760                2.96463e-10         6.31874e-13
             0.822993                2.99682e-10         6.76355e-13
             0.823226                2.97370e-10         7.02314e-13
             0.823459                2.92070e-10         6.88186e-13
             0.823693                2.95591e-10         6.40091e-13
             0.823926                2.95186e-10         6.13925e-13
             0.824159                2.91314e-10         5.99295e-13
             0.824392                2.89628e-10         6.10098e-13
             0.824625                2.96231e-10         6.34110e-13
             0.824859                3.01056e-10         6.59184e-13
             0.825092                2.97807e-10         6.34203e-13
             0.825325                2.92466e-10         6.10416e-13
             0.825558                2.77008e-10         5.85382e-13
             0.825791                2.76248e-10         5.95556e-13
             0.826024                2.91044e-10         6.18861e-13
             0.826257                3.03995e-10         6.59996e-13
             0.826490                3.04604e-10         6.56923e-13
             0.826724                3.01607e-10         6.24565e-13
             0.826957                2.98323e-10         6.00225e-13
             0.827190                2.97302e-10         5.98771e-13
             0.827423                2.93164e-10         6.14738e-13
             0.827656                2.90382e-10         6.26205e-13
             0.827889                2.91995e-10         6.44009e-13
             0.828122                2.95966e-10         6.33298e-13
             0.828355                2.92616e-10         6.11827e-13
             0.828588                2.89250e-10         5.94486e-13
             0.828821                2.89060e-10         5.96809e-13
             0.829054                2.88110e-10         6.09842e-13
             0.829287                2.85378e-10         6.13313e-13
             0.829520                2.86517e-10         6.37459e-13
             0.829753                2.87551e-10         6.11028e-13
             0.829986                2.87537e-10         5.86314e-13
             0.830219                2.86403e-10         5.80256e-13
             0.830452                2.84012e-10         5.86606e-13
             0.830685                2.74350e-10         5.93227e-13
             0.830918                2.65604e-10         5.98945e-13
             0.831151                2.68367e-10         5.81815e-13
             0.831384                2.75963e-10         5.75307e-13
             0.831617                2.83279e-10         5.71772e-13
             0.831850                2.91638e-10         5.80192e-13
             0.832082                2.92535e-10         5.91096e-13
             0.832315                2.88376e-10         6.07064e-13
             0.832548                2.87891e-10         6.16475e-13
             0.832781                2.78430e-10         5.81484e-13
             0.833014                2.73696e-10         5.61984e-13
             0.833247                2.85310e-10         5.65682e-13
             0.833480                2.80311e-10         5.65087e-13
             0.833713                2.75713e-10         5.72383e-13
             0.833945                2.81808e-10         5.91027e-13
             0.834178                2.86992e-10         5.93166e-13
             0.834411                2.87415e-10         5.69923e-13
             0.834644                2.81127e-10         5.53378e-13
             0.834877                2.73109e-10         5.42164e-13
             0.835109                2.68297e-10         5.50004e-13
             0.835342                2.76744e-10         5.67048e-13
             0.835575                2.78399e-10         5.77276e-13
             0.835808                2.82156e-10         5.66140e-13
             0.836041                2.86803e-10         5.69239e-13
             0.836273                2.84261e-10         5.53458e-13
             0.836506                2.70765e-10         5.41905e-13
             0.836739                2.62189e-10         5.37117e-13
             0.836972                2.82773e-10         5.66307e-13
             0.837204                2.91352e-10         5.73584e-13
             0.837437                2.87265e-10         5.51477e-13
             0.837670                2.84905e-10         5.57661e-13
             0.837902                2.75124e-10         5.76954e-13
             0.838135                2.71265e-10         5.45111e-13
             0.838368                2.65965e-10         5.39171e-13
             0.838601                2.55143e-10         5.34208e-13
             0.838833                2.61235e-10         5.32775e-13
             0.839066                2.52632e-10         5.17492e-13
             0.839299                2.71283e-10         5.25729e-13
             0.839531                2.87790e-10         5.40775e-13
             0.839764                2.81872e-10         5.41090e-13
             0.839996                2.73356e-10         5.40033e-13
             0.840229                2.80888e-10         5.51538e-13
             0.840462                2.84342e-10         5.40268e-13
             0.840694                2.90435e-10         5.41167e-13
             0.840927                2.94616e-10         5.39544e-13
             0.841160                2.94527e-10         5.45079e-13
             0.841392                2.77048e-10         5.31307e-13
             0.841625                2.72595e-10         5.38535e-13
             0.841857                2.81026e-10         5.40308e-13
             0.842090                2.80298e-10         5.33282e-13
             0.842322                2.81156e-10         5.23283e-13
             0.842555                2.76343e-10         5.21841e-13
             0.842788                2.57528e-10         5.05268e-13
             0.843020                2.65192e-10         5.19211e-13
             0.843253                2.88097e-10         5.48236e-13
             0.843485                2.72940e-10         5.23245e-13
             0.843718                2.28209e-10         4.77370e-13
             0.843950                2.33159e-10         4.76765e-13
             0.844183                2.62306e-10         5.03291e-13
             0.844415                2.61768e-10         5.08289e-13
             0.844648                2.57108e-10         5.13439e-13
             0.844880                2.60627e-10         5.23260e-13
             0.845113                2.60589e-10         5.13563e-13
             0.845345                2.51728e-10         4.96592e-13
             0.845577                2.43808e-10         4.82563e-13
             0.845810                2.41268e-10         4.78210e-13
             0.846042                2.43078e-10         4.81589e-13
             0.846275                2.51940e-10         4.97118e-13
             0.846507                2.51494e-10         4.92294e-13
             0.846740                2.41553e-10         4.74570e-13
             0.846972                2.26812e-10         4.81437e-13
             0.847205                2.30478e-10         4.60929e-13
             0.847437                2.42796e-10         4.77935e-13
             0.847669                2.49273e-10         4.84365e-13
             0.847902                2.54440e-10         4.91279e-13
             0.848134                2.57651e-10         4.87789e-13
             0.848366                2.53285e-10         4.76761e-13
             0.848599                2.55287e-10         4.76173e-13
             0.848831                2.59835e-10         4.80499e-13
             0.849064                2.62819e-10         4.86950e-13
             0.849296                2.64582e-10         4.94698e-13
             0.849528                2.59140e-10         4.89032e-13
             0.849760                2.33864e-10         4.58194e-13
             0.849993                1.94943e-10         4.23396e-13
             0.850225                2.06332e-10         4.31284e-13
             0.850457                2.46390e-10         4.63461e-13
             0.850690                2.52630e-10         4.72504e-13
             0.850922                2.52196e-10         4.75113e-13
             0.851154                2.57213e-10         4.76770e-13
             0.851387                2.57325e-10         4.71715e-13
             0.851619                2.42402e-10         4.58433e-13
             0.851851                2.32078e-10         4.45248e-13
             0.852083                2.36833e-10         4.50582e-13
             0.852316                2.48121e-10         4.61484e-13
             0.852548                2.55912e-10         4.73070e-13
             0.852780                2.54966e-10         4.66636e-13
             0.853012                2.53656e-10         4.61731e-13
             0.853245                2.52794e-10         4.68171e-13
             0.853477                2.52294e-10         4.58462e-13
             0.853709                2.52055e-10         4.62633e-13
             0.853941                2.38499e-10         4.51791e-13
             0.854173                2.04446e-10         4.21036e-13
             0.854406                1.54945e-10         3.81495e-13
             0.854638                1.64894e-10         3.83603e-13
             0.854870                2.15317e-10         4.21693e-13
             0.855102                2.37079e-10         4.40822e-13
             0.855334                2.52393e-10         4.55940e-13
             0.855566                2.64177e-10         4.70601e-13
             0.855799                2.65663e-10         4.69646e-13
             0.856031                2.65266e-10         4.62385e-13
             0.856263                2.64345e-10         4.58631e-13
             0.856495                2.66301e-10         4.58157e-13
             0.856727                2.69832e-10         4.64647e-13
             0.856959                2.71403e-10         4.89719e-13
             0.857191                2.68006e-10         5.10324e-13
             0.857423                2.67786e-10         4.84964e-13
             0.857656                2.67045e-10         4.83441e-13
             0.857888                2.69845e-10         4.86940e-13
             0.858120                2.73450e-10         4.88771e-13
             0.858352                2.69394e-10         4.83872e-13
             0.858584                2.68129e-10         4.82365e-13
