# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:52:20 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7661 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 14488'           /                                                
# SPTYPE  = 'M3.5 Iab Fe-1 var?' / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2005 Aug 26'        / UT date of SXD observations                    
# LXDUT   = '2005 Aug 26'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.803701 / Minimum wavelength (um)                        
# MAXWAVE =              5.04571 / Maximum wavelength (um)                        
# V       =        8.49000000000 / V magnitude                                    
# VERR    =       0.178000000000 / V magnitude error                              
# (B-V)   =        2.25600000000 / B-V color                                      
# (B-V)ERR=      0.0140000000000 / B-V color error                                
# J       =        3.05400000000 / 2MASS J magnitude                              
# JERR    =       0.218000000000 / 2MASS J magnitude error                        
# H       =        2.10800000000 / 2MASS H magnitude                              
# HERR    =       0.192000000000 / 2MASS H magnitude error                        
# KS      =        1.56200000000 / 2MASS Ks magnitude                             
# KSERR   =       0.210000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.118808000000 / Relative error in the absolute flux calibration
# RV      =       -77.6945590000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.71000000000 / Intrinsic Color                                
# E(B-V)  =       0.546000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803701                1.16665e-10         4.28093e-13
             0.803903                1.17621e-10         4.28235e-13
             0.804106                1.16742e-10         4.29205e-13
             0.804308                1.15867e-10         4.32453e-13
             0.804510                1.12720e-10         4.42612e-13
             0.804713                1.08403e-10         4.25361e-13
             0.804915                1.05920e-10         4.21606e-13
             0.805117                1.11259e-10         4.26656e-13
             0.805319                1.16131e-10         4.31654e-13
             0.805522                1.16146e-10         4.30664e-13
             0.805724                1.16719e-10         4.30781e-13
             0.805926                1.17065e-10         4.36387e-13
             0.806129                1.16329e-10         4.31991e-13
             0.806331                1.15569e-10         4.35166e-13
             0.806533                1.16432e-10         4.35238e-13
             0.806735                1.17369e-10         4.37772e-13
             0.806938                1.10935e-10         4.32135e-13
             0.807097                1.07296e-10         4.01756e-13
             0.807330                1.09620e-10         3.91132e-13
             0.807564                1.10920e-10         3.95467e-13
             0.807797                1.14165e-10         4.15703e-13
             0.808031                1.18114e-10         4.43719e-13
             0.808265                1.17524e-10         4.48031e-13
             0.808498                1.17815e-10         4.20165e-13
             0.808732                1.20555e-10         4.05034e-13
             0.808966                1.21614e-10         3.99849e-13
             0.809199                1.15144e-10         4.04343e-13
             0.809433                1.09881e-10         4.19402e-13
             0.809666                1.13025e-10         4.53955e-13
             0.809900                1.15941e-10         4.31017e-13
             0.810133                1.17563e-10         4.09434e-13
             0.810367                1.19041e-10         3.95195e-13
             0.810600                1.18063e-10         3.97939e-13
             0.810834                1.18255e-10         4.16775e-13
             0.811067                1.17672e-10         4.40256e-13
             0.811301                1.18980e-10         4.55350e-13
             0.811534                1.16345e-10         4.18173e-13
             0.811768                1.10675e-10         4.05848e-13
             0.812001                1.16331e-10         3.97711e-13
             0.812235                1.19055e-10         4.05028e-13
             0.812468                1.22108e-10         4.29674e-13
             0.812702                1.22415e-10         4.59922e-13
             0.812935                1.23279e-10         4.30743e-13
             0.813169                1.21553e-10         4.08413e-13
             0.813402                1.18177e-10         3.99097e-13
             0.813635                1.22506e-10         4.04511e-13
             0.813869                1.25196e-10         4.34822e-13
             0.814102                1.25826e-10         4.47528e-13
             0.814336                1.22152e-10         4.42118e-13
             0.814569                1.20116e-10         4.20734e-13
             0.814802                1.22575e-10         4.04821e-13
             0.815036                1.23413e-10         4.05211e-13
             0.815269                1.23916e-10         4.16133e-13
             0.815502                1.25404e-10         4.35809e-13
             0.815736                1.27580e-10         4.64783e-13
             0.815969                1.26835e-10         4.44241e-13
             0.816202                1.17222e-10         4.11753e-13
             0.816436                1.18418e-10         4.12753e-13
             0.816669                1.24400e-10         4.26220e-13
             0.816902                1.26614e-10         4.36302e-13
