# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:52:23 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7661 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 14488'           /                                                
# SPTYPE  = 'M3.5 Iab Fe-1 var?' / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2005 Aug 26'        / UT date of SXD observations                    
# LXDUT   = '2005 Aug 26'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.803701 / Minimum wavelength (um)                        
# MAXWAVE =              5.04571 / Maximum wavelength (um)                        
# V       =        8.49000000000 / V magnitude                                    
# VERR    =       0.178000000000 / V magnitude error                              
# (B-V)   =        2.25600000000 / B-V color                                      
# (B-V)ERR=      0.0140000000000 / B-V color error                                
# J       =        3.05400000000 / 2MASS J magnitude                              
# JERR    =       0.218000000000 / 2MASS J magnitude error                        
# H       =        2.10800000000 / 2MASS H magnitude                              
# HERR    =       0.192000000000 / 2MASS H magnitude error                        
# KS      =        1.56200000000 / 2MASS Ks magnitude                             
# KSERR   =       0.210000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.118808000000 / Relative error in the absolute flux calibration
# RV      =       -77.6945590000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.71000000000 / Intrinsic Color                                
# E(B-V)  =       0.546000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803701                2.58254e-10         9.47644e-13
             0.803903                2.60274e-10         9.47609e-13
             0.804106                2.58235e-10         9.49408e-13
             0.804308                2.56206e-10         9.56239e-13
             0.804510                2.49156e-10         9.78345e-13
             0.804713                2.39525e-10         9.39868e-13
             0.804915                2.33952e-10         9.31229e-13
             0.805117                2.45656e-10         9.42039e-13
             0.805319                2.56318e-10         9.52725e-13
             0.805522                2.56258e-10         9.50192e-13
             0.805724                2.57429e-10         9.50104e-13
             0.805926                2.58096e-10         9.62117e-13
             0.806129                2.56381e-10         9.52077e-13
             0.806331                2.54613e-10         9.58725e-13
             0.806533                2.56420e-10         9.58533e-13
             0.806735                2.58389e-10         9.63763e-13
             0.806938                2.44137e-10         9.51007e-13
             0.807097                2.36061e-10         8.83898e-13
             0.807330                2.41073e-10         8.60163e-13
             0.807564                2.43830e-10         8.69332e-13
             0.807797                2.50858e-10         9.13433e-13
             0.808031                2.59426e-10         9.74585e-13
             0.808265                2.58023e-10         9.83645e-13
             0.808498                2.58553e-10         9.22080e-13
             0.808732                2.64455e-10         8.88502e-13
             0.808966                2.66667e-10         8.76761e-13
             0.809199                2.52376e-10         8.86247e-13
             0.809433                2.40740e-10         9.18872e-13
             0.809666                2.47524e-10         9.94158e-13
             0.809900                2.53806e-10         9.43533e-13
             0.810133                2.57248e-10         8.95913e-13
             0.810367                2.60374e-10         8.64398e-13
             0.810600                2.58128e-10         8.70039e-13
             0.810834                2.58441e-10         9.10843e-13
             0.811067                2.57061e-10         9.61761e-13
             0.811301                2.59811e-10         9.94323e-13
             0.811534                2.53950e-10         9.12764e-13
             0.811768                2.41474e-10         8.85495e-13
             0.812001                2.53712e-10         8.67383e-13
             0.812235                2.59544e-10         8.82977e-13
             0.812468                2.66091e-10         9.36322e-13
             0.812702                2.66650e-10         1.00182e-12
             0.812935                2.68421e-10         9.37879e-13
             0.813169                2.64555e-10         8.88893e-13
             0.813402                2.57102e-10         8.68262e-13
             0.813635                2.66411e-10         8.79679e-13
             0.813869                2.72148e-10         9.45207e-13
             0.814102                2.73405e-10         9.72430e-13
             0.814336                2.65314e-10         9.60280e-13
             0.814569                2.60786e-10         9.13462e-13
             0.814802                2.66016e-10         8.78552e-13
             0.815036                2.67726e-10         8.79041e-13
             0.815269                2.68706e-10         9.02367e-13
             0.815502                2.71823e-10         9.44648e-13
             0.815736                2.76427e-10         1.00704e-12
             0.815969                2.74701e-10         9.62142e-13
             0.816202                2.53777e-10         8.91415e-13
             0.816436                2.56263e-10         8.93218e-13
             0.816669                2.69100e-10         9.21987e-13
             0.816902                2.73777e-10         9.43415e-13
