# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:52:30 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7511 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'Gl 273  '           /                                                
# SPTYPE  = 'M3.5 V  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2002 Jan 11'        / UT date of SXD observations                    
# LXDUT   = '2002 Feb 28'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.810734 / Minimum wavelength (um)                        
# MAXWAVE =              4.90848 / Maximum wavelength (um)                        
# V       =        9.83200000000 / V magnitude                                    
# VERR    =      0.0190000000000 / V magnitude error                              
# (B-V)   =        1.55400000000 / B-V color                                      
# (B-V)ERR=     0.00600000000000 / B-V color error                                
# J       =        5.71400000000 / 2MASS J magnitude                              
# JERR    =      0.0320000000000 / 2MASS J magnitude error                        
# H       =        5.21900000000 / 2MASS H magnitude                              
# HERR    =      0.0630000000000 / 2MASS H magnitude error                        
# KS      =        4.85700000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0230000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0179061000000 / Relative error in the absolute flux calibration
# RV      =        19.2566360000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.60000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0460000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810734                1.89786e-11         4.52364e-14
             0.810936                1.92071e-11         4.60825e-14
             0.811139                1.92093e-11         4.61689e-14
             0.811341                1.91454e-11         4.61357e-14
             0.811544                1.92067e-11         4.60810e-14
             0.811746                1.87760e-11         4.55622e-14
             0.811949                1.86942e-11         4.54630e-14
             0.812151                1.92507e-11         4.65170e-14
             0.812354                1.94542e-11         4.67027e-14
             0.812556                1.95155e-11         4.75216e-14
             0.812759                1.95439e-11         4.71657e-14
             0.812961                1.96602e-11         4.74987e-14
             0.813164                1.95826e-11         4.74197e-14
             0.813366                1.95146e-11         4.76169e-14
             0.813569                1.95386e-11         4.78910e-14
             0.813661                1.95882e-11         4.19371e-14
             0.813894                1.96476e-11         4.07903e-14
             0.814127                1.96661e-11         3.91448e-14
             0.814360                1.96369e-11         3.81588e-14
             0.814593                1.93885e-11         3.75239e-14
             0.814826                1.94764e-11         3.88093e-14
             0.815059                1.95280e-11         4.04080e-14
             0.815291                1.95883e-11         4.21734e-14
             0.815524                1.95209e-11         4.00831e-14
             0.815757                1.95512e-11         3.85784e-14
             0.815990                1.94183e-11         3.75800e-14
             0.816223                1.91738e-11         3.79576e-14
             0.816456                1.92300e-11         3.94133e-14
             0.816688                1.95952e-11         4.11573e-14
             0.816921                1.96609e-11         4.13882e-14
             0.817154                1.96501e-11         3.93786e-14
             0.817387                1.96527e-11         3.77508e-14
             0.817620                1.96796e-11         3.74716e-14
             0.817852                1.94906e-11         3.84848e-14
             0.818085                1.88817e-11         3.93170e-14
             0.818318                1.68519e-11         3.81134e-14
             0.818551                1.47804e-11         3.43336e-14
             0.818784                1.63000e-11         3.49260e-14
             0.819016                1.83274e-11         3.63962e-14
             0.819249                1.83079e-11         3.61751e-14
             0.819482                1.58812e-11         3.43959e-14
             0.819715                1.36269e-11         3.25384e-14
             0.819947                1.52615e-11         3.58039e-14
             0.820180                1.75492e-11         3.69860e-14
             0.820413                1.87095e-11         3.64900e-14
             0.820646                1.88679e-11         3.57915e-14
             0.820878                1.85734e-11         3.55341e-14
             0.821111                1.87399e-11         3.65199e-14
             0.821344                1.88773e-11         3.81929e-14
             0.821576                1.89079e-11         3.84446e-14
             0.821809                1.89099e-11         3.70451e-14
             0.822042                1.87911e-11         3.57579e-14
             0.822274                1.87196e-11         3.55773e-14
             0.822507                1.91167e-11         3.71028e-14
             0.822740                1.94133e-11         3.88196e-14
             0.822972                1.93503e-11         4.11127e-14
             0.823205                1.95652e-11         4.01761e-14
             0.823438                1.94344e-11         3.78918e-14
             0.823670                1.93494e-11         3.63483e-14
             0.823903                1.95042e-11         3.61763e-14
