# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:52:14 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7520 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 39045'           /                                                
# SPTYPE  = 'M3      III'        / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2002 Jan 10'        / UT date of SXD observations                    
# LXDUT   = '2002 Jan 11'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.808303 / Minimum wavelength (um)                        
# MAXWAVE =              4.90650 / Maximum wavelength (um)                        
# V       =        6.24900000000 / V magnitude                                    
# VERR    =      0.0190000000000 / V magnitude error                              
# (B-V)   =        1.75200000000 / B-V color                                      
# (B-V)ERR=      0.0100000000000 / B-V color error                                
# J       =        2.65500000000 / 2MASS J magnitude                              
# JERR    =       0.300000000000 / 2MASS J magnitude error                        
# H       =        1.69800000000 / 2MASS H magnitude                              
# HERR    =       0.196000000000 / 2MASS H magnitude error                        
# KS      =        1.40700000000 / 2MASS Ks magnitude                             
# KSERR   =       0.178000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.120645000000 / Relative error in the absolute flux calibration
# RV      =        104.804680000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.60000000000 / Intrinsic Color                                
# E(B-V)  =       0.152000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.808303                3.25813e-10         5.71592e-13
             0.808505                3.24489e-10         5.72335e-13
             0.808707                3.26076e-10         5.76044e-13
             0.808909                3.30236e-10         5.74812e-13
             0.809111                3.30634e-10         5.80173e-13
             0.809314                3.15175e-10         5.70544e-13
             0.809516                3.07011e-10         5.67195e-13
             0.809718                3.09738e-10         5.67879e-13
             0.809920                3.21466e-10         5.76498e-13
             0.810122                3.22835e-10         5.78177e-13
             0.810324                3.27902e-10         5.84899e-13
             0.810526                3.30648e-10         5.83968e-13
             0.810728                3.30070e-10         5.91785e-13
             0.810930                3.26213e-10         5.91224e-13
             0.811048                3.25278e-10         5.46850e-13
             0.811281                3.25336e-10         5.14770e-13
             0.811515                3.24585e-10         4.97110e-13
             0.811749                3.06097e-10         4.83136e-13
             0.811982                3.07289e-10         4.99703e-13
             0.812216                3.24496e-10         5.32045e-13
             0.812450                3.32612e-10         5.63987e-13
             0.812683                3.33135e-10         5.31071e-13
             0.812917                3.32015e-10         5.08480e-13
             0.813150                3.30489e-10         5.28595e-13
             0.813384                3.23624e-10         5.08253e-13
             0.813618                3.28393e-10         5.25358e-13
             0.813851                3.36359e-10         5.55611e-13
             0.814085                3.36761e-10         5.49020e-13
             0.814318                3.33345e-10         5.17725e-13
             0.814552                3.25475e-10         5.02239e-13
             0.814785                3.27289e-10         5.04508e-13
             0.815019                3.32395e-10         5.17907e-13
             0.815252                3.32480e-10         5.44950e-13
             0.815486                3.33896e-10         5.58485e-13
             0.815719                3.38031e-10         5.31906e-13
             0.815953                3.38556e-10         5.21572e-13
             0.816186                3.19352e-10         5.11091e-13
             0.816420                3.18370e-10         5.11602e-13
             0.816653                3.32992e-10         5.29878e-13
             0.816887                3.38178e-10         5.61897e-13
             0.817120                3.38920e-10         5.34496e-13
             0.817354                3.37242e-10         5.13086e-13
             0.817587                3.36797e-10         5.14090e-13
             0.817821                3.39377e-10         5.17536e-13
             0.818054                3.40360e-10         5.26958e-13
             0.818287                3.32005e-10         5.34973e-13
             0.818521                3.23437e-10         5.34778e-13
             0.818754                3.19070e-10         5.19254e-13
             0.818987                3.26660e-10         5.02488e-13
             0.819221                3.43853e-10         5.09534e-13
             0.819454                3.34812e-10         5.01416e-13
             0.819687                3.18991e-10         5.15682e-13
             0.819921                3.18786e-10         5.32239e-13
             0.820154                3.21273e-10         5.05987e-13
             0.820387                3.17731e-10         4.81104e-13
             0.820621                3.10757e-10         4.68138e-13
             0.820854                3.13470e-10         4.72046e-13
             0.821087                3.25005e-10         4.90821e-13
             0.821320                3.24643e-10         5.08376e-13
             0.821554                3.21857e-10         5.12050e-13
             0.821787                3.29648e-10         5.02748e-13
             0.822020                3.31075e-10         4.86309e-13
             0.822253                3.26766e-10         4.94458e-13
             0.822487                3.31273e-10         5.07632e-13
             0.822720                3.38118e-10         5.48734e-13
             0.822953                3.40206e-10         5.68295e-13
             0.823186                3.35270e-10         5.20982e-13
             0.823420                3.31156e-10         4.88973e-13
             0.823653                3.34704e-10         4.77152e-13
             0.823886                3.34741e-10         4.82196e-13
             0.824119                3.29073e-10         4.92024e-13
             0.824352                3.27726e-10         5.12261e-13
             0.824585                3.34756e-10         5.06489e-13
             0.824818                3.38001e-10         4.86541e-13
             0.825051                3.35531e-10         4.73412e-13
             0.825285                3.30814e-10         4.72858e-13
             0.825518                3.17651e-10         4.77400e-13
             0.825751                3.13874e-10         4.93431e-13
             0.825984                3.27238e-10         5.06767e-13
             0.826217                3.40902e-10         4.92232e-13
             0.826450                3.42409e-10         4.78126e-13
             0.826683                3.39630e-10         4.66883e-13
             0.826916                3.37934e-10         4.72656e-13
             0.827149                3.36228e-10         4.94073e-13
             0.827382                3.33917e-10         5.01611e-13
             0.827615                3.32443e-10         4.99073e-13
             0.827848                3.33124e-10         4.83968e-13
             0.828081                3.36569e-10         4.79323e-13
             0.828314                3.34514e-10         4.65728e-13
             0.828547                3.30277e-10         4.78694e-13
             0.828780                3.29384e-10         4.86408e-13
             0.829013                3.29267e-10         4.94776e-13
             0.829246                3.27671e-10         4.78825e-13
             0.829479                3.26749e-10         4.63806e-13
             0.829712                3.26801e-10         4.55760e-13
             0.829945                3.27781e-10         4.56079e-13
             0.830178                3.28473e-10         4.68259e-13
             0.830411                3.25665e-10         4.79087e-13
             0.830644                3.14698e-10         4.67975e-13
             0.830877                3.03093e-10         4.49788e-13
             0.831109                3.05107e-10         4.44094e-13
             0.831342                3.15338e-10         4.43645e-13
             0.831575                3.23646e-10         4.53029e-13
             0.831808                3.33034e-10         4.68988e-13
             0.832041                3.32908e-10         4.82748e-13
             0.832274                3.28744e-10         4.63867e-13
             0.832507                3.27395e-10         4.52994e-13
             0.832739                3.14116e-10         4.38020e-13
             0.832972                3.10188e-10         4.36210e-13
             0.833205                3.19347e-10         4.47489e-13
             0.833438                3.15211e-10         4.58054e-13
             0.833671                3.12888e-10         4.56678e-13
             0.833903                3.19553e-10         4.48473e-13
             0.834136                3.26435e-10         4.41783e-13
             0.834369                3.26538e-10         4.37432e-13
             0.834602                3.22150e-10         4.39337e-13
             0.834835                3.11575e-10         4.37106e-13
             0.835067                3.08557e-10         4.44820e-13
             0.835300                3.14875e-10         4.43167e-13
             0.835533                3.18226e-10         4.38302e-13
             0.835765                3.23067e-10         4.29621e-13
             0.835998                3.26099e-10         4.34262e-13
             0.836231                3.22898e-10         4.36487e-13
             0.836464                3.07125e-10         4.34192e-13
