# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:52:16 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7520 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 39045'           /                                                
# SPTYPE  = 'M3      III'        / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2002 Jan 10'        / UT date of SXD observations                    
# LXDUT   = '2002 Jan 11'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.808303 / Minimum wavelength (um)                        
# MAXWAVE =              4.90650 / Maximum wavelength (um)                        
# V       =        6.24900000000 / V magnitude                                    
# VERR    =      0.0190000000000 / V magnitude error                              
# (B-V)   =        1.75200000000 / B-V color                                      
# (B-V)ERR=      0.0100000000000 / B-V color error                                
# J       =        2.65500000000 / 2MASS J magnitude                              
# JERR    =       0.300000000000 / 2MASS J magnitude error                        
# H       =        1.69800000000 / 2MASS H magnitude                              
# HERR    =       0.196000000000 / 2MASS H magnitude error                        
# KS      =        1.40700000000 / 2MASS Ks magnitude                             
# KSERR   =       0.178000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.120645000000 / Relative error in the absolute flux calibration
# RV      =        104.804680000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.60000000000 / Intrinsic Color                                
# E(B-V)  =       0.152000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.808303                4.05544e-10         7.11469e-13
             0.808505                4.03855e-10         7.12321e-13
             0.808707                4.05790e-10         7.16865e-13
             0.808909                4.10926e-10         7.15261e-13
             0.809111                4.11379e-10         7.21859e-13
             0.809314                3.92106e-10         7.09807e-13
             0.809516                3.81911e-10         7.05570e-13
             0.809718                3.85265e-10         7.06350e-13
             0.809920                3.99812e-10         7.16999e-13
             0.810122                4.01474e-10         7.19015e-13
             0.810324                4.07735e-10         7.27302e-13
             0.810526                4.11109e-10         7.26071e-13
             0.810728                4.10349e-10         7.35717e-13
             0.810930                4.05513e-10         7.34946e-13
             0.811048                4.04327e-10         6.79746e-13
             0.811281                4.04353e-10         6.39796e-13
             0.811515                4.03373e-10         6.17776e-13
             0.811749                3.80354e-10         6.00341e-13
             0.811982                3.81790e-10         6.20856e-13
             0.812216                4.03123e-10         6.60963e-13
             0.812450                4.13159e-10         7.00564e-13
             0.812683                4.13760e-10         6.59602e-13
             0.812917                4.12322e-10         6.31471e-13
             0.813150                4.10381e-10         6.56376e-13
             0.813384                4.01809e-10         6.31045e-13
             0.813618                4.07685e-10         6.52207e-13
             0.813851                4.17526e-10         6.89687e-13
             0.814085                4.17977e-10         6.81426e-13
             0.814318                4.13691e-10         6.42511e-13
             0.814552                4.03877e-10         6.23222e-13
             0.814785                4.06082e-10         6.25966e-13
             0.815019                4.12371e-10         6.42518e-13
             0.815252                4.12430e-10         6.75990e-13
             0.815486                4.14139e-10         6.92702e-13
             0.815719                4.19219e-10         6.59660e-13
             0.815953                4.19823e-10         6.46771e-13
             0.816186                3.95964e-10         6.33702e-13
             0.816420                3.94703e-10         6.34264e-13
             0.816653                4.12783e-10         6.56847e-13
             0.816887                4.19165e-10         6.96460e-13
             0.817120                4.20037e-10         6.62422e-13
             0.817354                4.17911e-10         6.35817e-13
             0.817587                4.17312e-10         6.36989e-13
             0.817821                4.20462e-10         6.41187e-13
             0.818054                4.21632e-10         6.52787e-13
             0.818287                4.11235e-10         6.62641e-13
             0.818521                4.00578e-10         6.62325e-13
             0.818754                3.95126e-10         6.43026e-13
             0.818987                4.04479e-10         6.22193e-13
             0.819221                4.25720e-10         6.30848e-13
             0.819454                4.14480e-10         6.20727e-13
             0.819687                3.94851e-10         6.38317e-13
             0.819921                3.94553e-10         6.58737e-13
             0.820154                3.97587e-10         6.26176e-13
             0.820387                3.93159e-10         5.95317e-13
             0.820621                3.84486e-10         5.79207e-13
             0.820854                3.87800e-10         5.83978e-13
             0.821087                4.02026e-10         6.07137e-13
             0.821320                4.01533e-10         6.28782e-13
