# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:52:11 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7492 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 40239'           /                                                
# SPTYPE  = 'M3 IIb  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2002 Jan 10'        / UT date of SXD observations                    
# LXDUT   = '2001 Jan 11'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.808424 / Minimum wavelength (um)                        
# MAXWAVE =              4.90604 / Maximum wavelength (um)                        
# V       =        4.29000000000 / V magnitude                                    
# VERR    =      0.0550000000000 / V magnitude error                              
# (B-V)   =        1.69800000000 / B-V color                                      
# (B-V)ERR=      0.0210000000000 / B-V color error                                
# J       =       0.245000000000 / 2MASS J magnitude                              
# JERR    =       0.220000000000 / 2MASS J magnitude error                        
# H       =      -0.602000000000 / 2MASS H magnitude                              
# HERR    =       0.174000000000 / 2MASS H magnitude error                        
# KS      =      -0.813000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.168000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.105928000000 / Relative error in the absolute flux calibration
# RV      =        11.7120960000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.60000000000 / Intrinsic Color                                
# E(B-V)  =      0.0979999000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.808424                2.20272e-09         5.11623e-12
             0.808626                2.19760e-09         5.02125e-12
             0.808828                2.25551e-09         5.11787e-12
             0.809030                2.24369e-09         5.11613e-12
             0.809232                2.17167e-09         4.96073e-12
             0.809434                2.08391e-09         4.84905e-12
             0.809636                2.06934e-09         4.83393e-12
             0.809838                2.14938e-09         4.98770e-12
             0.810040                2.16843e-09         5.02314e-12
             0.810242                2.19852e-09         5.07571e-12
             0.810444                2.23869e-09         5.14906e-12
             0.810646                2.22414e-09         5.15073e-12
             0.810848                2.23853e-09         5.16392e-12
             0.811050                2.19216e-09         5.16535e-12
             0.811252                2.21366e-09         5.19736e-12
             0.811312                2.22226e-09         4.49062e-12
             0.811546                2.16487e-09         4.68659e-12
             0.811781                2.08740e-09         4.40082e-12
             0.812015                2.13420e-09         4.26536e-12
             0.812250                2.23170e-09         4.29326e-12
             0.812484                2.27371e-09         4.35408e-12
             0.812718                2.27934e-09         4.53668e-12
             0.812953                2.27857e-09         4.76877e-12
             0.813187                2.24536e-09         4.70583e-12
             0.813421                2.23269e-09         4.51443e-12
             0.813656                2.24694e-09         4.40630e-12
             0.813890                2.31905e-09         4.43037e-12
             0.814124                2.31271e-09         4.53816e-12
             0.814359                2.25001e-09         4.70045e-12
             0.814593                2.22574e-09         4.75021e-12
             0.814827                2.25746e-09         4.60257e-12
             0.815062                2.27664e-09         4.44776e-12
             0.815296                2.29777e-09         4.40473e-12
             0.815530                2.31042e-09         4.52561e-12
             0.815764                2.35704e-09         4.76020e-12
             0.815998                2.32635e-09         4.96474e-12
             0.816233                2.21255e-09         4.61943e-12
             0.816467                2.21896e-09         4.50487e-12
             0.816701                2.33803e-09         4.53025e-12
             0.816935                2.32990e-09         4.51347e-12
             0.817169                2.34196e-09         4.70310e-12
             0.817403                2.32317e-09         4.80501e-12
             0.817637                2.31822e-09         4.75802e-12
             0.817871                2.35918e-09         4.72799e-12
             0.818105                2.30703e-09         4.48342e-12
             0.818340                2.22455e-09         4.35358e-12
             0.818574                2.16863e-09         4.33837e-12
             0.818808                2.20820e-09         4.59676e-12
             0.819042                2.33745e-09         4.96680e-12
             0.819276                2.39827e-09         4.72447e-12
             0.819510                2.22826e-09         4.35814e-12
             0.819744                2.12950e-09         4.11669e-12
             0.819978                2.17059e-09         4.29602e-12
             0.820212                2.18666e-09         4.43250e-12
             0.820445                2.10465e-09         4.38809e-12
             0.820679                2.08342e-09         4.13802e-12
             0.820913                2.14680e-09         4.09950e-12
             0.821147                2.24540e-09         4.21151e-12
             0.821381                2.21226e-09         4.20532e-12
             0.821615                2.21738e-09         4.33878e-12
             0.821849                2.30057e-09         4.66543e-12
             0.822083                2.23913e-09         4.42929e-12
             0.822317                2.22066e-09         4.31804e-12
             0.822550                2.32090e-09         4.49178e-12
             0.822784                2.35283e-09         4.59528e-12
             0.823018                2.35271e-09         4.80963e-12
             0.823252                2.29904e-09         4.90116e-12
             0.823485                2.31188e-09         4.71989e-12
             0.823719                2.32398e-09         4.47253e-12
             0.823953                2.29965e-09         4.28099e-12
             0.824187                2.25397e-09         4.21798e-12
             0.824421                2.28900e-09         4.37151e-12
             0.824654                2.34050e-09         4.59966e-12
             0.824888                2.31659e-09         4.60778e-12
             0.825122                2.28457e-09         4.37465e-12
             0.825355                2.17259e-09         4.07061e-12
             0.825589                2.10587e-09         3.98509e-12
             0.825823                2.16950e-09         4.12176e-12
             0.826056                2.30606e-09         4.46114e-12
             0.826290                2.37138e-09         4.64990e-12
             0.826523                2.36655e-09         4.55915e-12
             0.826757                2.33386e-09         4.34164e-12
             0.826991                2.33177e-09         4.24402e-12
             0.827224                2.31382e-09         4.25161e-12
             0.827458                2.27311e-09         4.39102e-12
