# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:52:03 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6776 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'CD -31 4916'        /                                                
# SPTYPE  = 'M3 Iab-Ia'          / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2002 Jan 11'        / UT date of SXD observations                    
# LXDUT   = '2003 Nov 20'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.813615 / Minimum wavelength (um)                        
# MAXWAVE =              4.17970 / Maximum wavelength (um)                        
# V       =        8.87800000000 / V magnitude                                    
# VERR    =       0.163000000000 / V magnitude error                              
# (B-V)   =        2.23800000000 / B-V color                                      
# (B-V)ERR=      0.0940000000000 / B-V color error                                
# J       =        4.61200000000 / 2MASS J magnitude                              
# JERR    =       0.208000000000 / 2MASS J magnitude error                        
# H       =        3.48600000000 / 2MASS H magnitude                              
# HERR    =       0.234000000000 / 2MASS H magnitude error                        
# KS      =        3.13900000000 / 2MASS Ks magnitude                             
# KSERR   =       0.246000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.131418000000 / Relative error in the absolute flux calibration
# RV      =        50.1970910000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.67000000000 / Intrinsic Color                                
# E(B-V)  =       0.568000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.813615                3.85805e-11         1.90508e-13
             0.813848                3.93254e-11         1.89221e-13
             0.814081                4.00830e-11         1.89226e-13
             0.814314                3.96123e-11         1.88226e-13
             0.814547                3.85342e-11         1.83012e-13
             0.814780                3.88119e-11         1.86107e-13
             0.815013                3.93973e-11         1.86882e-13
             0.815246                3.97099e-11         1.84824e-13
             0.815478                3.99312e-11         1.84405e-13
             0.815711                3.98991e-11         1.82094e-13
             0.815944                4.13140e-11         1.83103e-13
             0.816177                3.98290e-11         1.83596e-13
             0.816410                3.71814e-11         1.79445e-13
             0.816643                3.86594e-11         1.78724e-13
             0.816876                4.03752e-11         1.79333e-13
             0.817109                4.04487e-11         1.78526e-13
             0.817341                4.05866e-11         1.74029e-13
             0.817574                3.99256e-11         1.72660e-13
             0.817807                4.01998e-11         1.77080e-13
             0.818040                4.11406e-11         1.78921e-13
             0.818273                4.02631e-11         1.71706e-13
             0.818506                3.77877e-11         1.65204e-13
             0.818738                3.69859e-11         1.62855e-13
             0.818971                3.82400e-11         1.65738e-13
             0.819204                4.13654e-11         1.70629e-13
             0.819437                4.22014e-11         1.71213e-13
             0.819670                3.72654e-11         1.58604e-13
             0.819902                3.74062e-11         1.62690e-13
             0.820135                3.89671e-11         1.61415e-13
             0.820368                3.74688e-11         1.55153e-13
             0.820601                3.57104e-11         1.49973e-13
             0.820834                3.54369e-11         1.48661e-13
             0.821066                3.81493e-11         1.53194e-13
             0.821299                3.94995e-11         1.55226e-13
             0.821532                3.87007e-11         1.53362e-13
             0.821765                3.92650e-11         1.54868e-13
             0.821997                4.10042e-11         1.56662e-13
             0.822230                3.96384e-11         1.53670e-13
             0.822463                3.93195e-11         1.54096e-13
             0.822696                4.10862e-11         1.62501e-13
             0.822928                4.17866e-11         1.69516e-13
             0.823161                4.20295e-11         1.68939e-13
             0.823394                4.08644e-11         1.58124e-13
             0.823627                4.10599e-11         1.54065e-13
             0.823859                4.14224e-11         1.51556e-13
             0.824092                4.07224e-11         1.50221e-13
             0.824325                4.01122e-11         1.49726e-13
             0.824557                4.09730e-11         1.52593e-13
             0.824790                4.22160e-11         1.49999e-13
             0.825023                4.15248e-11         1.49066e-13
             0.825255                4.05161e-11         1.45533e-13
             0.825488                3.89577e-11         1.43186e-13
             0.825721                3.79652e-11         1.42056e-13
             0.825953                3.94785e-11         1.44478e-13
             0.826186                4.23261e-11         1.48108e-13
             0.826419                4.31251e-11         1.47996e-13
             0.826651                4.25625e-11         1.45517e-13
             0.826884                4.18426e-11         1.43314e-13
             0.827116                4.19508e-11         1.43451e-13
             0.827349                4.17134e-11         1.45135e-13
             0.827582                4.04250e-11         1.42583e-13
             0.827814                4.02349e-11         1.41176e-13
             0.828047                4.11831e-11         1.42267e-13
             0.828280                4.17482e-11         1.44023e-13
             0.828512                4.06804e-11         1.38832e-13
             0.828745                4.04316e-11         1.40110e-13
             0.828977                4.05930e-11         1.39563e-13
             0.829210                4.03955e-11         1.37131e-13
             0.829443                4.05162e-11         1.36039e-13
             0.829675                4.02540e-11         1.35227e-13
             0.829908                3.96006e-11         1.32707e-13
             0.830140                4.01434e-11         1.33192e-13
             0.830373                4.08878e-11         1.34688e-13
             0.830605                3.94362e-11         1.32314e-13
             0.830838                3.68724e-11         1.25468e-13
             0.831070                3.65358e-11         1.24513e-13
             0.831303                3.76490e-11         1.24616e-13
             0.831535                3.91554e-11         1.28032e-13
             0.831768                4.10599e-11         1.31358e-13
             0.832000                4.19479e-11         1.32940e-13
             0.832233                4.10717e-11         1.31721e-13
             0.832465                4.04800e-11         1.28318e-13
             0.832698                3.96429e-11         1.25215e-13
             0.832931                3.71526e-11         1.21098e-13
             0.833163                3.87350e-11         1.23461e-13
             0.833395                3.91579e-11         1.24302e-13
             0.833628                3.78099e-11         1.21354e-13
             0.833860                3.88555e-11         1.22718e-13
             0.834093                3.98357e-11         1.23613e-13
             0.834325                4.09575e-11         1.25295e-13
             0.834558                4.06284e-11         1.24489e-13
             0.834790                3.89172e-11         1.20928e-13
             0.835023                3.69982e-11         1.16086e-13
             0.835255                3.80622e-11         1.17738e-13
             0.835488                3.92012e-11         1.19214e-13
             0.835720                3.90174e-11         1.18428e-13
             0.835952                4.01298e-11         1.19627e-13
             0.836185                4.07812e-11         1.20652e-13
             0.836417                3.92390e-11         1.17891e-13
             0.836650                3.62772e-11         1.12475e-13
             0.836882                3.87187e-11         1.15809e-13
             0.837115                4.13717e-11         1.20072e-13
             0.837347                4.08773e-11         1.18935e-13
             0.837579                4.12148e-11         1.19296e-13
             0.837812                3.99513e-11         1.16787e-13
             0.838044                3.85794e-11         1.13708e-13
             0.838277                3.89950e-11         1.13627e-13
             0.838509                3.68281e-11         1.13567e-13
             0.838741                3.63967e-11         1.08859e-13
             0.838974                3.58219e-11         1.07827e-13
             0.839206                3.65415e-11         1.08430e-13
             0.839438                4.10942e-11         1.15795e-13
             0.839671                4.19490e-11         1.16574e-13
             0.839903                3.92734e-11         1.11979e-13
             0.840135                3.97109e-11         1.12374e-13
             0.840368                4.11338e-11         1.15362e-13
             0.840600                4.13832e-11         1.15086e-13
             0.840832                4.21493e-11         1.16513e-13
             0.841065                4.29311e-11         1.17518e-13
             0.841297                4.06650e-11         1.13215e-13
             0.841529                3.82033e-11         1.09263e-13
             0.841762                4.01667e-11         1.11749e-13
             0.841994                4.11773e-11         1.12676e-13
             0.842226                4.08848e-11         1.12291e-13
             0.842458                4.03701e-11         1.10210e-13
             0.842691                3.75034e-11         1.05469e-13
             0.842923                3.64936e-11         1.03943e-13
             0.843155                4.10514e-11         1.11232e-13
             0.843388                4.22683e-11         1.13043e-13
             0.843620                3.52396e-11         1.01675e-13
             0.843852                3.24795e-11         9.65937e-14
             0.844084                3.63354e-11         1.02582e-13
             0.844317                3.83419e-11         1.05936e-13
             0.844549                3.87758e-11         1.07357e-13
             0.844781                3.82663e-11         1.06652e-13
             0.845013                3.78347e-11         1.04921e-13
             0.845246                3.72877e-11         1.03222e-13
             0.845478                3.62722e-11         1.00159e-13
             0.845710                3.57591e-11         9.96842e-14
             0.845942                3.55004e-11         9.85570e-14
             0.846174                3.68300e-11         1.00326e-13
             0.846407                3.81929e-11         1.02581e-13
             0.846639                3.65197e-11         9.98339e-14
             0.846871                3.38321e-11         9.47026e-14
             0.847103                3.32366e-11         9.40329e-14
             0.847335                3.51733e-11         9.66910e-14
             0.847568                3.76630e-11         9.98923e-14
             0.847800                3.87417e-11         1.01777e-13
             0.848032                3.82564e-11         9.96213e-14
             0.848264                3.77976e-11         9.91724e-14
             0.848496                3.74526e-11         9.80597e-14
             0.848728                3.81707e-11         9.93085e-14
             0.848961                3.85670e-11         9.92195e-14
             0.849193                3.94700e-11         1.01358e-13
             0.849425                3.89701e-11         1.00178e-13
             0.849657                3.58814e-11         9.52873e-14
             0.849889                2.90181e-11         8.49952e-14
             0.850121                2.70292e-11         8.20685e-14
             0.850353                3.27585e-11         9.06412e-14
             0.850585                3.61600e-11         9.49736e-14
             0.850818                3.73814e-11         9.68317e-14
             0.851050                3.83344e-11         9.75985e-14
             0.851282                3.82397e-11         9.66987e-14
             0.851514                3.57326e-11         9.33599e-14
             0.851746                3.34118e-11         8.88424e-14
             0.851978                3.41555e-11         9.03268e-14
             0.852210                3.60494e-11         9.26619e-14
             0.852442                3.73039e-11         9.37549e-14
             0.852674                3.74217e-11         9.46814e-14
             0.852906                3.70211e-11         9.32678e-14
             0.853138                3.70757e-11         9.33057e-14
             0.853370                3.67718e-11         9.33600e-14
             0.853603                3.67139e-11         9.37838e-14
             0.853835                3.51226e-11         9.21540e-14
             0.854067                3.07464e-11         8.51156e-14
             0.854299                2.35216e-11         7.33739e-14
             0.854531                2.15630e-11         7.04007e-14
             0.854763                2.69927e-11         7.83423e-14
             0.854995                3.13924e-11         8.44760e-14
             0.855227                3.43557e-11         8.88109e-14
             0.855459                3.76192e-11         9.28554e-14
             0.855691                3.86883e-11         9.42353e-14
             0.855923                3.87448e-11         9.39435e-14
