# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:52:05 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6776 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'CD -31 4916'        /                                                
# SPTYPE  = 'M3 Iab-Ia'          / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2002 Jan 11'        / UT date of SXD observations                    
# LXDUT   = '2003 Nov 20'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.813615 / Minimum wavelength (um)                        
# MAXWAVE =              4.17970 / Maximum wavelength (um)                        
# V       =        8.87800000000 / V magnitude                                    
# VERR    =       0.163000000000 / V magnitude error                              
# (B-V)   =        2.23800000000 / B-V color                                      
# (B-V)ERR=      0.0940000000000 / B-V color error                                
# J       =        4.61200000000 / 2MASS J magnitude                              
# JERR    =       0.208000000000 / 2MASS J magnitude error                        
# H       =        3.48600000000 / 2MASS H magnitude                              
# HERR    =       0.234000000000 / 2MASS H magnitude error                        
# KS      =        3.13900000000 / 2MASS Ks magnitude                             
# KSERR   =       0.246000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.131418000000 / Relative error in the absolute flux calibration
# RV      =        50.1970910000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.67000000000 / Intrinsic Color                                
# E(B-V)  =       0.568000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.813615                8.65710e-11         4.27482e-13
             0.813848                8.82050e-11         4.24413e-13
             0.814081                8.98659e-11         4.24244e-13
             0.814314                8.87728e-11         4.21823e-13
             0.814547                8.63202e-11         4.09964e-13
             0.814780                8.69053e-11         4.16720e-13
             0.815013                8.81788e-11         4.18277e-13
             0.815246                8.88408e-11         4.13496e-13
             0.815478                8.92980e-11         4.12384e-13
             0.815711                8.91885e-11         4.07045e-13
             0.815944                9.23124e-11         4.09127e-13
             0.816177                8.89567e-11         4.10055e-13
             0.816410                8.30084e-11         4.00616e-13
             0.816643                8.62717e-11         3.98838e-13
             0.816876                9.00627e-11         4.00029e-13
             0.817109                9.01889e-11         3.98060e-13
             0.817341                9.04581e-11         3.87870e-13
             0.817574                8.89476e-11         3.84657e-13
             0.817807                8.95210e-11         3.94340e-13
             0.818040                9.15777e-11         3.98271e-13
             0.818273                8.95867e-11         3.82052e-13
             0.818506                8.40437e-11         3.67431e-13
             0.818738                8.22262e-11         3.62054e-13
             0.818971                8.49787e-11         3.68311e-13
             0.819204                9.18857e-11         3.79022e-13
             0.819437                9.37037e-11         3.80159e-13
             0.819670                8.27094e-11         3.52016e-13
             0.819902                8.29871e-11         3.60935e-13
             0.820135                8.64143e-11         3.57956e-13
             0.820368                8.30570e-11         3.43926e-13
             0.820601                7.91263e-11         3.32307e-13
             0.820834                7.84876e-11         3.29262e-13
             0.821066                8.44601e-11         3.39161e-13
             0.821299                8.74131e-11         3.43518e-13
             0.821532                8.56100e-11         3.39254e-13
             0.821765                8.68224e-11         3.42442e-13
             0.821997                9.06306e-11         3.46266e-13
             0.822230                8.75756e-11         3.39512e-13
             0.822463                8.68353e-11         3.40314e-13
             0.822696                9.06994e-11         3.58728e-13
             0.822928                9.22077e-11         3.74060e-13
             0.823161                9.27054e-11         3.72633e-13
             0.823394                9.00984e-11         3.48635e-13
             0.823627                9.04922e-11         3.39546e-13
             0.823859                9.12537e-11         3.33879e-13
             0.824092                8.96749e-11         3.30803e-13
             0.824325                8.82949e-11         3.29577e-13
             0.824557                9.01527e-11         3.35751e-13
             0.824790                9.28498e-11         3.29907e-13
             0.825023                9.12922e-11         3.27722e-13
             0.825255                8.90382e-11         3.19823e-13
             0.825488                8.55785e-11         3.14536e-13
             0.825721                8.33641e-11         3.11926e-13
             0.825953                8.66518e-11         3.17117e-13
             0.826186                9.28641e-11         3.24951e-13
             0.826419                9.45788e-11         3.24575e-13
             0.826651                9.33070e-11         3.19006e-13
             0.826884                9.16915e-11         3.14051e-13
             0.827116                9.18912e-11         3.14223e-13
             0.827349                9.13342e-11         3.17783e-13
             0.827582                8.84774e-11         3.12069e-13
             0.827814                8.80257e-11         3.08864e-13
             0.828047                9.00636e-11         3.11124e-13
             0.828280                9.12626e-11         3.14838e-13
             0.828512                8.88925e-11         3.03367e-13
             0.828745                8.83130e-11         3.06037e-13
             0.828977                8.86299e-11         3.04718e-13
             0.829210                8.81632e-11         2.99289e-13
             0.829443                8.83910e-11         2.96786e-13
             0.829675                8.77835e-11         2.94896e-13
             0.829908                8.63240e-11         2.89283e-13
             0.830140                8.74722e-11         2.90224e-13
             0.830373                8.90584e-11         2.93365e-13
             0.830605                8.58621e-11         2.88080e-13
             0.830838                8.02480e-11         2.73065e-13
             0.831070                7.94837e-11         2.70878e-13
             0.831303                8.18727e-11         2.70994e-13
             0.831535                8.51144e-11         2.78312e-13
             0.831768                8.92187e-11         2.85426e-13
             0.832000                9.11119e-11         2.88750e-13
             0.832233                8.91732e-11         2.85988e-13
             0.832465                8.78535e-11         2.78488e-13
             0.832698                8.60026e-11         2.71645e-13
             0.832931                8.05680e-11         2.62609e-13
             0.833163                8.39661e-11         2.67627e-13
             0.833395                8.48491e-11         2.69343e-13
             0.833628                8.18958e-11         2.62852e-13
             0.833860                8.41271e-11         2.65701e-13
             0.834093                8.62152e-11         2.67533e-13
             0.834325                8.86081e-11         2.71065e-13
             0.834558                8.78613e-11         2.69214e-13
             0.834790                8.41276e-11         2.61411e-13
             0.835023                7.99477e-11         2.50845e-13
             0.835255                8.22143e-11         2.54315e-13
             0.835488                8.46411e-11         2.57400e-13
             0.835720                8.42111e-11         2.55602e-13
             0.835952                8.65781e-11         2.58089e-13
             0.836185                8.79488e-11         2.60198e-13
             0.836417                8.45896e-11         2.54144e-13
             0.836650                7.81740e-11         2.42373e-13
             0.836882                8.34025e-11         2.49460e-13
             0.837115                8.90823e-11         2.58540e-13
             0.837347                8.79832e-11         2.55992e-13
             0.837579                8.86749e-11         2.56669e-13
             0.837812                8.59230e-11         2.51172e-13
             0.838044                8.29400e-11         2.44456e-13
             0.838277                8.38008e-11         2.44186e-13
             0.838509                7.91132e-11         2.43962e-13
             0.838741                7.81559e-11         2.33757e-13
             0.838974                7.68918e-11         2.31451e-13
             0.839206                7.84058e-11         2.32656e-13
             0.839438                8.81403e-11         2.48362e-13
             0.839671                8.99387e-11         2.49935e-13
             0.839903                8.41695e-11         2.39990e-13
             0.840135                8.50742e-11         2.40742e-13
             0.840368                8.80883e-11         2.47049e-13
             0.840600                8.85880e-11         2.46362e-13
             0.840832                9.01931e-11         2.49321e-13
             0.841065                9.18306e-11         2.51373e-13
             0.841297                8.69497e-11         2.42077e-13
             0.841529                8.16547e-11         2.33535e-13
             0.841762                8.58180e-11         2.38756e-13
             0.841994                8.79434e-11         2.40645e-13
             0.842226                8.72850e-11         2.39730e-13
             0.842458                8.61531e-11         2.35197e-13
             0.842691                8.00046e-11         2.24992e-13
             0.842923                7.78205e-11         2.21653e-13
             0.843155                8.75061e-11         2.37105e-13
             0.843388                9.00654e-11         2.40872e-13
             0.843620                7.50600e-11         2.16566e-13
             0.843852                6.91545e-11         2.05665e-13
             0.844084                7.73348e-11         2.18330e-13
             0.844317                8.15742e-11         2.25383e-13
             0.844549                8.24658e-11         2.28320e-13
             0.844781                8.13511e-11         2.26733e-13
             0.845013                8.04030e-11         2.22968e-13
             0.845246                7.92102e-11         2.19274e-13
             0.845478                7.70238e-11         2.12687e-13
             0.845710                7.59053e-11         2.11598e-13
             0.845942                7.53276e-11         2.09126e-13
             0.846174                7.81190e-11         2.12799e-13
             0.846407                8.09792e-11         2.17499e-13
             0.846639                7.74021e-11         2.11594e-13
             0.846871                7.16787e-11         2.00643e-13
             0.847103                7.03904e-11         1.99148e-13
             0.847335                7.44640e-11         2.04700e-13
             0.847568                7.97047e-11         2.11398e-13
             0.847800                8.19564e-11         2.15305e-13
             0.848032                8.08992e-11         2.10665e-13
             0.848264                7.98989e-11         2.09637e-13
             0.848496                7.91399e-11         2.07207e-13
             0.848728                8.06270e-11         2.09766e-13
             0.848961                8.14334e-11         2.09500e-13
             0.849193                8.33087e-11         2.13934e-13
             0.849425                8.22227e-11         2.11364e-13
             0.849657                7.56775e-11         2.00970e-13
             0.849889                6.11792e-11         1.79196e-13
             0.850121                5.69646e-11         1.72961e-13
             0.850353                6.90134e-11         1.90956e-13
             0.850585                7.61508e-11         2.00009e-13
             0.850818                7.86936e-11         2.03846e-13
             0.851050                8.06698e-11         2.05383e-13
             0.851282                8.04404e-11         2.03414e-13
             0.851514                7.51385e-11         1.96317e-13
             0.851746                7.02321e-11         1.86748e-13
             0.851978                7.17687e-11         1.89798e-13
             0.852210                7.57201e-11         1.94632e-13
             0.852442                7.83259e-11         1.96854e-13
             0.852674                7.85440e-11         1.98726e-13
             0.852906                7.76745e-11         1.95686e-13
             0.853138                7.77601e-11         1.95693e-13
             0.853370                7.70942e-11         1.95735e-13
             0.853603                7.69442e-11         1.96550e-13
             0.853835                7.35820e-11         1.93063e-13
             0.854067                6.43901e-11         1.78252e-13
             0.854299                4.92414e-11         1.53605e-13
             0.854531                4.51246e-11         1.47327e-13
             0.854763                5.64664e-11         1.63885e-13
             0.854995                6.56460e-11         1.76651e-13
             0.855227                7.18161e-11         1.85648e-13
             0.855459                7.86093e-11         1.94031e-13
             0.855691                8.08135e-11         1.96842e-13
             0.855923                8.09019e-11         1.96161e-13
             0.856155                8.17687e-11         1.96943e-13
             0.856387                8.15306e-11         1.94976e-13
             0.856619                8.21904e-11         1.95220e-13
             0.856851                8.24676e-11         1.94922e-13
             0.857083                8.18000e-11         1.93358e-13
             0.857315                8.16418e-11         1.91992e-13
             0.857547                8.22537e-11         1.94095e-13
             0.857779                8.25001e-11         1.93310e-13
             0.858011                8.44531e-11         1.96726e-13
             0.858243                8.43631e-11         1.96259e-13
             0.858475                8.18885e-11         1.91503e-13
             0.858707                8.31046e-11         1.94943e-13
             0.858939                8.53836e-11         1.99752e-13
             0.859170                8.49764e-11         1.98583e-13
             0.859402                8.44935e-11         1.97372e-13
             0.859634                8.48436e-11         1.97373e-13
             0.859866                8.49141e-11         1.96778e-13
             0.860098                8.47312e-11         1.96013e-13
             0.860330                8.56310e-11         1.96559e-13
             0.860562                8.55711e-11         1.96174e-13
             0.860794                8.53742e-11         1.95405e-13
             0.861026                8.56662e-11         1.95711e-13
             0.861258                8.26686e-11         1.90357e-13
             0.861490                8.09320e-11         1.86821e-13
             0.861722                8.43462e-11         1.90279e-13
             0.861953                8.58913e-11         1.91089e-13
             0.862185                8.51205e-11         1.90103e-13
             0.862417                8.29491e-11         1.84427e-13
             0.862649                8.52681e-11         1.88812e-13
             0.862881                8.77022e-11         1.89617e-13
             0.863113                8.81702e-11         1.91917e-13
             0.863345                8.81142e-11         1.96972e-13
             0.863577                8.77978e-11         1.90038e-13
             0.863808                8.79971e-11         1.89989e-13
             0.864040                8.94100e-11         1.92135e-13
             0.864272                8.91634e-11         1.92171e-13
             0.864504                8.72947e-11         1.90797e-13
             0.864736                8.79154e-11         1.91430e-13
             0.864968                8.64907e-11         1.90432e-13
             0.865200                8.52712e-11         1.88986e-13
             0.865431                8.48909e-11         1.88088e-13
             0.865663                8.39343e-11         1.86837e-13
             0.865895                8.05292e-11         1.81550e-13
             0.866127                7.01820e-11         1.66502e-13
             0.866359                5.29959e-11         1.41855e-13
             0.866590                5.15930e-11         1.39454e-13
             0.866822                6.70174e-11         1.61096e-13
             0.867054                7.88422e-11         1.78506e-13
             0.867286                8.37488e-11         1.85383e-13
             0.867518                8.19728e-11         1.83130e-13
             0.867749                7.87357e-11         1.83262e-13
             0.867981                8.23879e-11         1.85221e-13
             0.868213                8.55408e-11         1.88246e-13
             0.868445                8.26952e-11         1.82790e-13
             0.868676                8.41160e-11         1.83501e-13
             0.868908                8.20320e-11         1.79024e-13
             0.869140                7.60490e-11         1.70347e-13
             0.869372                7.93010e-11         1.72637e-13
             0.869603                8.55279e-11         1.81078e-13
             0.869835                8.91139e-11         1.85939e-13
             0.870067                8.76887e-11         1.82690e-13
             0.870299                8.58882e-11         1.79616e-13
             0.870530                8.68716e-11         1.82149e-13
             0.870762                8.84762e-11         1.83351e-13
             0.870994                8.98506e-11         1.86049e-13
             0.871225                8.80425e-11         1.82327e-13
             0.871457                8.64624e-11         1.81586e-13
