# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:52:18 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7991 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'Gl 388  '           /                                                
# SPTYPE  = 'M3 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.3'     / Spectroscopy Mode                              
# SXDUT   = '2000 Dec 10'        / UT date of SXD observations                    
# LXDUT   = '2000 Dec 10'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '1500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.808970 / Minimum wavelength (um)                        
# MAXWAVE =              5.42437 / Maximum wavelength (um)                        
# V       =        9.42100000000 / V magnitude                                    
# VERR    =      0.0170000000000 / V magnitude error                              
# (B-V)   =        1.54400000000 / B-V color                                      
# (B-V)ERR=     0.00900000000000 / B-V color error                                
# J       =        5.44900000000 / 2MASS J magnitude                              
# JERR    =      0.0270000000000 / 2MASS J magnitude error                        
# H       =        4.84300000000 / 2MASS H magnitude                              
# HERR    =      0.0200000000000 / 2MASS H magnitude error                        
# KS      =        4.59300000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0170000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AEA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0116786000000 / Relative error in the absolute flux calibration
# RV      =       -5.15524400000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.55000000000 / Intrinsic Color                                
# E(B-V)  =    -0.00599992000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) *AND* Cushing et al.    
# COMMENT (2005, ApJ, 648, 1115) if you use this spectrum.  The spectrum has      
# COMMENT been absolutely flux calibrated using 2MASS photometry and has been     
# COMMENT shifted to zero radial velocity.  For other pertinent information,      
# COMMENT please see Cushing et al. (2005, ApJ, 648, 1115) and/or Rayner et       
# COMMENT al. (ApJS, 185, 289).                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.808970                2.67863e-11         5.64786e-14
             0.809172                2.69514e-11         5.78281e-14
             0.809375                2.68468e-11         5.65085e-14
             0.809577                2.67125e-11         5.62924e-14
             0.809780                2.69575e-11         5.67991e-14
             0.809982                2.68631e-11         5.67455e-14
             0.810185                2.68374e-11         5.67730e-14
             0.810387                2.67014e-11         5.67604e-14
             0.810590                2.68303e-11         5.72307e-14
             0.810792                2.70111e-11         6.14657e-14
             0.810995                2.71866e-11         5.76751e-14
             0.811197                2.72201e-11         5.74960e-14
             0.811400                2.72605e-11         5.79805e-14
             0.811602                2.68634e-11         5.73900e-14
             0.811805                2.61694e-11         5.65672e-14
             0.811875                2.61690e-11         4.79963e-14
             0.812108                2.67097e-11         5.11390e-14
             0.812341                2.73237e-11         4.94973e-14
             0.812574                2.73867e-11         4.75387e-14
             0.812808                2.75208e-11         4.69097e-14
             0.813041                2.75512e-11         4.65894e-14
             0.813274                2.74090e-11         4.78809e-14
             0.813507                2.72238e-11         5.00018e-14
             0.813740                2.74235e-11         5.12122e-14
             0.813973                2.76663e-11         4.84903e-14
             0.814206                2.76757e-11         4.69980e-14
             0.814439                2.72347e-11         4.59345e-14
             0.814672                2.70862e-11         4.63513e-14
             0.814905                2.72086e-11         4.82999e-14
             0.815138                2.73614e-11         5.06767e-14
             0.815371                2.73589e-11         4.96327e-14
             0.815604                2.72710e-11         4.74712e-14
             0.815837                2.72187e-11         4.61251e-14
             0.816070                2.69772e-11         4.63779e-14
             0.816304                2.66557e-11         4.67874e-14
             0.816537                2.69081e-11         4.91054e-14
             0.816770                2.73872e-11         5.08929e-14
             0.817003                2.75341e-11         4.87991e-14
             0.817236                2.74945e-11         4.68828e-14
             0.817469                2.73298e-11         4.54733e-14
             0.817702                2.74116e-11         4.58137e-14
             0.817935                2.69770e-11         4.76148e-14
             0.818167                2.52281e-11         4.81749e-14
             0.818400                2.15166e-11         4.26006e-14
             0.818633                2.08263e-11         4.06386e-14
             0.818866                2.41609e-11         4.27372e-14
             0.819099                2.58376e-11         4.42270e-14
             0.819332                2.41305e-11         4.33581e-14
             0.819565                1.98421e-11         4.02852e-14
             0.819798                1.92563e-11         4.05180e-14
             0.820031                2.29389e-11         4.41723e-14
             0.820264                2.55601e-11         4.51831e-14
             0.820497                2.64366e-11         4.55517e-14
             0.820730                2.64028e-11         4.40667e-14
             0.820963                2.64480e-11         4.49756e-14
             0.821196                2.67124e-11         4.69507e-14
             0.821428                2.67669e-11         4.79013e-14
             0.821661                2.67825e-11         4.60669e-14
             0.821894                2.67669e-11         4.50080e-14
             0.822127                2.63319e-11         4.43723e-14
             0.822360                2.65521e-11         4.45920e-14
             0.822593                2.72369e-11         4.79498e-14
