# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:51:59 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6714 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'RW Cyg  '           /                                                
# SPTYPE  = 'M3 to M4 Ia-Iab'    / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2003 Jul 07'        / UT date of SXD observations                    
# LXDUT   = '2003 Jul 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.807073 / Minimum wavelength (um)                        
# MAXWAVE =              4.09371 / Maximum wavelength (um)                        
# V       =        8.36100000000 / V magnitude                                    
# VERR    =       0.259000000000 / V magnitude error                              
# (B-V)   =        2.88100000000 / B-V color                                      
# (B-V)ERR=      0.0190000000000 / B-V color error                                
# J       =        2.11700000000 / 2MASS J magnitude                              
# JERR    =       0.294000000000 / 2MASS J magnitude error                        
# H       =       0.964000000000 / 2MASS H magnitude                              
# HERR    =       0.152000000000 / 2MASS H magnitude error                        
# KS      =       0.640000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.210000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DBC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.113572000000 / Relative error in the absolute flux calibration
# RV      =       -15.3820310000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.67000000000 / Intrinsic Color                                
# E(B-V)  =        1.21100000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.807073                2.00316e-10         7.75990e-13
             0.807276                1.99720e-10         7.79600e-13
             0.807478                1.99902e-10         7.71556e-13
             0.807680                2.06132e-10         7.92142e-13
             0.807882                2.18811e-10         8.07298e-13
             0.808085                2.23370e-10         8.07827e-13
             0.808287                2.16608e-10         7.99532e-13
             0.808489                2.14925e-10         7.93992e-13
             0.808692                2.22032e-10         8.01711e-13
             0.808894                2.26891e-10         8.20419e-13
             0.809096                2.15548e-10         8.23726e-13
             0.809299                1.98198e-10         7.92814e-13
             0.809501                1.97503e-10         7.92315e-13
             0.809703                2.04555e-10         7.96133e-13
             0.809905                2.08109e-10         8.01809e-13
             0.810108                2.08242e-10         7.98422e-13
             0.810286                2.11730e-10         7.10847e-13
             0.810519                2.10469e-10         7.09845e-13
             0.810753                2.07555e-10         7.14007e-13
             0.810986                2.09656e-10         7.60302e-13
             0.811220                2.13147e-10         8.09733e-13
             0.811454                2.11921e-10         7.56558e-13
             0.811687                1.98745e-10         7.04939e-13
             0.811921                2.00384e-10         6.88167e-13
             0.812154                2.09334e-10         7.10911e-13
             0.812388                2.16753e-10         7.39995e-13
             0.812621                2.16918e-10         7.93181e-13
             0.812855                2.15594e-10         7.77386e-13
             0.813089                2.14775e-10         7.35796e-13
             0.813322                2.05191e-10         7.02282e-13
             0.813556                2.10678e-10         7.03748e-13
             0.813789                2.17631e-10         7.31836e-13
             0.814023                2.20935e-10         7.66373e-13
             0.814256                2.15869e-10         8.02982e-13
             0.814490                2.10051e-10         7.46709e-13
             0.814723                2.13253e-10         7.17763e-13
             0.814957                2.15020e-10         7.09376e-13
             0.815190                2.17336e-10         7.35335e-13
             0.815424                2.18553e-10         7.48203e-13
             0.815657                2.25083e-10         7.91602e-13
             0.815890                2.32547e-10         7.91476e-13
             0.816124                2.16523e-10         7.33819e-13
             0.816357                2.03721e-10         7.04785e-13
             0.816591                2.13296e-10         7.18587e-13
             0.816824                2.21516e-10         7.36928e-13
             0.817058                2.22609e-10         7.65973e-13
             0.817291                2.24380e-10         8.01572e-13
             0.817524                2.19497e-10         7.44788e-13
             0.817758                2.22724e-10         7.19926e-13
             0.817991                2.26883e-10         7.20232e-13
             0.818224                2.15686e-10         7.13055e-13
             0.818458                2.00378e-10         7.19824e-13
             0.818691                1.99089e-10         7.50297e-13
             0.818924                2.10248e-10         7.49105e-13
             0.819158                2.33543e-10         7.42694e-13
             0.819391                2.26993e-10         7.10488e-13
             0.819624                2.00236e-10         6.86460e-13
             0.819858                2.08914e-10         7.06575e-13
             0.820091                2.14109e-10         7.32322e-13
             0.820324                2.05236e-10         7.45774e-13
