# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:52:01 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6714 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'RW Cyg  '           /                                                
# SPTYPE  = 'M3 to M4 Ia-Iab'    / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2003 Jul 07'        / UT date of SXD observations                    
# LXDUT   = '2003 Jul 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.807073 / Minimum wavelength (um)                        
# MAXWAVE =              4.09371 / Maximum wavelength (um)                        
# V       =        8.36100000000 / V magnitude                                    
# VERR    =       0.259000000000 / V magnitude error                              
# (B-V)   =        2.88100000000 / B-V color                                      
# (B-V)ERR=      0.0190000000000 / B-V color error                                
# J       =        2.11700000000 / 2MASS J magnitude                              
# JERR    =       0.294000000000 / 2MASS J magnitude error                        
# H       =       0.964000000000 / 2MASS H magnitude                              
# HERR    =       0.152000000000 / 2MASS H magnitude error                        
# KS      =       0.640000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.210000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DBC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.113572000000 / Relative error in the absolute flux calibration
# RV      =       -15.3820310000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.67000000000 / Intrinsic Color                                
# E(B-V)  =        1.21100000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.807073                1.15152e-09         4.46078e-12
             0.807276                1.14716e-09         4.47792e-12
             0.807478                1.14729e-09         4.42815e-12
             0.807680                1.18209e-09         4.54264e-12
             0.807882                1.25379e-09         4.62583e-12
             0.808085                1.27888e-09         4.62514e-12
             0.808287                1.23917e-09         4.57397e-12
             0.808489                1.22856e-09         4.53863e-12
             0.808692                1.26817e-09         4.57908e-12
             0.808894                1.29488e-09         4.68218e-12
             0.809096                1.22916e-09         4.69729e-12
             0.809299                1.12932e-09         4.51739e-12
             0.809501                1.12446e-09         4.51094e-12
             0.809703                1.16368e-09         4.52906e-12
             0.809905                1.18295e-09         4.55770e-12
             0.810108                1.18276e-09         4.53483e-12
             0.810286                1.20173e-09         4.03459e-12
             0.810519                1.19347e-09         4.02520e-12
             0.810753                1.17587e-09         4.04508e-12
             0.810986                1.18668e-09         4.30340e-12
             0.811220                1.20533e-09         4.57898e-12
             0.811454                1.19730e-09         4.27435e-12
             0.811687                1.12183e-09         3.97907e-12
             0.811921                1.13004e-09         3.88084e-12
             0.812154                1.17944e-09         4.00544e-12
             0.812388                1.22012e-09         4.16549e-12
             0.812621                1.21993e-09         4.46080e-12
             0.812855                1.21138e-09         4.36798e-12
             0.813089                1.20568e-09         4.13052e-12
             0.813322                1.15083e-09         3.93880e-12
             0.813556                1.18053e-09         3.94343e-12
             0.813789                1.21838e-09         4.09709e-12
             0.814023                1.23575e-09         4.28654e-12
             0.814256                1.20632e-09         4.48723e-12
             0.814490                1.17274e-09         4.16898e-12
             0.814723                1.18954e-09         4.00374e-12
             0.814957                1.19831e-09         3.95337e-12
             0.815190                1.21012e-09         4.09433e-12
             0.815424                1.21580e-09         4.16221e-12
             0.815657                1.25099e-09         4.39966e-12
             0.815890                1.29131e-09         4.39499e-12
             0.816124                1.20125e-09         4.07115e-12
             0.816357                1.12920e-09         3.90655e-12
             0.816591                1.18121e-09         3.97947e-12
             0.816824                1.22563e-09         4.07737e-12
             0.817058                1.23058e-09         4.23427e-12
             0.817291                1.23925e-09         4.42708e-12
             0.817524                1.21119e-09         4.10977e-12
             0.817758                1.22790e-09         3.96902e-12
             0.817991                1.24971e-09         3.96715e-12
             0.818224                1.18697e-09         3.92410e-12
             0.818458                1.10174e-09         3.95781e-12
             0.818691                1.09368e-09         4.12168e-12
             0.818924                1.15394e-09         4.11146e-12
             0.819158                1.28066e-09         4.07264e-12
             0.819391                1.24363e-09         3.89256e-12
             0.819624                1.09606e-09         3.75756e-12
             0.819858                1.14254e-09         3.86423e-12
             0.820091                1.16991e-09         4.00148e-12
             0.820324                1.12043e-09         4.07136e-12
             0.820557                1.07308e-09         3.92327e-12
             0.820791                1.11353e-09         3.72786e-12
             0.821024                1.22527e-09         3.74387e-12
