# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:52:34 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6720 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 214665'          /                                                
# SPTYPE  = 'M4+ III '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2001 Oct 21'        / UT date of SXD observations                    
# LXDUT   = '2001 Oct 21'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.807299 / Minimum wavelength (um)                        
# MAXWAVE =              4.08712 / Maximum wavelength (um)                        
# V       =        5.09000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.58000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        1.08700000000 / 2MASS J magnitude                              
# JERR    =       0.246000000000 / 2MASS J magnitude error                        
# H       =       0.131000000000 / 2MASS H magnitude                              
# HERR    =       0.168000000000 / 2MASS H magnitude error                        
# KS      =      -0.159000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.174000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.108475000000 / Relative error in the absolute flux calibration
# RV      =       -4.24667530000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.63000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0500000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.807299                7.17374e-10         1.40450e-12
             0.807501                7.29939e-10         1.43931e-12
             0.807704                7.24536e-10         1.39894e-12
             0.807906                7.46168e-10         1.42338e-12
             0.808109                7.50856e-10         1.43967e-12
             0.808311                7.50296e-10         1.42998e-12
             0.808513                7.57940e-10         1.46329e-12
             0.808716                7.55357e-10         1.45437e-12
             0.808918                7.69711e-10         1.47562e-12
             0.809121                7.57659e-10         1.45536e-12
             0.809323                7.20218e-10         1.41565e-12
             0.809525                7.12348e-10         1.41081e-12
             0.809728                7.36127e-10         1.44563e-12
             0.809930                7.36523e-10         1.44310e-12
             0.810133                7.40382e-10         1.46647e-12
             0.810335                7.70706e-10         1.50366e-12
             0.810366                7.69493e-10         1.27132e-12
             0.810599                7.69205e-10         1.31646e-12
             0.810833                7.65012e-10         1.39182e-12
             0.811066                7.57685e-10         1.34700e-12
             0.811299                7.65568e-10         1.29742e-12
             0.811532                7.40455e-10         1.27067e-12
             0.811766                7.16382e-10         1.21464e-12
             0.811999                7.37073e-10         1.25827e-12
             0.812232                7.74248e-10         1.36266e-12
             0.812465                7.90868e-10         1.43712e-12
             0.812699                7.89109e-10         1.35312e-12
             0.812932                7.92694e-10         1.29980e-12
             0.813165                7.93582e-10         1.28568e-12
             0.813398                7.61585e-10         1.29203e-12
             0.813632                7.85524e-10         1.37349e-12
             0.813865                8.13238e-10         1.46973e-12
             0.814098                8.01966e-10         1.42529e-12
             0.814331                7.82614e-10         1.34332e-12
             0.814564                7.77323e-10         1.29852e-12
             0.814797                7.74963e-10         1.29258e-12
             0.815031                7.90769e-10         1.36770e-12
             0.815264                8.03668e-10         1.43361e-12
             0.815497                7.93462e-10         1.48812e-12
             0.815730                8.19280e-10         1.44642e-12
             0.815963                8.23102e-10         1.35979e-12
             0.816196                7.68871e-10         1.31298e-12
             0.816429                7.58223e-10         1.35013e-12
             0.816662                8.16340e-10         1.46790e-12
             0.816896                8.28449e-10         1.49575e-12
             0.817129                8.01185e-10         1.46606e-12
             0.817362                8.25696e-10         1.40003e-12
             0.817595                8.31762e-10         1.32505e-12
             0.817828                8.05881e-10         1.34782e-12
             0.818061                8.03541e-10         1.40085e-12
             0.818294                7.91222e-10         1.42590e-12
             0.818527                7.71178e-10         1.41733e-12
             0.818760                7.66167e-10         1.33766e-12
             0.818993                7.91570e-10         1.33967e-12
             0.819226                8.44354e-10         1.34937e-12
             0.819459                7.97310e-10         1.30779e-12
             0.819692                7.54844e-10         1.28110e-12
             0.819925                7.53739e-10         1.35253e-12
             0.820158                7.49715e-10         1.37624e-12
             0.820391                7.54071e-10         1.27252e-12
             0.820624                7.29327e-10         1.17626e-12
             0.820857                7.37090e-10         1.16707e-12
             0.821090                7.58165e-10         1.20854e-12
             0.821323                7.50000e-10         1.25358e-12
             0.821556                7.60702e-10         1.32903e-12
             0.821789                7.74707e-10         1.30444e-12
             0.822022                7.65919e-10         1.25262e-12
             0.822255                7.65948e-10         1.23949e-12
             0.822488                7.93697e-10         1.26830e-12
             0.822721                7.98268e-10         1.35394e-12
             0.822954                7.92060e-10         1.49995e-12
             0.823187                7.92548e-10         1.54968e-12
             0.823420                7.84778e-10         1.40325e-12
             0.823652                8.03317e-10         1.31633e-12
             0.823885                7.93499e-10         1.30542e-12
             0.824118                7.80060e-10         1.23951e-12
             0.824351                7.84710e-10         1.28812e-12
             0.824584                8.05164e-10         1.35323e-12
             0.824817                8.14377e-10         1.32225e-12
             0.825050                7.98208e-10         1.25990e-12
             0.825283                7.63018e-10         1.18706e-12
             0.825515                7.30226e-10         1.18693e-12
             0.825748                7.37676e-10         1.20665e-12
             0.825981                7.87143e-10         1.29774e-12
             0.826214                8.21934e-10         1.36310e-12
             0.826447                8.16224e-10         1.32681e-12
             0.826679                8.13097e-10         1.24691e-12
             0.826912                8.07138e-10         1.21328e-12
             0.827145                7.99263e-10         1.22498e-12
             0.827378                7.81758e-10         1.25606e-12
             0.827611                7.73369e-10         1.31642e-12
             0.827843                7.88492e-10         1.35894e-12
             0.828076                7.95679e-10         1.28903e-12
             0.828309                7.79863e-10         1.24615e-12
             0.828542                7.84201e-10         1.21614e-12
             0.828775                7.76712e-10         1.21138e-12
             0.829007                7.52212e-10         1.24433e-12
             0.829240                7.70835e-10         1.29191e-12
             0.829473                7.52830e-10         1.24077e-12
