# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:52:32 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6792 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 19058'           /                                                
# SPTYPE  = 'M4+ IIIa'           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2003 Jan 16'        / UT date of SXD observations                    
# LXDUT   = '2003 Nov 20'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.810395 / Minimum wavelength (um)                        
# MAXWAVE =              4.17643 / Maximum wavelength (um)                        
# V       =        3.39000000000 / V magnitude                                    
# VERR    =     0.00900000000000 / V magnitude error                              
# (B-V)   =        1.64600000000 / B-V color                                      
# (B-V)ERR=      0.0140000000000 / B-V color error                                
# J       =      -0.779000000000 / 2MASS J magnitude                              
# JERR    =       0.182000000000 / 2MASS J magnitude error                        
# H       =       -1.67500000000 / 2MASS H magnitude                              
# HERR    =       0.158000000000 / 2MASS H magnitude error                        
# KS      =       -1.90400000000 / 2MASS Ks magnitude                             
# KSERR   =       0.152000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CCB     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0938523000000 / Relative error in the absolute flux calibration
# RV      =        34.0830620000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.71000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0640000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810395                6.16577e-09         1.72585e-11
             0.810597                6.21184e-09         1.72364e-11
             0.810799                6.20326e-09         1.73768e-11
             0.811001                6.15323e-09         1.71933e-11
             0.811204                6.14724e-09         1.73090e-11
             0.811406                6.16216e-09         1.72823e-11
             0.811608                6.17039e-09         1.74689e-11
             0.811810                5.77350e-09         1.62958e-11
             0.812012                5.80519e-09         1.65738e-11
             0.812214                6.12031e-09         1.72475e-11
             0.812417                6.35142e-09         1.83649e-11
             0.812619                6.38908e-09         1.82105e-11
             0.812821                6.41294e-09         1.82649e-11
             0.813023                6.44030e-09         1.83530e-11
             0.813181                6.33455e-09         1.50555e-11
             0.813415                6.15415e-09         1.43507e-11
             0.813648                6.32338e-09         1.49203e-11
             0.813882                6.48750e-09         1.60340e-11
             0.814116                6.48480e-09         1.64638e-11
             0.814349                6.40540e-09         1.63591e-11
             0.814583                6.23380e-09         1.50909e-11
             0.814817                6.25012e-09         1.47385e-11
             0.815050                6.34622e-09         1.47907e-11
             0.815284                6.37296e-09         1.51348e-11
             0.815517                6.44957e-09         1.60362e-11
             0.815751                6.49725e-09         1.69480e-11
             0.815985                6.51358e-09         1.61882e-11
             0.816218                6.17809e-09         1.49207e-11
             0.816452                6.09699e-09         1.47035e-11
             0.816685                6.43803e-09         1.52171e-11
             0.816919                6.54179e-09         1.59834e-11
             0.817152                6.51301e-09         1.65408e-11
             0.817386                6.52071e-09         1.63198e-11
             0.817619                6.50850e-09         1.57136e-11
             0.817853                6.62643e-09         1.58677e-11
             0.818086                6.61877e-09         1.56265e-11
             0.818320                6.40671e-09         1.52710e-11
             0.818553                6.14789e-09         1.52234e-11
             0.818787                6.10102e-09         1.57908e-11
             0.819020                6.31718e-09         1.56098e-11
             0.819254                6.66965e-09         1.58574e-11
             0.819487                6.47693e-09         1.49823e-11
             0.819721                6.01663e-09         1.43664e-11
             0.819954                5.98132e-09         1.45873e-11
             0.820187                5.98000e-09         1.52397e-11
             0.820421                5.92782e-09         1.47467e-11
             0.820654                5.72980e-09         1.35240e-11
             0.820888                5.66766e-09         1.31862e-11
             0.821121                5.87339e-09         1.34548e-11
             0.821354                5.91288e-09         1.38602e-11
             0.821588                5.88246e-09         1.43578e-11
             0.821821                6.05077e-09         1.52528e-11
             0.822054                6.05798e-09         1.46046e-11
             0.822288                6.00583e-09         1.39938e-11
             0.822521                6.11475e-09         1.41943e-11
             0.822754                6.18999e-09         1.48761e-11
             0.822988                6.32531e-09         1.60344e-11
             0.823221                6.25684e-09         1.62509e-11
             0.823454                6.16949e-09         1.51913e-11
             0.823688                6.28197e-09         1.47990e-11
             0.823921                6.24463e-09         1.43066e-11
             0.824154                6.14059e-09         1.40140e-11
             0.824387                6.09781e-09         1.42291e-11
             0.824621                6.29625e-09         1.51835e-11
             0.824854                6.32058e-09         1.55830e-11
             0.825087                6.24085e-09         1.46168e-11
             0.825320                6.06092e-09         1.39122e-11
             0.825553                5.74258e-09         1.31472e-11
             0.825787                5.72094e-09         1.37186e-11
             0.826020                6.07192e-09         1.43310e-11
             0.826253                6.35796e-09         1.59402e-11
             0.826486                6.37457e-09         1.51923e-11
             0.826719                6.33985e-09         1.45381e-11
             0.826953                6.28964e-09         1.43877e-11
             0.827186                6.19832e-09         1.47234e-11
             0.827419                6.07766e-09         1.47329e-11
             0.827652                6.02889e-09         1.46494e-11
             0.827885                6.07806e-09         1.48195e-11
             0.828118                6.12871e-09         1.45466e-11
             0.828351                6.05114e-09         1.38754e-11
             0.828584                5.94575e-09         1.34452e-11
             0.828817                5.97813e-09         1.39902e-11
             0.829050                5.90677e-09         1.40376e-11
             0.829284                5.81191e-09         1.40416e-11
             0.829517                5.82739e-09         1.39532e-11
             0.829750                5.89745e-09         1.36069e-11
             0.829983                5.90356e-09         1.34099e-11
             0.830216                5.86070e-09         1.32457e-11
             0.830449                5.73188e-09         1.34731e-11
             0.830682                5.56582e-09         1.33132e-11
             0.830915                5.38559e-09         1.29566e-11
             0.831148                5.47977e-09         1.27594e-11
             0.831381                5.63962e-09         1.28135e-11
             0.831614                5.81950e-09         1.30006e-11
             0.831847                6.01137e-09         1.36494e-11
             0.832080                6.01233e-09         1.39423e-11
             0.832313                5.99208e-09         1.43912e-11
             0.832546                5.96236e-09         1.39211e-11
             0.832778                5.70249e-09         1.31073e-11
             0.833011                5.63000e-09         1.25959e-11
             0.833244                5.89791e-09         1.32001e-11
             0.833477                5.75090e-09         1.30832e-11
             0.833710                5.56389e-09         1.29172e-11
             0.833943                5.69630e-09         1.35649e-11
             0.834176                5.86486e-09         1.36326e-11
             0.834409                5.92981e-09         1.32260e-11
             0.834642                5.77243e-09         1.28026e-11
             0.834875                5.52613e-09         1.22803e-11
             0.835107                5.49869e-09         1.26756e-11
             0.835340                5.64376e-09         1.31784e-11
             0.835573                5.67301e-09         1.31527e-11
             0.835806                5.79397e-09         1.31126e-11
             0.836039                5.89489e-09         1.30499e-11
             0.836272                5.87580e-09         1.30036e-11
             0.836504                5.52906e-09         1.24514e-11
             0.836737                5.42542e-09         1.23678e-11
             0.836970                5.82506e-09         1.44038e-11
             0.837203                5.99912e-09         1.36370e-11
             0.837435                5.88988e-09         1.30580e-11
             0.837668                5.82128e-09         1.30002e-11
             0.837901                5.56358e-09         1.27840e-11
             0.838134                5.58874e-09         1.26154e-11
             0.838367                5.43944e-09         1.25864e-11
             0.838599                5.33722e-09         1.23759e-11
             0.838832                5.26910e-09         1.18686e-11
             0.839065                5.08137e-09         1.12520e-11
             0.839297                5.52028e-09         1.20894e-11
             0.839530                5.89430e-09         1.31246e-11
             0.839763                5.75408e-09         1.29810e-11
             0.839995                5.62367e-09         1.28882e-11
             0.840228                5.76375e-09         1.30745e-11
             0.840461                5.82694e-09         1.28276e-11
             0.840693                5.94691e-09         1.32572e-11
             0.840926                6.07538e-09         1.32366e-11
             0.841159                6.07243e-09         1.34958e-11
             0.841391                5.70400e-09         1.28853e-11
             0.841624                5.65118e-09         1.30578e-11
             0.841857                5.78818e-09         1.29269e-11
             0.842089                5.73646e-09         1.28227e-11
             0.842322                5.69885e-09         1.32142e-11
             0.842554                5.58509e-09         1.22651e-11
             0.842787                5.27840e-09         1.17597e-11
             0.843020                5.44874e-09         1.22897e-11
             0.843252                5.81382e-09         1.30758e-11
             0.843485                5.37833e-09         1.18746e-11
             0.843717                4.45636e-09         9.95870e-12
             0.843950                4.62151e-09         1.02700e-11
             0.844182                5.17954e-09         1.14721e-11
             0.844415                5.12253e-09         1.16353e-11
             0.844647                4.95163e-09         1.15718e-11
             0.844880                4.97009e-09         1.14602e-11
             0.845112                4.96737e-09         1.11526e-11
             0.845345                4.73625e-09         1.04921e-11
             0.845577                4.48406e-09         9.86425e-12
             0.845810                4.49274e-09         1.00241e-11
             0.846042                4.56568e-09         1.02661e-11
             0.846275                4.73649e-09         1.08144e-11
             0.846507                4.70337e-09         1.05115e-11
             0.846740                4.50367e-09         9.94176e-12
             0.846972                4.27297e-09         9.46674e-12
             0.847205                4.33949e-09         9.60833e-12
             0.847437                4.52851e-09         1.01014e-11
             0.847670                4.63462e-09         1.04042e-11
             0.847902                4.77356e-09         1.06346e-11
             0.848134                4.85167e-09         1.06179e-11
             0.848367                4.79676e-09         1.09458e-11
             0.848599                4.85386e-09         1.04248e-11
             0.848832                4.96273e-09         1.07050e-11
             0.849064                5.03265e-09         1.09777e-11
             0.849296                5.09172e-09         1.12550e-11
             0.849529                4.97975e-09         1.08866e-11
             0.849761                4.44305e-09         9.65945e-12
             0.849993                3.70992e-09         8.19067e-12
             0.850226                4.01023e-09         8.75912e-12
             0.850458                4.74082e-09         1.02556e-11
             0.850690                4.83685e-09         1.05936e-11
             0.850923                4.77482e-09         1.05469e-11
             0.851155                4.87483e-09         1.06013e-11
             0.851387                4.91141e-09         1.05390e-11
             0.851620                4.63034e-09         9.93354e-12
             0.851852                4.41455e-09         9.52535e-12
             0.852084                4.50615e-09         9.77280e-12
             0.852317                4.74297e-09         1.03379e-11
             0.852549                4.88542e-09         1.06035e-11
             0.852781                4.90951e-09         1.05757e-11
             0.853013                4.89083e-09         1.04317e-11
             0.853246                4.87829e-09         1.03776e-11
             0.853478                4.88254e-09         1.04179e-11
             0.853710                4.88198e-09         1.05249e-11
             0.853942                4.63620e-09         1.01650e-11
             0.854175                4.00925e-09         8.78790e-12
             0.854407                3.15795e-09         7.09991e-12
             0.854639                3.38260e-09         7.48633e-12
             0.854871                4.25009e-09         9.09976e-12
             0.855103                4.68735e-09         9.98375e-12
             0.855336                5.00830e-09         1.07023e-11
             0.855568                5.24525e-09         1.13029e-11
             0.855800                5.29906e-09         1.12769e-11
             0.856032                5.27024e-09         1.10856e-11
             0.856264                5.20772e-09         1.08901e-11
             0.856496                5.25901e-09         1.09840e-11
             0.856729                5.35510e-09         1.12345e-11
             0.856961                5.39656e-09         1.14236e-11
             0.857193                5.32192e-09         1.13266e-11
             0.857425                5.26713e-09         1.10775e-11
             0.857657                5.27128e-09         1.11415e-11
             0.857889                5.34985e-09         1.12777e-11
             0.858121                5.42011e-09         1.14117e-11
             0.858353                5.31652e-09         1.13389e-11
             0.858585                5.29251e-09         1.13635e-11
             0.858818                5.44141e-09         1.16685e-11
             0.859050                5.51799e-09         1.16901e-11
             0.859282                5.47527e-09         1.15047e-11
             0.859514                5.44817e-09         1.14125e-11
             0.859746                5.45571e-09         1.14344e-11
             0.859978                5.44626e-09         1.14814e-11
             0.860210                5.46557e-09         1.15901e-11
             0.860442                5.56272e-09         1.17436e-11
             0.860674                5.63682e-09         1.17716e-11
             0.860906                5.70162e-09         1.18088e-11
             0.861138                5.68523e-09         1.17427e-11
             0.861370                5.56323e-09         1.15263e-11
             0.861602                5.59126e-09         1.16358e-11
             0.861834                5.74508e-09         1.20265e-11
             0.862066                5.81020e-09         1.20655e-11
             0.862298                5.72709e-09         1.16761e-11
             0.862530                5.70739e-09         1.16008e-11
             0.862762                5.82266e-09         1.18156e-11
             0.862994                5.89681e-09         1.19967e-11
             0.863226                5.90068e-09         1.20723e-11
             0.863458                5.94075e-09         1.21951e-11
