# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:52:38 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7605 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 27598'           /                                                
# SPTYPE  = 'M4- III '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2000 Dec 09'        / UT date of SXD observations                    
# LXDUT   = '2000 Dec 09'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '1500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.811138 / Minimum wavelength (um)                        
# MAXWAVE =              5.01566 / Maximum wavelength (um)                        
# V       =        7.01700000000 / V magnitude                                    
# VERR    =      0.0360000000000 / V magnitude error                              
# (B-V)   =        1.67100000000 / B-V color                                      
# (B-V)ERR=      0.0140000000000 / B-V color error                                
# J       =        2.98700000000 / 2MASS J magnitude                              
# JERR    =       0.270000000000 / 2MASS J magnitude error                        
# H       =        2.10600000000 / 2MASS H magnitude                              
# HERR    =       0.230000000000 / 2MASS H magnitude error                        
# KS      =        1.84700000000 / 2MASS Ks magnitude                             
# KSERR   =       0.264000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.145913000000 / Relative error in the absolute flux calibration
# RV      =        91.8412460000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.63000000000 / Intrinsic Color                                
# E(B-V)  =      0.0410000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.811138                2.13045e-10         3.26342e-13
             0.811340                2.15499e-10         3.30276e-13
             0.811543                2.15059e-10         3.29199e-13
             0.811745                2.06782e-10         3.24244e-13
             0.811947                1.97802e-10         3.15629e-13
             0.812149                2.08425e-10         3.28714e-13
             0.812351                2.17226e-10         3.36309e-13
             0.812554                2.20757e-10         3.38495e-13
             0.812756                2.21384e-10         3.38313e-13
             0.812958                2.21188e-10         3.41493e-13
             0.813160                2.20741e-10         3.43404e-13
             0.813362                2.16399e-10         3.44742e-13
             0.813565                2.14297e-10         3.38857e-13
             0.813767                2.20393e-10         3.46222e-13
             0.813859                2.21541e-10         3.16609e-13
             0.814092                2.23515e-10         3.11274e-13
             0.814326                2.21486e-10         2.92745e-13
             0.814559                2.16157e-10         2.81813e-13
             0.814792                2.15161e-10         2.83628e-13
             0.815026                2.20241e-10         2.93754e-13
             0.815259                2.20973e-10         3.07646e-13
             0.815492                2.21983e-10         3.19646e-13
             0.815725                2.24163e-10         3.02577e-13
             0.815959                2.25272e-10         2.94684e-13
             0.816192                2.17462e-10         2.91299e-13
             0.816425                2.10029e-10         2.87436e-13
             0.816658                2.20000e-10         2.98922e-13
             0.816892                2.24886e-10         3.18510e-13
             0.817125                2.25225e-10         3.07924e-13
             0.817358                2.24377e-10         2.90839e-13
             0.817591                2.22032e-10         2.89525e-13
             0.817824                2.25119e-10         2.93704e-13
             0.818058                2.27389e-10         2.96474e-13
             0.818291                2.25660e-10         3.07965e-13
             0.818524                2.15987e-10         3.15703e-13
             0.818757                2.10063e-10         2.91093e-13
             0.818990                2.13696e-10         2.82640e-13
             0.819224                2.27816e-10         2.86412e-13
             0.819457                2.32065e-10         3.00812e-13
             0.819690                2.12412e-10         2.91224e-13
             0.819923                2.08337e-10         2.99977e-13
             0.820156                2.11297e-10         2.92263e-13
             0.820389                2.10989e-10         2.75874e-13
             0.820622                2.02290e-10         2.62474e-13
             0.820855                2.00651e-10         2.59898e-13
             0.821089                2.09119e-10         2.71212e-13
             0.821322                2.13200e-10         2.87292e-13
             0.821555                2.09214e-10         2.90794e-13
             0.821788                2.13576e-10         2.84039e-13
             0.822021                2.18551e-10         2.77820e-13
             0.822254                2.13053e-10         2.75581e-13
             0.822487                2.12359e-10         2.77639e-13
             0.822720                2.17841e-10         3.01790e-13
             0.822953                2.21288e-10         3.16912e-13
             0.823186                2.20452e-10         3.00159e-13
             0.823419                2.17388e-10         2.79826e-13
             0.823652                2.18564e-10         2.78162e-13
             0.823885                2.20697e-10         2.69746e-13
             0.824118                2.15934e-10         2.72784e-13
