# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:52:49 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4137 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 204585'          /                                                
# SPTYPE  = 'M4.5 IIIa'          / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2002 Jul 14'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.810004 / Minimum wavelength (um)                        
# MAXWAVE =              2.41755 / Maximum wavelength (um)                        
# V       =        5.85600000000 / V magnitude                                    
# VERR    =      0.0640000000000 / V magnitude error                              
# (B-V)   =        1.50000000000 / B-V color                                      
# (B-V)ERR=      0.0230000000000 / B-V color error                                
# J       =        1.26200000000 / 2MASS J magnitude                              
# JERR    =       0.280000000000 / 2MASS J magnitude error                        
# H       =       0.260000000000 / 2MASS H magnitude                              
# HERR    =       0.162000000000 / 2MASS H magnitude error                        
# KS      =     -0.0510000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.186000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.111969000000 / Relative error in the absolute flux calibration
# RV      =       -22.9613390000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.64000000000 / Intrinsic Color                                
# E(B-V)  =      -0.140000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810004                1.05628e-09         1.56456e-12
             0.810207                1.07368e-09         1.58438e-12
             0.810409                1.08878e-09         1.60583e-12
             0.810611                1.08507e-09         1.58881e-12
             0.810814                1.08959e-09         1.60795e-12
             0.811016                1.07295e-09         1.59126e-12
             0.811218                1.08448e-09         1.60776e-12
             0.811421                1.08877e-09         1.61963e-12
             0.811623                1.04544e-09         1.57670e-12
             0.811826                1.00410e-09         1.52800e-12
             0.812028                1.06949e-09         1.68486e-12
             0.812230                1.11644e-09         1.65089e-12
             0.812433                1.14208e-09         1.71209e-12
             0.812635                1.14097e-09         1.70348e-12
             0.812837                1.13748e-09         1.69281e-12
             0.813040                1.14937e-09         1.70130e-12
             0.813221                1.12218e-09         1.39297e-12
             0.813454                1.10922e-09         1.38885e-12
             0.813688                1.15143e-09         1.47696e-12
             0.813921                1.17056e-09         1.55082e-12
             0.814155                1.16416e-09         1.61792e-12
             0.814388                1.13356e-09         1.51220e-12
             0.814621                1.12116e-09         1.42764e-12
             0.814855                1.15185e-09         1.42773e-12
             0.815088                1.16145e-09         1.49073e-12
             0.815322                1.15494e-09         1.51002e-12
             0.815555                1.17015e-09         1.60001e-12
             0.815788                1.19012e-09         1.61853e-12
             0.816022                1.15928e-09         1.49275e-12
             0.816255                1.07098e-09         1.38839e-12
             0.816489                1.12533e-09         1.48085e-12
             0.816722                1.19090e-09         1.56819e-12
             0.816955                1.18848e-09         1.57770e-12
             0.817189                1.18273e-09         1.65849e-12
             0.817422                1.18452e-09         1.54453e-12
             0.817655                1.19370e-09         1.46138e-12
             0.817889                1.20475e-09         1.50332e-12
             0.818122                1.18940e-09         1.54406e-12
             0.818355                1.13405e-09         1.49472e-12
             0.818588                1.11491e-09         1.51975e-12
             0.818822                1.13239e-09         1.52444e-12
             0.819055                1.19965e-09         1.54748e-12
             0.819288                1.22761e-09         1.57612e-12
             0.819522                1.11112e-09         1.39669e-12
             0.819755                1.08314e-09         1.42308e-12
             0.819988                1.09695e-09         1.46406e-12
             0.820221                1.05518e-09         1.49814e-12
             0.820454                1.02154e-09         1.39623e-12
             0.820688                9.80567e-10         1.25887e-12
             0.820921                9.94680e-10         1.24719e-12
             0.821154                1.02852e-09         1.27218e-12
             0.821387                1.02165e-09         1.31183e-12
             0.821621                1.03485e-09         1.37994e-12
             0.821854                1.06444e-09         1.40790e-12
             0.822087                1.04611e-09         1.34611e-12
             0.822320                1.05485e-09         1.31474e-12
             0.822553                1.09638e-09         1.34719e-12
             0.822786                1.11550e-09         1.41673e-12
             0.823019                1.12810e-09         1.57217e-12
             0.823252                1.10690e-09         1.63485e-12
