# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:52:52 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7991 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'Gl 268AB'           /                                                
# SPTYPE  = 'M4.5 V  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.3'     / Spectroscopy Mode                              
# SXDUT   = '2003 May 07'        / UT date of SXD observations                    
# LXDUT   = '2005 Aug 26'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.808051 / Minimum wavelength (um)                        
# MAXWAVE =              5.41896 / Maximum wavelength (um)                        
# V       =        11.4900000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.70000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        6.73100000000 / 2MASS J magnitude                              
# JERR    =      0.0260000000000 / 2MASS J magnitude error                        
# H       =        6.15200000000 / 2MASS H magnitude                              
# HERR    =      0.0470000000000 / 2MASS H magnitude error                        
# KS      =        5.84600000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0180000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0141162000000 / Relative error in the absolute flux calibration
# RV      =        21.3042960000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.72000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0200000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.808051                6.53771e-12         1.85018e-14
             0.808254                6.59740e-12         1.86603e-14
             0.808456                6.61356e-12         1.86172e-14
             0.808659                6.64246e-12         1.88268e-14
             0.808861                6.68662e-12         1.89340e-14
             0.809064                6.69434e-12         1.87995e-14
             0.809266                6.71639e-12         1.88487e-14
             0.809469                6.66974e-12         1.88383e-14
             0.809672                6.61753e-12         1.88240e-14
             0.809874                6.72530e-12         1.90841e-14
             0.810077                6.70387e-12         1.89563e-14
             0.810279                6.67923e-12         1.95137e-14
             0.810482                6.64125e-12         1.91129e-14
             0.810684                6.68740e-12         1.91547e-14
             0.810887                6.73582e-12         1.92075e-14
             0.811064                6.81262e-12         1.57673e-14
             0.811297                6.81859e-12         1.58028e-14
             0.811530                6.79892e-12         1.58900e-14
             0.811763                6.69430e-12         1.63819e-14
             0.811996                6.70932e-12         1.72439e-14
             0.812230                6.86447e-12         1.68508e-14
             0.812463                6.93755e-12         1.61574e-14
             0.812696                6.97975e-12         1.56847e-14
             0.812929                7.00817e-12         1.57707e-14
             0.813162                6.99198e-12         1.61917e-14
             0.813395                7.00067e-12         1.69793e-14
             0.813628                7.01701e-12         1.74686e-14
             0.813861                7.07277e-12         1.66097e-14
             0.814094                7.10071e-12         1.60696e-14
             0.814328                7.03413e-12         1.57610e-14
             0.814561                6.95436e-12         1.57667e-14
             0.814794                6.96274e-12         1.63684e-14
             0.815027                6.95733e-12         1.71206e-14
             0.815260                6.93803e-12         1.68968e-14
             0.815493                6.97518e-12         1.62897e-14
             0.815726                6.98671e-12         1.57607e-14
             0.815959                6.93146e-12         1.57852e-14
             0.816192                6.83700e-12         1.59003e-14
             0.816425                6.82036e-12         1.66012e-14
             0.816658                6.95120e-12         1.74374e-14
             0.816891                7.00972e-12         1.67142e-14
             0.817124                7.01181e-12         1.61312e-14
             0.817357                6.99803e-12         1.55389e-14
             0.817590                6.94671e-12         1.54265e-14
             0.817823                6.78878e-12         1.59720e-14
             0.818056                6.42255e-12         1.63045e-14
             0.818289                5.59997e-12         1.49931e-14
             0.818522                4.72550e-12         1.33689e-14
             0.818755                5.10013e-12         1.34907e-14
             0.818988                5.92464e-12         1.43578e-14
             0.819221                5.98258e-12         1.46029e-14
             0.819454                5.10482e-12         1.40252e-14
             0.819687                4.27532e-12         1.34362e-14
             0.819920                4.67945e-12         1.38979e-14
             0.820152                5.63989e-12         1.45508e-14
             0.820385                6.26356e-12         1.45283e-14
             0.820618                6.46679e-12         1.47061e-14
             0.820851                6.45788e-12         1.49081e-14
             0.821084                6.53745e-12         1.54773e-14
             0.821317                6.63663e-12         1.61039e-14
             0.821550                6.66738e-12         1.55370e-14
             0.821783                6.69945e-12         1.52139e-14
             0.822016                6.68187e-12         1.50096e-14
             0.822248                6.70255e-12         1.50203e-14
             0.822481                6.79596e-12         1.60097e-14
             0.822714                6.91418e-12         1.65196e-14
             0.822947                6.94453e-12         1.69222e-14
             0.823180                7.00073e-12         1.62604e-14
             0.823413                7.00749e-12         1.56500e-14
             0.823645                6.96176e-12         1.54390e-14
             0.823878                6.96505e-12         1.53350e-14
             0.824111                7.00897e-12         1.58625e-14
             0.824344                7.02777e-12         1.63273e-14
             0.824577                7.02718e-12         1.59011e-14
             0.824809                7.07139e-12         1.54308e-14
             0.825042                7.04890e-12         1.52282e-14
             0.825275                6.92280e-12         1.48720e-14
             0.825508                6.80255e-12         1.50886e-14
             0.825741                6.75965e-12         1.55973e-14
             0.825973                6.84188e-12         1.60236e-14
             0.826206                6.95606e-12         1.59666e-14
             0.826439                7.08001e-12         1.51883e-14
             0.826672                7.07496e-12         1.50183e-14
             0.826904                7.06730e-12         1.49883e-14
             0.827137                6.92519e-12         1.52457e-14
             0.827370                6.82351e-12         1.56693e-14
             0.827602                6.81720e-12         1.56509e-14
             0.827835                6.90471e-12         1.51944e-14
             0.828068                6.85776e-12         1.48528e-14
             0.828301                6.81078e-12         1.47594e-14
             0.828533                6.78031e-12         1.48308e-14
             0.828766                6.75664e-12         1.51241e-14
             0.828999                6.66674e-12         1.55622e-14
             0.829231                6.60375e-12         1.50957e-14
             0.829464                6.61824e-12         1.45603e-14
             0.829697                6.66289e-12         1.43819e-14
             0.829929                6.60130e-12         1.42768e-14
             0.830162                6.55218e-12         1.44655e-14
