# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:52:36 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7595 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 4408 '           /                                                
# SPTYPE  = 'M4 III  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Jan 03'        / UT date of SXD observations                    
# LXDUT   = '2003 Oct 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.809001 / Minimum wavelength (um)                        
# MAXWAVE =              4.99875 / Maximum wavelength (um)                        
# V       =        5.34100000000 / V magnitude                                    
# VERR    =      0.0290000000000 / V magnitude error                              
# (B-V)   =        1.61600000000 / B-V color                                      
# (B-V)ERR=      0.0220000000000 / B-V color error                                
# J       =        1.44100000000 / 2MASS J magnitude                              
# JERR    =       0.246000000000 / 2MASS J magnitude error                        
# H       =       0.504000000000 / 2MASS H magnitude                              
# HERR    =       0.156000000000 / 2MASS H magnitude error                        
# KS      =       0.254000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.168000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.103669000000 / Relative error in the absolute flux calibration
# RV      =       -10.2331820000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.63000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0139999000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.809001                8.60543e-10         1.23711e-12
             0.809203                8.52053e-10         1.24378e-12
             0.809405                8.05760e-10         1.20643e-12
             0.809607                7.91925e-10         1.19463e-12
             0.809810                8.18106e-10         1.22670e-12
             0.810012                8.36016e-10         1.22847e-12
             0.810214                8.43200e-10         1.23816e-12
             0.810416                8.59052e-10         1.26044e-12
             0.810618                8.62599e-10         1.25514e-12
             0.810821                8.58285e-10         1.25885e-12
             0.811023                8.47844e-10         1.25519e-12
             0.811225                8.46847e-10         1.25456e-12
             0.811427                8.53533e-10         1.25984e-12
             0.811630                8.42384e-10         1.25262e-12
             0.811832                7.91886e-10         1.20957e-12
             0.812034                8.00155e-10         1.22515e-12
             0.812064                8.07266e-10         1.04154e-12
             0.812297                8.59709e-10         1.11862e-12
             0.812531                8.77573e-10         1.20721e-12
             0.812764                8.77247e-10         1.16801e-12
             0.812998                8.77959e-10         1.10898e-12
             0.813231                8.71080e-10         1.07351e-12
             0.813464                8.47612e-10         1.05807e-12
             0.813698                8.69912e-10         1.10694e-12
             0.813931                8.90892e-10         1.17345e-12
             0.814164                8.89700e-10         1.21340e-12
             0.814398                8.73250e-10         1.13178e-12
             0.814631                8.54677e-10         1.07653e-12
             0.814865                8.65535e-10         1.06969e-12
             0.815098                8.80321e-10         1.10486e-12
             0.815331                8.79686e-10         1.13796e-12
             0.815564                8.84013e-10         1.19938e-12
             0.815798                8.97907e-10         1.18027e-12
             0.816031                8.97622e-10         1.11957e-12
             0.816264                8.34842e-10         1.05137e-12
             0.816498                8.34067e-10         1.05979e-12
             0.816731                8.87335e-10         1.11958e-12
             0.816964                8.97717e-10         1.17217e-12
             0.817198                8.92826e-10         1.19904e-12
             0.817431                8.91037e-10         1.13016e-12
             0.817664                8.95798e-10         1.09272e-12
             0.817897                9.02945e-10         1.08895e-12
             0.818130                8.99181e-10         1.10333e-12
             0.818364                8.65523e-10         1.11407e-12
             0.818597                8.34070e-10         1.13974e-12
             0.818830                8.35009e-10         1.11133e-12
             0.819063                8.68281e-10         1.09544e-12
             0.819297                9.17437e-10         1.09630e-12
             0.819530                8.72240e-10         1.06373e-12
             0.819763                8.17485e-10         1.05293e-12
             0.819996                8.27489e-10         1.09509e-12
             0.820229                8.31794e-10         1.12585e-12
             0.820462                8.19847e-10         1.09894e-12
             0.820696                8.00644e-10         1.01745e-12
             0.820929                8.10522e-10         1.02070e-12
             0.821162                8.43885e-10         1.03464e-12
             0.821395                8.36481e-10         1.06057e-12
             0.821628                8.31370e-10         1.10372e-12
             0.821861                8.56623e-10         1.09721e-12
             0.822094                8.52765e-10         1.05503e-12
             0.822327                8.43040e-10         1.02463e-12
             0.822560                8.67452e-10         1.03811e-12
             0.822793                8.86262e-10         1.08518e-12
             0.823026                8.87419e-10         1.13437e-12
             0.823260                8.77225e-10         1.15552e-12
             0.823493                8.69515e-10         1.08850e-12
             0.823726                8.78803e-10         1.05226e-12
             0.823959                8.74793e-10         1.03523e-12
             0.824192                8.62412e-10         1.03211e-12
             0.824425                8.59834e-10         1.05701e-12
             0.824658                8.82655e-10         1.11954e-12
             0.824891                8.89349e-10         1.12137e-12
             0.825124                8.75443e-10         1.04399e-12
             0.825357                8.50782e-10         1.01187e-12
             0.825590                8.04842e-10         9.78615e-13
             0.825823                8.08157e-10         9.99773e-13
             0.826056                8.61799e-10         1.07158e-12
             0.826289                9.01430e-10         1.15172e-12
             0.826522                8.98279e-10         1.07848e-12
             0.826754                8.88800e-10         1.03649e-12
             0.826987                8.81218e-10         1.02310e-12
             0.827220                8.75359e-10         1.03257e-12
             0.827453                8.63523e-10         1.04720e-12
             0.827686                8.54841e-10         1.07790e-12
             0.827919                8.63724e-10         1.07673e-12
             0.828152                8.76719e-10         1.04860e-12
             0.828385                8.60538e-10         1.01480e-12
             0.828618                8.51954e-10         1.00433e-12
             0.828851                8.51906e-10         1.02744e-12
             0.829084                8.40262e-10         1.03800e-12
             0.829316                8.36107e-10         1.05918e-12
             0.829549                8.38115e-10         1.03036e-12
             0.829782                8.39432e-10         1.00361e-12
             0.830015                8.39201e-10         1.00550e-12
             0.830248                8.37934e-10         9.86353e-13
             0.830481                8.26847e-10         1.02265e-12
             0.830713                7.91980e-10         1.00616e-12
             0.830946                7.68669e-10         9.92095e-13
             0.831179                7.83960e-10         9.66269e-13
             0.831412                8.06703e-10         9.63305e-13
             0.831644                8.35716e-10         9.70257e-13
             0.831877                8.60538e-10         9.97260e-13
             0.832110                8.57357e-10         1.02099e-12
             0.832343                8.41599e-10         1.03800e-12
             0.832576                8.38763e-10         1.01222e-12
             0.832808                8.00816e-10         9.67736e-13
             0.833041                7.97699e-10         9.38689e-13
             0.833274                8.29862e-10         9.57222e-13
             0.833506                8.06790e-10         9.61492e-13
             0.833739                7.98831e-10         9.70924e-13
             0.833972                8.15210e-10         9.97486e-13
             0.834205                8.33690e-10         9.88849e-13
             0.834437                8.40351e-10         9.61974e-13
             0.834670                8.16871e-10         9.41859e-13
             0.834903                7.91469e-10         9.32071e-13
             0.835135                7.91313e-10         9.57963e-13
             0.835368                8.13801e-10         9.88939e-13
             0.835601                8.19435e-10         9.81674e-13
             0.835833                8.32160e-10         9.65257e-13
             0.836066                8.41842e-10         9.55024e-13
             0.836299                8.32609e-10         9.47349e-13
             0.836531                7.82333e-10         9.26843e-13
             0.836764                7.79683e-10         9.34996e-13
             0.836996                8.42209e-10         9.97991e-13
             0.837229                8.54033e-10         9.85121e-13
             0.837462                8.41586e-10         9.57293e-13
             0.837694                8.36428e-10         9.42066e-13
             0.837927                8.00176e-10         9.29468e-13
             0.838159                8.04967e-10         9.36974e-13
             0.838392                7.76654e-10         9.34217e-13
             0.838625                7.56881e-10         9.27965e-13
             0.838857                7.53846e-10         9.03868e-13
             0.839090                7.30607e-10         8.68602e-13
             0.839322                7.99464e-10         9.01832e-13
             0.839555                8.52490e-10         9.59435e-13
             0.839787                8.25353e-10         9.43996e-13
             0.840020                8.09559e-10         9.45720e-13
             0.840252                8.29855e-10         9.54810e-13
             0.840485                8.36353e-10         9.35914e-13
             0.840717                8.53911e-10         9.38231e-13
             0.840950                8.68135e-10         9.46134e-13
             0.841182                8.63691e-10         9.51687e-13
             0.841415                8.10136e-10         9.29035e-13
             0.841647                8.07863e-10         9.42973e-13
             0.841880                8.29302e-10         9.39224e-13
             0.842112                8.21724e-10         9.64025e-13
             0.842345                8.23163e-10         9.09223e-13
             0.842577                8.01146e-10         9.00415e-13
             0.842810                7.53476e-10         8.79937e-13
             0.843042                7.91151e-10         9.10437e-13
             0.843274                8.49441e-10         9.53870e-13
             0.843507                7.81280e-10         8.91137e-13
             0.843739                6.66253e-10         8.16714e-13
             0.843972                6.97113e-10         8.28793e-13
             0.844204                7.67846e-10         8.85978e-13
             0.844436                7.63183e-10         8.90810e-13
             0.844669                7.51650e-10         8.96133e-13
             0.844901                7.53167e-10         8.86183e-13
             0.845134                7.47442e-10         8.68578e-13
             0.845366                7.27492e-10         8.48037e-13
             0.845598                7.08180e-10         8.27218e-13
             0.845831                6.99864e-10         8.24122e-13
             0.846063                7.08415e-10         8.34551e-13
             0.846295                7.40740e-10         8.74282e-13
             0.846528                7.33202e-10         8.51585e-13
             0.846760                6.94183e-10         8.10551e-13
             0.846992                6.57583e-10         7.86519e-13
             0.847225                6.78061e-10         7.98807e-13
             0.847457                7.10867e-10         8.24369e-13
             0.847689                7.30808e-10         8.48640e-13
             0.847922                7.44818e-10         8.55172e-13
             0.848154                7.47235e-10         8.46399e-13
             0.848386                7.35229e-10         8.28831e-13
             0.848618                7.42835e-10         8.24886e-13
             0.848851                7.59080e-10         8.42194e-13
             0.849083                7.68655e-10         8.56078e-13
             0.849315                7.69129e-10         8.62326e-13
             0.849547                7.43683e-10         8.42186e-13
             0.849780                6.48453e-10         7.70769e-13
             0.850012                5.38967e-10         7.00890e-13
             0.850244                5.99155e-10         7.35956e-13
             0.850476                7.11385e-10         8.04432e-13
             0.850709                7.31810e-10         8.25514e-13
             0.850941                7.37345e-10         8.35848e-13
             0.851173                7.53780e-10         8.38739e-13
             0.851405                7.42975e-10         8.22582e-13
             0.851637                6.94718e-10         7.84778e-13
             0.851870                6.68684e-10         7.67507e-13
             0.852102                6.91676e-10         7.85616e-13
             0.852334                7.26489e-10         8.11083e-13
             0.852566                7.44376e-10         8.29481e-13
             0.852798                7.39716e-10         8.16366e-13
             0.853030                7.34210e-10         8.23875e-13
             0.853263                7.32826e-10         8.06037e-13
             0.853495                7.28185e-10         8.02506e-13
             0.853727                7.18599e-10         8.00554e-13
             0.853959                6.66897e-10         7.74536e-13
             0.854191                5.48821e-10         6.96169e-13
             0.854423                4.23009e-10         6.25666e-13
             0.854655                4.74737e-10         6.43793e-13
             0.854887                6.13643e-10         7.21451e-13
             0.855120                6.80720e-10         7.63635e-13
             0.855352                7.34104e-10         8.02624e-13
             0.855584                7.65611e-10         8.32295e-13
             0.855816                7.70361e-10         8.28400e-13
             0.856048                7.73382e-10         8.19090e-13
             0.856280                7.69487e-10         8.10357e-13
             0.856512                7.74664e-10         8.09108e-13
             0.856744                7.88921e-10         8.21919e-13
             0.856976                7.90805e-10         8.28145e-13
             0.857208                7.83428e-10         8.26735e-13
             0.857440                7.80608e-10         8.19420e-13
             0.857672                7.79549e-10         8.17124e-13
             0.857904                7.89742e-10         8.18200e-13
             0.858136                8.01654e-10         8.28369e-13
             0.858368                7.84813e-10         8.22665e-13
             0.858600                7.79679e-10         8.23738e-13
             0.858832                7.98563e-10         8.40747e-13
             0.859064                8.06945e-10         8.37607e-13
             0.859296                8.01228e-10         8.28431e-13
             0.859528                7.97321e-10         8.22640e-13
             0.859760                7.97564e-10         8.18596e-13
             0.859992                7.92242e-10         8.20109e-13
             0.860224                7.93132e-10         8.22874e-13
             0.860456                8.07898e-10         8.36358e-13
             0.860688                8.11907e-10         8.33670e-13
             0.860920                8.19674e-10         8.34860e-13
             0.861152                8.09520e-10         8.23853e-13
             0.861384                7.87011e-10         8.07286e-13
             0.861616                8.01198e-10         8.21078e-13
             0.861848                8.26312e-10         8.36994e-13
             0.862080                8.33730e-10         8.37243e-13
             0.862312                8.21739e-10         8.18737e-13
             0.862544                8.19963e-10         8.14796e-13
             0.862775                8.41528e-10         8.23967e-13
             0.863007                8.49570e-10         8.31713e-13
             0.863239                8.47777e-10         8.35276e-13
             0.863471                8.46820e-10         8.33217e-13
             0.863703                8.44957e-10         8.34247e-13
             0.863935                8.52039e-10         8.37164e-13
             0.864167                8.58261e-10         8.34131e-13
             0.864399                8.56628e-10         8.40431e-13
             0.864630                8.49069e-10         8.25433e-13
             0.864862                8.48251e-10         8.38669e-13
             0.865094                8.34959e-10         8.36294e-13
             0.865326                8.28694e-10         8.27940e-13
             0.865558                8.28784e-10         8.23501e-13
             0.865790                8.13394e-10         8.09439e-13
             0.866021                7.61284e-10         7.76066e-13
             0.866253                6.04540e-10         6.79869e-13
             0.866485                4.83126e-10         6.05674e-13
             0.866717                5.86818e-10         6.70829e-13
             0.866949                7.46877e-10         7.73465e-13
             0.867181                8.09557e-10         8.10323e-13
             0.867412                8.26051e-10         8.19122e-13
             0.867644                7.86644e-10         7.91862e-13
             0.867876                7.90409e-10         7.97061e-13
             0.868108                8.32413e-10         8.29006e-13
             0.868339                8.29003e-10         8.27455e-13
             0.868571                8.25813e-10         8.25099e-13
             0.868803                8.35008e-10         8.21751e-13
             0.869035                7.80804e-10         7.75491e-13
             0.869266                7.65481e-10         7.65992e-13
             0.869498                8.18224e-10         7.99656e-13
             0.869730                8.52936e-10         8.19729e-13
             0.869962                8.58985e-10         8.28169e-13
             0.870193                8.43010e-10         8.14302e-13
             0.870425                8.42971e-10         8.09915e-13
             0.870657                8.60521e-10         8.12418e-13
             0.870889                8.73643e-10         8.20684e-13
             0.871120                8.65659e-10         8.15861e-13
             0.871352                8.54032e-10         8.11919e-13
             0.871584                8.55854e-10         8.21902e-13
             0.871815                8.68700e-10         8.27283e-13
