# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:52:41 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 8005 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'Gl 213  '           /                                                
# SPTYPE  = 'M4 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.3'     / Spectroscopy Mode                              
# SXDUT   = '2000 Dec 09'        / UT date of SXD observations                    
# LXDUT   = '2000 Dec 09'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '1500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.807834 / Minimum wavelength (um)                        
# MAXWAVE =              5.43087 / Maximum wavelength (um)                        
# V       =        11.5970000000 / V magnitude                                    
# VERR    =      0.0240000000000 / V magnitude error                              
# (B-V)   =        1.65500000000 / B-V color                                      
# (B-V)ERR=     0.00900000000000 / B-V color error                                
# J       =        7.12400000000 / 2MASS J magnitude                              
# JERR    =      0.0210000000000 / 2MASS J magnitude error                        
# H       =        6.62700000000 / 2MASS H magnitude                              
# HERR    =      0.0180000000000 / 2MASS H magnitude error                        
# KS      =        6.38900000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0160000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0103918000000 / Relative error in the absolute flux calibration
# RV      =        92.6950350000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.65000000000 / Intrinsic Color                                
# E(B-V)  =     0.00500000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) *AND* Cushing et al.    
# COMMENT (2005, ApJ, 648, 1115) if you use this spectrum.  The spectrum has      
# COMMENT been absolutely flux calibrated using 2MASS photometry and has been     
# COMMENT shifted to zero radial velocity.  For other pertinent information,      
# COMMENT please see Cushing et al. (2005, ApJ, 648, 1115) and/or Rayner et       
# COMMENT al. (ApJS, 185, 289).                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.807834                4.90012e-12         1.12869e-14
             0.808037                4.91981e-12         1.16548e-14
             0.808239                4.96194e-12         1.15271e-14
             0.808441                4.94524e-12         1.12050e-14
             0.808644                4.96718e-12         1.12931e-14
             0.808846                4.97538e-12         1.13483e-14
             0.809049                5.00433e-12         1.13286e-14
             0.809251                5.00090e-12         1.14415e-14
             0.809454                5.00075e-12         1.15166e-14
             0.809656                4.97230e-12         1.14620e-14
             0.809859                5.00825e-12         1.14301e-14
             0.810061                5.00649e-12         1.13768e-14
             0.810263                5.01944e-12         1.14956e-14
             0.810466                5.00490e-12         1.15046e-14
             0.810668                5.00996e-12         1.15138e-14
             0.810834                5.03214e-12         9.44900e-15
             0.811067                5.06997e-12         9.30275e-15
             0.811300                5.05331e-12         9.57469e-15
             0.811533                5.07751e-12         9.69781e-15
             0.811766                4.96708e-12         1.00504e-14
             0.811999                4.96808e-12         1.00611e-14
             0.812232                5.09569e-12         9.72894e-15
             0.812465                5.17752e-12         9.48704e-15
             0.812698                5.18693e-12         9.33033e-15
             0.812932                5.19397e-12         9.55039e-15
             0.813165                5.18382e-12         9.98543e-15
             0.813398                5.17537e-12         1.05013e-14
             0.813631                5.19418e-12         1.00436e-14
             0.813864                5.22670e-12         9.64508e-15
             0.814097                5.24471e-12         9.47866e-15
             0.814330                5.22102e-12         9.46441e-15
             0.814563                5.15665e-12         9.63811e-15
             0.814796                5.17727e-12         1.01457e-14
             0.815029                5.20182e-12         1.03199e-14
             0.815262                5.17146e-12         9.87799e-15
             0.815495                5.17418e-12         9.53088e-15
             0.815728                5.16817e-12         9.33295e-15
             0.815961                5.16203e-12         9.70464e-15
             0.816194                5.10060e-12         9.99511e-15
             0.816427                5.09708e-12         1.03164e-14
             0.816660                5.19699e-12         1.01356e-14
             0.816893                5.22801e-12         9.81637e-15
             0.817126                5.23784e-12         9.50870e-15
             0.817359                5.22271e-12         9.29896e-15
             0.817592                5.19088e-12         9.61785e-15
             0.817825                5.13820e-12         1.00188e-14
             0.818058                4.98392e-12         9.99075e-15
             0.818291                4.43542e-12         8.88992e-15
             0.818523                3.77202e-12         7.98279e-15
             0.818756                4.11011e-12         8.26467e-15
             0.818989                4.71528e-12         8.90308e-15
             0.819222                4.72288e-12         9.13304e-15
             0.819455                4.15350e-12         8.95576e-15
             0.819688                3.50201e-12         8.19974e-15
             0.819921                3.87448e-12         8.35816e-15
             0.820154                4.51809e-12         8.81291e-15
             0.820387                4.86725e-12         8.77003e-15
             0.820619                4.92153e-12         8.94215e-15
             0.820852                4.85240e-12         9.14283e-15
             0.821085                4.88679e-12         9.55651e-15
             0.821318                4.96653e-12         9.32952e-15
             0.821551                4.96211e-12         9.05960e-15
             0.821784                4.97429e-12         8.95578e-15
             0.822016                4.98727e-12         8.94960e-15
             0.822249                4.95341e-12         9.16594e-15
             0.822482                5.02762e-12         1.00376e-14
             0.822715                5.06196e-12         1.03070e-14
             0.822948                5.12625e-12         9.90439e-15
             0.823180                5.17306e-12         9.41265e-15
             0.823413                5.16152e-12         9.14167e-15
             0.823646                5.11552e-12         9.23217e-15
             0.823879                5.15198e-12         9.30032e-15
             0.824112                5.14861e-12         9.64448e-15
             0.824344                5.16413e-12         9.57541e-15
             0.824577                5.17256e-12         9.16942e-15
             0.824810                5.19147e-12         8.94892e-15
             0.825043                5.17326e-12         9.08584e-15
             0.825275                5.11092e-12         9.03327e-15
             0.825508                5.04667e-12         9.33699e-15
             0.825741                5.04420e-12         9.65424e-15
             0.825974                5.09359e-12         9.31663e-15
             0.826206                5.17466e-12         9.12666e-15
             0.826439                5.18786e-12         8.91989e-15
             0.826672                5.21497e-12         8.93379e-15
             0.826904                5.19293e-12         9.10052e-15
             0.827137                5.13026e-12         9.41866e-15
             0.827370                5.02322e-12         9.46661e-15
             0.827603                5.06032e-12         9.14073e-15
             0.827835                5.10676e-12         8.95420e-15
             0.828068                5.09796e-12         8.92435e-15
             0.828300                5.04933e-12         8.88028e-15
             0.828533                5.03894e-12         9.14030e-15
             0.828766                5.01829e-12         9.54874e-15
             0.828998                4.95238e-12         9.22497e-15
             0.829231                4.89411e-12         8.81510e-15
             0.829464                4.90413e-12         8.63160e-15
             0.829696                4.97011e-12         8.62641e-15
             0.829929                4.96075e-12         8.74697e-15
             0.830162                4.90384e-12         8.93862e-15
             0.830394                4.83510e-12         9.23603e-15
             0.830627                4.82790e-12         8.79003e-15
             0.830859                4.85644e-12         8.54573e-15
             0.831092                4.89831e-12         8.51686e-15
             0.831324                4.90937e-12         8.67229e-15
             0.831557                4.92028e-12         8.75106e-15
             0.831790                4.94702e-12         9.05542e-15
             0.832022                4.99058e-12         9.14872e-15
             0.832255                5.02823e-12         8.84303e-15
             0.832487                5.02945e-12         8.59122e-15
             0.832720                4.89754e-12         8.40624e-15
             0.832952                4.73719e-12         8.36698e-15
             0.833185                4.90064e-12         8.65739e-15
             0.833417                4.93499e-12         8.91983e-15
             0.833650                4.81189e-12         8.62124e-15
             0.833882                4.82281e-12         8.57100e-15
             0.834115                4.95519e-12         8.45174e-15
             0.834347                4.99748e-12         8.45290e-15
             0.834580                4.93966e-12         8.59658e-15
             0.834812                4.84464e-12         8.62214e-15
             0.835045                4.85956e-12         8.73859e-15
             0.835277                4.90846e-12         8.56977e-15
             0.835510                4.87970e-12         8.37268e-15
             0.835742                4.91751e-12         8.46100e-15
             0.835975                4.96173e-12         8.40706e-15
             0.836207                4.96931e-12         8.55374e-15
             0.836440                4.87206e-12         8.62970e-15
             0.836672                4.76388e-12         8.75406e-15
             0.836905                4.91720e-12         8.43012e-15
             0.837137                5.02856e-12         8.40810e-15
             0.837370                4.96992e-12         8.33751e-15
             0.837602                4.84128e-12         8.29820e-15
             0.837834                4.72153e-12         8.42193e-15
             0.838067                4.71855e-12         8.52567e-15
             0.838299                4.70125e-12         8.38424e-15
             0.838532                4.59927e-12         8.08601e-15
             0.838764                4.61530e-12         7.98279e-15
             0.838996                4.44251e-12         7.82965e-15
             0.839229                4.62795e-12         8.06815e-15
             0.839461                4.81414e-12         8.40698e-15
             0.839693                4.77449e-12         8.42624e-15
             0.839926                4.70874e-12         8.24280e-15
             0.840158                4.81355e-12         8.14185e-15
             0.840391                4.87692e-12         8.16136e-15
             0.840623                4.95229e-12         8.22519e-15
             0.840855                4.96963e-12         8.38052e-15
             0.841088                4.97798e-12         8.54677e-15
             0.841320                4.84062e-12         8.38049e-15
             0.841552                4.79373e-12         8.17981e-15
             0.841784                4.94143e-12         8.17406e-15
             0.842017                4.87095e-12         8.04543e-15
             0.842249                4.75354e-12         8.02377e-15
             0.842481                4.75771e-12         8.08524e-15
             0.842714                4.64610e-12         8.16251e-15
             0.842946                4.60527e-12         8.00511e-15
             0.843178                4.78620e-12         8.08965e-15
             0.843411                4.63393e-12         7.84812e-15
             0.843643                4.08625e-12         7.38267e-15
             0.843875                4.07174e-12         7.38342e-15
             0.844107                4.47945e-12         7.87965e-15
             0.844340                4.54639e-12         8.02535e-15
             0.844572                4.43933e-12         7.88520e-15
             0.844804                4.35578e-12         7.59207e-15
             0.845036                4.38264e-12         7.51041e-15
             0.845269                4.30276e-12         7.47183e-15
             0.845501                4.12227e-12         7.38617e-15
             0.845733                4.08415e-12         7.45771e-15
             0.845965                4.13266e-12         7.53938e-15
             0.846197                4.18901e-12         7.43448e-15
             0.846430                4.22120e-12         7.40620e-15
             0.846662                4.18336e-12         7.32117e-15
             0.846894                4.04862e-12         7.23963e-15
             0.847126                3.99147e-12         7.21425e-15
             0.847358                4.06892e-12         7.44911e-15
             0.847591                4.10511e-12         7.36641e-15
             0.847823                4.14948e-12         7.35043e-15
             0.848055                4.19490e-12         7.23652e-15
             0.848287                4.21850e-12         7.39303e-15
             0.848519                4.23365e-12         7.31652e-15
             0.848751                4.26668e-12         7.44578e-15
             0.848984                4.31293e-12         7.60079e-15
             0.849216                4.34944e-12         7.55535e-15
             0.849448                4.35378e-12         7.47623e-15
             0.849680                4.16101e-12         7.25529e-15
             0.849912                3.87218e-12         6.93233e-15
             0.850144                3.91719e-12         7.11011e-15
             0.850376                4.20336e-12         7.42515e-15
             0.850608                4.17446e-12         7.37720e-15
             0.850841                4.07861e-12         7.18760e-15
             0.851073                4.12384e-12         7.18103e-15
             0.851305                4.18551e-12         7.19080e-15
             0.851537                4.12383e-12         7.15919e-15
             0.851769                3.99456e-12         7.04085e-15
             0.852001                3.98589e-12         7.13200e-15
             0.852233                4.06044e-12         7.11986e-15
             0.852465                4.16101e-12         7.17853e-15
             0.852697                4.20167e-12         7.13992e-15
             0.852929                4.24078e-12         7.17731e-15
             0.853161                4.24602e-12         7.23345e-15
             0.853393                4.27956e-12         7.35912e-15
             0.853625                4.29072e-12         7.41983e-15
             0.853857                4.26244e-12         7.31768e-15
             0.854089                4.10120e-12         7.07042e-15
             0.854322                3.70621e-12         6.68835e-15
             0.854554                3.65891e-12         6.63146e-15
             0.854786                4.08415e-12         7.06591e-15
             0.855018                4.30846e-12         7.32825e-15
             0.855250                4.39198e-12         7.44346e-15
             0.855482                4.43630e-12         7.36180e-15
             0.855714                4.45320e-12         7.31869e-15
             0.855946                4.40542e-12         7.15465e-15
             0.856178                4.29495e-12         7.10747e-15
             0.856410                4.30142e-12         7.13436e-15
             0.856642                4.38425e-12         7.29767e-15
             0.856874                4.43489e-12         7.31317e-15
             0.857105                4.41643e-12         7.25133e-15
             0.857337                4.37838e-12         7.14757e-15
             0.857569                4.38631e-12         7.12994e-15
