# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:52:44 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7999 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'Gl 299  '           /                                                
# SPTYPE  = 'M4 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.3'     / Spectroscopy Mode                              
# SXDUT   = '2000 Dec 11'        / UT date of SXD observations                    
# LXDUT   = '2000 Dec 11'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '1500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.808748 / Minimum wavelength (um)                        
# MAXWAVE =              5.43478 / Maximum wavelength (um)                        
# V       =        12.8340000000 / V magnitude                                    
# VERR    =      0.0150000000000 / V magnitude error                              
# (B-V)   =        1.76800000000 / B-V color                                      
# (B-V)ERR=      0.0110000000000 / B-V color error                                
# J       =        8.42400000000 / 2MASS J magnitude                              
# JERR    =      0.0230000000000 / 2MASS J magnitude error                        
# H       =        7.92700000000 / 2MASS H magnitude                              
# HERR    =      0.0420000000000 / 2MASS H magnitude error                        
# KS      =        7.66000000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0260000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0159383000000 / Relative error in the absolute flux calibration
# RV      =       -13.6368470000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.65000000000 / Intrinsic Color                                
# E(B-V)  =       0.118000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.808748                1.56132e-12         5.74297e-15
             0.808951                1.58518e-12         5.76258e-15
             0.809153                1.57813e-12         5.74830e-15
             0.809356                1.58808e-12         5.75263e-15
             0.809559                1.57096e-12         5.74354e-15
             0.809761                1.58176e-12         5.75968e-15
             0.809964                1.57507e-12         5.78502e-15
             0.810167                1.57855e-12         5.76224e-15
             0.810369                1.55480e-12         5.82418e-15
             0.810572                1.55577e-12         5.80443e-15
             0.810775                1.58719e-12         5.83062e-15
             0.810977                1.59701e-12         5.84060e-15
             0.811180                1.59317e-12         5.85204e-15
             0.811382                1.59146e-12         5.86191e-15
             0.811585                1.58712e-12         5.84836e-15
             0.811630                1.57588e-12         4.86966e-15
             0.811863                1.55873e-12         5.08155e-15
             0.812096                1.58196e-12         5.29568e-15
             0.812330                1.60811e-12         5.05884e-15
             0.812563                1.61873e-12         4.85833e-15
             0.812796                1.62658e-12         4.75326e-15
             0.813029                1.62365e-12         4.78414e-15
             0.813262                1.63123e-12         4.97232e-15
             0.813495                1.61311e-12         5.17357e-15
             0.813728                1.62811e-12         5.20645e-15
             0.813961                1.63935e-12         4.94322e-15
             0.814194                1.63110e-12         4.80287e-15
             0.814427                1.60800e-12         4.74748e-15
             0.814660                1.59426e-12         4.78857e-15
             0.814893                1.61633e-12         5.01317e-15
             0.815126                1.61912e-12         5.20733e-15
             0.815359                1.62553e-12         5.05086e-15
             0.815592                1.62495e-12         4.86497e-15
             0.815825                1.61692e-12         4.70168e-15
             0.816058                1.60362e-12         4.78018e-15
             0.816291                1.58086e-12         4.80080e-15
             0.816524                1.60210e-12         5.03899e-15
             0.816757                1.62273e-12         5.17162e-15
             0.816990                1.62195e-12         4.94691e-15
             0.817222                1.61601e-12         4.77146e-15
             0.817455                1.61709e-12         4.65424e-15
             0.817688                1.59472e-12         4.64479e-15
             0.817921                1.55159e-12         4.79140e-15
             0.818154                1.42060e-12         4.86637e-15
             0.818387                1.17832e-12         4.46426e-15
             0.818620                1.13397e-12         4.25963e-15
             0.818853                1.34739e-12         4.37890e-15
             0.819086                1.44638e-12         4.45002e-15
             0.819319                1.32273e-12         4.40759e-15
             0.819552                1.05716e-12         4.21129e-15
             0.819784                1.02007e-12         4.29735e-15
             0.820017                1.25543e-12         4.51529e-15
             0.820250                1.44344e-12         4.60161e-15
             0.820483                1.53444e-12         4.51505e-15
             0.820716                1.53254e-12         4.49377e-15
             0.820949                1.52528e-12         4.56623e-15
             0.821182                1.53998e-12         4.73457e-15
             0.821414                1.56223e-12         4.86570e-15
             0.821647                1.56231e-12         4.71475e-15
             0.821880                1.57044e-12         4.60436e-15
             0.822113                1.56223e-12         4.54359e-15
             0.822346                1.57902e-12         4.55529e-15
             0.822578                1.60171e-12         4.87877e-15
             0.822811                1.61081e-12         4.93666e-15
             0.823044                1.61524e-12         4.96627e-15
             0.823277                1.61457e-12         4.75775e-15
             0.823510                1.60882e-12         4.61954e-15
             0.823742                1.62698e-12         4.64373e-15
             0.823975                1.62631e-12         4.59608e-15
             0.824208                1.62638e-12         4.70613e-15
             0.824441                1.62817e-12         4.88241e-15
             0.824673                1.63306e-12         4.74228e-15
             0.824906                1.62779e-12         4.60141e-15
             0.825139                1.59898e-12         4.52066e-15
             0.825372                1.59459e-12         4.47164e-15
             0.825604                1.58039e-12         4.55571e-15
             0.825837                1.58248e-12         4.70286e-15
             0.826070                1.61153e-12         4.82131e-15
             0.826303                1.62177e-12         4.65499e-15
             0.826535                1.62822e-12         4.53091e-15
             0.826768                1.62512e-12         4.48432e-15
             0.827001                1.61487e-12         4.46263e-15
             0.827233                1.59246e-12         4.55675e-15
             0.827466                1.58840e-12         4.70167e-15
             0.827699                1.61979e-12         4.71654e-15
             0.827931                1.60535e-12         4.53572e-15
             0.828164                1.60805e-12         4.47102e-15
             0.828397                1.59388e-12         4.43540e-15
             0.828629                1.60134e-12         4.48523e-15
             0.828862                1.58289e-12         4.54850e-15
             0.829095                1.55786e-12         4.67444e-15
             0.829327                1.55351e-12         4.52703e-15
             0.829560                1.56354e-12         4.39313e-15
             0.829793                1.56460e-12         4.34610e-15
             0.830025                1.56727e-12         4.34774e-15
             0.830258                1.55030e-12         4.39162e-15
             0.830491                1.52808e-12         4.49809e-15
             0.830723                1.52621e-12         4.54230e-15
             0.830956                1.54458e-12         4.44008e-15
             0.831188                1.56105e-12         4.33665e-15
             0.831421                1.55977e-12         4.32533e-15
             0.831654                1.56711e-12         4.32104e-15
             0.831886                1.57673e-12         4.43119e-15
             0.832119                1.58440e-12         4.55992e-15
