# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:52:46 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7999 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'Gl 299  '           /                                                
# SPTYPE  = 'M4 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.3'     / Spectroscopy Mode                              
# SXDUT   = '2000 Dec 11'        / UT date of SXD observations                    
# LXDUT   = '2000 Dec 11'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '1500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.808748 / Minimum wavelength (um)                        
# MAXWAVE =              5.43478 / Maximum wavelength (um)                        
# V       =        12.8340000000 / V magnitude                                    
# VERR    =      0.0150000000000 / V magnitude error                              
# (B-V)   =        1.76800000000 / B-V color                                      
# (B-V)ERR=      0.0110000000000 / B-V color error                                
# J       =        8.42400000000 / 2MASS J magnitude                              
# JERR    =      0.0230000000000 / 2MASS J magnitude error                        
# H       =        7.92700000000 / 2MASS H magnitude                              
# HERR    =      0.0420000000000 / 2MASS H magnitude error                        
# KS      =        7.66000000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0260000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0159383000000 / Relative error in the absolute flux calibration
# RV      =       -13.6368470000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.65000000000 / Intrinsic Color                                
# E(B-V)  =       0.118000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.808748                1.85021e-12         6.80560e-15
             0.808951                1.87834e-12         6.82829e-15
             0.809153                1.86983e-12         6.81084e-15
             0.809356                1.88148e-12         6.81544e-15
             0.809559                1.86106e-12         6.80414e-15
             0.809761                1.87370e-12         6.82273e-15
             0.809964                1.86564e-12         6.85221e-15
             0.810167                1.86961e-12         6.82469e-15
             0.810369                1.84134e-12         6.89753e-15
             0.810572                1.84234e-12         6.87360e-15
             0.810775                1.87940e-12         6.90407e-15
             0.810977                1.89088e-12         6.91535e-15
             0.811180                1.88619e-12         6.92837e-15
             0.811382                1.88402e-12         6.93951e-15
             0.811585                1.87873e-12         6.92293e-15
             0.811630                1.86540e-12         5.76431e-15
             0.811863                1.84494e-12         6.01459e-15
             0.812096                1.87226e-12         6.26748e-15
             0.812330                1.90304e-12         5.98664e-15
             0.812563                1.91544e-12         5.74885e-15
             0.812796                1.92456e-12         5.62402e-15
             0.813029                1.92091e-12         5.66006e-15
             0.813262                1.92971e-12         5.88216e-15
             0.813495                1.90811e-12         6.11969e-15
             0.813728                1.92568e-12         6.15804e-15
             0.813961                1.93881e-12         5.84618e-15
             0.814194                1.92888e-12         5.67970e-15
             0.814427                1.90139e-12         5.61370e-15
             0.814660                1.88498e-12         5.66179e-15
             0.814893                1.91091e-12         5.92682e-15
             0.815126                1.91404e-12         6.15583e-15
             0.815359                1.92145e-12         5.97034e-15
             0.815592                1.92059e-12         5.75010e-15
             0.815825                1.91093e-12         5.55661e-15
             0.816058                1.89505e-12         5.64888e-15
             0.816291                1.86799e-12         5.67275e-15
             0.816524                1.89292e-12         5.95368e-15
             0.816757                1.91712e-12         6.10986e-15
             0.816990                1.91603e-12         5.84387e-15
             0.817222                1.90886e-12         5.63611e-15
             0.817455                1.90997e-12         5.49717e-15
             0.817688                1.88338e-12         5.48554e-15
             0.817921                1.83228e-12         5.65819e-15
             0.818154                1.67745e-12         5.74622e-15
             0.818387                1.39124e-12         5.27095e-15
             0.818620                1.33876e-12         5.02890e-15
             0.818853                1.59059e-12         5.16927e-15
             0.819086                1.70730e-12         5.25277e-15
             0.819319                1.56120e-12         5.20223e-15
             0.819552                1.24765e-12         4.97012e-15
             0.819784                1.20377e-12         5.07123e-15
             0.820017                1.48138e-12         5.32797e-15
             0.820250                1.70308e-12         5.42935e-15
             0.820483                1.81030e-12         5.32677e-15
             0.820716                1.80790e-12         5.30120e-15
             0.820949                1.79918e-12         5.38622e-15
             0.821182                1.81637e-12         5.58431e-15
             0.821414                1.84245e-12         5.73848e-15
             0.821647                1.84239e-12         5.55997e-15
             0.821880                1.85182e-12         5.42932e-15
             0.822113                1.84197e-12         5.35720e-15
             0.822346                1.86161e-12         5.37054e-15
             0.822578                1.88820e-12         5.75142e-15
             0.822811                1.89877e-12         5.81917e-15
             0.823044                1.90382e-12         5.85356e-15
             0.823277                1.90287e-12         5.60731e-15
             0.823510                1.89593e-12         5.44395e-15
             0.823742                1.91718e-12         5.47199e-15
             0.823975                1.91622e-12         5.41538e-15
             0.824208                1.91614e-12         5.54458e-15
             0.824441                1.91808e-12         5.75177e-15
             0.824673                1.92368e-12         5.58622e-15
             0.824906                1.91731e-12         5.41982e-15
             0.825139                1.88321e-12         5.32425e-15
             0.825372                1.87788e-12         5.26608e-15
             0.825604                1.86100e-12         5.36463e-15
             0.825837                1.86331e-12         5.53743e-15
             0.826070                1.89735e-12         5.67642e-15
             0.826303                1.90925e-12         5.48014e-15
             0.826535                1.91668e-12         5.33362e-15
             0.826768                1.91286e-12         5.27833e-15
             0.827001                1.90064e-12         5.25235e-15
             0.827233                1.87411e-12         5.36267e-15
             0.827466                1.86918e-12         5.53276e-15
             0.827699                1.90596e-12         5.54979e-15
             0.827931                1.88881e-12         5.33657e-15
             0.828164                1.89182e-12         5.26001e-15
             0.828397                1.87499e-12         5.21767e-15
             0.828629                1.88361e-12         5.27584e-15
             0.828862                1.86175e-12         5.34982e-15
             0.829095                1.83215e-12         5.49748e-15
             0.829327                1.82688e-12         5.32367e-15
             0.829560                1.83853e-12         5.16578e-15
             0.829793                1.83963e-12         5.11005e-15
             0.830025                1.84261e-12         5.11156e-15
             0.830258                1.82250e-12         5.16271e-15
