# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:53:07 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7514 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 94705'           /                                                
# SPTYPE  = 'M5.5 III:'          / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 May 08'        / UT date of SXD observations                    
# LXDUT   = '2003 May 08'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.811884 / Minimum wavelength (um)                        
# MAXWAVE =              4.91643 / Maximum wavelength (um)                        
# V       =        5.78600000000 / V magnitude                                    
# VERR    =      0.0190000000000 / V magnitude error                              
# (B-V)   =        1.45300000000 / B-V color                                      
# (B-V)ERR=     0.00500000000000 / B-V color error                                
# J       =       0.434000000000 / 2MASS J magnitude                              
# JERR    =       0.204000000000 / 2MASS J magnitude error                        
# H       =      -0.449000000000 / 2MASS H magnitude                              
# HERR    =       0.248000000000 / 2MASS H magnitude error                        
# KS      =      -0.762000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.296000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.139074000000 / Relative error in the absolute flux calibration
# RV      =        4.57642390000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.57000000000 / Intrinsic Color                                
# E(B-V)  =      -0.117000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.811884                1.65741e-09         3.10020e-12
             0.812086                1.69870e-09         3.12135e-12
             0.812289                1.81408e-09         3.30035e-12
             0.812491                1.84513e-09         3.34287e-12
             0.812693                1.87464e-09         3.37138e-12
             0.812896                1.88319e-09         3.36791e-12
             0.813098                1.89114e-09         3.39837e-12
             0.813301                1.87140e-09         3.40456e-12
             0.813503                1.85813e-09         3.46027e-12
             0.813705                1.89373e-09         3.49151e-12
             0.813908                1.95133e-09         3.55301e-12
             0.814110                1.95155e-09         3.55447e-12
             0.814312                1.94506e-09         3.59558e-12
             0.814515                1.90477e-09         3.52452e-12
             0.814696                1.87647e-09         2.86380e-12
             0.814929                1.91377e-09         2.87462e-12
             0.815162                1.93722e-09         2.97205e-12
             0.815395                1.92966e-09         3.06438e-12
             0.815629                1.95083e-09         3.28434e-12
             0.815862                1.98831e-09         3.12866e-12
             0.816095                1.96370e-09         2.96474e-12
             0.816328                1.86711e-09         2.90713e-12
             0.816562                1.91207e-09         3.01627e-12
             0.816795                2.01550e-09         3.11537e-12
             0.817028                2.01478e-09         3.22851e-12
             0.817261                2.00105e-09         3.22145e-12
             0.817494                2.01384e-09         2.99783e-12
             0.817728                2.02483e-09         2.97159e-12
             0.817961                2.04809e-09         3.08041e-12
             0.818194                2.03670e-09         3.08805e-12
             0.818427                1.93498e-09         3.03211e-12
             0.818660                1.87635e-09         3.05857e-12
             0.818893                1.92036e-09         3.04598e-12
             0.819126                2.03358e-09         3.05301e-12
             0.819360                2.11876e-09         3.03314e-12
             0.819593                1.93236e-09         2.88530e-12
             0.819826                1.80284e-09         2.78574e-12
             0.820059                1.75327e-09         2.92421e-12
             0.820292                1.68197e-09         2.83185e-12
             0.820525                1.67185e-09         2.63608e-12
             0.820758                1.56426e-09         2.44584e-12
             0.820991                1.50713e-09         2.36463e-12
             0.821224                1.55645e-09         2.43914e-12
             0.821457                1.58591e-09         2.57280e-12
             0.821690                1.59754e-09         2.66410e-12
             0.821923                1.63329e-09         2.67594e-12
             0.822156                1.62301e-09         2.55466e-12
             0.822389                1.64951e-09         2.52912e-12
             0.822623                1.70897e-09         2.61766e-12
             0.822856                1.72703e-09         2.82616e-12
             0.823089                1.77100e-09         3.09219e-12
             0.823322                1.78400e-09         3.04648e-12
             0.823555                1.75555e-09         2.77886e-12
             0.823788                1.77282e-09         2.65761e-12
             0.824021                1.76082e-09         2.57722e-12
             0.824253                1.74465e-09         2.58070e-12
             0.824486                1.76539e-09         2.70029e-12
             0.824719                1.80554e-09         2.83047e-12
             0.824952                1.80815e-09         2.73993e-12
             0.825185                1.74756e-09         2.59488e-12
             0.825418                1.61692e-09         2.43317e-12
