# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:52:57 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4134 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 175865'          /                                                
# SPTYPE  = 'M5 III  '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2000 Nov 06'        / UT date of SXD observations                    
# LXDUT   = '2000 Nov 06'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '1500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.811075 / Minimum wavelength (um)                        
# MAXWAVE =              2.41812 / Maximum wavelength (um)                        
# V       =        4.02600000000 / V magnitude                                    
# VERR    =      0.0450000000000 / V magnitude error                              
# (B-V)   =        1.58800000000 / B-V color                                      
# (B-V)ERR=      0.0160000000000 / B-V color error                                
# J       =      -0.738000000000 / 2MASS J magnitude                              
# JERR    =       0.222000000000 / 2MASS J magnitude error                        
# H       =       -1.57500000000 / 2MASS H magnitude                              
# HERR    =       0.230000000000 / 2MASS H magnitude error                        
# KS      =       -1.83700000000 / 2MASS Ks magnitude                             
# KSERR   =       0.208000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.126686000000 / Relative error in the absolute flux calibration
# RV      =       -14.6993330000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.65000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0619999000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.811075                5.95890e-09         2.10333e-11
             0.811277                5.99244e-09         2.14265e-11
             0.811479                6.00598e-09         2.12269e-11
             0.811681                5.80266e-09         2.08301e-11
             0.811883                5.63433e-09         2.18756e-11
             0.812085                5.89250e-09         2.12236e-11
             0.812287                6.14548e-09         2.17044e-11
             0.812489                6.30201e-09         2.27183e-11
             0.812691                6.38230e-09         2.30124e-11
             0.812893                6.35406e-09         2.26612e-11
             0.813096                6.42608e-09         2.30261e-11
             0.813298                6.24676e-09         2.25480e-11
             0.813500                6.17960e-09         2.23695e-11
             0.813702                6.36155e-09         2.33677e-11
             0.813904                6.51789e-09         2.35341e-11
             0.813952                6.51349e-09         1.96198e-11
             0.814186                6.49411e-09         2.07383e-11
             0.814419                6.34580e-09         2.06293e-11
             0.814653                6.28272e-09         1.93727e-11
             0.814886                6.43009e-09         1.92049e-11
             0.815120                6.47250e-09         1.91855e-11
             0.815353                6.46339e-09         1.93271e-11
             0.815587                6.52725e-09         2.03259e-11
             0.815820                6.65098e-09         2.19313e-11
             0.816054                6.51066e-09         2.04785e-11
             0.816287                6.13089e-09         1.87649e-11
             0.816521                6.31672e-09         1.92610e-11
             0.816754                6.62501e-09         1.97786e-11
             0.816988                6.67651e-09         2.04169e-11
             0.817221                6.62174e-09         2.12260e-11
             0.817455                6.62574e-09         2.09527e-11
             0.817688                6.72812e-09         2.03243e-11
             0.817922                6.75286e-09         2.02386e-11
             0.818155                6.63212e-09         1.97811e-11
             0.818388                6.32182e-09         1.90479e-11
             0.818622                6.22941e-09         1.95039e-11
             0.818855                6.37087e-09         2.06375e-11
             0.819089                6.69357e-09         2.09035e-11
             0.819322                6.83312e-09         2.03231e-11
             0.819555                6.24009e-09         1.82969e-11
             0.819789                6.06192e-09         1.82722e-11
             0.820022                5.98866e-09         1.85545e-11
             0.820255                5.79827e-09         1.94175e-11
             0.820489                5.65948e-09         1.79881e-11
             0.820722                5.36895e-09         1.62289e-11
             0.820955                5.38361e-09         1.59898e-11
             0.821189                5.59174e-09         1.64038e-11
             0.821422                5.59901e-09         1.68603e-11
             0.821655                5.67931e-09         1.89289e-11
             0.821888                5.78987e-09         1.84430e-11
             0.822122                5.71561e-09         1.75519e-11
             0.822355                5.79206e-09         1.71698e-11
             0.822588                5.99791e-09         1.76120e-11
             0.822821                6.06684e-09         1.81349e-11
             0.823055                6.11945e-09         1.96137e-11
             0.823288                6.05754e-09         1.99639e-11
             0.823521                6.11002e-09         1.93547e-11
             0.823754                6.15706e-09         1.83594e-11
             0.823987                6.04871e-09         1.75123e-11
