# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:52:55 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6959 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 156014'          /                                                
# SPTYPE  = 'M5 Ib-II'           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2000 Nov 06'        / UT date of SXD observations                    
# LXDUT   = '2000 Nov 06'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '1500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.805857 / Minimum wavelength (um)                        
# MAXWAVE =              4.19333 / Maximum wavelength (um)                        
# V       =        3.05700000000 / V magnitude                                    
# VERR    =      0.0220000000000 / V magnitude error                              
# (B-V)   =        1.44700000000 / B-V color                                      
# (B-V)ERR=      0.0110000000000 / B-V color error                                
# J       =       -2.30200000000 / 2MASS J magnitude                              
# JERR    =       0.166000000000 / 2MASS J magnitude error                        
# H       =       -3.22400000000 / 2MASS H magnitude                              
# HERR    =       0.174000000000 / 2MASS H magnitude error                        
# KS      =       -3.51100000000 / 2MASS Ks magnitude                             
# KSERR   =       0.150000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CCB     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0937558000000 / Relative error in the absolute flux calibration
# RV      =        1.73369390000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.62000000000 / Intrinsic Color                                
# E(B-V)  =      -0.173000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.805857                3.17395e-08         6.98154e-11
             0.806060                3.19808e-08         6.99072e-11
             0.806262                3.19193e-08         7.06743e-11
             0.806465                3.18903e-08         7.07655e-11
             0.806668                3.23785e-08         7.09883e-11
             0.806870                3.17646e-08         7.06988e-11
             0.807073                3.04259e-08         6.90914e-11
             0.807275                3.08271e-08         7.00726e-11
             0.807478                3.15050e-08         7.05910e-11
             0.807680                3.16729e-08         7.03570e-11
             0.807883                3.01088e-08         7.01463e-11
             0.808085                3.27569e-08         7.84801e-11
             0.808288                3.32470e-08         7.25877e-11
             0.808490                3.31377e-08         7.27130e-11
             0.808693                3.36088e-08         7.32505e-11
             0.808895                3.44706e-08         7.35357e-11
             0.809098                3.44255e-08         7.41827e-11
             0.809300                3.31553e-08         7.26955e-11
             0.809386                3.27675e-08         7.11824e-11
             0.809619                3.24245e-08         7.19309e-11
             0.809852                3.39820e-08         6.85197e-11
             0.810086                3.44879e-08         6.56920e-11
             0.810319                3.47811e-08         6.49967e-11
             0.810552                3.50504e-08         6.68481e-11
             0.810786                3.51967e-08         7.06541e-11
             0.811019                3.56678e-08         7.57292e-11
             0.811252                3.51826e-08         7.13861e-11
             0.811486                3.57022e-08         6.78434e-11
             0.811719                3.43909e-08         6.45716e-11
             0.811952                3.38993e-08         6.48422e-11
             0.812186                3.59583e-08         6.82503e-11
             0.812419                3.67439e-08         7.27208e-11
             0.812652                3.76634e-08         7.50162e-11
             0.812886                3.78733e-08         7.10109e-11
             0.813119                3.79295e-08         6.79507e-11
             0.813352                3.74884e-08         6.69438e-11
             0.813585                3.71281e-08         6.80103e-11
             0.813819                3.87670e-08         7.23779e-11
             0.814052                3.90731e-08         7.68659e-11
             0.814285                3.85090e-08         7.44273e-11
             0.814518                3.88505e-08         7.18376e-11
             0.814752                3.81030e-08         6.86097e-11
             0.814985                3.91683e-08         6.94676e-11
             0.815218                3.85434e-08         7.01677e-11
             0.815451                3.83882e-08         7.30918e-11
             0.815684                3.94125e-08         7.71159e-11
             0.815917                3.99388e-08         7.40440e-11
             0.816151                3.88822e-08         6.96070e-11
             0.816384                3.69781e-08         6.81019e-11
             0.816617                3.89776e-08         7.07273e-11
             0.816850                4.07972e-08         7.59516e-11
             0.817083                4.00028e-08         7.64990e-11
             0.817316                3.96114e-08         7.47694e-11
             0.817550                4.02814e-08         7.16587e-11
             0.817783                4.07263e-08         7.05785e-11
             0.818016                4.03847e-08         7.12207e-11
             0.818249                4.03225e-08         7.22541e-11
             0.818482                3.78790e-08         7.31149e-11
             0.818715                3.82093e-08         7.49735e-11
             0.818948                3.87146e-08         7.20373e-11
             0.819181                4.18521e-08         7.27592e-11
             0.819414                4.13904e-08         7.09246e-11
             0.819647                3.75631e-08         6.76827e-11
             0.819880                3.50857e-08         6.72062e-11
             0.820114                3.47460e-08         7.05184e-11
             0.820347                3.33116e-08         6.81270e-11
             0.820580                3.28145e-08         6.44717e-11
             0.820813                3.06737e-08         6.09341e-11
             0.821046                3.06320e-08         6.09994e-11
             0.821279                3.15099e-08         6.22085e-11
             0.821512                3.16070e-08         6.40966e-11
             0.821745                3.22747e-08         6.72010e-11
             0.821978                3.29653e-08         6.55951e-11
             0.822211                3.28707e-08         6.32277e-11
             0.822444                3.31544e-08         6.22431e-11
             0.822677                3.38972e-08         6.35762e-11
             0.822910                3.48161e-08         6.69383e-11
             0.823143                3.50468e-08         7.10141e-11
             0.823376                3.57082e-08         7.14540e-11
             0.823609                3.39326e-08         6.58232e-11
             0.823842                3.64189e-08         6.51159e-11
             0.824075                3.52330e-08         6.25420e-11
             0.824308                3.41105e-08         6.25857e-11
             0.824540                3.52561e-08         6.54522e-11
             0.824773                3.61860e-08         6.83438e-11
             0.825006                3.57984e-08         6.59920e-11
             0.825239                3.38582e-08         6.22740e-11
             0.825472                3.08072e-08         5.85146e-11
             0.825705                3.14961e-08         5.95442e-11
             0.825938                3.27758e-08         6.23672e-11
             0.826171                3.46399e-08         6.61069e-11
             0.826404                3.54491e-08         6.76278e-11
             0.826637                3.52195e-08         6.39783e-11
             0.826869                3.52092e-08         6.20849e-11
             0.827102                3.36289e-08         5.99536e-11
             0.827335                3.26214e-08         5.97788e-11
             0.827568                3.17387e-08         6.12263e-11
             0.827801                3.26021e-08         6.35581e-11
             0.828034                3.24584e-08         6.32479e-11
             0.828266                3.18960e-08         6.07305e-11
             0.828499                3.11684e-08         5.89864e-11
             0.828732                3.08500e-08         5.80351e-11
             0.828965                3.08835e-08         5.96942e-11
             0.829198                2.93354e-08         6.04235e-11
             0.829431                2.89051e-08         6.26953e-11
             0.829663                3.02576e-08         6.00281e-11
             0.829896                3.05059e-08         5.84888e-11
             0.830129                2.99367e-08         5.70056e-11
             0.830362                2.87357e-08         5.64642e-11
             0.830594                2.73689e-08         5.68506e-11
             0.830827                2.74337e-08         5.87326e-11
             0.831060                2.82083e-08         5.92294e-11
             0.831293                2.84194e-08         5.67412e-11
             0.831525                2.92047e-08         5.60241e-11
             0.831758                3.01146e-08         5.62789e-11
             0.831991                3.13283e-08         5.76500e-11
             0.832223                3.10989e-08         5.89690e-11
