# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:52:59 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7069 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'Gl 51   '           /                                                
# SPTYPE  = 'M5 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2000 Nov 06'        / UT date of SXD observations                    
# LXDUT   = '2000 Nov 06'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '1500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.805196 / Minimum wavelength (um)                        
# MAXWAVE =              4.39570 / Maximum wavelength (um)                        
# V       =        13.7800000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.68000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        8.61100000000 / 2MASS J magnitude                              
# JERR    =      0.0270000000000 / 2MASS J magnitude error                        
# H       =        8.01400000000 / 2MASS H magnitude                              
# HERR    =      0.0230000000000 / 2MASS H magnitude error                        
# KS      =        7.71800000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0200000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0131738000000 / Relative error in the absolute flux calibration
# RV      =        1.15657330000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.80000000000 / Intrinsic Color                                
# E(B-V)  =      -0.120000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) *AND* Cushing et al.    
# COMMENT (2005, ApJ, 648, 1115) if you use this spectrum.  The spectrum has      
# COMMENT been absolutely flux calibrated using 2MASS photometry and has been     
# COMMENT shifted to zero radial velocity.  For other pertinent information,      
# COMMENT please see Cushing et al. (2005, ApJ, 648, 1115) and/or Rayner et       
# COMMENT al. (ApJS, 185, 289).                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.805196                9.31695e-13         8.64190e-15
             0.805399                9.63063e-13         8.95569e-15
             0.805601                9.78463e-13         8.80236e-15
             0.805803                9.78017e-13         8.96634e-15
             0.806006                9.88783e-13         8.92252e-15
             0.806208                9.84894e-13         8.89817e-15
             0.806411                9.84862e-13         9.00168e-15
             0.806613                9.61973e-13         8.88934e-15
             0.806816                9.81629e-13         8.86542e-15
             0.807018                9.61869e-13         8.93792e-15
             0.807221                9.67356e-13         8.92050e-15
             0.807423                9.67869e-13         9.01578e-15
             0.807625                9.80509e-13         9.00014e-15
             0.807828                9.81772e-13         9.03210e-15
             0.808030                9.95098e-13         9.05563e-15
             0.808233                1.01871e-12         9.07965e-15
             0.808435                1.03300e-12         9.09418e-15
             0.808638                1.02926e-12         9.20861e-15
             0.808674                1.02944e-12         8.03281e-15
             0.808907                1.03138e-12         8.38068e-15
             0.809140                1.03380e-12         9.01804e-15
             0.809374                1.03751e-12         8.48502e-15
             0.809607                1.03536e-12         8.11008e-15
             0.809841                1.04584e-12         7.91945e-15
             0.810074                1.02669e-12         7.86399e-15
             0.810307                1.03399e-12         8.19486e-15
             0.810540                1.03425e-12         8.57513e-15
             0.810774                1.04320e-12         8.86289e-15
             0.811007                1.06235e-12         8.40275e-15
             0.811240                1.08397e-12         8.08912e-15
             0.811474                1.06253e-12         8.00231e-15
             0.811707                1.06065e-12         8.19113e-15
             0.811940                1.04239e-12         8.37730e-15
             0.812173                1.07561e-12         8.89047e-15
             0.812407                1.09728e-12         8.63452e-15
             0.812640                1.10334e-12         8.28170e-15
             0.812873                1.09262e-12         7.97864e-15
             0.813106                1.11540e-12         8.08275e-15
             0.813340                1.10743e-12         8.32654e-15
             0.813573                1.10171e-12         8.90877e-15
             0.813806                1.13062e-12         9.17587e-15
             0.814039                1.13315e-12         8.60007e-15
             0.814273                1.12225e-12         8.32145e-15
             0.814506                1.08440e-12         8.15908e-15
             0.814739                1.09555e-12         8.23947e-15
             0.814972                1.09267e-12         8.65298e-15
             0.815205                1.10038e-12         9.13465e-15
             0.815438                1.11420e-12         8.99638e-15
             0.815672                1.09296e-12         8.58490e-15
             0.815905                1.09325e-12         8.30974e-15
             0.816138                1.08043e-12         8.23910e-15
             0.816371                1.07380e-12         8.77914e-15
             0.816604                1.08603e-12         9.25980e-15
             0.816837                1.11629e-12         9.23440e-15
             0.817070                1.11292e-12         9.10983e-15
             0.817304                1.12567e-12         8.48878e-15
             0.817537                1.11154e-12         8.04544e-15
             0.817770                1.08701e-12         8.39424e-15
             0.818003                1.03326e-12         8.76616e-15
             0.818236                8.97896e-13         8.78156e-15
             0.818469                7.27837e-13         8.01074e-15
             0.818702                7.58060e-13         7.74507e-15
