# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:53:02 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6846 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'Gl 866ABC'          /                                                
# SPTYPE  = 'M5 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2001 Oct 11'        / UT date of SXD observations                    
# LXDUT   = '2001 Oct 19'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.807266 / Minimum wavelength (um)                        
# MAXWAVE =              4.10987 / Maximum wavelength (um)                        
# V       =        12.3300000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.96000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        6.55300000000 / 2MASS J magnitude                              
# JERR    =      0.0190000000000 / 2MASS J magnitude error                        
# H       =        5.95400000000 / 2MASS H magnitude                              
# HERR    =      0.0310000000000 / 2MASS H magnitude error                        
# KS      =        5.53700000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0200000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0125882000000 / Relative error in the absolute flux calibration
# RV      =       -20.6393720000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.80000000000 / Intrinsic Color                                
# E(B-V)  =       0.160000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.807266                5.22397e-12         2.01185e-14
             0.807468                5.38726e-12         2.06199e-14
             0.807671                5.41518e-12         2.04673e-14
             0.807873                5.43029e-12         2.04066e-14
             0.808076                5.52056e-12         2.07657e-14
             0.808278                5.54955e-12         2.05576e-14
             0.808481                5.55890e-12         2.08329e-14
             0.808683                5.62577e-12         2.08491e-14
             0.808886                5.54882e-12         2.08220e-14
             0.809088                5.60239e-12         2.08224e-14
             0.809291                5.70286e-12         2.10507e-14
             0.809493                5.59477e-12         2.08410e-14
             0.809695                5.60995e-12         2.10591e-14
             0.809898                5.60431e-12         2.08916e-14
             0.810100                5.60692e-12         2.13123e-14
             0.810303                5.55820e-12         2.11319e-14
             0.810318                5.54269e-12         1.76295e-14
             0.810552                5.55891e-12         1.82143e-14
             0.810785                5.71860e-12         1.92142e-14
             0.811018                5.88590e-12         2.01230e-14
             0.811252                5.86943e-12         1.90073e-14
             0.811485                5.89239e-12         1.83158e-14
             0.811718                5.74561e-12         1.79700e-14
             0.811952                5.73994e-12         1.80604e-14
             0.812185                5.97137e-12         1.89895e-14
             0.812418                5.97578e-12         1.99257e-14
             0.812652                6.04780e-12         1.98043e-14
             0.812885                6.10642e-12         1.87848e-14
             0.813118                6.10753e-12         1.80643e-14
             0.813351                6.10314e-12         1.81967e-14
             0.813585                6.18797e-12         1.86903e-14
             0.813818                6.25159e-12         1.96967e-14
             0.814051                6.28018e-12         2.04144e-14
             0.814284                6.19124e-12         1.92820e-14
             0.814517                6.03459e-12         1.82558e-14
             0.814751                6.05275e-12         1.78638e-14
             0.814984                6.10726e-12         1.82285e-14
             0.815217                6.09748e-12         1.88478e-14
             0.815450                6.14241e-12         1.97395e-14
             0.815684                6.11330e-12         1.97082e-14
             0.815917                6.08842e-12         1.86335e-14
             0.816150                5.93541e-12         1.79442e-14
             0.816383                6.01915e-12         1.80342e-14
             0.816616                6.17421e-12         1.88084e-14
             0.816849                6.21650e-12         1.92718e-14
             0.817083                6.25640e-12         2.03209e-14
             0.817316                6.19494e-12         1.92091e-14
             0.817549                6.05031e-12         1.80817e-14
             0.817782                5.89128e-12         1.76562e-14
             0.818015                5.43555e-12         1.73577e-14
             0.818248                4.46625e-12         1.68243e-14
             0.818481                3.60396e-12         1.59013e-14
             0.818714                4.18176e-12         1.68355e-14
             0.818947                4.97163e-12         1.72331e-14
             0.819181                4.96890e-12         1.64816e-14
             0.819414                4.04411e-12         1.52697e-14
             0.819647                3.14856e-12         1.40243e-14
             0.819880                3.73271e-12         1.53077e-14
             0.820113                4.69427e-12         1.73968e-14
             0.820346                5.29173e-12         1.77327e-14
             0.820579                5.49929e-12         1.71141e-14
             0.820812                5.38277e-12         1.65685e-14
             0.821045                5.54187e-12         1.67297e-14
             0.821278                5.68499e-12         1.73024e-14
             0.821511                5.65349e-12         1.80146e-14
             0.821744                5.66212e-12         1.84055e-14
             0.821977                5.75710e-12         1.77197e-14
             0.822210                5.84372e-12         1.77559e-14
             0.822443                5.96061e-12         1.71594e-14
             0.822676                6.04990e-12         1.76733e-14
             0.822909                6.12715e-12         1.85035e-14
             0.823142                6.20768e-12         1.97132e-14
             0.823375                6.18400e-12         1.90822e-14
             0.823608                6.07309e-12         1.82281e-14
             0.823841                6.17035e-12         1.78148e-14
             0.824074                6.25073e-12         1.74335e-14
             0.824307                6.28103e-12         1.77821e-14
             0.824540                6.25342e-12         1.83750e-14
             0.824773                6.28535e-12         1.90260e-14
             0.825006                6.31458e-12         1.83311e-14
             0.825238                6.08367e-12         1.73130e-14
             0.825471                5.96055e-12         1.69537e-14
             0.825704                5.86706e-12         1.68677e-14
             0.825937                5.96860e-12         1.76165e-14
             0.826170                6.22862e-12         1.83100e-14
             0.826403                6.25739e-12         1.86622e-14
             0.826636                6.27316e-12         1.78627e-14
             0.826869                6.21072e-12         1.73627e-14
             0.827101                6.00298e-12         1.68892e-14
             0.827334                5.87973e-12         1.70880e-14
             0.827567                5.98179e-12         1.76150e-14
             0.827800                6.04784e-12         1.85975e-14
             0.828033                6.02109e-12         1.77845e-14
             0.828266                5.87128e-12         1.71153e-14
             0.828498                5.85306e-12         1.67077e-14
             0.828731                5.82398e-12         1.66115e-14
             0.828964                5.69397e-12         1.67794e-14
             0.829197                5.58105e-12         1.72165e-14
             0.829430                5.66469e-12         1.74013e-14
             0.829662                5.71483e-12         1.69177e-14
             0.829895                5.59470e-12         1.62522e-14
             0.830128                5.52350e-12         1.60444e-14
             0.830361                5.41404e-12         1.59594e-14
             0.830594                5.40203e-12         1.64968e-14
             0.830826                5.48122e-12         1.69372e-14
             0.831059                5.57265e-12         1.67810e-14
             0.831292                5.58338e-12         1.63113e-14
             0.831524                5.56685e-12         1.60337e-14
             0.831757                5.73462e-12         1.60528e-14
             0.831990                5.83488e-12         1.66405e-14
             0.832223                5.88437e-12         1.69659e-14
             0.832455                5.90963e-12         1.75720e-14
             0.832688                5.62179e-12         1.66775e-14
             0.832921                5.37488e-12         1.58103e-14
             0.833153                5.74040e-12         1.62654e-14
             0.833386                5.85845e-12         1.62918e-14
             0.833619                5.52221e-12         1.61083e-14
             0.833852                5.58806e-12         1.65620e-14
             0.834084                5.77577e-12         1.68135e-14
             0.834317                5.80637e-12         1.64913e-14
             0.834549                5.63582e-12         1.58854e-14
             0.834782                5.52588e-12         1.56668e-14
             0.835015                5.61825e-12         1.59408e-14
             0.835247                5.68446e-12         1.62215e-14
             0.835480                5.63681e-12         1.65864e-14
             0.835713                5.68366e-12         1.63201e-14
             0.835945                5.78056e-12         1.61174e-14
             0.836178                5.79526e-12         1.58832e-14
             0.836410                5.65473e-12         1.58132e-14
             0.836643                5.55845e-12         1.56790e-14
             0.836876                5.83863e-12         1.63641e-14
             0.837108                5.98135e-12         1.69694e-14
             0.837341                5.76896e-12         1.60465e-14
             0.837573                5.49086e-12         1.55995e-14
             0.837806                5.40004e-12         1.52182e-14
             0.838039                5.48891e-12         1.54182e-14
             0.838271                5.44982e-12         1.55197e-14
             0.838504                5.36280e-12         1.57513e-14
             0.838736                5.25443e-12         1.55328e-14
             0.838969                5.02107e-12         1.49137e-14
             0.839201                5.31075e-12         1.51526e-14
             0.839434                5.51496e-12         1.56437e-14
             0.839666                5.47640e-12         1.53458e-14
             0.839899                5.49174e-12         1.58999e-14
             0.840131                5.70230e-12         1.61676e-14
             0.840364                5.76400e-12         1.60090e-14
             0.840596                5.78633e-12         1.56577e-14
             0.840829                5.86808e-12         1.57481e-14
             0.841061                5.86995e-12         1.56867e-14
             0.841294                5.62842e-12         1.56009e-14
             0.841526                5.71801e-12         1.60291e-14
             0.841759                5.99279e-12         1.63819e-14
             0.841991                5.72329e-12         1.56443e-14
             0.842224                5.53752e-12         1.51963e-14
             0.842456                5.63375e-12         1.52966e-14
             0.842688                5.46983e-12         1.51778e-14
             0.842921                5.39540e-12         1.51644e-14
             0.843153                5.55868e-12         1.56377e-14
             0.843386                5.07323e-12         1.47385e-14
             0.843618                4.17442e-12         1.35470e-14
             0.843850                4.39922e-12         1.35670e-14
             0.844083                5.00103e-12         1.42562e-14
             0.844315                4.78054e-12         1.41517e-14
             0.844548                4.35262e-12         1.38118e-14
             0.844780                4.39953e-12         1.40944e-14
             0.845012                4.57481e-12         1.41607e-14
             0.845245                4.30869e-12         1.35094e-14
             0.845477                3.86278e-12         1.28550e-14
             0.845710                3.86009e-12         1.27772e-14
             0.845942                3.97918e-12         1.29138e-14
             0.846174                4.10099e-12         1.32713e-14
             0.846407                4.09777e-12         1.34254e-14
             0.846639                3.96658e-12         1.28928e-14
             0.846871                3.84176e-12         1.26686e-14
             0.847104                3.88472e-12         1.25123e-14
             0.847336                3.92761e-12         1.27542e-14
             0.847568                3.95426e-12         1.28264e-14
             0.847800                4.11043e-12         1.32438e-14
             0.848033                4.21270e-12         1.32438e-14
             0.848265                4.18680e-12         1.30598e-14
             0.848497                4.19492e-12         1.28897e-14
             0.848730                4.31778e-12         1.30532e-14
             0.848962                4.42610e-12         1.32289e-14
             0.849194                4.54599e-12         1.35606e-14
             0.849427                4.58348e-12         1.37692e-14
             0.849659                4.34563e-12         1.32695e-14
             0.849891                4.15114e-12         1.28689e-14
             0.850123                4.26838e-12         1.30077e-14
             0.850356                4.41511e-12         1.31046e-14
             0.850588                4.25339e-12         1.31002e-14
             0.850820                4.02895e-12         1.27921e-14
             0.851052                4.15011e-12         1.30882e-14
             0.851284                4.29370e-12         1.30566e-14
             0.851517                4.14941e-12         1.26981e-14
             0.851749                3.94763e-12         1.24632e-14
             0.851981                3.91991e-12         1.24002e-14
