# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:53:04 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6846 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'Gl 866ABC'          /                                                
# SPTYPE  = 'M5 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2001 Oct 11'        / UT date of SXD observations                    
# LXDUT   = '2001 Oct 19'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.807266 / Minimum wavelength (um)                        
# MAXWAVE =              4.10987 / Maximum wavelength (um)                        
# V       =        12.3300000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.96000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        6.55300000000 / 2MASS J magnitude                              
# JERR    =      0.0190000000000 / 2MASS J magnitude error                        
# H       =        5.95400000000 / 2MASS H magnitude                              
# HERR    =      0.0310000000000 / 2MASS H magnitude error                        
# KS      =        5.53700000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0200000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0125882000000 / Relative error in the absolute flux calibration
# RV      =       -20.6393720000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.80000000000 / Intrinsic Color                                
# E(B-V)  =       0.160000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.807266                6.58129e-12         2.53458e-14
             0.807468                6.78628e-12         2.59747e-14
             0.807671                6.82072e-12         2.57797e-14
             0.807873                6.83903e-12         2.57006e-14
             0.808076                6.95198e-12         2.61500e-14
             0.808278                6.98775e-12         2.58852e-14
             0.808481                6.99878e-12         2.62290e-14
             0.808683                7.08221e-12         2.62467e-14
             0.808886                6.98460e-12         2.62098e-14
             0.809088                7.05129e-12         2.62075e-14
             0.809291                7.17698e-12         2.64920e-14
             0.809493                7.04020e-12         2.62253e-14
             0.809695                7.05856e-12         2.64970e-14
             0.809898                7.05072e-12         2.62835e-14
             0.810100                7.05326e-12         2.68099e-14
             0.810303                6.99123e-12         2.65802e-14
             0.810318                6.97166e-12         2.21747e-14
             0.810552                6.99122e-12         2.29074e-14
             0.810785                7.19118e-12         2.41619e-14
             0.811018                7.40066e-12         2.53017e-14
             0.811252                7.37906e-12         2.38961e-14
             0.811485                7.40703e-12         2.30239e-14
             0.811718                7.22165e-12         2.25864e-14
             0.811952                7.21365e-12         2.26974e-14
             0.812185                7.50360e-12         2.38621e-14
             0.812418                7.50823e-12         2.50355e-14
             0.812652                7.59780e-12         2.48800e-14
             0.812885                7.67052e-12         2.35963e-14
             0.813118                7.67099e-12         2.26885e-14
             0.813351                7.66455e-12         2.28520e-14
             0.813585                7.77015e-12         2.34691e-14
             0.813818                7.84910e-12         2.47300e-14
             0.814051                7.88404e-12         2.56280e-14
             0.814284                7.77147e-12         2.42035e-14
             0.814517                7.57392e-12         2.29126e-14
             0.814751                7.59580e-12         2.24179e-14
             0.814984                7.66329e-12         2.28728e-14
             0.815217                7.65011e-12         2.36470e-14
             0.815450                7.70556e-12         2.47629e-14
             0.815684                7.66812e-12         2.47207e-14
             0.815917                7.63601e-12         2.33698e-14
             0.816150                7.44322e-12         2.25027e-14
             0.816383                7.54734e-12         2.26129e-14
             0.816616                7.74085e-12         2.35808e-14
             0.816849                7.79293e-12         2.41589e-14
             0.817083                7.84203e-12         2.54710e-14
             0.817316                7.76407e-12         2.40746e-14
             0.817549                7.58190e-12         2.26590e-14
             0.817782                7.38174e-12         2.21231e-14
             0.818015                6.80991e-12         2.17466e-14
             0.818248                5.59486e-12         2.10758e-14
             0.818481                4.51415e-12         1.99171e-14
             0.818714                5.23725e-12         2.10848e-14
             0.818947                6.22575e-12         2.15802e-14
             0.819181                6.22161e-12         2.06367e-14
             0.819414                5.06307e-12         1.91171e-14
             0.819647                3.94142e-12         1.75558e-14
             0.819880                4.67212e-12         1.91601e-14
             0.820113                5.87498e-12         2.17725e-14
             0.820346                6.62193e-12         2.21902e-14
             0.820579                6.88086e-12         2.14137e-14
             0.820812                6.73428e-12         2.07286e-14
             0.821045                6.93251e-12         2.09278e-14
             0.821278                7.11072e-12         2.16416e-14
             0.821511                7.07050e-12         2.25298e-14
             0.821744                7.08046e-12         2.30160e-14
             0.821977                7.19839e-12         2.21558e-14
             0.822210                7.30584e-12         2.21985e-14
             0.822443                7.45111e-12         2.14503e-14
             0.822676                7.56185e-12         2.20901e-14
             0.822909                7.65752e-12         2.31251e-14
             0.823142                7.75726e-12         2.46340e-14
             0.823375                7.72677e-12         2.38428e-14
             0.823608                7.58731e-12         2.27730e-14
             0.823841                7.70793e-12         2.22541e-14
             0.824074                7.80744e-12         2.17752e-14
             0.824307                7.84438e-12         2.22081e-14
             0.824540                7.80899e-12         2.29458e-14
             0.824773                7.84795e-12         2.37560e-14
             0.825006                7.88355e-12         2.28857e-14
             0.825238                7.59439e-12         2.16122e-14
             0.825471                7.43984e-12         2.11612e-14
             0.825704                7.32230e-12         2.10515e-14
             0.825937                7.44817e-12         2.19834e-14
             0.826170                7.77176e-12         2.28463e-14
             0.826403                7.80676e-12         2.32831e-14
             0.826636                7.82553e-12         2.22830e-14
             0.826869                7.74675e-12         2.16569e-14
             0.827101                7.48679e-12         2.10639e-14
             0.827334                7.33223e-12         2.13093e-14
             0.827567                7.45864e-12         2.19640e-14
             0.827800                7.54015e-12         2.31865e-14
             0.828033                7.50594e-12         2.21703e-14
             0.828266                7.31834e-12         2.13336e-14
             0.828498                7.29481e-12         2.08232e-14
             0.828731                7.25774e-12         2.07009e-14
             0.828964                7.09491e-12         2.09078e-14
             0.829197                6.95342e-12         2.14500e-14
             0.829430                7.05682e-12         2.16777e-14
             0.829662                7.11848e-12         2.10730e-14
             0.829895                6.96806e-12         2.02417e-14
             0.830128                6.87861e-12         1.99807e-14
             0.830361                6.74152e-12         1.98725e-14
             0.830594                6.72581e-12         2.05394e-14
             0.830826                6.82364e-12         2.10853e-14
             0.831059                6.93667e-12         2.08885e-14
             0.831292                6.94924e-12         2.03016e-14
             0.831524                6.92789e-12         1.99537e-14
             0.831757                7.13587e-12         1.99754e-14
             0.831990                7.25982e-12         2.07042e-14
             0.832223                7.32057e-12         2.11067e-14
             0.832455                7.35117e-12         2.18583e-14
             0.832688                6.99233e-12         2.07433e-14
             0.832921                6.68448e-12         1.96625e-14
