# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:53:20 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7583 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 14386'           /                                                
# SPTYPE  = 'M5e-M9e III'        / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Nov 06'        / UT date of SXD observations                    
# LXDUT   = '2003 Sep 20'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.810163 / Minimum wavelength (um)                        
# MAXWAVE =              5.01265 / Maximum wavelength (um)                        
# V       =        4.95400000000 / V magnitude                                    
# VERR    =        2.24400000000 / V magnitude error                              
# (B-V)   =        1.54900000000 / B-V color                                      
# (B-V)ERR=      0.0450000000000 / B-V color error                                
# J       =      -0.732000000000 / 2MASS J magnitude                              
# JERR    =       0.149000000000 / 2MASS J magnitude error                        
# H       =       -1.57400000000 / 2MASS H magnitude                              
# HERR    =       0.192000000000 / 2MASS H magnitude error                        
# KS      =       -2.21300000000 / 2MASS Ks magnitude                             
# KSERR   =       0.216000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'BCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.103360000000 / Relative error in the absolute flux calibration
# RV      =        54.3279680000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.50000000000 / Intrinsic Color                                
# E(B-V)  =      0.0490000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810163                2.84048e-09         3.42775e-12
             0.810365                2.85273e-09         3.44975e-12
             0.810567                2.94297e-09         3.48312e-12
             0.810770                2.97782e-09         3.53580e-12
             0.810972                3.03138e-09         3.57416e-12
             0.811174                3.04729e-09         3.58996e-12
             0.811377                3.06704e-09         3.59621e-12
             0.811579                3.13221e-09         3.63212e-12
             0.811781                3.11947e-09         3.60881e-12
             0.811983                3.19058e-09         3.67867e-12
             0.812186                3.38359e-09         3.79164e-12
             0.812388                3.41830e-09         3.87612e-12
             0.812590                3.51873e-09         3.93599e-12
             0.812792                3.61590e-09         3.97821e-12
             0.812995                3.72265e-09         4.03475e-12
             0.813197                3.70933e-09         4.04597e-12
             0.813399                3.65896e-09         4.04732e-12
             0.813400                3.66321e-09         3.34168e-12
             0.813634                3.78753e-09         3.45547e-12
             0.813867                3.92999e-09         3.66172e-12
             0.814101                4.00366e-09         3.93630e-12
             0.814335                4.06974e-09         3.82265e-12
             0.814568                4.08999e-09         3.64198e-12
             0.814802                4.14990e-09         3.59260e-12
             0.815035                4.25581e-09         3.66503e-12
             0.815269                4.19174e-09         3.73341e-12
             0.815502                4.27761e-09         3.95464e-12
             0.815736                4.39587e-09         4.10655e-12
             0.815969                4.36834e-09         3.87124e-12
             0.816203                4.22314e-09         3.68646e-12
             0.816436                4.37677e-09         3.74624e-12
             0.816669                4.63373e-09         3.90748e-12
             0.816903                4.64453e-09         4.05788e-12
             0.817136                4.66073e-09         4.25779e-12
             0.817370                4.75226e-09         4.13222e-12
             0.817603                4.80032e-09         4.01195e-12
             0.817837                4.91852e-09         4.02727e-12
             0.818070                4.89057e-09         4.00831e-12
             0.818303                4.77888e-09         4.01383e-12
             0.818537                4.62685e-09         4.08524e-12
             0.818770                4.75837e-09         4.24217e-12
             0.819003                4.98859e-09         4.18973e-12
             0.819237                5.23555e-09         4.17183e-12
             0.819470                5.09588e-09         4.02788e-12
             0.819704                4.50651e-09         3.83032e-12
             0.819937                3.96082e-09         3.66452e-12
             0.820170                3.31515e-09         3.44309e-12
             0.820403                3.23636e-09         3.29829e-12
             0.820637                3.08618e-09         3.04986e-12
             0.820870                2.64406e-09         2.81280e-12
             0.821103                2.54938e-09         2.75845e-12
             0.821337                2.71041e-09         2.89682e-12
             0.821570                2.80773e-09         3.05520e-12
             0.821803                2.81312e-09         3.08575e-12
             0.822036                2.83070e-09         2.98573e-12
             0.822270                2.96790e-09         2.95068e-12
             0.822503                3.04561e-09         2.96286e-12
             0.822736                3.07230e-09         3.09613e-12
             0.822969                3.27965e-09         3.31099e-12
             0.823203                3.50865e-09         3.52472e-12
