# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:53:12 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7571 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 18191'           /                                                
# SPTYPE  = 'M6- III:'           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Jan 16'        / UT date of SXD observations                    
# LXDUT   = '2003 Sep 20'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.809457 / Minimum wavelength (um)                        
# MAXWAVE =              5.00407 / Maximum wavelength (um)                        
# V       =        5.81500000000 / V magnitude                                    
# VERR    =      0.0480000000000 / V magnitude error                              
# (B-V)   =        1.45200000000 / B-V color                                      
# (B-V)ERR=      0.0520000000000 / B-V color error                                
# J       =       0.230000000000 / 2MASS J magnitude                              
# JERR    =       0.208000000000 / 2MASS J magnitude error                        
# H       =      -0.652000000000 / 2MASS H magnitude                              
# HERR    =       0.200000000000 / 2MASS H magnitude error                        
# KS      =      -0.868000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.222000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.120909000000 / Relative error in the absolute flux calibration
# RV      =        41.7275070000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.49000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0380000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.809457                1.66596e-09         5.14666e-12
             0.809659                1.64512e-09         5.19130e-12
             0.809861                1.70131e-09         5.24413e-12
             0.810064                1.74392e-09         5.37595e-12
             0.810266                1.76646e-09         5.49621e-12
             0.810468                1.78874e-09         5.52702e-12
             0.810671                1.80922e-09         5.62424e-12
             0.810873                1.82207e-09         5.64791e-12
             0.811075                1.82075e-09         5.68447e-12
             0.811278                1.81084e-09         5.62494e-12
             0.811480                1.81845e-09         5.65693e-12
             0.811682                1.80877e-09         5.58791e-12
             0.811885                1.73575e-09         5.47785e-12
             0.812087                1.76686e-09         5.54847e-12
             0.812289                1.86147e-09         5.87760e-12
             0.812397                1.88388e-09         5.38260e-12
             0.812630                1.91153e-09         5.39078e-12
             0.812863                1.89022e-09         4.88535e-12
             0.813096                1.91015e-09         4.87071e-12
             0.813329                1.94534e-09         5.03073e-12
             0.813563                1.93423e-09         5.21557e-12
             0.813796                1.98229e-09         5.54159e-12
             0.814029                2.01816e-09         5.59255e-12
             0.814262                2.02789e-09         5.36709e-12
             0.814495                2.00190e-09         5.10528e-12
             0.814728                1.97098e-09         5.05333e-12
             0.814961                2.00330e-09         5.29840e-12
             0.815194                2.03665e-09         5.58078e-12
             0.815427                2.02510e-09         5.81302e-12
             0.815660                2.04521e-09         5.55067e-12
             0.815893                2.09258e-09         5.44311e-12
             0.816126                2.06045e-09         5.28809e-12
             0.816359                1.92924e-09         5.11372e-12
             0.816592                1.98078e-09         5.30995e-12
             0.816825                2.09007e-09         5.79252e-12
             0.817058                2.10604e-09         5.87386e-12
             0.817291                2.10050e-09         5.51620e-12
             0.817524                2.09702e-09         5.32371e-12
             0.817757                2.12050e-09         5.46100e-12
             0.817990                2.15487e-09         5.65403e-12
             0.818223                2.14965e-09         5.78556e-12
             0.818456                2.05769e-09         5.73703e-12
             0.818689                1.99358e-09         5.56046e-12
             0.818922                2.01930e-09         5.31374e-12
             0.819155                2.11880e-09         5.40565e-12
             0.819388                2.20436e-09         5.57388e-12
             0.819621                2.07985e-09         5.50193e-12
             0.819854                1.94284e-09         5.33750e-12
             0.820087                1.85416e-09         5.12682e-12
             0.820320                1.77225e-09         4.75552e-12
             0.820553                1.75338e-09         4.47974e-12
             0.820785                1.64361e-09         4.23438e-12
             0.821018                1.56146e-09         4.04698e-12
             0.821251                1.60809e-09         4.28460e-12
             0.821484                1.64240e-09         4.68372e-12
             0.821717                1.66278e-09         4.51645e-12
             0.821950                1.68793e-09         4.43314e-12
             0.822183                1.68695e-09         4.31335e-12
             0.822416                1.70131e-09         4.35286e-12
             0.822648                1.75406e-09         4.65506e-12
             0.822881                1.79449e-09         5.05529e-12
             0.823114                1.84591e-09         5.31062e-12
             0.823347                1.85704e-09         4.98280e-12
             0.823580                1.83035e-09         4.68636e-12
             0.823812                1.84219e-09         4.63199e-12
             0.824045                1.82013e-09         4.56974e-12
             0.824278                1.81471e-09         4.72447e-12
             0.824511                1.82395e-09         4.91703e-12
             0.824744                1.87537e-09         5.07842e-12
             0.824976                1.88566e-09         4.88807e-12
             0.825209                1.83368e-09         4.61005e-12
             0.825442                1.69400e-09         4.26090e-12
             0.825675                1.60441e-09         4.30482e-12
             0.825907                1.66525e-09         4.41329e-12
             0.826140                1.77092e-09         4.93558e-12
             0.826373                1.81590e-09         4.75013e-12
             0.826606                1.82708e-09         4.59337e-12
             0.826838                1.83429e-09         4.53186e-12
             0.827071                1.81704e-09         4.58475e-12
             0.827304                1.72270e-09         4.49155e-12
             0.827536                1.65233e-09         4.46993e-12
             0.827769                1.67557e-09         4.54232e-12
             0.828002                1.68780e-09         4.41572e-12
             0.828235                1.67760e-09         4.28009e-12
             0.828467                1.64757e-09         4.17027e-12
             0.828700                1.61405e-09         4.16024e-12
             0.828933                1.61523e-09         4.27240e-12
             0.829165                1.56776e-09         4.24848e-12
             0.829398                1.52260e-09         4.07152e-12
             0.829630                1.55404e-09         4.03321e-12
             0.829863                1.58860e-09         4.03635e-12
             0.830096                1.56239e-09         3.93378e-12
             0.830328                1.50951e-09         3.95658e-12
             0.830561                1.43976e-09         3.85257e-12
             0.830794                1.41688e-09         4.08450e-12
             0.831026                1.43373e-09         3.74497e-12
             0.831259                1.47221e-09         3.75838e-12
             0.831491                1.49271e-09         3.73241e-12
             0.831724                1.54190e-09         3.90604e-12
             0.831957                1.59249e-09         4.09180e-12
             0.832189                1.61044e-09         4.27271e-12
             0.832422                1.61114e-09         4.21808e-12
             0.832654                1.62031e-09         4.15875e-12
             0.832887                1.56757e-09         3.90414e-12
             0.833119                1.56893e-09         3.89660e-12
             0.833352                1.63274e-09         4.09992e-12
             0.833584                1.56732e-09         4.02487e-12
             0.833817                1.46415e-09         3.90236e-12
             0.834050                1.47477e-09         3.87495e-12
             0.834282                1.56041e-09         3.91667e-12
             0.834515                1.56668e-09         4.02766e-12
             0.834747                1.47802e-09         3.65914e-12
             0.834980                1.43018e-09         3.67349e-12
             0.835212                1.46371e-09         3.78206e-12
             0.835445                1.49065e-09         3.94783e-12
             0.835677                1.49630e-09         3.98194e-12
             0.835910                1.55120e-09         3.86836e-12
             0.836142                1.58775e-09         3.89045e-12
             0.836375                1.57127e-09         3.87932e-12
             0.836607                1.48605e-09         3.74889e-12
             0.836839                1.49208e-09         3.85042e-12
             0.837072                1.60832e-09         4.12496e-12
             0.837304                1.63925e-09         4.61235e-12
             0.837537                1.55707e-09         3.86602e-12
             0.837769                1.50626e-09         3.79603e-12
             0.838002                1.47125e-09         3.67934e-12
             0.838234                1.50008e-09         3.81473e-12
             0.838466                1.45884e-09         3.76168e-12
             0.838699                1.44239e-09         3.68370e-12
             0.838931                1.36878e-09         3.41235e-12
             0.839164                1.30689e-09         3.23504e-12
             0.839396                1.42846e-09         3.55870e-12
             0.839628                1.51167e-09         3.73723e-12
             0.839861                1.47581e-09         3.73269e-12
