# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:53:17 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 8005 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'GJ 1111 '           /                                                
# SPTYPE  = 'M6.5 V  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.3'     / Spectroscopy Mode                              
# SXDUT   = '2000 Dec 09'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.808192 / Minimum wavelength (um)                        
# MAXWAVE =              5.43221 / Maximum wavelength (um)                        
# V       =        14.8240000000 / V magnitude                                    
# VERR    =      0.0230000000000 / V magnitude error                              
# (B-V)   =        2.06600000000 / B-V color                                      
# (B-V)ERR=     0.00900000000000 / B-V color error                                
# J       =        8.23500000000 / 2MASS J magnitude                              
# JERR    =      0.0210000000000 / 2MASS J magnitude error                        
# H       =        7.61700000000 / 2MASS H magnitude                              
# HERR    =      0.0180000000000 / 2MASS H magnitude error                        
# KS      =        7.26000000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0240000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0118761000000 / Relative error in the absolute flux calibration
# RV      =        8.50872830000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        2.03000000000 / Intrinsic Color                                
# E(B-V)  =      0.0360000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.808192                9.99185e-13         4.81161e-15
             0.808395                1.01115e-12         4.81937e-15
             0.808597                1.03362e-12         4.87515e-15
             0.808800                1.03576e-12         4.86428e-15
             0.809002                1.02258e-12         4.89829e-15
             0.809205                1.03023e-12         4.89992e-15
             0.809407                1.03533e-12         4.91528e-15
             0.809610                1.03945e-12         4.92011e-15
             0.809812                1.03458e-12         4.93091e-15
             0.810015                1.01430e-12         4.87257e-15
             0.810217                1.02656e-12         4.94095e-15
             0.810420                1.01920e-12         4.89160e-15
             0.810622                1.02464e-12         5.00963e-15
             0.810824                1.05692e-12         5.03346e-15
             0.811027                1.08752e-12         5.08986e-15
             0.811201                1.08543e-12         4.17849e-15
             0.811434                1.09946e-12         4.15633e-15
             0.811667                1.07562e-12         4.19775e-15
             0.811901                1.06366e-12         4.32174e-15
             0.812134                1.09497e-12         4.59198e-15
             0.812367                1.11826e-12         4.49143e-15
             0.812601                1.13327e-12         4.32607e-15
             0.812834                1.14770e-12         4.20061e-15
             0.813067                1.16318e-12         4.22480e-15
             0.813300                1.14876e-12         4.33064e-15
             0.813534                1.16300e-12         4.60052e-15
             0.813767                1.17049e-12         4.73141e-15
             0.814000                1.19270e-12         4.50431e-15
             0.814233                1.17167e-12         4.31145e-15
             0.814467                1.12191e-12         4.17246e-15
             0.814700                1.12362e-12         4.23757e-15
             0.814933                1.13471e-12         4.40875e-15
             0.815166                1.13392e-12         4.62235e-15
             0.815399                1.14854e-12         4.57861e-15
             0.815633                1.15532e-12         4.38724e-15
             0.815866                1.14510e-12         4.23154e-15
             0.816099                1.13758e-12         4.19922e-15
             0.816332                1.13322e-12         4.45922e-15
             0.816565                1.16149e-12         4.60674e-15
             0.816798                1.18909e-12         4.71927e-15
             0.817032                1.19331e-12         4.55057e-15
             0.817265                1.18449e-12         4.33277e-15
             0.817498                1.16117e-12         4.19095e-15
             0.817731                1.14945e-12         4.23255e-15
             0.817964                1.07642e-12         4.34174e-15
             0.818197                9.15901e-13         4.27100e-15
             0.818430                7.05213e-13         3.76978e-15
             0.818663                7.22173e-13         3.69994e-15
             0.818896                9.07733e-13         3.88329e-15
             0.819129                9.60199e-13         3.91116e-15
             0.819362                8.23576e-13         3.79380e-15
             0.819596                6.13063e-13         3.57204e-15
             0.819829                6.20867e-13         3.66649e-15
             0.820062                7.84363e-13         3.87125e-15
             0.820295                9.27232e-13         3.90508e-15
             0.820528                1.00598e-12         3.98031e-15
             0.820761                9.91144e-13         3.85077e-15
