# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:53:09 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7602 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 196610'          /                                                
# SPTYPE  = 'M6 III  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2002 Jul 14'        / UT date of SXD observations                    
# LXDUT   = '2003 Oct 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.810282 / Minimum wavelength (um)                        
# MAXWAVE =              5.01744 / Maximum wavelength (um)                        
# V       =        6.05800000000 / V magnitude                                    
# VERR    =      0.0940000000000 / V magnitude error                              
# (B-V)   =        1.48200000000 / B-V color                                      
# (B-V)ERR=     0.00400000000000 / B-V color error                                
# J       =       0.345000000000 / 2MASS J magnitude                              
# JERR    =       0.206000000000 / 2MASS J magnitude error                        
# H       =      -0.774000000000 / 2MASS H magnitude                              
# HERR    =       0.210000000000 / 2MASS H magnitude error                        
# KS      =       -1.00900000000 / 2MASS Ks magnitude                             
# KSERR   =       0.204000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.119293000000 / Relative error in the absolute flux calibration
# RV      =       -23.1652000000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.49000000000 / Intrinsic Color                                
# E(B-V)  =    -0.00800002000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810282                1.91633e-09         3.29958e-12
             0.810484                1.94474e-09         3.33697e-12
             0.810686                1.99791e-09         3.35439e-12
             0.810888                1.95741e-09         3.35883e-12
             0.811091                1.98240e-09         3.39129e-12
             0.811293                1.99865e-09         3.41502e-12
             0.811495                2.00242e-09         3.42875e-12
             0.811697                1.91183e-09         3.35580e-12
             0.811900                1.94439e-09         3.36253e-12
             0.812102                2.07453e-09         3.49526e-12
             0.812304                2.13429e-09         3.53997e-12
             0.812506                2.17800e-09         3.63939e-12
             0.812708                2.17413e-09         3.64668e-12
             0.812911                2.19479e-09         3.64181e-12
             0.813113                2.20340e-09         3.64234e-12
             0.813290                2.17158e-09         3.07846e-12
             0.813524                2.18320e-09         3.10120e-12
             0.813757                2.26494e-09         3.26297e-12
             0.813990                2.29932e-09         3.39173e-12
             0.814224                2.27518e-09         3.59024e-12
             0.814457                2.24278e-09         3.39240e-12
             0.814691                2.25863e-09         3.22454e-12
             0.814924                2.30829e-09         3.21565e-12
             0.815157                2.28957e-09         3.26552e-12
             0.815391                2.30965e-09         3.36192e-12
             0.815624                2.35393e-09         3.59336e-12
             0.815857                2.34169e-09         3.62738e-12
             0.816091                2.21974e-09         3.26997e-12
             0.816324                2.22075e-09         3.26667e-12
             0.816557                2.36277e-09         3.44927e-12
             0.816791                2.40961e-09         3.46048e-12
             0.817024                2.40367e-09         3.51622e-12
             0.817257                2.37446e-09         3.72801e-12
             0.817490                2.42780e-09         3.47815e-12
             0.817724                2.49317e-09         3.47542e-12
             0.817957                2.46586e-09         3.44078e-12
             0.818190                2.37190e-09         3.39680e-12
             0.818423                2.27601e-09         3.30830e-12
             0.818657                2.31422e-09         3.43020e-12
             0.818890                2.42510e-09         3.73802e-12
             0.819123                2.52893e-09         3.52880e-12
             0.819356                2.45229e-09         3.33087e-12
             0.819589                2.24424e-09         3.13412e-12
             0.819823                2.13092e-09         3.13325e-12
             0.820056                1.92500e-09         3.10205e-12
             0.820289                1.88258e-09         3.21038e-12
             0.820522                1.81064e-09         2.93840e-12
             0.820755                1.65247e-09         2.68230e-12
             0.820988                1.66040e-09         2.63584e-12
             0.821222                1.72350e-09         2.67907e-12
             0.821455                1.76938e-09         2.79078e-12
             0.821688                1.76065e-09         2.90286e-12
             0.821921                1.78519e-09         2.92375e-12
             0.822154                1.79704e-09         2.84605e-12
             0.822387                1.86619e-09         2.80345e-12
             0.822620                1.91080e-09         2.82933e-12
             0.822853                1.94951e-09         3.05482e-12
             0.823086                1.93618e-09         3.38220e-12
             0.823319                1.91800e-09         3.44402e-12
             0.823552                1.98461e-09         3.16720e-12
             0.823785                1.99023e-09         3.18336e-12
             0.824018                1.94958e-09         2.80695e-12
             0.824252                1.97806e-09         2.81439e-12
             0.824485                2.00988e-09         2.92925e-12
             0.824718                2.02339e-09         3.04961e-12
             0.824951                1.98993e-09         2.99377e-12
             0.825184                1.83771e-09         2.72761e-12
             0.825417                1.69183e-09         2.59655e-12
             0.825650                1.75678e-09         2.64613e-12
             0.825883                1.87880e-09         2.80515e-12
             0.826116                1.93600e-09         2.98755e-12
             0.826348                1.95674e-09         3.13611e-12
             0.826581                1.96654e-09         2.92303e-12
             0.826814                1.93877e-09         2.78009e-12
             0.827047                1.85791e-09         2.65666e-12
             0.827280                1.71911e-09         2.61736e-12
             0.827513                1.74954e-09         2.76565e-12
             0.827746                1.77254e-09         2.88932e-12
             0.827979                1.74840e-09         2.89953e-12
             0.828212                1.72413e-09         2.75595e-12
             0.828445                1.70007e-09         2.67215e-12
             0.828678                1.71820e-09         2.61516e-12
             0.828911                1.66649e-09         2.66151e-12
             0.829144                1.55744e-09         2.67728e-12
             0.829376                1.59998e-09         2.69157e-12
             0.829609                1.65680e-09         2.71641e-12
             0.829842                1.61453e-09         2.59653e-12
             0.830075                1.57875e-09         2.54181e-12
             0.830308                1.45889e-09         2.43272e-12
             0.830541                1.44122e-09         2.50321e-12
             0.830773                1.48835e-09         2.58881e-12
             0.831006                1.52536e-09         2.59931e-12
             0.831239                1.55249e-09         2.49885e-12
             0.831472                1.57534e-09         2.47870e-12
             0.831705                1.62151e-09         2.46894e-12
             0.831937                1.66173e-09         2.53452e-12
             0.832170                1.68813e-09         2.62181e-12
             0.832403                1.71581e-09         2.74246e-12
             0.832636                1.67365e-09         2.61416e-12
             0.832869                1.64969e-09         2.53184e-12
             0.833101                1.71113e-09         2.49630e-12
             0.833334                1.66772e-09         2.46518e-12
             0.833567                1.52149e-09         2.39421e-12
             0.833799                1.48878e-09         2.40970e-12
             0.834032                1.58609e-09         2.56617e-12
             0.834265                1.61779e-09         2.53132e-12
             0.834498                1.54206e-09         2.37222e-12
             0.834730                1.48307e-09         2.30629e-12
             0.834963                1.51599e-09         2.31506e-12
             0.835196                1.55746e-09         2.42034e-12
             0.835428                1.54173e-09         2.44456e-12
             0.835661                1.59898e-09         2.47322e-12
             0.835894                1.65200e-09         2.45909e-12
             0.836126                1.64473e-09         2.40495e-12
             0.836359                1.56793e-09         2.34151e-12
             0.836592                1.54788e-09         2.33098e-12
             0.836824                1.67487e-09         2.43413e-12
             0.837057                1.70040e-09         2.50081e-12
             0.837289                1.61743e-09         2.40757e-12
             0.837522                1.53590e-09         2.30367e-12
             0.837755                1.53629e-09         2.35166e-12
             0.837987                1.55021e-09         2.48196e-12
             0.838220                1.54348e-09         2.36446e-12
             0.838452                1.47984e-09         2.30000e-12
             0.838685                1.44948e-09         2.30448e-12
             0.838918                1.34373e-09         2.20095e-12
             0.839150                1.43774e-09         2.20709e-12
             0.839383                1.54220e-09         2.23890e-12
             0.839615                1.52326e-09         2.27231e-12
             0.839848                1.47894e-09         2.25015e-12
             0.840080                1.55059e-09         2.31753e-12
             0.840313                1.57160e-09         2.33362e-12
             0.840545                1.62611e-09         2.31047e-12
             0.840778                1.64189e-09         2.29095e-12
             0.841010                1.64154e-09         2.29573e-12
             0.841243                1.59463e-09         2.27655e-12
             0.841475                1.62965e-09         2.31313e-12
             0.841708                1.67624e-09         2.40188e-12
             0.841940                1.56796e-09         2.28407e-12
             0.842173                1.45380e-09         2.19639e-12
             0.842405                1.49476e-09         2.16755e-12
             0.842638                1.47276e-09         2.16393e-12
             0.842870                1.48007e-09         2.18522e-12
             0.843103                1.52568e-09         2.24004e-12
             0.843335                1.33944e-09         2.14232e-12
             0.843568                1.04544e-09         1.94597e-12
             0.843800                1.10589e-09         1.96297e-12
             0.844032                1.25578e-09         2.02307e-12
             0.844265                1.14783e-09         1.96192e-12
             0.844497                9.78838e-10         1.88830e-12
             0.844730                1.00783e-09         1.96237e-12
             0.844962                1.05712e-09         1.98096e-12
             0.845194                9.79985e-10         1.87556e-12
             0.845427                8.74422e-10         1.82411e-12
             0.845659                8.75208e-10         1.79389e-12
             0.845891                8.91708e-10         1.80303e-12
             0.846124                9.34756e-10         1.82602e-12
             0.846356                9.13916e-10         1.91443e-12
             0.846588                8.86230e-10         1.80568e-12
             0.846821                8.71585e-10         1.76219e-12
             0.847053                8.76949e-10         1.76007e-12
             0.847286                8.93152e-10         1.76233e-12
             0.847518                9.05595e-10         1.78308e-12
             0.847750                9.40088e-10         1.80542e-12
             0.847982                9.85079e-10         1.83421e-12
             0.848215                9.77604e-10         1.80091e-12
             0.848447                1.00072e-09         1.79915e-12
             0.848679                1.02221e-09         1.78743e-12
             0.848912                1.03854e-09         1.81677e-12
             0.849144                1.07349e-09         1.84513e-12
             0.849376                1.04321e-09         2.05759e-12
             0.849608                9.90456e-10         1.80212e-12
